year,sampreg,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.01477,209,13477,0.01273,0.01681
2009,West,No,0.82309,13268,13477,0.81664,0.82953
2009,East,Yes,0.01591,78,4541,0.01227,0.01955
2009,East,No,0.85352,4463,4541,0.84323,0.86380
2011,West,Yes,0.01715,304,15840,0.01513,0.01917
2011,West,No,0.74318,15536,15840,0.73638,0.74998
2011,East,Yes,0.02024,120,4905,0.01630,0.02418
2011,East,No,0.77737,4785,4905,0.76573,0.78902
2013,West,Yes,0.01525,289,14414,0.01325,0.01725
2013,West,No,0.68142,14125,14414,0.67381,0.68903
2013,East,Yes,0.02283,121,4452,0.01844,0.02721
2013,East,No,0.75796,4331,4452,0.74538,0.77054
2015,West,Yes,0.01822,363,19787,0.01635,0.02008
2015,West,No,0.80276,19424,19787,0.79722,0.80831
2015,East,Yes,0.02230,127,5253,0.01831,0.02629
2015,East,No,0.82290,5126,5253,0.81258,0.83323
2017,West,Yes,0.01823,369,20959,0.01642,0.02004
2017,West,No,0.81402,20590,20959,0.80876,0.81929
2017,East,Yes,0.02090,139,5590,0.01715,0.02465
2017,East,No,0.82155,5451,5590,0.81151,0.83159
2019,West,Yes,0.01895,399,20103,0.01706,0.02083
2019,West,No,0.81022,19704,20103,0.80480,0.81564
2019,East,Yes,0.02166,135,5546,0.01783,0.02549
2019,East,No,0.81970,5411,5546,0.80958,0.82982
2021,West,Yes,0.02029,291,15317,0.01806,0.02252
2021,West,No,0.80206,15026,15317,0.79575,0.80837
2021,East,Yes,0.02084,78,3847,0.01632,0.02535
2021,East,No,0.80557,3769,3847,0.79306,0.81808
