year,migback,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.01615,263,15653,0.01417,0.01812
2009,No migration background,No,0.84082,15390,15653,0.83509,0.84655
2009,Direct migration background,No,0.96002,1638,1638,0.95053,0.96951
2009,Indirect migration background,No,0.52814,703,703,0.49121,0.56507
2011,No migration background,Yes,0.01926,380,17940,0.01725,0.02127
2011,No migration background,No,0.77255,17560,17940,0.76642,0.77869
2011,Direct migration background,Yes,0.01682,39,2015,0.01120,0.02244
2011,Direct migration background,No,0.81250,1976,2015,0.79545,0.82955
2011,Indirect migration background,No,0.39768,785,785,0.36342,0.43193
2013,No migration background,Yes,0.01928,377,16436,0.01718,0.02138
2013,No migration background,No,0.77223,16059,16436,0.76582,0.77864
2013,Direct migration background,No,0.49461,1702,1702,0.47085,0.51837
2013,Indirect migration background,No,0.24010,695,695,0.20832,0.27188
2015,No migration background,Yes,0.02155,422,19063,0.01949,0.02362
2015,No migration background,No,0.83871,18641,19063,0.83348,0.84393
2015,Direct migration background,Yes,0.01321,58,4415,0.00984,0.01657
2015,Direct migration background,No,0.82302,4357,4415,0.81176,0.83428
2015,Indirect migration background,No,0.47863,1552,1552,0.45377,0.50350
2017,No migration background,Yes,0.02097,435,20158,0.01899,0.02295
2017,No migration background,No,0.83915,19723,20158,0.83408,0.84422
2017,Direct migration background,Yes,0.01654,64,4754,0.01292,0.02017
2017,Direct migration background,No,0.88769,4690,4754,0.87872,0.89667
2017,Indirect migration background,No,0.50467,1628,1628,0.48037,0.52896
2019,No migration background,Yes,0.02188,473,20183,0.01986,0.02389
2019,No migration background,No,0.83685,19710,20183,0.83175,0.84195
2019,Direct migration background,Yes,0.01722,53,3963,0.01317,0.02127
2019,Direct migration background,No,0.88270,3910,3963,0.87268,0.89272
2019,Indirect migration background,No,0.51039,1570,1570,0.48566,0.53513
2021,No migration background,Yes,0.02322,319,13109,0.02064,0.02580
2021,No migration background,No,0.82469,12790,13109,0.81818,0.83120
2021,Direct migration background,Yes,0.01688,43,5120,0.01335,0.02041
2021,Direct migration background,No,0.90519,5077,5120,0.89717,0.91322
2021,Indirect migration background,No,0.47376,928,928,0.44162,0.50590
