year,age_gr,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,No,0.93346,2852,2852,0.92432,0.94261
2009,30-45 y.,No,0.99772,4667,4667,0.99635,0.99909
2009,46-65 y.,Yes,0.01770,90,6325,0.01445,0.02095
2009,46-65 y.,No,0.98230,6235,6325,0.97905,0.98555
2009,66 and older,Yes,0.04749,185,4162,0.04102,0.05395
2009,66 and older,No,0.95251,3977,4162,0.94605,0.95898
2011,17-29 y.,No,0.83456,2993,2993,0.82124,0.84787
2011,30-45 y.,No,0.78643,4847,4847,0.77489,0.79797
2011,46-65 y.,Yes,0.01961,146,7775,0.01652,0.02269
2011,46-65 y.,No,0.93842,7629,7775,0.93307,0.94376
2011,66 and older,Yes,0.05863,268,5120,0.05220,0.06507
2011,66 and older,No,0.94056,4852,5120,0.93408,0.94704
2013,17-29 y.,No,0.69377,2534,2534,0.67582,0.71172
2013,30-45 y.,No,0.67945,4062,4062,0.66509,0.69380
2013,46-65 y.,Yes,0.01730,147,7320,0.01432,0.02029
2013,46-65 y.,No,0.88580,7173,7320,0.87852,0.89309
2013,66 and older,Yes,0.05424,250,4937,0.04793,0.06056
2013,66 and older,No,0.93881,4687,4937,0.93212,0.94549
2015,17-29 y.,No,0.88534,3921,3921,0.87537,0.89531
2015,30-45 y.,Yes,0.00282,34,7356,0.00161,0.00403
2015,30-45 y.,No,0.95001,7322,7356,0.94503,0.95499
2015,46-65 y.,Yes,0.02240,182,8878,0.01933,0.02548
2015,46-65 y.,No,0.96909,8696,8878,0.96549,0.97269
2015,66 and older,Yes,0.05568,272,4883,0.04924,0.06211
2015,66 and older,No,0.94329,4611,4883,0.93681,0.94978
2017,17-29 y.,No,0.91176,4358,4358,0.90334,0.92018
2017,30-45 y.,No,0.98687,7227,7227,0.98425,0.98950
2017,46-65 y.,Yes,0.02205,193,9973,0.01916,0.02493
2017,46-65 y.,No,0.97569,9780,9973,0.97267,0.97871
2017,66 and older,Yes,0.05645,283,4959,0.05003,0.06287
2017,66 and older,No,0.94323,4676,4959,0.93679,0.94967
2019,17-29 y.,No,0.90394,3838,3838,0.89462,0.91326
2019,30-45 y.,No,0.98351,6262,6262,0.98036,0.98667
2019,46-65 y.,Yes,0.02109,188,10421,0.01833,0.02385
2019,46-65 y.,No,0.97608,10233,10421,0.97315,0.97902
2019,66 and older,Yes,0.06075,317,5174,0.05424,0.06726
2019,66 and older,No,0.93895,4857,5174,0.93242,0.94547
2021,17-29 y.,No,0.92192,3175,3175,0.91259,0.93126
2021,30-45 y.,No,0.98042,5191,5191,0.97665,0.98419
2021,46-65 y.,Yes,0.02065,141,7216,0.01737,0.02393
2021,46-65 y.,No,0.97017,7075,7216,0.96624,0.97409
2021,66 and older,Yes,0.06618,209,3563,0.05802,0.07435
2021,66 and older,No,0.92538,3354,3563,0.91675,0.93401
