year,age_gr,migback,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,No migration background,No,0.93688,2293,2293,0.92693,0.94684
2009,17-29 y.,Direct migration background,No,0.94495,174,174,0.91097,0.97894
2009,17-29 y.,Indirect migration background,No,0.91213,385,385,0.88381,0.94044
2009,30-45 y.,No migration background,No,0.99820,3869,3869,0.99687,0.99954
2009,30-45 y.,Direct migration background,No,0.99508,530,530,0.98912,1.00104
2009,30-45 y.,Indirect migration background,No,0.99758,268,268,0.99169,1.00347
2009,46-65 y.,No migration background,Yes,0.01688,81,5660,0.01352,0.02023
2009,46-65 y.,No migration background,No,0.98312,5579,5660,0.97977,0.98648
2009,46-65 y.,Direct migration background,No,0.97768,611,611,0.96596,0.98940
2009,46-65 y.,Indirect migration background,No,0.97811,45,45,0.93486,1.02135
2009,66 and older,No migration background,Yes,0.04868,172,3821,0.04186,0.05551
2009,66 and older,No migration background,No,0.95132,3649,3821,0.94449,0.95814
2009,66 and older,Direct migration background,No,0.96521,323,323,0.94519,0.98522
2011,17-29 y.,No migration background,No,0.84916,2394,2394,0.83482,0.86350
2011,17-29 y.,Direct migration background,No,0.75771,215,215,0.70030,0.81512
2011,17-29 y.,Indirect migration background,No,0.81115,384,384,0.77195,0.85035
2011,30-45 y.,No migration background,No,0.80534,3948,3948,0.79299,0.81770
2011,30-45 y.,Direct migration background,No,0.69137,588,588,0.65401,0.72874
2011,30-45 y.,Indirect migration background,No,0.79900,311,311,0.75438,0.84361
2011,46-65 y.,No migration background,Yes,0.01877,129,6893,0.01556,0.02197
2011,46-65 y.,No migration background,No,0.94034,6764,6893,0.93475,0.94593
2011,46-65 y.,Direct migration background,No,0.92998,779,779,0.91205,0.94791
2011,46-65 y.,Indirect migration background,No,0.89920,86,86,0.83520,0.96320
2011,66 and older,No migration background,Yes,0.05980,242,4696,0.05302,0.06658
2011,66 and older,No migration background,No,0.93935,4454,4696,0.93253,0.94618
2011,66 and older,Direct migration background,No,0.95228,394,394,0.93121,0.97336
2013,17-29 y.,No migration background,No,0.82028,2046,2046,0.80364,0.83692
2013,17-29 y.,Direct migration background,No,0.32611,173,173,0.25605,0.39617
2013,17-29 y.,Indirect migration background,No,0.40354,315,315,0.34927,0.45781
2013,30-45 y.,No migration background,No,0.79990,3296,3296,0.78624,0.81356
2013,30-45 y.,Direct migration background,No,0.32353,488,488,0.28198,0.36508
2013,30-45 y.,Indirect migration background,No,0.50562,278,278,0.44674,0.56449
2013,46-65 y.,No migration background,Yes,0.01892,135,6533,0.01562,0.02223
2013,46-65 y.,No migration background,No,0.92780,6398,6533,0.92153,0.93408
2013,46-65 y.,Direct migration background,No,0.62614,676,676,0.58964,0.66264
2013,46-65 y.,Indirect migration background,No,0.83200,99,99,0.75798,0.90603
2013,66 and older,No migration background,Yes,0.05503,232,4551,0.04840,0.06165
2013,66 and older,No migration background,No,0.94314,4319,4551,0.93641,0.94987
2013,66 and older,Direct migration background,No,0.89472,365,365,0.86319,0.92625
2015,17-29 y.,No migration background,No,0.92056,2560,2560,0.91008,0.93103
2015,17-29 y.,Direct migration background,No,0.66843,590,590,0.63041,0.70645
2015,17-29 y.,Indirect migration background,No,0.91614,771,771,0.89656,0.93572
2015,30-45 y.,No migration background,No,0.99071,4756,4756,0.98799,0.99344
2015,30-45 y.,Direct migration background,No,0.81677,1956,1956,0.79962,0.83392
2015,30-45 y.,Indirect migration background,No,0.96935,610,610,0.95566,0.98304
2015,46-65 y.,No migration background,Yes,0.02277,150,7278,0.01934,0.02620
2015,46-65 y.,No migration background,No,0.97577,7128,7278,0.97223,0.97930
2015,46-65 y.,Direct migration background,No,0.93308,1401,1401,0.91999,0.94617
2015,46-65 y.,Indirect migration background,No,0.93618,167,167,0.89900,0.97337
2015,66 and older,No migration background,Yes,0.05672,251,4448,0.04992,0.06352
2015,66 and older,No migration background,No,0.94288,4197,4448,0.93606,0.94970
2015,66 and older,Direct migration background,No,0.94712,410,410,0.92544,0.96881
2017,17-29 y.,No migration background,No,0.93109,2939,2939,0.92193,0.94025
2017,17-29 y.,Direct migration background,No,0.78938,616,616,0.75715,0.82160
2017,17-29 y.,Indirect migration background,No,0.91983,803,803,0.90104,0.93863
2017,30-45 y.,No migration background,No,0.99742,4543,4543,0.99595,0.99890
2017,30-45 y.,Direct migration background,No,0.95155,2094,2094,0.94236,0.96075
2017,30-45 y.,Indirect migration background,No,0.99728,590,590,0.99307,1.00149
2017,46-65 y.,No migration background,Yes,0.02138,154,8152,0.01824,0.02453
2017,46-65 y.,No migration background,No,0.97862,7998,8152,0.97547,0.98176
2017,46-65 y.,Direct migration background,Yes,0.02403,33,1596,0.01652,0.03155
2017,46-65 y.,Direct migration background,No,0.96168,1563,1596,0.95226,0.97110
2017,46-65 y.,Indirect migration background,No,0.96573,219,219,0.94158,0.98988
2017,66 and older,No migration background,Yes,0.05726,260,4503,0.05048,0.06405
2017,66 and older,No migration background,No,0.94274,4243,4503,0.93595,0.94952
2017,66 and older,Direct migration background,No,0.94583,417,417,0.92408,0.96758
2019,17-29 y.,No migration background,No,0.92274,2711,2711,0.91269,0.93280
2019,17-29 y.,Direct migration background,No,0.76411,418,418,0.72337,0.80486
2019,17-29 y.,Indirect migration background,No,0.92313,709,709,0.90350,0.94275
2019,30-45 y.,No migration background,No,0.99725,4120,4120,0.99565,0.99885
2019,30-45 y.,Direct migration background,No,0.93766,1592,1592,0.92578,0.94954
2019,30-45 y.,Indirect migration background,No,0.99857,550,550,0.99540,1.00173
2019,46-65 y.,No migration background,Yes,0.02085,161,8624,0.01783,0.02386
2019,46-65 y.,No migration background,No,0.97915,8463,8624,0.97614,0.98217
2019,46-65 y.,Direct migration background,No,0.96053,1483,1483,0.95061,0.97044
