year,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Daily,0.03290,615,9430,0.02930,0.03650
1990,At least once per week,0.26242,4084,9430,0.25354,0.27130
1990,At least once per month,0.19946,2664,9430,0.19140,0.20753
1990,Seldom,0.14428,1817,9430,0.13719,0.15138
1990,Never,0.01998,250,9430,0.01715,0.02280
1995,Daily,0.04836,864,13222,0.04470,0.05202
1995,At least once per week,0.32496,5458,13222,0.31697,0.33294
1995,At least once per month,0.24625,3885,13222,0.23890,0.25359
1995,Seldom,0.16953,2640,13222,0.16314,0.17593
1995,Never,0.02762,375,13222,0.02482,0.03041
1998,Daily,0.05007,975,14173,0.04648,0.05366
1998,At least once per week,0.34135,5964,14173,0.33355,0.34916
1998,At least once per month,0.23871,4151,14173,0.23169,0.24573
1998,Seldom,0.17151,2806,14173,0.16531,0.17772
1998,Never,0.01941,277,14173,0.01714,0.02168
2003,Daily,0.03798,1053,22081,0.03546,0.04050
2003,At least once per week,0.34345,9153,22081,0.33718,0.34971
2003,At least once per month,0.25255,7078,22081,0.24682,0.25828
2003,Seldom,0.16659,4174,22081,0.16168,0.17151
2003,Never,0.02833,623,22081,0.02614,0.03051
2008,Daily,0.03592,748,19237,0.03329,0.03855
2008,At least once per week,0.32879,7467,19237,0.32215,0.33543
2008,At least once per month,0.26164,6378,19237,0.25543,0.26785
2008,Seldom,0.18287,4106,19237,0.17741,0.18834
2008,Never,0.02720,538,19237,0.02490,0.02950
2013,Daily,0.02875,1068,25408,0.02669,0.03080
2013,At least once per week,0.28091,9805,25408,0.27538,0.28643
2013,At least once per month,0.24907,8361,25408,0.24375,0.25439
2013,Seldom,0.17070,5294,25408,0.16607,0.17532
2013,Never,0.02999,880,25408,0.02790,0.03209
2019,Daily,0.03102,1010,25645,0.02890,0.03315
2019,At least once per week,0.30405,9386,25645,0.29842,0.30968
2019,At least once per month,0.27510,8704,25645,0.26964,0.28057
2019,Seldom,0.17909,5477,25645,0.17440,0.18378
2019,Never,0.03870,1068,25645,0.03634,0.04106
2021,Daily,0.04664,938,17190,0.04349,0.04979
2021,At least once per week,0.36140,7655,17190,0.35421,0.36858
2021,At least once per month,0.21563,4727,17190,0.20948,0.22178
2021,Seldom,0.16002,3209,17190,0.15454,0.16551
2021,Never,0.03792,661,17190,0.03506,0.04077
