year,bula_h,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,At least once per week,0.26031,94,256,0.20645,0.31417
1990,Schleswig-Holstein,At least once per month,0.31818,103,256,0.26101,0.37535
1990,Schleswig-Holstein,Seldom,0.16136,59,256,0.11621,0.20651
1990,Hamburg,At least once per week,0.43455,86,135,0.35062,0.51848
1990,Hamburg,At least once per month,0.28349,49,135,0.20718,0.35980
1990,Lower Saxony,Daily,0.03677,56,954,0.02482,0.04872
1990,Lower Saxony,At least once per week,0.32641,399,954,0.29664,0.35618
1990,Lower Saxony,At least once per month,0.25943,285,954,0.23160,0.28726
1990,Lower Saxony,Seldom,0.20678,214,954,0.18106,0.23249
1990,Bremen,At least once per week,0.35698,42,42,0.21033,0.50364
1990,North Rhine-Westphalia,Daily,0.04279,159,2555,0.03494,0.05064
1990,North Rhine-Westphalia,At least once per week,0.35505,1187,2555,0.33649,0.37361
1990,North Rhine-Westphalia,At least once per month,0.25580,735,2555,0.23888,0.27272
1990,North Rhine-Westphalia,Seldom,0.15195,427,2555,0.13803,0.16587
1990,North Rhine-Westphalia,Never,0.01574,47,2555,0.01092,0.02057
1990,Hesse,Daily,0.04405,79,979,0.03119,0.05691
1990,Hesse,At least once per week,0.32890,426,979,0.29945,0.35834
1990,Hesse,At least once per month,0.22021,238,979,0.19424,0.24619
1990,Hesse,Seldom,0.20673,195,979,0.18135,0.23211
1990,Hesse,Never,0.04080,41,979,0.02840,0.05319
1990,"Rhineland-Palatinate, Saarland",Daily,0.04390,45,642,0.02804,0.05976
1990,"Rhineland-Palatinate, Saarland",At least once per week,0.32752,273,642,0.29119,0.36386
1990,"Rhineland-Palatinate, Saarland",At least once per month,0.23158,177,642,0.19892,0.26423
1990,"Rhineland-Palatinate, Saarland",Seldom,0.21034,147,642,0.17879,0.24190
1990,Baden-Wuerttemberg,Daily,0.04439,144,1783,0.03483,0.05395
1990,Baden-Wuerttemberg,At least once per week,0.31190,787,1783,0.29039,0.33341
1990,Baden-Wuerttemberg,At least once per month,0.24666,478,1783,0.22665,0.26667
1990,Baden-Wuerttemberg,Seldom,0.18319,325,1783,0.16523,0.20115
1990,Baden-Wuerttemberg,Never,0.02460,49,1783,0.01741,0.03179
1990,Bavaria,Daily,0.03338,69,1593,0.02456,0.04221
1990,Bavaria,At least once per week,0.31135,643,1593,0.28861,0.33410
1990,Bavaria,At least once per month,0.26016,492,1593,0.23861,0.28171
1990,Bavaria,Seldom,0.20180,351,1593,0.18209,0.22152
1990,Bavaria,Never,0.02535,38,1593,0.01763,0.03307
1990,Berlin,At least once per week,0.23113,147,286,0.18219,0.28007
1990,Berlin,At least once per month,0.12666,79,286,0.08805,0.16527
1990,Berlin,Seldom,0.11828,60,286,0.08078,0.15577
1995,Schleswig-Holstein,At least once per week,0.36766,126,264,0.30938,0.42593
1995,Schleswig-Holstein,At least once per month,0.24050,97,264,0.18885,0.29216
1995,Schleswig-Holstein,Seldom,0.12971,41,264,0.08910,0.17031
1995,Hamburg,At least once per week,0.36156,65,105,0.26922,0.45390
1995,Hamburg,At least once per month,0.28823,40,105,0.20118,0.37528
1995,Lower Saxony,Daily,0.04258,64,1025,0.03022,0.05495
1995,Lower Saxony,At least once per week,0.32658,458,1025,0.29786,0.35530
1995,Lower Saxony,At least once per month,0.26219,327,1025,0.23525,0.28913
1995,Lower Saxony,Seldom,0.16055,176,1025,0.13807,0.18304
1995,Bremen,At least once per week,0.41896,45,45,0.27317,0.56475
1995,North Rhine-Westphalia,Daily,0.06041,213,2570,0.05119,0.06962
1995,North Rhine-Westphalia,At least once per week,0.34107,1154,2570,0.32274,0.35940
1995,North Rhine-Westphalia,At least once per month,0.25396,769,2570,0.23713,0.27079
1995,North Rhine-Westphalia,Seldom,0.14170,389,2570,0.12822,0.15519
1995,North Rhine-Westphalia,Never,0.01605,45,2570,0.01119,0.02091
1995,Hesse,Daily,0.04299,60,938,0.03000,0.05598
1995,Hesse,At least once per week,0.38301,457,938,0.35188,0.41413
1995,Hesse,At least once per month,0.21302,225,938,0.18680,0.23924
1995,Hesse,Seldom,0.15692,151,938,0.13363,0.18021
1995,Hesse,Never,0.04338,45,938,0.03034,0.05642
1995,"Rhineland-Palatinate, Saarland",Daily,0.06020,58,709,0.04268,0.07772
1995,"Rhineland-Palatinate, Saarland",At least once per week,0.32539,308,709,0.29087,0.35990
1995,"Rhineland-Palatinate, Saarland",At least once per month,0.19851,175,709,0.16913,0.22790
1995,"Rhineland-Palatinate, Saarland",Seldom,0.15867,132,709,0.13176,0.18558
1995,"Rhineland-Palatinate, Saarland",Never,0.05631,36,709,0.03933,0.07329
1995,Baden-Wuerttemberg,Daily,0.05357,162,1784,0.04312,0.06403
1995,Baden-Wuerttemberg,At least once per week,0.31537,821,1784,0.29381,0.33694
1995,Baden-Wuerttemberg,At least once per month,0.25708,478,1784,0.23679,0.27736
1995,Baden-Wuerttemberg,Seldom,0.15758,278,1784,0.14067,0.17450
1995,Baden-Wuerttemberg,Never,0.02224,45,1784,0.01540,0.02909
1995,Bavaria,Daily,0.03063,58,1682,0.02240,0.03887
1995,Bavaria,At least once per week,0.34268,768,1682,0.31999,0.36537
1995,Bavaria,At least once per month,0.23790,493,1682,0.21754,0.25825
1995,Bavaria,Seldom,0.18336,331,1682,0.16486,0.20185
1995,Bavaria,Never,0.02369,32,1682,0.01642,0.03095
1995,Berlin,Daily,0.04028,31,552,0.02386,0.05670
1995,Berlin,At least once per week,0.34460,244,552,0.30492,0.38428
1995,Berlin,At least once per month,0.29996,191,552,0.26170,0.33822
1995,Berlin,Seldom,0.12536,86,552,0.09771,0.15301
1995,Brandenburg,Daily,0.05598,37,566,0.03702,0.07494
1995,Brandenburg,At least once per week,0.26039,167,566,0.22420,0.29657
1995,Brandenburg,At least once per month,0.21848,169,566,0.18441,0.25256
1995,Brandenburg,Seldom,0.26637,193,566,0.22992,0.30282
1995,Mecklenburg-Western Pomerania,At least once per week,0.26822,131,379,0.22355,0.31288
1995,Mecklenburg-Western Pomerania,At least once per month,0.24878,135,379,0.20519,0.29236
1995,Mecklenburg-Western Pomerania,Seldom,0.22166,113,379,0.17979,0.26354
1995,Saxony,Daily,0.04142,51,1094,0.02961,0.05323
1995,Saxony,At least once per week,0.22068,290,1094,0.19609,0.24527
1995,Saxony,At least once per month,0.24983,352,1094,0.22416,0.27549
1995,Saxony,Seldom,0.25754,349,1094,0.23161,0.28346
1995,Saxony,Never,0.05277,52,1094,0.03951,0.06602
1995,Saxony-Anhalt,Daily,0.05780,46,657,0.03994,0.07565
1995,Saxony-Anhalt,At least once per week,0.28332,223,657,0.24884,0.31781
1995,Saxony-Anhalt,At least once per month,0.23861,200,657,0.20599,0.27122
1995,Saxony-Anhalt,Seldom,0.21200,188,657,0.18072,0.24328
1995,Thuringa,Daily,0.04067,32,625,0.02517,0.05617
1995,Thuringa,At least once per week,0.25505,201,625,0.22085,0.28925
1995,Thuringa,At least once per month,0.24744,206,625,0.21358,0.28130
1995,Thuringa,Seldom,0.21453,186,625,0.18233,0.24674
1998,Schleswig-Holstein,At least once per week,0.35697,160,325,0.30480,0.40914
1998,Schleswig-Holstein,At least once per month,0.25587,113,325,0.20836,0.30338
1998,Schleswig-Holstein,Seldom,0.13549,52,325,0.09822,0.17275
1998,Hamburg,At least once per week,0.37643,69,115,0.28749,0.46537
1998,Hamburg,At least once per month,0.25052,46,115,0.17098,0.33007
1998,Lower Saxony,Daily,0.03857,62,1171,0.02753,0.04960
1998,Lower Saxony,At least once per week,0.32908,505,1171,0.30215,0.35600
1998,Lower Saxony,At least once per month,0.24667,397,1171,0.22197,0.27137
1998,Lower Saxony,Seldom,0.17514,207,1171,0.15336,0.19692
1998,Bremen,At least once per week,0.29374,42,42,0.15432,0.43316
1998,North Rhine-Westphalia,Daily,0.05489,229,2828,0.04649,0.06328
1998,North Rhine-Westphalia,At least once per week,0.37594,1340,2828,0.35808,0.39380
1998,North Rhine-Westphalia,At least once per month,0.23854,794,2828,0.22283,0.25425
1998,North Rhine-Westphalia,Seldom,0.13327,420,2828,0.12074,0.14580
1998,North Rhine-Westphalia,Never,0.01513,45,2828,0.01063,0.01963
1998,Hesse,Daily,0.05718,62,916,0.04214,0.07222
1998,Hesse,At least once per week,0.36505,445,916,0.33385,0.39624
1998,Hesse,At least once per month,0.22914,262,916,0.20191,0.25637
1998,Hesse,Seldom,0.14559,147,916,0.12274,0.16845
1998,"Rhineland-Palatinate, Saarland",Daily,0.05119,53,786,0.03577,0.06660
1998,"Rhineland-Palatinate, Saarland",At least once per week,0.34492,350,786,0.31167,0.37817
1998,"Rhineland-Palatinate, Saarland",At least once per month,0.22245,220,786,0.19336,0.25155
1998,"Rhineland-Palatinate, Saarland",Seldom,0.18204,163,786,0.15505,0.20904
1998,Baden-Wuerttemberg,Daily,0.06450,206,1777,0.05308,0.07592
1998,Baden-Wuerttemberg,At least once per week,0.33893,833,1777,0.31691,0.36094
1998,Baden-Wuerttemberg,At least once per month,0.21546,443,1777,0.19633,0.23458
1998,Baden-Wuerttemberg,Seldom,0.17083,295,1777,0.15332,0.18833
1998,Bavaria,Daily,0.03594,87,1856,0.02747,0.04441
1998,Bavaria,At least once per week,0.35450,840,1856,0.33273,0.37627
1998,Bavaria,At least once per month,0.22576,524,1856,0.20673,0.24478
1998,Bavaria,Seldom,0.18240,370,1856,0.16482,0.19997
1998,Bavaria,Never,0.01861,35,1856,0.01246,0.02476
1998,Berlin,Daily,0.06061,35,515,0.03998,0.08124
1998,Berlin,At least once per week,0.35715,219,515,0.31573,0.39857
1998,Berlin,At least once per month,0.24730,168,515,0.21000,0.28460
1998,Berlin,Seldom,0.14874,93,515,0.11798,0.17950
1998,Brandenburg,Daily,0.04171,33,602,0.02573,0.05770
1998,Brandenburg,At least once per week,0.26627,182,602,0.23093,0.30160
1998,Brandenburg,At least once per month,0.28068,208,602,0.24475,0.31660
1998,Brandenburg,Seldom,0.23359,179,602,0.19976,0.26742
1998,Mecklenburg-Western Pomerania,Daily,0.06303,32,404,0.03930,0.08675
1998,Mecklenburg-Western Pomerania,At least once per week,0.31028,154,404,0.26511,0.35544
1998,Mecklenburg-Western Pomerania,At least once per month,0.27327,125,404,0.22976,0.31678
1998,Mecklenburg-Western Pomerania,Seldom,0.16480,93,404,0.12858,0.20102
1998,Saxony,Daily,0.03963,52,1175,0.02847,0.05079
1998,Saxony,At least once per week,0.23468,331,1175,0.21043,0.25892
1998,Saxony,At least once per month,0.26629,383,1175,0.24101,0.29158
1998,Saxony,Seldom,0.26224,378,1175,0.23708,0.28740
1998,Saxony,Never,0.02695,31,1175,0.01769,0.03622
1998,Saxony-Anhalt,Daily,0.05022,44,669,0.03365,0.06678
1998,Saxony-Anhalt,At least once per week,0.29017,232,669,0.25575,0.32459
1998,Saxony-Anhalt,At least once per month,0.28708,226,669,0.25278,0.32139
1998,Saxony-Anhalt,Seldom,0.20417,167,669,0.17361,0.23474
1998,Thuringa,Daily,0.03370,41,721,0.02052,0.04689
1998,Thuringa,At least once per week,0.32953,262,721,0.29519,0.36386
1998,Thuringa,At least once per month,0.21719,218,721,0.18707,0.24731
1998,Thuringa,Seldom,0.21690,200,721,0.18680,0.24701
2003,Schleswig-Holstein,At least once per week,0.37890,304,636,0.34117,0.41663
2003,Schleswig-Holstein,At least once per month,0.27211,222,636,0.23749,0.30673
2003,Schleswig-Holstein,Seldom,0.14293,110,636,0.11571,0.17016
2003,Hamburg,At least once per week,0.47873,160,241,0.41553,0.54193
2003,Hamburg,At least once per month,0.21253,81,241,0.16077,0.26429
2003,Lower Saxony,Daily,0.04418,111,1898,0.03493,0.05343
2003,Lower Saxony,At least once per week,0.35520,828,1898,0.33367,0.37674
2003,Lower Saxony,At least once per month,0.22855,599,1898,0.20965,0.24744
2003,Lower Saxony,Seldom,0.17300,323,1898,0.15598,0.19002
2003,Lower Saxony,Never,0.01974,37,1898,0.01348,0.02600
2003,Bremen,At least once per week,0.33080,81,163,0.25835,0.40325
2003,Bremen,At least once per month,0.26315,48,163,0.19534,0.33095
2003,Bremen,Seldom,0.21886,34,163,0.15519,0.28254
2003,North Rhine-Westphalia,Daily,0.03773,231,4649,0.03225,0.04321
2003,North Rhine-Westphalia,At least once per week,0.36368,2043,4649,0.34985,0.37751
2003,North Rhine-Westphalia,At least once per month,0.25223,1493,4649,0.23975,0.26472
2003,North Rhine-Westphalia,Seldom,0.14358,745,4649,0.13350,0.15366
2003,North Rhine-Westphalia,Never,0.02880,137,4649,0.02399,0.03360
2003,Hesse,Daily,0.04354,68,1496,0.03320,0.05388
2003,Hesse,At least once per week,0.37986,706,1496,0.35525,0.40446
2003,Hesse,At least once per month,0.22902,442,1496,0.20772,0.25032
2003,Hesse,Seldom,0.13680,236,1496,0.11938,0.15422
2003,Hesse,Never,0.02387,44,1496,0.01613,0.03161
2003,"Rhineland-Palatinate, Saarland",Daily,0.03948,68,1343,0.02906,0.04989
2003,"Rhineland-Palatinate, Saarland",At least once per week,0.29488,510,1343,0.27049,0.31928
2003,"Rhineland-Palatinate, Saarland",At least once per month,0.24907,414,1343,0.22594,0.27221
2003,"Rhineland-Palatinate, Saarland",Seldom,0.18786,288,1343,0.16696,0.20876
2003,"Rhineland-Palatinate, Saarland",Never,0.03937,63,1343,0.02896,0.04977
2003,Baden-Wuerttemberg,Daily,0.03594,132,2681,0.02889,0.04298
2003,Baden-Wuerttemberg,At least once per week,0.35274,1269,2681,0.33465,0.37083
2003,Baden-Wuerttemberg,At least once per month,0.23626,794,2681,0.22018,0.25235
2003,Baden-Wuerttemberg,Seldom,0.15048,425,2681,0.13695,0.16402
2003,Baden-Wuerttemberg,Never,0.02735,61,2681,0.02118,0.03353
2003,Bavaria,Daily,0.03368,129,3108,0.02733,0.04002
2003,Bavaria,At least once per week,0.33046,1249,3108,0.31392,0.34700
2003,Bavaria,At least once per month,0.25802,1041,3108,0.24263,0.27340
2003,Bavaria,Seldom,0.17639,598,3108,0.16299,0.18979
2003,Bavaria,Never,0.03091,91,3108,0.02482,0.03699
2003,Berlin,Daily,0.04377,43,801,0.02959,0.05794
2003,Berlin,At least once per week,0.36958,358,801,0.33613,0.40303
2003,Berlin,At least once per month,0.23932,248,801,0.20975,0.26889
2003,Berlin,Seldom,0.16011,152,801,0.13470,0.18552
2003,Brandenburg,Daily,0.03763,37,908,0.02524,0.05001
2003,Brandenburg,At least once per week,0.27929,295,908,0.25009,0.30849
2003,Brandenburg,At least once per month,0.30289,323,908,0.27299,0.33280
2003,Brandenburg,Seldom,0.21352,253,908,0.18685,0.24019
2003,Mecklenburg-Western Pomerania,Daily,0.05701,31,508,0.03683,0.07719
2003,Mecklenburg-Western Pomerania,At least once per week,0.33367,191,508,0.29263,0.37471
2003,Mecklenburg-Western Pomerania,At least once per month,0.27889,192,508,0.23985,0.31793
2003,Mecklenburg-Western Pomerania,Seldom,0.16331,94,508,0.13113,0.19548
2003,Saxony,Daily,0.03485,66,1606,0.02588,0.04383
2003,Saxony,At least once per week,0.25484,482,1606,0.23352,0.27616
2003,Saxony,At least once per month,0.29861,573,1606,0.27622,0.32100
2003,Saxony,Seldom,0.23806,439,1606,0.21722,0.25890
2003,Saxony,Never,0.03059,46,1606,0.02216,0.03901
2003,Saxony-Anhalt,Daily,0.03736,49,932,0.02518,0.04954
2003,Saxony-Anhalt,At least once per week,0.31224,330,932,0.28247,0.34201
2003,Saxony-Anhalt,At least once per month,0.29075,296,932,0.26158,0.31992
2003,Saxony-Anhalt,Seldom,0.17971,217,932,0.15505,0.20437
2003,Saxony-Anhalt,Never,0.05340,40,932,0.03896,0.06785
2003,Thuringa,Daily,0.03872,45,936,0.02635,0.05108
2003,Thuringa,At least once per week,0.31290,347,936,0.28318,0.34263
2003,Thuringa,At least once per month,0.26330,312,936,0.23507,0.29153
2003,Thuringa,Seldom,0.23419,232,936,0.20705,0.26134
2008,Schleswig-Holstein,At least once per week,0.29665,212,521,0.25739,0.33591
2008,Schleswig-Holstein,At least once per month,0.32822,202,521,0.28786,0.36858
2008,Schleswig-Holstein,Seldom,0.16529,107,521,0.13336,0.19722
2008,Hamburg,At least once per week,0.41704,134,270,0.35812,0.47597
2008,Hamburg,At least once per month,0.26937,92,270,0.21636,0.32239
2008,Hamburg,Seldom,0.15231,44,270,0.10937,0.19525
2008,Lower Saxony,Daily,0.03326,66,1734,0.02481,0.04170
2008,Lower Saxony,At least once per week,0.33766,700,1734,0.31539,0.35992
2008,Lower Saxony,At least once per month,0.25276,558,1734,0.23230,0.27323
2008,Lower Saxony,Seldom,0.18611,374,1734,0.16779,0.20444
