year,migback,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Daily,0.02936,297,6617,0.02529,0.03342
1990,No migration background,At least once per week,0.25698,2612,6617,0.24645,0.26751
1990,No migration background,At least once per month,0.20299,2070,6617,0.19330,0.21268
1990,No migration background,Seldom,0.14764,1474,6617,0.13910,0.15619
1990,No migration background,Never,0.01867,164,6617,0.01541,0.02194
1990,Direct migration background,Daily,0.07078,257,2522,0.06077,0.08079
1990,Direct migration background,At least once per week,0.38394,1316,2522,0.36495,0.40292
1990,Direct migration background,At least once per month,0.23368,557,2522,0.21716,0.25020
1990,Direct migration background,Seldom,0.15840,315,2522,0.14415,0.17266
1990,Direct migration background,Never,0.03930,77,2522,0.03172,0.04689
1990,Indirect migration background,Daily,0.02943,61,254,0.00861,0.05026
1990,Indirect migration background,At least once per week,0.10181,156,254,0.06455,0.13907
1990,Indirect migration background,At least once per month,0.02634,37,254,0.00661,0.04607
1995,No migration background,Daily,0.04401,509,9951,0.03998,0.04804
1995,No migration background,At least once per week,0.31883,3756,9951,0.30967,0.32798
1995,No migration background,At least once per month,0.25476,3134,9951,0.24620,0.26333
1995,No migration background,Seldom,0.18161,2262,9951,0.17403,0.18918
1995,No migration background,Never,0.02746,290,9951,0.02424,0.03067
1995,Direct migration background,Daily,0.06862,238,2771,0.05921,0.07804
1995,Direct migration background,At least once per week,0.42444,1422,2771,0.40603,0.44285
1995,Direct migration background,At least once per month,0.26352,684,2771,0.24712,0.27993
1995,Direct migration background,Seldom,0.14165,347,2771,0.12867,0.15464
1995,Direct migration background,Never,0.03806,80,2771,0.03093,0.04518
1995,Indirect migration background,Daily,0.07285,117,495,0.04993,0.09577
1995,Indirect migration background,At least once per week,0.16864,280,495,0.13562,0.20166
1995,Indirect migration background,At least once per month,0.04490,67,495,0.02664,0.06316
1995,Indirect migration background,Seldom,0.02506,31,495,0.01127,0.03884
1998,No migration background,Daily,0.04347,595,11185,0.03969,0.04725
1998,No migration background,At least once per week,0.33727,4444,11185,0.32851,0.34603
1998,No migration background,At least once per month,0.25041,3483,11185,0.24238,0.25844
1998,No migration background,Seldom,0.18250,2437,11185,0.17534,0.18966
1998,No migration background,Never,0.01924,226,11185,0.01670,0.02179
1998,Direct migration background,Daily,0.07127,227,2392,0.06096,0.08159
1998,Direct migration background,At least once per week,0.43542,1199,2392,0.41554,0.45529
1998,Direct migration background,At least once per month,0.24535,581,2392,0.22810,0.26260
1998,Direct migration background,Seldom,0.16235,338,2392,0.14757,0.17713
1998,Direct migration background,Never,0.02816,47,2392,0.02153,0.03479
1998,Indirect migration background,Daily,0.10353,153,592,0.07897,0.12809
1998,Indirect migration background,At least once per week,0.20364,321,592,0.17118,0.23611
1998,Indirect migration background,At least once per month,0.05063,87,592,0.03295,0.06830
1998,Indirect migration background,Seldom,0.02745,31,592,0.01427,0.04062
2003,No migration background,Daily,0.03546,821,18701,0.03281,0.03811
2003,No migration background,At least once per week,0.34191,7489,18701,0.33511,0.34871
2003,No migration background,At least once per month,0.26536,6195,18701,0.25904,0.27169
2003,No migration background,Seldom,0.17598,3682,18701,0.17053,0.18144
2003,No migration background,Never,0.02860,514,18701,0.02621,0.03099
2003,Direct migration background,Daily,0.05013,129,2608,0.04175,0.05851
2003,Direct migration background,At least once per week,0.42999,1218,2608,0.41098,0.44899
2003,Direct migration background,At least once per month,0.26195,743,2608,0.24507,0.27883
2003,Direct migration background,Seldom,0.16747,421,2608,0.15313,0.18180
2003,Direct migration background,Never,0.03565,97,2608,0.02853,0.04277
2003,Indirect migration background,Daily,0.04889,103,760,0.03355,0.06423
2003,Indirect migration background,At least once per week,0.21143,446,760,0.18238,0.24048
2003,Indirect migration background,At least once per month,0.07269,140,760,0.05422,0.09116
2003,Indirect migration background,Seldom,0.04532,71,760,0.03052,0.06011
2008,No migration background,Daily,0.03406,584,16578,0.03129,0.03682
2008,No migration background,At least once per week,0.32145,6206,16578,0.31434,0.32856
2008,No migration background,At least once per month,0.27343,5650,16578,0.26665,0.28022
2008,No migration background,Seldom,0.19331,3665,16578,0.18730,0.19932
2008,No migration background,Never,0.02916,473,16578,0.02660,0.03172
2008,Direct migration background,Daily,0.04320,85,1899,0.03405,0.05235
2008,Direct migration background,At least once per week,0.41652,823,1899,0.39434,0.43870
2008,Direct migration background,At least once per month,0.30206,586,1899,0.28140,0.32271
2008,Direct migration background,Seldom,0.18996,355,1899,0.17232,0.20761
2008,Direct migration background,Never,0.02301,50,1899,0.01627,0.02976
2008,Indirect migration background,Daily,0.04500,79,745,0.03010,0.05989
2008,Indirect migration background,At least once per week,0.28245,438,745,0.25010,0.31480
2008,Indirect migration background,At least once per month,0.08448,142,745,0.06449,0.10446
2008,Indirect migration background,Seldom,0.06586,86,745,0.04804,0.08369
2013,No migration background,Daily,0.03128,847,21527,0.02896,0.03361
2013,No migration background,At least once per week,0.30672,8148,21527,0.30056,0.31288
2013,No migration background,At least once per month,0.27941,7210,21527,0.27342,0.28541
2013,No migration background,Seldom,0.19083,4566,21527,0.18558,0.19608
2013,No migration background,Never,0.03363,756,21527,0.03122,0.03604
2013,Direct migration background,Daily,0.01739,107,2755,0.01250,0.02227
