year,age_gr,pgisced97,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Pre-primary Level,Daily,0.17473,39,121,0.10679,0.24267
1990,17-29 y.,Pre-primary Level,At least once per week,0.49906,82,121,0.40960,0.58852
1990,17-29 y.,Primary Level,At least once per week,0.54277,72,72,0.42689,0.65865
1990,17-29 y.,Lower Secondary Level,Daily,0.14787,141,778,0.12291,0.17283
1990,17-29 y.,Lower Secondary Level,At least once per week,0.45748,442,778,0.42245,0.49251
1990,17-29 y.,Lower Secondary Level,At least once per month,0.15536,119,778,0.12989,0.18083
1990,17-29 y.,Lower Secondary Level,Seldom,0.08382,76,778,0.06434,0.10331
1990,17-29 y.,Upper Secondary Level,Daily,0.05590,116,1255,0.04318,0.06861
1990,17-29 y.,Upper Secondary Level,At least once per week,0.44296,740,1255,0.41546,0.47045
1990,17-29 y.,Upper Secondary Level,At least once per month,0.15382,252,1255,0.13385,0.17378
1990,17-29 y.,Upper Secondary Level,Seldom,0.09358,147,1255,0.07746,0.10970
1990,17-29 y.,Post-secondary Non-tertiary Level,At least once per week,0.46088,69,69,0.34240,0.57936
1990,17-29 y.,First Stage of Tertiary Education,At least once per week,0.60002,49,49,0.46142,0.73861
1990,17-29 y.,Second Stage of Tertiary Education,At least once per week,0.29507,44,44,0.15875,0.43139
1990,30-45 y.,Primary Level,At least once per week,0.46351,102,176,0.38962,0.53739
1990,30-45 y.,Primary Level,At least once per month,0.21646,43,176,0.15544,0.27748
1990,30-45 y.,Primary Level,Seldom,0.18714,31,176,0.12935,0.24492
1990,30-45 y.,Lower Secondary Level,Daily,0.05370,37,474,0.03339,0.07402
1990,30-45 y.,Lower Secondary Level,At least once per week,0.37902,219,474,0.33530,0.42275
1990,30-45 y.,Lower Secondary Level,At least once per month,0.28431,137,474,0.24365,0.32496
1990,30-45 y.,Lower Secondary Level,Seldom,0.20396,81,474,0.16764,0.24027
1990,30-45 y.,Upper Secondary Level,Daily,0.02454,47,1405,0.01645,0.03263
1990,30-45 y.,Upper Secondary Level,At least once per week,0.30602,579,1405,0.28191,0.33012
1990,30-45 y.,Upper Secondary Level,At least once per month,0.29435,509,1405,0.27051,0.31819
1990,30-45 y.,Upper Secondary Level,Seldom,0.16356,270,1405,0.14422,0.18291
1990,30-45 y.,Post-secondary Non-tertiary Level,At least once per week,0.47451,52,52,0.33746,0.61156
1990,30-45 y.,First Stage of Tertiary Education,At least once per week,0.33661,80,195,0.27012,0.40311
1990,30-45 y.,First Stage of Tertiary Education,At least once per month,0.30176,77,195,0.23717,0.36636
1990,30-45 y.,First Stage of Tertiary Education,Seldom,0.16962,38,195,0.11680,0.22243
1990,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.34940,170,318,0.29691,0.40189
1990,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.20119,107,318,0.15706,0.24532
1990,30-45 y.,Second Stage of Tertiary Education,Seldom,0.07416,41,318,0.04531,0.10300
1990,46-65 y.,Primary Level,Daily,0.12137,37,289,0.08366,0.15909
1990,46-65 y.,Primary Level,At least once per week,0.47506,162,289,0.41739,0.53274
1990,46-65 y.,Primary Level,At least once per month,0.20864,59,289,0.16171,0.25557
1990,46-65 y.,Primary Level,Seldom,0.11090,31,289,0.07464,0.14717
1990,46-65 y.,Lower Secondary Level,At least once per week,0.24970,268,737,0.21843,0.28097
1990,46-65 y.,Lower Secondary Level,At least once per month,0.29884,239,737,0.26577,0.33191
1990,46-65 y.,Lower Secondary Level,Seldom,0.29528,230,737,0.26232,0.32824
1990,46-65 y.,Upper Secondary Level,Daily,0.01508,38,1355,0.00859,0.02157
1990,46-65 y.,Upper Secondary Level,At least once per week,0.23029,414,1355,0.20787,0.25272
1990,46-65 y.,Upper Secondary Level,At least once per month,0.28488,482,1355,0.26083,0.30892
1990,46-65 y.,Upper Secondary Level,Seldom,0.23552,379,1355,0.21292,0.25812
1990,46-65 y.,Upper Secondary Level,Never,0.02612,42,1355,0.01762,0.03462
1990,46-65 y.,First Stage of Tertiary Education,At least once per week,0.19654,42,151,0.13295,0.26014
1990,46-65 y.,First Stage of Tertiary Education,At least once per month,0.28382,56,151,0.21167,0.35597
1990,46-65 y.,First Stage of Tertiary Education,Seldom,0.25984,53,151,0.18965,0.33002
1990,46-65 y.,Second Stage of Tertiary Education,At least once per week,0.16961,67,220,0.11991,0.21932
