year,age_gr,regtyp,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Urban regions,Daily,0.09434,279,2109,0.08186,0.10681
1990,17-29 y.,Urban regions,At least once per week,0.53131,1263,2109,0.51001,0.55262
1990,17-29 y.,Urban regions,At least once per month,0.16784,362,2109,0.15189,0.18379
1990,17-29 y.,Urban regions,Seldom,0.08898,205,2109,0.07683,0.10113
1990,17-29 y.,Rural regions,Daily,0.06172,58,563,0.04183,0.08162
1990,17-29 y.,Rural regions,At least once per week,0.28912,291,563,0.25163,0.32660
1990,17-29 y.,Rural regions,At least once per month,0.13716,133,563,0.10872,0.16561
1990,17-29 y.,Rural regions,Seldom,0.08637,81,563,0.06314,0.10959
1990,30-45 y.,Urban regions,Daily,0.03386,99,2238,0.02636,0.04135
1990,30-45 y.,Urban regions,At least once per week,0.38988,1008,2238,0.36967,0.41009
1990,30-45 y.,Urban regions,At least once per month,0.30565,724,2238,0.28656,0.32474
1990,30-45 y.,Urban regions,Seldom,0.15948,372,2238,0.14431,0.17465
1990,30-45 y.,Urban regions,Never,0.01071,35,2238,0.00644,0.01497
1990,30-45 y.,Rural regions,At least once per week,0.20077,208,513,0.16607,0.23547
1990,30-45 y.,Rural regions,At least once per month,0.20565,192,513,0.17064,0.24066
1990,30-45 y.,Rural regions,Seldom,0.13542,113,513,0.10578,0.16506
1990,46-65 y.,Urban regions,Daily,0.02260,98,2313,0.01654,0.02866
1990,46-65 y.,Urban regions,At least once per week,0.26428,821,2313,0.24630,0.28225
1990,46-65 y.,Urban regions,At least once per month,0.31207,724,2313,0.29318,0.33096
1990,46-65 y.,Urban regions,Seldom,0.26470,589,2313,0.24672,0.28269
1990,46-65 y.,Urban regions,Never,0.03337,81,2313,0.02605,0.04069
1990,46-65 y.,Rural regions,At least once per week,0.15910,162,564,0.12889,0.18931
1990,46-65 y.,Rural regions,At least once per month,0.23800,230,564,0.20282,0.27317
1990,46-65 y.,Rural regions,Seldom,0.17882,172,564,0.14716,0.21047
1990,66 and older,Urban regions,Daily,0.04774,37,782,0.03279,0.06270
1990,66 and older,Urban regions,At least once per week,0.32150,256,782,0.28874,0.35425
