year,regtyp,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,Daily,0.03886,513,7466,0.03448,0.04325
1990,Urban regions,At least once per week,0.30824,3348,7466,0.29776,0.31871
1990,Urban regions,At least once per month,0.22033,2038,7466,0.21093,0.22973
1990,Urban regions,Seldom,0.15608,1368,7466,0.14785,0.16431
1990,Urban regions,Never,0.02232,199,7466,0.01897,0.02567
1990,Rural regions,Daily,0.02050,102,1964,0.01423,0.02677
1990,Rural regions,At least once per week,0.16738,736,1964,0.15087,0.18390
1990,Rural regions,At least once per month,0.15719,626,1964,0.14109,0.17329
1990,Rural regions,Seldom,0.12079,449,1964,0.10638,0.13521
1990,Rural regions,Never,0.01521,51,1964,0.00980,0.02062
1995,Urban regions,Daily,0.05017,608,8681,0.04558,0.05476
1995,Urban regions,At least once per week,0.33914,3832,8681,0.32918,0.34910
1995,Urban regions,At least once per month,0.24933,2512,8681,0.24023,0.25844
1995,Urban regions,Seldom,0.15586,1492,8681,0.14823,0.16349
1995,Urban regions,Never,0.02741,237,8681,0.02397,0.03084
1995,Rural regions,Daily,0.04452,256,4541,0.03852,0.05052
1995,Rural regions,At least once per week,0.29485,1626,4541,0.28159,0.30811
1995,Rural regions,At least once per month,0.23970,1373,4541,0.22728,0.25211
1995,Rural regions,Seldom,0.19854,1148,4541,0.18694,0.21014
1995,Rural regions,Never,0.02806,138,4541,0.02326,0.03287
1998,Urban regions,Daily,0.05651,711,9228,0.05180,0.06122
1998,Urban regions,At least once per week,0.35784,4116,9228,0.34806,0.36762
1998,Urban regions,At least once per month,0.23620,2633,9228,0.22753,0.24487
1998,Urban regions,Seldom,0.15622,1592,9228,0.14881,0.16363
1998,Urban regions,Never,0.01910,176,9228,0.01631,0.02190
1998,Rural regions,Daily,0.03621,264,4945,0.03100,0.04142
1998,Rural regions,At least once per week,0.30589,1848,4945,0.29305,0.31874
1998,Rural regions,At least once per month,0.24411,1518,4945,0.23213,0.25608
1998,Rural regions,Seldom,0.20441,1214,4945,0.19317,0.21565
1998,Rural regions,Never,0.02006,101,4945,0.01615,0.02397
2003,Urban regions,Daily,0.03860,716,14678,0.03548,0.04171
2003,Urban regions,At least once per week,0.35116,6312,14678,0.34344,0.35888
2003,Urban regions,At least once per month,0.25236,4724,14678,0.24533,0.25938
2003,Urban regions,Seldom,0.15721,2523,14678,0.15133,0.16310
2003,Urban regions,Never,0.02804,403,14678,0.02537,0.03072
2003,Rural regions,Daily,0.03666,337,7403,0.03238,0.04094
2003,Rural regions,At least once per week,0.32683,2841,7403,0.31614,0.33752
2003,Rural regions,At least once per month,0.25296,2354,7403,0.24306,0.26287
2003,Rural regions,Seldom,0.18679,1651,7403,0.17792,0.19567
2003,Rural regions,Never,0.02893,220,7403,0.02511,0.03275
2008,Urban regions,Daily,0.03556,493,12610,0.03232,0.03879
2008,Urban regions,At least once per week,0.33827,5122,12610,0.33001,0.34653
2008,Urban regions,At least once per month,0.26168,4170,12610,0.25400,0.26935
2008,Urban regions,Seldom,0.17179,2498,12610,0.16521,0.17837
2008,Urban regions,Never,0.02623,327,12610,0.02344,0.02902
2008,Rural regions,Daily,0.03670,255,6627,0.03218,0.04123
2008,Rural regions,At least once per week,0.30854,2345,6627,0.29742,0.31966
2008,Rural regions,At least once per month,0.26157,2208,6627,0.25098,0.27215
2008,Rural regions,Seldom,0.20655,1608,6627,0.19680,0.21630
2008,Rural regions,Never,0.02928,211,6627,0.02522,0.03334
2013,Urban regions,Daily,0.02744,672,16123,0.02492,0.02996
2013,Urban regions,At least once per week,0.28650,6499,16123,0.27952,0.29348
2013,Urban regions,At least once per month,0.24275,5290,16123,0.23613,0.24937
2013,Urban regions,Seldom,0.16039,3187,16123,0.15472,0.16605
2013,Urban regions,Never,0.02559,475,16123,0.02315,0.02803
2013,Rural regions,Daily,0.03144,396,9285,0.02789,0.03499
2013,Rural regions,At least once per week,0.26935,3306,9285,0.26032,0.27837
2013,Rural regions,At least once per month,0.26214,3071,9285,0.25320,0.27109
2013,Rural regions,Seldom,0.19202,2107,9285,0.18400,0.20003
2013,Rural regions,Never,0.03910,405,9285,0.03516,0.04305
2019,Urban regions,Daily,0.03144,648,16305,0.02876,0.03412
2019,Urban regions,At least once per week,0.30871,6127,16305,0.30162,0.31580
2019,Urban regions,At least once per month,0.28152,5567,16305,0.27461,0.28842
2019,Urban regions,Seldom,0.16596,3338,16305,0.16025,0.17167
2019,Urban regions,Never,0.03834,625,16305,0.03540,0.04129
2019,Rural regions,Daily,0.02805,321,8786,0.02460,0.03150
2019,Rural regions,At least once per week,0.29014,3013,8786,0.28065,0.29963
2019,Rural regions,At least once per month,0.26273,2973,8786,0.25352,0.27193
2019,Rural regions,Seldom,0.21068,2063,8786,0.20216,0.21921
2019,Rural regions,Never,0.03962,416,8786,0.03554,0.04370
2021,Urban regions,Daily,0.04506,579,11388,0.04125,0.04888
2021,Urban regions,At least once per week,0.35858,5119,11388,0.34977,0.36739
2021,Urban regions,At least once per month,0.21872,3192,11388,0.21113,0.22631
2021,Urban regions,Seldom,0.15626,2061,11388,0.14959,0.16293
2021,Urban regions,Never,0.03865,437,11388,0.03511,0.04219
2021,Rural regions,Daily,0.05004,359,5801,0.04443,0.05565
2021,Rural regions,At least once per week,0.36699,2535,5801,0.35459,0.37940
2021,Rural regions,At least once per month,0.20916,1535,5801,0.19870,0.21963
2021,Rural regions,Seldom,0.16817,1148,5801,0.15854,0.17779
2021,Rural regions,Never,0.03637,224,5801,0.03155,0.04118
