year,quintil_oecd,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,Daily,0.06577,181,1882,0.05457,0.07698
1990,1st Quintile,At least once per week,0.29408,834,1882,0.27349,0.31467
1990,1st Quintile,At least once per month,0.19849,432,1882,0.18047,0.21652
1990,1st Quintile,Seldom,0.17588,356,1882,0.15867,0.19308
1990,1st Quintile,Never,0.04159,79,1882,0.03257,0.05061
1990,2nd Quintile,Daily,0.04223,139,1882,0.03314,0.05132
1990,2nd Quintile,At least once per week,0.30682,825,1882,0.28598,0.32766
1990,2nd Quintile,At least once per month,0.23779,528,1882,0.21855,0.25703
1990,2nd Quintile,Seldom,0.16315,333,1882,0.14645,0.17985
1990,2nd Quintile,Never,0.02616,57,1882,0.01895,0.03337
1990,3rd Quintile,Daily,0.04147,121,1905,0.03251,0.05042
1990,3rd Quintile,At least once per week,0.31900,819,1905,0.29806,0.33994
1990,3rd Quintile,At least once per month,0.25159,554,1905,0.23210,0.27108
1990,3rd Quintile,Seldom,0.17342,353,1905,0.15642,0.19043
1990,3rd Quintile,Never,0.03186,58,1905,0.02397,0.03975
1990,4th Quintile,Daily,0.02978,97,1934,0.02221,0.03736
1990,4th Quintile,At least once per week,0.36681,829,1934,0.34533,0.38830
1990,4th Quintile,At least once per month,0.26794,563,1934,0.24820,0.28769
1990,4th Quintile,Seldom,0.21126,414,1934,0.19306,0.22945
1990,4th Quintile,Never,0.01221,31,1934,0.00731,0.01710
1990,5th Quintile,Daily,0.02830,77,1799,0.02064,0.03597
1990,5th Quintile,At least once per week,0.36916,777,1799,0.34685,0.39146
1990,5th Quintile,At least once per month,0.30281,587,1799,0.28158,0.32405
1990,5th Quintile,Seldom,0.18574,358,1799,0.16777,0.20372
1995,1st Quintile,Daily,0.06488,237,2533,0.05529,0.07447
1995,1st Quintile,At least once per week,0.30342,1085,2533,0.28551,0.32132
1995,1st Quintile,At least once per month,0.18765,628,2533,0.17244,0.20286
1995,1st Quintile,Seldom,0.14806,468,2533,0.13423,0.16190
1995,1st Quintile,Never,0.04106,115,2533,0.03333,0.04879
