year,age_gr,migback,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,Daily,0.07407,169,1739,0.06176,0.08638
1990,17-29 y.,No migration background,At least once per week,0.44114,1001,1739,0.41780,0.46449
1990,17-29 y.,No migration background,At least once per month,0.15910,363,1739,0.14190,0.17629
1990,17-29 y.,No migration background,Seldom,0.08470,206,1739,0.07161,0.09779
1990,17-29 y.,Direct migration background,Daily,0.14860,109,682,0.12189,0.17532
1990,17-29 y.,Direct migration background,At least once per week,0.54918,414,682,0.51181,0.58655
1990,17-29 y.,Direct migration background,At least once per month,0.14706,100,682,0.12046,0.17366
1990,17-29 y.,Direct migration background,Seldom,0.11556,59,682,0.09154,0.13957
1990,17-29 y.,Indirect migration background,Daily,0.20421,59,230,0.15199,0.25642
1990,17-29 y.,Indirect migration background,At least once per week,0.50989,139,230,0.44515,0.57464
1990,17-29 y.,Indirect migration background,At least once per month,0.13234,32,230,0.08845,0.17623
1990,30-45 y.,No migration background,Daily,0.02494,55,1899,0.01792,0.03195
1990,30-45 y.,No migration background,At least once per week,0.31567,768,1899,0.29476,0.33658
1990,30-45 y.,No migration background,At least once per month,0.27582,691,1899,0.25572,0.29593
1990,30-45 y.,No migration background,Seldom,0.15393,385,1899,0.13769,0.17016
1990,30-45 y.,Direct migration background,Daily,0.06858,67,821,0.05128,0.08588
1990,30-45 y.,Direct migration background,At least once per week,0.46300,437,821,0.42887,0.49713
1990,30-45 y.,Direct migration background,At least once per month,0.27144,221,821,0.24101,0.30188
1990,30-45 y.,Direct migration background,Seldom,0.13055,96,821,0.10749,0.15360
1990,46-65 y.,No migration background,Daily,0.01408,34,1989,0.00890,0.01926
1990,46-65 y.,No migration background,At least once per week,0.21691,541,1989,0.19879,0.23503
1990,46-65 y.,No migration background,At least once per month,0.28987,741,1989,0.26992,0.30981
1990,46-65 y.,No migration background,Seldom,0.23879,613,1989,0.22005,0.25753
1990,46-65 y.,No migration background,Never,0.02526,60,1989,0.01836,0.03216
1990,46-65 y.,Direct migration background,Daily,0.05344,79,875,0.03853,0.06835
1990,46-65 y.,Direct migration background,At least once per week,0.31547,437,875,0.28466,0.34627
1990,46-65 y.,Direct migration background,At least once per month,0.27719,213,875,0.24752,0.30687
1990,46-65 y.,Direct migration background,Seldom,0.22561,146,875,0.19790,0.25332
1990,66 and older,No migration background,Daily,0.03570,39,952,0.02391,0.04749
1990,66 and older,No migration background,At least once per week,0.27849,302,952,0.25000,0.30698
1990,66 and older,No migration background,At least once per month,0.22360,275,952,0.19712,0.25008
1990,66 and older,No migration background,Seldom,0.22391,270,952,0.19741,0.25040
1990,66 and older,No migration background,Never,0.05790,66,952,0.04306,0.07275
1995,17-29 y.,No migration background,Daily,0.12653,280,2273,0.11286,0.14020
1995,17-29 y.,No migration background,At least once per week,0.54644,1251,2273,0.52597,0.56691
1995,17-29 y.,No migration background,At least once per month,0.21402,499,2273,0.19716,0.23089
1995,17-29 y.,No migration background,Seldom,0.09639,243,2273,0.08425,0.10852
1995,17-29 y.,Direct migration background,Daily,0.16616,90,591,0.13613,0.19620
1995,17-29 y.,Direct migration background,At least once per week,0.54179,363,591,0.50159,0.58200
1995,17-29 y.,Direct migration background,At least once per month,0.20571,98,591,0.17310,0.23833
1995,17-29 y.,Direct migration background,Seldom,0.05579,40,591,0.03727,0.07431
1995,17-29 y.,Indirect migration background,Daily,0.27863,115,415,0.23545,0.32182
1995,17-29 y.,Indirect migration background,At least once per week,0.53167,247,415,0.48360,0.57974
1995,17-29 y.,Indirect migration background,At least once per month,0.11549,53,415,0.08470,0.14627
1995,30-45 y.,No migration background,Daily,0.04003,105,3455,0.03350,0.04657
1995,30-45 y.,No migration background,At least once per week,0.39876,1256,3455,0.38243,0.41509
1995,30-45 y.,No migration background,At least once per month,0.34354,1241,3455,0.32770,0.35937
1995,30-45 y.,No migration background,Seldom,0.19635,789,3455,0.18310,0.20959
1995,30-45 y.,No migration background,Never,0.01600,64,3455,0.01181,0.02018
1995,30-45 y.,Direct migration background,Daily,0.03821,52,898,0.02566,0.05076
1995,30-45 y.,Direct migration background,At least once per week,0.49305,482,898,0.46033,0.52577
1995,30-45 y.,Direct migration background,At least once per month,0.31042,254,898,0.28014,0.34070
1995,30-45 y.,Direct migration background,Seldom,0.12704,110,898,0.10525,0.14883
1995,46-65 y.,No migration background,Daily,0.02223,57,2903,0.01686,0.02759
