year,sex,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,Daily,0.03450,336,4652,0.02926,0.03975
1990,male,At least once per week,0.24898,1946,4652,0.23655,0.26141
1990,male,At least once per month,0.19940,1321,4652,0.18791,0.21088
1990,male,Seldom,0.15221,930,4652,0.14189,0.16253
1990,male,Never,0.01769,119,4652,0.01390,0.02148
1990,female,Daily,0.03141,279,4778,0.02646,0.03636
1990,female,At least once per week,0.27518,2138,4778,0.26252,0.28785
1990,female,At least once per month,0.19964,1343,4778,0.18831,0.21098
1990,female,Seldom,0.13693,887,4778,0.12718,0.14668
1990,female,Never,0.02214,131,4778,0.01796,0.02631
1995,male,Daily,0.04701,436,6381,0.04182,0.05221
1995,male,At least once per week,0.30297,2536,6381,0.29169,0.31425
1995,male,At least once per month,0.24863,1894,6381,0.23802,0.25924
1995,male,Seldom,0.17951,1345,6381,0.17009,0.18893
1995,male,Never,0.02706,170,6381,0.02308,0.03105
1995,female,Daily,0.04964,428,6841,0.04449,0.05479
1995,female,At least once per week,0.34588,2922,6841,0.33461,0.35715
1995,female,At least once per month,0.24398,1991,6841,0.23380,0.25416
1995,female,Seldom,0.16004,1295,6841,0.15135,0.16873
1995,female,Never,0.02814,205,6841,0.02422,0.03206
1998,male,Daily,0.05191,497,6859,0.04666,0.05716
1998,male,At least once per week,0.32480,2800,6859,0.31372,0.33589
1998,male,At least once per month,0.24018,2034,6859,0.23007,0.25029
1998,male,Seldom,0.17778,1410,6859,0.16873,0.18683
1998,male,Never,0.01772,118,6859,0.01460,0.02085
1998,female,Daily,0.04831,478,7314,0.04340,0.05323
1998,female,At least once per week,0.35718,3164,7314,0.34619,0.36816
1998,female,At least once per month,0.23730,2117,7314,0.22755,0.24705
1998,female,Seldom,0.16552,1396,7314,0.15700,0.17404
1998,female,Never,0.02102,159,7314,0.01773,0.02431
2003,male,Daily,0.03616,502,10637,0.03261,0.03971
2003,male,At least once per week,0.33132,4216,10637,0.32237,0.34026
2003,male,At least once per month,0.25127,3459,10637,0.24303,0.25952
2003,male,Seldom,0.17728,2169,10637,0.17002,0.18454
2003,male,Never,0.02544,291,10637,0.02245,0.02844
2003,female,Daily,0.03974,551,11444,0.03616,0.04332
2003,female,At least once per week,0.35512,4937,11444,0.34635,0.36389
2003,female,At least once per month,0.25377,3619,11444,0.24580,0.26175
2003,female,Seldom,0.15631,2005,11444,0.14965,0.16296
2003,female,Never,0.03110,332,11444,0.02792,0.03428
2008,male,Daily,0.03411,341,9170,0.03039,0.03782
2008,male,At least once per week,0.31531,3387,9170,0.30580,0.32482
2008,male,At least once per month,0.25890,3069,9170,0.24993,0.26787
2008,male,Seldom,0.19274,2102,9170,0.18466,0.20081
2008,male,Never,0.02742,271,9170,0.02408,0.03076
2008,female,Daily,0.03767,407,10067,0.03395,0.04139
2008,female,At least once per week,0.34179,4080,10067,0.33253,0.35106
2008,female,At least once per month,0.26428,3309,10067,0.25567,0.27290
2008,female,Seldom,0.17336,2004,10067,0.16596,0.18075
2008,female,Never,0.02700,267,10067,0.02383,0.03016
2013,male,Daily,0.02886,452,11499,0.02580,0.03192
2013,male,At least once per week,0.26660,4111,11499,0.25852,0.27469
2013,male,At least once per month,0.24433,3824,11499,0.23647,0.25218
2013,male,Seldom,0.18006,2694,11499,0.17304,0.18708
2013,male,Never,0.02880,418,11499,0.02574,0.03185
2013,female,Daily,0.02863,616,13909,0.02586,0.03141
2013,female,At least once per week,0.29470,5694,13909,0.28712,0.30228
2013,female,At least once per month,0.25365,4537,13909,0.24642,0.26088
2013,female,Seldom,0.16168,2600,13909,0.15556,0.16780
2013,female,Never,0.03115,462,13909,0.02826,0.03404
2019,male,Daily,0.02877,456,12241,0.02581,0.03173
2019,male,At least once per week,0.28856,4253,12241,0.28054,0.29659
2019,male,At least once per month,0.26965,4154,12241,0.26179,0.27751
2019,male,Seldom,0.19413,2851,12241,0.18712,0.20114
2019,male,Never,0.03825,527,12241,0.03485,0.04164
2019,female,Daily,0.03322,553,13397,0.03019,0.03626
2019,female,At least once per week,0.31946,5131,13397,0.31156,0.32735
2019,female,At least once per month,0.28054,4548,13397,0.27293,0.28815
2019,female,Seldom,0.16440,2624,13397,0.15813,0.17068
2019,female,Never,0.03918,541,13397,0.03590,0.04247
2021,male,Daily,0.04579,430,8083,0.04124,0.05035
2021,male,At least once per week,0.36162,3555,8083,0.35115,0.37210
2021,male,At least once per month,0.20940,2243,8083,0.20053,0.21827
2021,male,Seldom,0.16443,1563,8083,0.15634,0.17251
2021,male,Never,0.03062,292,8083,0.02686,0.03438
2021,female,Daily,0.04750,508,9100,0.04313,0.05187
2021,female,At least once per week,0.36132,4098,9100,0.35145,0.37119
2021,female,At least once per month,0.22166,2481,9100,0.21312,0.23019
2021,female,Seldom,0.15557,1644,9100,0.14812,0.16302
2021,female,Never,0.04510,369,9100,0.04084,0.04936
