year,sampreg,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,Daily,0.04150,615,9430,0.03748,0.04553
1990,West,At least once per week,0.33106,4084,9430,0.32156,0.34056
1990,West,At least once per month,0.25164,2664,9430,0.24288,0.26040
1990,West,Seldom,0.18203,1817,9430,0.17424,0.18981
1990,West,Never,0.02520,250,9430,0.02204,0.02837
1995,West,Daily,0.04854,664,9550,0.04423,0.05285
1995,West,At least once per week,0.34165,4357,9550,0.33213,0.35116
1995,West,At least once per month,0.24651,2731,9550,0.23786,0.25515
1995,West,Seldom,0.15469,1564,9550,0.14743,0.16194
1995,West,Never,0.02439,234,9550,0.02130,0.02749
1995,East,Daily,0.04761,200,3672,0.04072,0.05450
1995,East,At least once per week,0.25518,1101,3672,0.24108,0.26928
1995,East,At least once per month,0.24516,1154,3672,0.23125,0.25908
1995,East,Seldom,0.23160,1076,3672,0.21795,0.24524
1995,East,Never,0.04110,141,3672,0.03467,0.04752
1998,West,Daily,0.05144,759,10321,0.04718,0.05570
1998,West,At least once per week,0.35634,4727,10321,0.34710,0.36558
1998,West,At least once per month,0.23182,2902,10321,0.22368,0.23997
1998,West,Seldom,0.15973,1744,10321,0.15266,0.16680
1998,West,Never,0.01847,189,10321,0.01587,0.02107
1998,East,Daily,0.04420,216,3852,0.03771,0.05069
1998,East,At least once per week,0.27728,1237,3852,0.26314,0.29142
1998,East,At least once per month,0.26815,1249,3852,0.25416,0.28214
1998,East,Seldom,0.22189,1062,3852,0.20877,0.23502
1998,East,Never,0.02342,88,3852,0.01864,0.02820
2003,West,Daily,0.03788,810,16755,0.03499,0.04077
2003,West,At least once per week,0.35449,7362,16755,0.34725,0.36174
2003,West,At least once per month,0.24482,5261,16755,0.23830,0.25133
2003,West,Seldom,0.15705,2862,16755,0.15154,0.16256
2003,West,Never,0.02702,460,16755,0.02456,0.02947
2003,East,Daily,0.03845,243,5326,0.03329,0.04362
2003,East,At least once per week,0.29350,1791,5326,0.28127,0.30573
2003,East,At least once per month,0.28752,1817,5326,0.27537,0.29968
2003,East,Seldom,0.20976,1312,5326,0.19883,0.22070
2003,East,Never,0.03424,163,5326,0.02935,0.03912
2008,West,Daily,0.03487,561,14486,0.03188,0.03785
2008,West,At least once per week,0.33696,5936,14486,0.32926,0.34466
2008,West,At least once per month,0.25577,4694,14486,0.24866,0.26287
2008,West,Seldom,0.17546,2912,14486,0.16926,0.18165
2008,West,Never,0.02555,383,14486,0.02298,0.02812
2008,East,Daily,0.04078,187,4751,0.03515,0.04640
2008,East,At least once per week,0.29120,1531,4751,0.27828,0.30412
2008,East,At least once per month,0.28867,1684,4751,0.27579,0.30156
2008,East,Seldom,0.21700,1194,4751,0.20527,0.22872
2008,East,Never,0.03481,155,4751,0.02960,0.04002
2013,West,Daily,0.02923,867,19722,0.02688,0.03158
2013,West,At least once per week,0.28936,8071,19722,0.28303,0.29569
2013,West,At least once per month,0.23791,6337,19722,0.23197,0.24385
2013,West,Seldom,0.16029,3873,19722,0.15517,0.16542
2013,West,Never,0.02678,574,19722,0.02453,0.02904
2013,East,Daily,0.02645,201,5686,0.02228,0.03062
2013,East,At least once per week,0.24104,1734,5686,0.22992,0.25216
2013,East,At least once per month,0.30170,2024,5686,0.28977,0.31363
2013,East,Seldom,0.21975,1421,5686,0.20899,0.23052
2013,East,Never,0.04514,306,5686,0.03975,0.05054
2019,West,Daily,0.02961,793,20037,0.02726,0.03195
2019,West,At least once per week,0.31395,7670,20037,0.30753,0.32038
2019,West,At least once per month,0.27467,6768,20037,0.26849,0.28085
2019,West,Seldom,0.17059,4028,20037,0.16538,0.17580
2019,West,Never,0.03687,778,20037,0.03426,0.03948
2019,East,Daily,0.03750,213,5532,0.03249,0.04250
2019,East,At least once per week,0.25545,1685,5532,0.24395,0.26694
2019,East,At least once per month,0.27643,1905,5532,0.26464,0.28821
2019,East,Seldom,0.22161,1441,5532,0.21066,0.23256
2019,East,Never,0.04792,288,5532,0.04229,0.05355
2021,West,Daily,0.04607,721,13571,0.04255,0.04960
2021,West,At least once per week,0.36382,6138,13571,0.35573,0.37192
2021,West,At least once per month,0.21248,3688,13571,0.20560,0.21936
2021,West,Seldom,0.15901,2493,13571,0.15285,0.16516
2021,West,Never,0.03843,531,13571,0.03520,0.04167
2021,East,Daily,0.04943,217,3619,0.04236,0.05649
2021,East,At least once per week,0.34950,1517,3619,0.33396,0.36503
2021,East,At least once per month,0.23106,1039,3619,0.21732,0.24479
2021,East,Seldom,0.16502,716,3619,0.15292,0.17711
2021,East,Never,0.03537,130,3619,0.02935,0.04139
