year,bula_h,sampreg,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,West,No,0.89511,127,127,0.84161,0.94861
1996,Hamburg,West,No,0.91444,72,72,0.84938,0.97950
1996,Lower Saxony,West,Yes,0.11086,60,531,0.08413,0.13759
1996,Lower Saxony,West,No,0.88914,471,531,0.86241,0.91587
1996,Bremen,West,No,0.91140,46,46,0.82837,0.99443
1996,North Rhine-Westphalia,West,Yes,0.10850,141,1289,0.09152,0.12549
1996,North Rhine-Westphalia,West,No,0.89150,1148,1289,0.87451,0.90848
1996,Hesse,West,Yes,0.12210,50,467,0.09237,0.15182
1996,Hesse,West,No,0.87790,417,467,0.84818,0.90763
1996,"Rhineland-Palatinate, Saarland",West,Yes,0.16409,58,347,0.12507,0.20312
1996,"Rhineland-Palatinate, Saarland",West,No,0.83591,289,347,0.79688,0.87493
1996,Baden-Wuerttemberg,West,Yes,0.11439,94,840,0.09285,0.13592
1996,Baden-Wuerttemberg,West,No,0.88561,746,840,0.86408,0.90715
1996,Bavaria,West,Yes,0.12385,119,861,0.10184,0.14587
1996,Bavaria,West,No,0.87615,742,861,0.85413,0.89816
1996,Berlin,West,Yes,0.19460,32,175,0.13578,0.25343
1996,Berlin,West,No,0.80540,143,175,0.74657,0.86422
1996,Berlin,East,No,0.90988,122,122,0.85885,0.96090
1996,Brandenburg,East,Yes,0.23192,72,300,0.18408,0.27977
1996,Brandenburg,East,No,0.76808,228,300,0.72023,0.81592
1996,Mecklenburg-Western Pomerania,East,Yes,0.22173,43,199,0.16387,0.27960
1996,Mecklenburg-Western Pomerania,East,No,0.77827,156,199,0.72040,0.83613
1996,Saxony,East,Yes,0.16677,101,548,0.13553,0.19801
1996,Saxony,East,No,0.83323,447,548,0.80199,0.86447
1996,Saxony-Anhalt,East,Yes,0.17496,59,330,0.13391,0.21602
1996,Saxony-Anhalt,East,No,0.82504,271,330,0.78398,0.86609
1996,Thuringa,East,Yes,0.16491,65,326,0.12457,0.20526
1996,Thuringa,East,No,0.83509,261,326,0.79474,0.87543
2001,Schleswig-Holstein,West,Yes,0.14087,56,363,0.10503,0.17671
2001,Schleswig-Holstein,West,No,0.85913,307,363,0.82329,0.89497
2001,Hamburg,West,No,0.89647,161,161,0.84927,0.94368
2001,Lower Saxony,West,Yes,0.14880,153,961,0.12629,0.17131
2001,Lower Saxony,West,No,0.85120,808,961,0.82869,0.87371
2001,Bremen,West,No,0.90413,85,85,0.84117,0.96709
2001,North Rhine-Westphalia,West,Yes,0.10598,285,2485,0.09387,0.11808
2001,North Rhine-Westphalia,West,No,0.89402,2200,2485,0.88192,0.90613
2001,Hesse,West,Yes,0.12209,104,779,0.09908,0.14509
2001,Hesse,West,No,0.87791,675,779,0.85491,0.90092
2001,"Rhineland-Palatinate, Saarland",West,Yes,0.16843,131,720,0.14108,0.19579
2001,"Rhineland-Palatinate, Saarland",West,No,0.83157,589,720,0.80421,0.85892
2001,Baden-Wuerttemberg,West,Yes,0.14520,200,1362,0.12648,0.16392
2001,Baden-Wuerttemberg,West,No,0.85480,1162,1362,0.83608,0.87352
2001,Bavaria,West,Yes,0.15750,295,1616,0.13973,0.17527
2001,Bavaria,West,No,0.84250,1321,1616,0.82473,0.86027
2001,Berlin,West,Yes,0.15083,38,271,0.10814,0.19351
2001,Berlin,West,No,0.84917,233,271,0.80649,0.89186
2001,Berlin,East,No,0.87625,184,184,0.82854,0.92396
2001,Brandenburg,East,Yes,0.27250,141,500,0.23344,0.31157
2001,Brandenburg,East,No,0.72750,359,500,0.68843,0.76656
2001,Mecklenburg-Western Pomerania,East,Yes,0.19234,59,285,0.14650,0.23818
2001,Mecklenburg-Western Pomerania,East,No,0.80766,226,285,0.76182,0.85350
2001,Saxony,East,Yes,0.20742,192,849,0.18013,0.23471
2001,Saxony,East,No,0.79258,657,849,0.76529,0.81987
2001,Saxony-Anhalt,East,Yes,0.21477,120,505,0.17891,0.25062
2001,Saxony-Anhalt,East,No,0.78523,385,505,0.74938,0.82109
2001,Thuringa,East,Yes,0.22832,126,494,0.19127,0.26538
2001,Thuringa,East,No,0.77168,368,494,0.73462,0.80873
2006,Schleswig-Holstein,West,Yes,0.18090,71,389,0.14260,0.21920
2006,Schleswig-Holstein,West,No,0.81910,318,389,0.78080,0.85740
2006,Hamburg,West,No,0.90878,175,175,0.86600,0.95156
2006,Lower Saxony,West,Yes,0.13940,166,1074,0.11867,0.16012
2006,Lower Saxony,West,No,0.86060,908,1074,0.83988,0.88133
2006,Bremen,West,No,0.89022,75,75,0.81899,0.96145
2006,North Rhine-Westphalia,West,Yes,0.11772,321,2538,0.10518,0.13026
2006,North Rhine-Westphalia,West,No,0.88228,2217,2538,0.86974,0.89482
2006,Hesse,West,Yes,0.13900,132,846,0.11568,0.16233
2006,Hesse,West,No,0.86100,714,846,0.83767,0.88432
2006,"Rhineland-Palatinate, Saarland",West,Yes,0.17401,136,727,0.14643,0.20159
2006,"Rhineland-Palatinate, Saarland",West,No,0.82599,591,727,0.79841,0.85357
2006,Baden-Wuerttemberg,West,Yes,0.13364,208,1473,0.11626,0.15102
2006,Baden-Wuerttemberg,West,No,0.86636,1265,1473,0.84898,0.88374
2006,Bavaria,West,Yes,0.16987,333,1730,0.15217,0.18757
2006,Bavaria,West,No,0.83013,1397,1730,0.81243,0.84783
2006,Berlin,West,Yes,0.10892,39,276,0.07210,0.14574
2006,Berlin,West,No,0.89108,237,276,0.85426,0.92790
2006,Berlin,East,No,0.90652,180,180,0.86388,0.94917
2006,Brandenburg,East,Yes,0.26605,144,532,0.22847,0.30364
2006,Brandenburg,East,No,0.73395,388,532,0.69636,0.77153
2006,Mecklenburg-Western Pomerania,East,Yes,0.17485,59,304,0.13208,0.21762
2006,Mecklenburg-Western Pomerania,East,No,0.82515,245,304,0.78238,0.86792
2006,Saxony,East,Yes,0.20685,191,877,0.18002,0.23367
2006,Saxony,East,No,0.79315,686,877,0.76633,0.81998
2006,Saxony-Anhalt,East,Yes,0.20468,120,492,0.16899,0.24037
2006,Saxony-Anhalt,East,No,0.79532,372,492,0.75963,0.83101
2006,Thuringa,East,Yes,0.16707,112,515,0.13482,0.19932
2006,Thuringa,East,No,0.83293,403,515,0.80068,0.86518
2011,Schleswig-Holstein,West,Yes,0.15112,74,406,0.11624,0.18601
2011,Schleswig-Holstein,West,No,0.76496,332,406,0.72366,0.80626
2011,Hamburg,West,No,0.83084,176,176,0.77530,0.88639
2011,Lower Saxony,West,Yes,0.12574,165,1087,0.10602,0.14546
2011,Lower Saxony,West,No,0.79583,922,1087,0.77186,0.81981
2011,Bremen,West,No,0.82432,71,71,0.73517,0.91347
2011,North Rhine-Westphalia,West,Yes,0.11723,319,2353,0.10423,0.13024
2011,North Rhine-Westphalia,West,No,0.80626,2034,2353,0.79029,0.82224
2011,Hesse,West,Yes,0.12670,137,830,0.10405,0.14934
2011,Hesse,West,No,0.79221,693,830,0.76459,0.81983
2011,"Rhineland-Palatinate, Saarland",West,Yes,0.14291,136,710,0.11715,0.16867
2011,"Rhineland-Palatinate, Saarland",West,No,0.78285,574,710,0.75250,0.81320
2011,Baden-Wuerttemberg,West,Yes,0.13087,225,1401,0.11320,0.14853
2011,Baden-Wuerttemberg,West,No,0.78816,1176,1401,0.76676,0.80956
2011,Bavaria,West,Yes,0.17174,371,1839,0.15450,0.18898
2011,Bavaria,West,No,0.75043,1468,1839,0.73065,0.77022
2011,Berlin,West,Yes,0.07647,33,290,0.04583,0.10711
2011,Berlin,West,No,0.86047,257,290,0.82052,0.90042
2011,Berlin,East,Yes,0.09225,38,223,0.05418,0.13032
2011,Berlin,East,No,0.83277,185,223,0.78368,0.88187
2011,Brandenburg,East,Yes,0.20482,127,518,0.17003,0.23961
2011,Brandenburg,East,No,0.71949,391,518,0.68076,0.75821
2011,Mecklenburg-Western Pomerania,East,Yes,0.15548,56,315,0.11540,0.19556
2011,Mecklenburg-Western Pomerania,East,No,0.76889,259,315,0.72226,0.81551
2011,Saxony,East,Yes,0.19743,172,808,0.16997,0.22490
2011,Saxony,East,No,0.73845,636,808,0.70813,0.76878
2011,Saxony-Anhalt,East,Yes,0.17307,111,509,0.14017,0.20597
2011,Saxony-Anhalt,East,No,0.75571,398,509,0.71835,0.79308
2011,Thuringa,East,Yes,0.19025,115,519,0.15645,0.22405
