year,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Yes,0.13072,945,6631,0.12260,0.13883
1996,No,0.86928,5686,6631,0.86117,0.87740
2001,Yes,0.14970,1960,11680,0.14323,0.15617
2001,No,0.85030,9720,11680,0.84383,0.85677
2006,Yes,0.15075,2094,12265,0.14442,0.15708
2006,No,0.84925,10171,12265,0.84292,0.85558
2011,Yes,0.14071,2108,12084,0.13451,0.14691
2011,No,0.78273,9976,12084,0.77538,0.79008
2016,Yes,0.15532,2599,14302,0.14939,0.16126
2016,No,0.83937,11703,14302,0.83336,0.84539
2021,Yes,0.16288,2100,11056,0.15599,0.16976
2021,No,0.82584,8956,11056,0.81877,0.83291
