year,bula_h,pgisced97,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Schleswig-Holstein,Lower Secondary Level,Seldom,0.38478,36,36,0.22358,0.54597
2013,Schleswig-Holstein,Upper Secondary Level,Sometimes,0.18802,80,439,0.15143,0.22461
2013,Schleswig-Holstein,Upper Secondary Level,Seldom,0.48096,239,439,0.43417,0.52775
2013,Schleswig-Holstein,Upper Secondary Level,Never,0.26650,120,439,0.22510,0.30791
2013,Schleswig-Holstein,Post-secondary Non-tertiary Level,Seldom,0.45144,38,38,0.29109,0.61179
2013,Schleswig-Holstein,First Stage of Tertiary Education,Seldom,0.56503,34,34,0.39589,0.73418
2013,Schleswig-Holstein,Second Stage of Tertiary Education,Seldom,0.63595,74,119,0.54913,0.72276
2013,Schleswig-Holstein,Second Stage of Tertiary Education,Never,0.26591,45,119,0.18619,0.34563
2013,Hamburg,Upper Secondary Level,Seldom,0.41393,61,138,0.33145,0.49640
2013,Hamburg,Upper Secondary Level,Never,0.40844,77,138,0.32613,0.49075
2013,Hamburg,Second Stage of Tertiary Education,Seldom,0.45758,55,108,0.36318,0.55198
2013,Hamburg,Second Stage of Tertiary Education,Never,0.39235,53,108,0.29983,0.48487
2013,Lower Saxony,Lower Secondary Level,Sometimes,0.21228,62,278,0.16412,0.26044
2013,Lower Saxony,Lower Secondary Level,Seldom,0.45809,136,278,0.39941,0.51676
2013,Lower Saxony,Lower Secondary Level,Never,0.22944,80,278,0.17993,0.27896
2013,Lower Saxony,Upper Secondary Level,Often,0.05263,61,1213,0.04006,0.06521
2013,Lower Saxony,Upper Secondary Level,Sometimes,0.19040,230,1213,0.16830,0.21251
2013,Lower Saxony,Upper Secondary Level,Seldom,0.47727,589,1213,0.44915,0.50539
2013,Lower Saxony,Upper Secondary Level,Never,0.26981,333,1213,0.24482,0.29480
2013,Lower Saxony,Post-secondary Non-tertiary Level,Seldom,0.45652,68,118,0.36627,0.54678
2013,Lower Saxony,Post-secondary Non-tertiary Level,Never,0.28934,50,118,0.20717,0.37150
2013,Lower Saxony,First Stage of Tertiary Education,Sometimes,0.18310,33,129,0.11610,0.25010
