year,pgisced97,quintil_oecd,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No answer / don't know,1st Quintile,Sometimes,0.17538,34,166,0.11735,0.23341
2013,No answer / don't know,1st Quintile,Seldom,0.32619,68,166,0.25465,0.39772
2013,No answer / don't know,1st Quintile,Never,0.39444,64,166,0.31987,0.46901
2013,No answer / don't know,2nd Quintile,Seldom,0.37001,40,40,0.21848,0.52154
2013,Pre-primary Level,1st Quintile,Seldom,0.39425,51,51,0.25879,0.52970
2013,Pre-primary Level,2nd Quintile,Seldom,0.40778,47,47,0.26576,0.54979
2013,Pre-primary Level,3rd Quintile,Seldom,0.55244,47,47,0.40874,0.69614
2013,Pre-primary Level,4th Quintile,Seldom,0.53141,40,40,0.37480,0.68803
2013,Pre-primary Level,5th Quintile,Seldom,0.58556,40,40,0.43095,0.74017
2013,Primary Level,1st Quintile,Often,0.12100,35,212,0.07700,0.16501
2013,Primary Level,1st Quintile,Sometimes,0.32748,65,212,0.26416,0.39081
2013,Primary Level,1st Quintile,Seldom,0.28637,64,212,0.22537,0.34737
2013,Primary Level,1st Quintile,Never,0.25743,48,212,0.19843,0.31642
2013,Lower Secondary Level,1st Quintile,Very often,0.03397,33,1021,0.02286,0.04509
2013,Lower Secondary Level,1st Quintile,Often,0.12253,101,1021,0.10241,0.14265
2013,Lower Secondary Level,1st Quintile,Sometimes,0.25602,253,1021,0.22923,0.28280
2013,Lower Secondary Level,1st Quintile,Seldom,0.30423,345,1021,0.27599,0.33247
2013,Lower Secondary Level,1st Quintile,Never,0.28325,289,1021,0.25560,0.31090
2013,Lower Secondary Level,2nd Quintile,Often,0.05929,43,692,0.04168,0.07690
2013,Lower Secondary Level,2nd Quintile,Sometimes,0.21112,141,692,0.18069,0.24155
2013,Lower Secondary Level,2nd Quintile,Seldom,0.39888,268,692,0.36237,0.43539
2013,Lower Secondary Level,2nd Quintile,Never,0.32566,240,692,0.29071,0.36060
2013,Lower Secondary Level,3rd Quintile,Sometimes,0.24636,100,407,0.20444,0.28827
2013,Lower Secondary Level,3rd Quintile,Seldom,0.38684,165,407,0.33946,0.43421
2013,Lower Secondary Level,3rd Quintile,Never,0.31080,142,407,0.26578,0.35582
2013,Lower Secondary Level,4th Quintile,Sometimes,0.20357,65,258,0.15434,0.25279
2013,Lower Secondary Level,4th Quintile,Seldom,0.38774,96,258,0.32817,0.44731
2013,Lower Secondary Level,4th Quintile,Never,0.35653,97,258,0.29797,0.41509
2013,Lower Secondary Level,5th Quintile,Seldom,0.35303,59,105,0.26118,0.44488
2013,Lower Secondary Level,5th Quintile,Never,0.33822,46,105,0.24729,0.42915
2013,Upper Secondary Level,1st Quintile,Very often,0.02112,63,2707,0.01571,0.02654
2013,Upper Secondary Level,1st Quintile,Often,0.08453,225,2707,0.07405,0.09501
2013,Upper Secondary Level,1st Quintile,Sometimes,0.24479,660,2707,0.22859,0.26099
2013,Upper Secondary Level,1st Quintile,Seldom,0.37216,1034,2707,0.35395,0.39038
2013,Upper Secondary Level,1st Quintile,Never,0.27739,725,2707,0.26052,0.29426
2013,Upper Secondary Level,2nd Quintile,Very often,0.01451,35,2954,0.01020,0.01882
2013,Upper Secondary Level,2nd Quintile,Often,0.05009,141,2954,0.04222,0.05795
2013,Upper Secondary Level,2nd Quintile,Sometimes,0.21023,597,2954,0.19553,0.22493
2013,Upper Secondary Level,2nd Quintile,Seldom,0.42420,1285,2954,0.40638,0.44203
2013,Upper Secondary Level,2nd Quintile,Never,0.30097,896,2954,0.28443,0.31752
2013,Upper Secondary Level,3rd Quintile,Often,0.05211,134,2596,0.04356,0.06066
2013,Upper Secondary Level,3rd Quintile,Sometimes,0.21168,525,2596,0.19597,0.22740
2013,Upper Secondary Level,3rd Quintile,Seldom,0.42691,1172,2596,0.40788,0.44594
2013,Upper Secondary Level,3rd Quintile,Never,0.29813,765,2596,0.28053,0.31573
2013,Upper Secondary Level,4th Quintile,Often,0.04452,94,2302,0.03610,0.05295
2013,Upper Secondary Level,4th Quintile,Sometimes,0.20137,441,2302,0.18498,0.21775
2013,Upper Secondary Level,4th Quintile,Seldom,0.44237,1038,2302,0.42208,0.46267
2013,Upper Secondary Level,4th Quintile,Never,0.30756,729,2302,0.28870,0.32642
2013,Upper Secondary Level,5th Quintile,Often,0.04550,68,1742,0.03571,0.05529
2013,Upper Secondary Level,5th Quintile,Sometimes,0.18687,309,1742,0.16855,0.20518
2013,Upper Secondary Level,5th Quintile,Seldom,0.46914,811,1742,0.44570,0.49258
2013,Upper Secondary Level,5th Quintile,Never,0.29557,554,1742,0.27414,0.31700
2013,Post-secondary Non-tertiary Level,1st Quintile,Often,0.16605,41,291,0.12322,0.20888
