year,sampreg,sex,plj0588,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,West,male,Very often,0.00734,70,25371,0.00730,0.00737
2013,West,male,Often,0.04545,354,25371,0.04537,0.04554
2013,West,male,Sometimes,0.18560,1541,25371,0.18544,0.18575
2013,West,male,Seldom,0.45961,4105,25371,0.45940,0.45981
2013,West,male,Never,0.30201,2826,25371,0.30182,0.30219
2013,West,female,Very often,0.01229,135,25371,0.01225,0.01233
2013,West,female,Often,0.05881,606,25371,0.05872,0.05890
2013,West,female,Sometimes,0.21759,2294,25371,0.21743,0.21775
2013,West,female,Seldom,0.42018,4605,25371,0.41999,0.42037
2013,West,female,Never,0.29113,3159,25371,0.29095,0.29130
2013,East,male,Often,0.06601,138,25371,0.06580,0.06621
2013,East,male,Sometimes,0.22617,520,25371,0.22582,0.22651
2013,East,male,Seldom,0.45033,1211,25371,0.44992,0.45074
2013,East,male,Never,0.25749,710,25371,0.25713,0.25785
2013,East,female,Very often,0.01304,48,25371,0.01294,0.01313
2013,East,female,Often,0.07217,219,25371,0.07196,0.07238
2013,East,female,Sometimes,0.24561,719,25371,0.24527,0.24596
2013,East,female,Seldom,0.41991,1320,25371,0.41951,0.42031
2013,East,female,Never,0.24926,791,25371,0.24891,0.24961
2019,West,male,Never,1.00000,52,112,1.00000,1.00000
2019,West,female,Never,1.00000,60,112,1.00000,1.00000
2021,West,male,Very often,0.01151,136,19114,0.01147,0.01155
2021,West,male,Often,0.05049,434,19114,0.05041,0.05057
2021,West,male,Sometimes,0.19058,1527,19114,0.19043,0.19072
2021,West,male,Seldom,0.47886,3066,19114,0.47868,0.47905
2021,West,male,Never,0.26856,2278,19114,0.26839,0.26872
2021,West,female,Very often,0.01740,195,19114,0.01735,0.01744
2021,West,female,Often,0.06035,570,19114,0.06026,0.06043
2021,West,female,Sometimes,0.22240,1811,19114,0.22225,0.22255
2021,West,female,Seldom,0.43671,3112,19114,0.43653,0.43689
2021,West,female,Never,0.26314,2153,19114,0.26298,0.26330
2021,East,male,Often,0.07920,121,19114,0.07898,0.07942
2021,East,male,Sometimes,0.17284,331,19114,0.17253,0.17315
2021,East,male,Seldom,0.47588,775,19114,0.47547,0.47629
2021,East,male,Never,0.27208,591,19114,0.27171,0.27244
2021,East,female,Very often,0.02682,46,19114,0.02669,0.02695
2021,East,female,Often,0.07732,137,19114,0.07711,0.07753
2021,East,female,Sometimes,0.23201,408,19114,0.23167,0.23235
2021,East,female,Seldom,0.42015,875,19114,0.41976,0.42055
2021,East,female,Never,0.24370,548,19114,0.24336,0.24405
