"plj0588","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2013","Westdeutschland","205","","",""
"Sehr oft","2013","Ostdeutschland","60","0.00999773510027031","0.00741227878611434","0.0125831914144263"
"Oft","2013","Westdeutschland","960","0.0519570434017011","0.048857438626288","0.0550566481771142"
"Oft","2013","Ostdeutschland","357","0.068719086064545","0.0621448190981769","0.075293353030913"
"Manchmal","2013","Westdeutschland","3835","0.202518109524335","0.196905530800142","0.208130688248527"
"Manchmal","2013","Ostdeutschland","1239","","",""
"Selten","2013","Westdeutschland","8710","0.439353592239901","0.432422180283053","0.446285004196748"
"Selten","2013","Ostdeutschland","2531","","",""
"Nie","2013","Westdeutschland","5985","0.296026357623824","0.289650868801256","0.302401846446392"
"Nie","2013","Ostdeutschland","1501","","",""
"Sehr oft","2014","Westdeutschland","","","",""
"Sehr oft","2014","Ostdeutschland","","","",""
"Oft","2014","Westdeutschland","","","",""
"Oft","2014","Ostdeutschland","","","",""
"Manchmal","2014","Westdeutschland","","","",""
"Manchmal","2014","Ostdeutschland","","","",""
"Selten","2014","Westdeutschland","","","",""
"Selten","2014","Ostdeutschland","","","",""
"Nie","2014","Westdeutschland","","","",""
"Nie","2014","Ostdeutschland","","","",""
"Sehr oft","2015","Westdeutschland","","","",""
"Sehr oft","2015","Ostdeutschland","","","",""
"Oft","2015","Westdeutschland","","","",""
"Oft","2015","Ostdeutschland","","","",""
"Manchmal","2015","Westdeutschland","","","",""
"Manchmal","2015","Ostdeutschland","","","",""
"Selten","2015","Westdeutschland","","","",""
"Selten","2015","Ostdeutschland","","","",""
"Nie","2015","Westdeutschland","","","",""
"Nie","2015","Ostdeutschland","","","",""
"Sehr oft","2016","Westdeutschland","138","","",""
"Sehr oft","2016","Ostdeutschland","28","","",""
"Oft","2016","Westdeutschland","276","","",""
"Oft","2016","Ostdeutschland","66","0.14119540878728","0.109646624342536","0.172744193232024"
"Manchmal","2016","Westdeutschland","579","0.251823620809606","0.234333574904018","0.269313666715193"
"Manchmal","2016","Ostdeutschland","152","","",""
"Selten","2016","Westdeutschland","531","0.220677716986215","0.203967637755689","0.237387796216742"
"Selten","2016","Ostdeutschland","76","0.175078370495813","0.140647519420058","0.209509221571569"
"Nie","2016","Westdeutschland","842","0.315092063045046","0.296373368724895","0.333810757365197"
"Nie","2016","Ostdeutschland","146","","",""
"Sehr oft","2017","Westdeutschland","342","0.0117666384474617","0.0103567237063694","0.013176553188554"
"Sehr oft","2017","Ostdeutschland","77","0.0124255265127923","0.00956973499098669","0.0152813180345978"
"Oft","2017","Westdeutschland","1263","","",""
"Oft","2017","Ostdeutschland","353","0.0587005294509563","0.0526405787902603","0.0647604801116522"
"Manchmal","2017","Westdeutschland","4618","0.20261594147267","0.197360520963448","0.207871361981891"
"Manchmal","2017","Ostdeutschland","1112","","",""
"Selten","2017","Westdeutschland","9274","0.427618179300025","0.421149615186104","0.434086743413946"
"Selten","2017","Ostdeutschland","2481","","",""
"Nie","2017","Westdeutschland","6974","0.305387075677689","0.299365174175297","0.31140897718008"
"Nie","2017","Ostdeutschland","1757","","",""
"Sehr oft","2018","Westdeutschland","27","","",""
"Sehr oft","2018","Ostdeutschland","3","","",""
"Oft","2018","Westdeutschland","32","0.0872839021227569","0.0567384821150605","0.117829322130453"
"Oft","2018","Ostdeutschland","6","0.158334093457743","0.0516747461282201","0.264993440787267"
"Manchmal","2018","Westdeutschland","92","0.323766300583465","0.273128434554789","0.374404166612141"
"Manchmal","2018","Ostdeutschland","12","","",""
"Selten","2018","Westdeutschland","55","0.131949606001798","0.0953237581200307","0.168575453883565"
"Selten","2018","Ostdeutschland","7","0.131061902743423","0.0324624537888602","0.229661351697986"
"Nie","2018","Westdeutschland","122","","",""
"Nie","2018","Ostdeutschland","17","","",""
"Sehr oft","2019","Westdeutschland","6","0.0213853280947634","0.0027298698556562","0.0400407863338706"
"Sehr oft","2019","Ostdeutschland","1","","",""
"Oft","2019","Westdeutschland","19","","",""
"Oft","2019","Ostdeutschland","2","","",""
"Manchmal","2019","Westdeutschland","42","0.208888054887703","0.156465537184525","0.261310572590882"
"Manchmal","2019","Ostdeutschland","7","0.313695777646797","0.12407023134474","0.503321323948855"
"Selten","2019","Westdeutschland","52","0.194869876268105","0.143790275553787","0.245949476982423"
"Selten","2019","Ostdeutschland","5","0.28459227564096","0.100187340504482","0.468997210777439"
"Nie","2019","Westdeutschland","112","","",""
"Nie","2019","Ostdeutschland","8","0.354022585296511","0.158584893562851","0.549460277030171"
