"plj0588","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2013","(noch) kein Abschluss","11","","",""
"Sehr oft","2013","Hauptschule","124","","",""
"Sehr oft","2013","Realschule","68","0.00785640523942676","0.00581384053661017","0.00989896994224334"
"Sehr oft","2013","(Fach-)Abitur","26","","",""
"Sehr oft","2013","AkademikerIn","30","0.0053241946206977","0.00345328405989225","0.00719510518150314"
"Oft","2013","(noch) kein Abschluss","70","0.0852030292248179","0.0658810868052873","0.104524971644348"
"Oft","2013","Hauptschule","450","0.057333846723102","0.0521361533867553","0.0625315400594487"
"Oft","2013","Realschule","398","0.0613970825412924","0.0558432672071866","0.0669508978753981"
"Oft","2013","(Fach-)Abitur","160","","",""
"Oft","2013","AkademikerIn","203","","",""
"Manchmal","2013","(noch) kein Abschluss","174","","",""
"Manchmal","2013","Hauptschule","1609","","",""
"Manchmal","2013","Realschule","1470","","",""
"Manchmal","2013","(Fach-)Abitur","682","0.219952542560155","0.205711839965875","0.234193245154434"
"Manchmal","2013","AkademikerIn","998","0.175669525849969","0.165886252673825","0.185452799026113"
"Selten","2013","(noch) kein Abschluss","333","0.395035472407841","0.361202207471061","0.428868737344621"
"Selten","2013","Hauptschule","3010","0.385267614277745","0.374387074183195","0.396148154372295"
"Selten","2013","Realschule","3272","0.457845217149835","0.44631871314558","0.469371721154089"
"Selten","2013","(Fach-)Abitur","1505","","",""
"Selten","2013","AkademikerIn","2860","","",""
"Nie","2013","(noch) kein Abschluss","214","","",""
"Nie","2013","Hauptschule","2492","","",""
"Nie","2013","Realschule","1969","","",""
"Nie","2013","(Fach-)Abitur","877","0.262332885715967","0.247209013816184","0.27745675761575"
"Nie","2013","AkademikerIn","1721","","",""
"Sehr oft","2014","(noch) kein Abschluss","","","",""
"Sehr oft","2014","Hauptschule","","","",""
"Sehr oft","2014","Realschule","","","",""
"Sehr oft","2014","(Fach-)Abitur","","","",""
"Sehr oft","2014","AkademikerIn","","","",""
"Oft","2014","(noch) kein Abschluss","","","",""
"Oft","2014","Hauptschule","","","",""
"Oft","2014","Realschule","","","",""
"Oft","2014","(Fach-)Abitur","","","",""
"Oft","2014","AkademikerIn","","","",""
"Manchmal","2014","(noch) kein Abschluss","","","",""
"Manchmal","2014","Hauptschule","","","",""
"Manchmal","2014","Realschule","","","",""
"Manchmal","2014","(Fach-)Abitur","","","",""
"Manchmal","2014","AkademikerIn","","","",""
"Selten","2014","(noch) kein Abschluss","","","",""
"Selten","2014","Hauptschule","","","",""
"Selten","2014","Realschule","","","",""
"Selten","2014","(Fach-)Abitur","","","",""
"Selten","2014","AkademikerIn","","","",""
"Nie","2014","(noch) kein Abschluss","","","",""
"Nie","2014","Hauptschule","","","",""
"Nie","2014","Realschule","","","",""
"Nie","2014","(Fach-)Abitur","","","",""
"Nie","2014","AkademikerIn","","","",""
"Sehr oft","2015","(noch) kein Abschluss","","","",""
"Sehr oft","2015","Hauptschule","","","",""
"Sehr oft","2015","Realschule","","","",""
"Sehr oft","2015","(Fach-)Abitur","","","",""
"Sehr oft","2015","AkademikerIn","","","",""
"Oft","2015","(noch) kein Abschluss","","","",""
"Oft","2015","Hauptschule","","","",""
"Oft","2015","Realschule","","","",""
"Oft","2015","(Fach-)Abitur","","","",""
"Oft","2015","AkademikerIn","","","",""
"Manchmal","2015","(noch) kein Abschluss","","","",""
"Manchmal","2015","Hauptschule","","","",""
"Manchmal","2015","Realschule","","","",""
"Manchmal","2015","(Fach-)Abitur","","","",""
"Manchmal","2015","AkademikerIn","","","",""
"Selten","2015","(noch) kein Abschluss","","","",""
"Selten","2015","Hauptschule","","","",""
"Selten","2015","Realschule","","","",""
"Selten","2015","(Fach-)Abitur","","","",""
"Selten","2015","AkademikerIn","","","",""
"Nie","2015","(noch) kein Abschluss","","","",""
"Nie","2015","Hauptschule","","","",""
"Nie","2015","Realschule","","","",""
"Nie","2015","(Fach-)Abitur","","","",""
"Nie","2015","AkademikerIn","","","",""
"Sehr oft","2016","(noch) kein Abschluss","66","0.088161169464926","0.0704638558905791","0.105858483039273"
"Sehr oft","2016","Hauptschule","25","","",""
"Sehr oft","2016","Realschule","1","","",""
"Sehr oft","2016","(Fach-)Abitur","22","","",""
"Sehr oft","2016","AkademikerIn","41","0.105026316688789","0.0798794293049155","0.130173204072663"
"Oft","2016","(noch) kein Abschluss","146","","",""
"Oft","2016","Hauptschule","65","0.108549759630086","0.0837005355920829","0.133398983668089"
"Oft","2016","Realschule","1","","",""
"Oft","2016","(Fach-)Abitur","55","0.0925053166056115","0.0669294697362429","0.11808116347498"
"Oft","2016","AkademikerIn","50","0.0984320916600805","0.0739979202589607","0.1228662630612"
"Manchmal","2016","(noch) kein Abschluss","246","","",""
"Manchmal","2016","Hauptschule","160","","",""
"Manchmal","2016","Realschule","1","","",""
"Manchmal","2016","(Fach-)Abitur","125","","",""
"Manchmal","2016","AkademikerIn","151","","",""
"Selten","2016","(noch) kein Abschluss","198","","",""
"Selten","2016","Hauptschule","115","","",""
