year,quintil_oecd_hh,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,1st Quintile,No,0.95300,1884,1884,0.94344,0.96256
2007,2nd Quintile,Yes,0.02186,53,2038,0.01551,0.02822
2007,2nd Quintile,No,0.92678,1985,2038,0.91546,0.93809
2007,3rd Quintile,Yes,0.03862,109,2145,0.03046,0.04678
2007,3rd Quintile,No,0.91217,2036,2145,0.90019,0.92415
2007,4th Quintile,Yes,0.04512,130,2256,0.03655,0.05369
2007,4th Quintile,No,0.90686,2126,2256,0.89487,0.91886
2007,5th Quintile,Yes,0.05205,205,2735,0.04372,0.06037
2007,5th Quintile,No,0.90440,2530,2735,0.89338,0.91542
2008,1st Quintile,Yes,0.01236,33,1851,0.00733,0.01740
2008,1st Quintile,No,0.96857,1818,1851,0.96062,0.97652
2008,2nd Quintile,Yes,0.02766,76,1943,0.02037,0.03495
2008,2nd Quintile,No,0.95089,1867,1943,0.94128,0.96050
2008,3rd Quintile,Yes,0.04492,107,2145,0.03615,0.05368
2008,3rd Quintile,No,0.93883,2038,2145,0.92869,0.94898
2008,4th Quintile,Yes,0.05417,131,2089,0.04446,0.06388
2008,4th Quintile,No,0.92968,1958,2089,0.91871,0.94065
2008,5th Quintile,Yes,0.06777,226,2662,0.05822,0.07732
2008,5th Quintile,No,0.91509,2436,2662,0.90450,0.92568
2009,1st Quintile,No,0.97631,1757,1757,0.96920,0.98343
2009,2nd Quintile,Yes,0.03314,73,1875,0.02504,0.04124
2009,2nd Quintile,No,0.95465,1802,1875,0.94523,0.96407
2009,3rd Quintile,Yes,0.04871,116,1940,0.03913,0.05830
2009,3rd Quintile,No,0.94330,1824,1940,0.93301,0.95360
2009,4th Quintile,Yes,0.06864,160,2057,0.05771,0.07957
2009,4th Quintile,No,0.92709,1897,2057,0.91586,0.93833
2009,5th Quintile,Yes,0.07772,258,2466,0.06715,0.08829
2009,5th Quintile,No,0.91138,2208,2466,0.90017,0.92260
2010,1st Quintile,Yes,0.02307,84,3139,0.01782,0.02833
2010,1st Quintile,No,0.97269,3055,3139,0.96699,0.97839
2010,2nd Quintile,Yes,0.03944,164,2913,0.03237,0.04651
2010,2nd Quintile,No,0.95701,2749,2913,0.94965,0.96438
2010,3rd Quintile,Yes,0.05833,201,2548,0.04923,0.06743
2010,3rd Quintile,No,0.93575,2347,2548,0.92623,0.94528
2010,4th Quintile,Yes,0.07528,240,2449,0.06482,0.08573
2010,4th Quintile,No,0.91616,2209,2449,0.90518,0.92714
2010,5th Quintile,Yes,0.08522,336,2698,0.07468,0.09576
2010,5th Quintile,No,0.90381,2362,2698,0.89268,0.91494
2011,1st Quintile,Yes,0.02598,116,3699,0.02086,0.03111
2011,1st Quintile,No,0.97175,3583,3699,0.96641,0.97709
2011,2nd Quintile,Yes,0.05279,232,3406,0.04528,0.06031
2011,2nd Quintile,No,0.94406,3174,3406,0.93634,0.95178
2011,3rd Quintile,Yes,0.06595,292,3219,0.05738,0.07453
2011,3rd Quintile,No,0.93154,2927,3219,0.92282,0.94027
2011,4th Quintile,Yes,0.08866,361,3058,0.07858,0.09873
2011,4th Quintile,No,0.90986,2697,3058,0.89971,0.92002
2011,5th Quintile,Yes,0.10176,422,3187,0.09126,0.11226
2011,5th Quintile,No,0.89531,2765,3187,0.88468,0.90594
2012,1st Quintile,Yes,0.02203,106,3594,0.01723,0.02683
2012,1st Quintile,No,0.97547,3488,3594,0.97041,0.98053
2012,2nd Quintile,Yes,0.05797,246,3308,0.05000,0.06593
2012,2nd Quintile,No,0.93992,3062,3308,0.93183,0.94802
2012,3rd Quintile,Yes,0.07353,327,3200,0.06448,0.08257
2012,3rd Quintile,No,0.92369,2873,3200,0.91449,0.93289
2012,4th Quintile,Yes,0.10120,395,3028,0.09046,0.11195
2012,4th Quintile,No,0.89852,2633,3028,0.88776,0.90928
2012,5th Quintile,Yes,0.10958,444,3155,0.09868,0.12048
2012,5th Quintile,No,0.88850,2711,3155,0.87751,0.89948
2013,1st Quintile,Yes,0.02110,109,4236,0.01677,0.02542
2013,1st Quintile,No,0.97826,4127,4236,0.97387,0.98265
2013,2nd Quintile,Yes,0.06107,254,3856,0.05351,0.06862
2013,2nd Quintile,No,0.93805,3602,3856,0.93044,0.94566
2013,3rd Quintile,Yes,0.09508,359,3387,0.08520,0.10496
2013,3rd Quintile,No,0.90471,3028,3387,0.89482,0.91460
2013,4th Quintile,Yes,0.09379,356,3114,0.08355,0.10404
2013,4th Quintile,No,0.90621,2758,3114,0.89596,0.91645
2013,5th Quintile,Yes,0.12363,485,3262,0.11233,0.13493
2013,5th Quintile,No,0.87637,2777,3262,0.86507,0.88767
2014,1st Quintile,Yes,0.03405,124,3449,0.02799,0.04010
2014,1st Quintile,No,0.96331,3325,3449,0.95704,0.96959
2014,2nd Quintile,Yes,0.06109,225,3312,0.05294,0.06925
2014,2nd Quintile,No,0.93777,3087,3312,0.92954,0.94600
2014,3rd Quintile,Yes,0.09101,326,3107,0.08089,0.10112
2014,3rd Quintile,No,0.90793,2781,3107,0.89776,0.91810
2014,4th Quintile,Yes,0.10445,377,2925,0.09337,0.11554
2014,4th Quintile,No,0.89445,2548,2925,0.88331,0.90559
2014,5th Quintile,Yes,0.14159,489,3018,0.12915,0.15403
2014,5th Quintile,No,0.85677,2529,3018,0.84427,0.86927
2015,1st Quintile,Yes,0.02579,113,3545,0.02057,0.03101
2015,1st Quintile,No,0.97057,3432,3545,0.96500,0.97613
2015,2nd Quintile,Yes,0.06582,232,3379,0.05746,0.07418
2015,2nd Quintile,No,0.93322,3147,3379,0.92480,0.94164
2015,3rd Quintile,Yes,0.09256,317,3013,0.08221,0.10291
2015,3rd Quintile,No,0.90418,2696,3013,0.89367,0.91469
2015,4th Quintile,Yes,0.11473,397,2829,0.10298,0.12648
2015,4th Quintile,No,0.88413,2432,2829,0.87233,0.89593
2015,5th Quintile,Yes,0.15204,509,2973,0.13913,0.16495
2015,5th Quintile,No,0.84677,2464,2973,0.83382,0.85972
2016,1st Quintile,Yes,0.02838,92,3090,0.02252,0.03423
2016,1st Quintile,No,0.94210,2998,3090,0.93387,0.95034
2016,2nd Quintile,Yes,0.05963,203,3037,0.05121,0.06806
2016,2nd Quintile,No,0.93978,2834,3037,0.93132,0.94824
2016,3rd Quintile,Yes,0.09157,292,2740,0.08077,0.10238
2016,3rd Quintile,No,0.90300,2448,2740,0.89192,0.91409
2016,4th Quintile,Yes,0.09911,355,2661,0.08776,0.11047
2016,4th Quintile,No,0.90059,2306,2661,0.88922,0.91196
