year,quintil_oecd_hh,rentown,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,1st Quintile,Owner,No,0.88589,299,299,0.84979,0.92199
2007,1st Quintile,Tenant,No,0.96618,1585,1585,0.95728,0.97508
2007,2nd Quintile,Owner,Yes,0.05236,42,706,0.03591,0.06880
2007,2nd Quintile,Owner,No,0.87246,664,706,0.84783,0.89708
2007,2nd Quintile,Tenant,No,0.95261,1321,1321,0.94114,0.96407
2007,3rd Quintile,Owner,Yes,0.06215,88,1082,0.04776,0.07654
2007,3rd Quintile,Owner,No,0.87822,994,1082,0.85872,0.89771
2007,3rd Quintile,Tenant,No,0.94181,1042,1042,0.92759,0.95603
2007,4th Quintile,Owner,Yes,0.07329,109,1350,0.05938,0.08720
2007,4th Quintile,Owner,No,0.88411,1241,1350,0.86703,0.90120
2007,4th Quintile,Tenant,No,0.93318,885,885,0.91672,0.94964
2007,5th Quintile,Owner,Yes,0.07336,191,1962,0.06182,0.08490
2007,5th Quintile,Owner,No,0.88249,1771,1962,0.86823,0.89674
2007,5th Quintile,Tenant,No,0.94312,759,759,0.92663,0.95960
2008,1st Quintile,Owner,No,0.94682,309,309,0.92175,0.97188
2008,1st Quintile,Tenant,No,0.97296,1509,1509,0.96477,0.98115
2008,2nd Quintile,Owner,Yes,0.06398,63,722,0.04612,0.08184
2008,2nd Quintile,Owner,No,0.90738,659,722,0.88622,0.92854
2008,2nd Quintile,Tenant,No,0.97327,1208,1208,0.96416,0.98237
2008,3rd Quintile,Owner,Yes,0.08153,87,1082,0.06521,0.09784
2008,3rd Quintile,Owner,No,0.89391,995,1082,0.87555,0.91227
2008,3rd Quintile,Tenant,No,0.97718,1043,1043,0.96812,0.98625
2008,4th Quintile,Owner,Yes,0.07723,110,1257,0.06246,0.09199
2008,4th Quintile,Owner,No,0.91137,1147,1257,0.89565,0.92709
2008,4th Quintile,Tenant,No,0.95200,811,811,0.93728,0.96672
2008,5th Quintile,Owner,Yes,0.08611,206,1927,0.07358,0.09863
2008,5th Quintile,Owner,No,0.89218,1721,1927,0.87833,0.90603
2008,5th Quintile,Tenant,No,0.96005,715,715,0.94568,0.97441
2009,1st Quintile,Owner,No,0.95362,292,292,0.92945,0.97778
2009,1st Quintile,Tenant,No,0.98086,1465,1465,0.97384,0.98788
2009,2nd Quintile,Owner,Yes,0.07814,59,688,0.05807,0.09821
2009,2nd Quintile,Owner,No,0.91144,629,688,0.89020,0.93269
2009,2nd Quintile,Tenant,No,0.97704,1173,1173,0.96846,0.98561
2009,3rd Quintile,Owner,Yes,0.08490,99,1001,0.06762,0.10217
2009,3rd Quintile,Owner,No,0.90177,902,1001,0.88332,0.92022
2009,3rd Quintile,Tenant,No,0.98195,922,922,0.97335,0.99055
2009,4th Quintile,Owner,Yes,0.09875,132,1262,0.08228,0.11521
2009,4th Quintile,Owner,No,0.90125,1130,1262,0.88479,0.91772
2009,4th Quintile,Tenant,No,0.96055,767,767,0.94676,0.97433
2009,5th Quintile,Owner,Yes,0.10582,237,1786,0.09155,0.12009
2009,5th Quintile,Owner,No,0.88128,1549,1786,0.86627,0.89629
2009,5th Quintile,Tenant,No,0.97383,659,659,0.96163,0.98603
2010,1st Quintile,Owner,Yes,0.04786,35,457,0.02826,0.06745
2010,1st Quintile,Owner,No,0.95214,422,457,0.93255,0.97174
2010,1st Quintile,Tenant,Yes,0.01799,49,2682,0.01296,0.02302
2010,1st Quintile,Tenant,No,0.97690,2633,2682,0.97122,0.98259
2010,2nd Quintile,Owner,Yes,0.06571,120,1114,0.05115,0.08027
2010,2nd Quintile,Owner,No,0.93273,994,1114,0.91801,0.94744
2010,2nd Quintile,Tenant,Yes,0.02418,44,1799,0.01708,0.03128
2010,2nd Quintile,Tenant,No,0.97112,1755,1799,0.96338,0.97886
2010,3rd Quintile,Owner,Yes,0.09350,154,1328,0.07783,0.10916
2010,3rd Quintile,Owner,No,0.90043,1174,1328,0.88432,0.91654
2010,3rd Quintile,Tenant,Yes,0.02419,47,1220,0.01557,0.03282
2010,3rd Quintile,Tenant,No,0.97004,1173,1220,0.96047,0.97961
2010,4th Quintile,Owner,Yes,0.10744,215,1497,0.09175,0.12313
2010,4th Quintile,Owner,No,0.89188,1282,1497,0.87615,0.90762
2010,4th Quintile,Tenant,No,0.95027,927,927,0.93626,0.96427
2010,5th Quintile,Owner,Yes,0.11209,304,1917,0.09797,0.12622
2010,5th Quintile,Owner,No,0.87652,1613,1917,0.86179,0.89126
2010,5th Quintile,Tenant,Yes,0.03129,32,781,0.01907,0.04351
2010,5th Quintile,Tenant,No,0.95857,749,781,0.94458,0.97255
2011,1st Quintile,Owner,Yes,0.05958,47,585,0.04039,0.07878
2011,1st Quintile,Owner,No,0.93847,538,585,0.91898,0.95796
2011,1st Quintile,Tenant,Yes,0.01940,69,3114,0.01455,0.02425
2011,1st Quintile,Tenant,No,0.97827,3045,3114,0.97315,0.98339
2011,2nd Quintile,Owner,Yes,0.09485,171,1301,0.07892,0.11078
2011,2nd Quintile,Owner,No,0.90072,1130,1301,0.88446,0.91698
2011,2nd Quintile,Tenant,Yes,0.02836,61,2105,0.02127,0.03545
2011,2nd Quintile,Tenant,No,0.96924,2044,2105,0.96186,0.97661
2011,3rd Quintile,Owner,Yes,0.10452,236,1659,0.08980,0.11925
2011,3rd Quintile,Owner,No,0.89487,1423,1659,0.88010,0.90963
2011,3rd Quintile,Tenant,Yes,0.02843,56,1560,0.02018,0.03668
2011,3rd Quintile,Tenant,No,0.96722,1504,1560,0.95838,0.97606
2011,4th Quintile,Owner,Yes,0.12994,321,1871,0.11470,0.14518
2011,4th Quintile,Owner,No,0.86853,1550,1871,0.85321,0.88384
2011,4th Quintile,Tenant,Yes,0.03172,40,1187,0.02175,0.04170
2011,4th Quintile,Tenant,No,0.96687,1147,1187,0.95669,0.97706
2011,5th Quintile,Owner,Yes,0.13370,383,2292,0.11976,0.14764
2011,5th Quintile,Owner,No,0.86505,1909,2292,0.85106,0.87904
2011,5th Quintile,Tenant,Yes,0.03414,39,895,0.02223,0.04604
2011,5th Quintile,Tenant,No,0.95936,856,895,0.94641,0.97230
2012,1st Quintile,Owner,Yes,0.04749,45,532,0.02940,0.06559
2012,1st Quintile,Owner,No,0.95251,487,532,0.93441,0.97060
2012,1st Quintile,Tenant,Yes,0.01743,61,3062,0.01279,0.02207
2012,1st Quintile,Tenant,No,0.97962,3001,3062,0.97462,0.98463
2012,2nd Quintile,Owner,Yes,0.10793,173,1220,0.09051,0.12534
2012,2nd Quintile,Owner,No,0.89207,1047,1220,0.87466,0.90949
2012,2nd Quintile,Tenant,Yes,0.03108,73,2088,0.02363,0.03852
2012,2nd Quintile,Tenant,No,0.96568,2015,2088,0.95787,0.97349
2012,3rd Quintile,Owner,Yes,0.11124,260,1647,0.09605,0.12643
2012,3rd Quintile,Owner,No,0.88299,1387,1647,0.86746,0.89852
2012,3rd Quintile,Tenant,Yes,0.03819,67,1553,0.02866,0.04773
2012,3rd Quintile,Tenant,No,0.96181,1486,1553,0.95227,0.97134
2012,4th Quintile,Owner,Yes,0.13725,339,1900,0.12177,0.15272
2012,4th Quintile,Owner,No,0.86229,1561,1900,0.84679,0.87779
2012,4th Quintile,Tenant,Yes,0.04585,56,1128,0.03364,0.05807
2012,4th Quintile,Tenant,No,0.95415,1072,1128,0.94193,0.96636
2012,5th Quintile,Owner,Yes,0.14526,411,2291,0.13082,0.15969
2012,5th Quintile,Owner,No,0.85392,1880,2291,0.83945,0.86838
2012,5th Quintile,Tenant,Yes,0.03158,33,864,0.01991,0.04325
2012,5th Quintile,Tenant,No,0.96409,831,864,0.95168,0.97651
2013,1st Quintile,Owner,Yes,0.05131,48,578,0.03330,0.06931
2013,1st Quintile,Owner,No,0.94782,530,578,0.92968,0.96597
2013,1st Quintile,Tenant,Yes,0.01564,61,3658,0.01162,0.01966
2013,1st Quintile,Tenant,No,0.98376,3597,3658,0.97966,0.98786
2013,2nd Quintile,Owner,Yes,0.10391,162,1271,0.08712,0.12069
2013,2nd Quintile,Owner,No,0.89609,1109,1271,0.87931,0.91288
2013,2nd Quintile,Tenant,Yes,0.03833,92,2585,0.03092,0.04573
2013,2nd Quintile,Tenant,No,0.96032,2493,2585,0.95280,0.96785
2013,3rd Quintile,Owner,Yes,0.14576,297,1711,0.12903,0.16248
2013,3rd Quintile,Owner,No,0.85424,1414,1711,0.83752,0.87097
2013,3rd Quintile,Tenant,Yes,0.04404,62,1676,0.03421,0.05386
2013,3rd Quintile,Tenant,No,0.95554,1614,1676,0.94567,0.96541
2013,4th Quintile,Owner,Yes,0.12279,302,1825,0.10773,0.13785
2013,4th Quintile,Owner,No,0.87721,1523,1825,0.86215,0.89227
2013,4th Quintile,Tenant,Yes,0.05324,54,1289,0.04098,0.06550
2013,4th Quintile,Tenant,No,0.94676,1235,1289,0.93450,0.95902
2013,5th Quintile,Owner,Yes,0.15834,439,2322,0.14349,0.17319
2013,5th Quintile,Owner,No,0.84166,1883,2322,0.82681,0.85651
2013,5th Quintile,Tenant,Yes,0.04609,46,940,0.03268,0.05951
2013,5th Quintile,Tenant,No,0.95391,894,940,0.94049,0.96732
2014,1st Quintile,Owner,Yes,0.06481,45,502,0.04325,0.08637
2014,1st Quintile,Owner,No,0.93480,457,502,0.91319,0.95642
2014,1st Quintile,Tenant,Yes,0.02789,79,2947,0.02195,0.03384
2014,1st Quintile,Tenant,No,0.96902,2868,2947,0.96276,0.97527
2014,2nd Quintile,Owner,Yes,0.09734,141,1095,0.07977,0.11490
2014,2nd Quintile,Owner,No,0.90266,954,1095,0.88510,0.92023
2014,2nd Quintile,Tenant,Yes,0.04197,84,2217,0.03362,0.05032
2014,2nd Quintile,Tenant,No,0.95630,2133,2217,0.94778,0.96481
2014,3rd Quintile,Owner,Yes,0.13318,264,1577,0.11640,0.14995
2014,3rd Quintile,Owner,No,0.86682,1313,1577,0.85005,0.88360
2014,3rd Quintile,Tenant,Yes,0.04705,62,1530,0.03644,0.05767
2014,3rd Quintile,Tenant,No,0.95078,1468,1530,0.93994,0.96162
2014,4th Quintile,Owner,Yes,0.14591,312,1718,0.12921,0.16261
2014,4th Quintile,Owner,No,0.85314,1406,1718,0.83639,0.86988
2014,4th Quintile,Tenant,Yes,0.05113,65,1207,0.03870,0.06357
2014,4th Quintile,Tenant,No,0.94758,1142,1207,0.93500,0.96016
2014,5th Quintile,Owner,Yes,0.17698,438,2155,0.16086,0.19310
2014,5th Quintile,Owner,No,0.82063,1717,2155,0.80443,0.83683
2014,5th Quintile,Tenant,Yes,0.06464,51,863,0.04822,0.08105
2014,5th Quintile,Tenant,No,0.93536,812,863,0.91895,0.95178
2015,1st Quintile,Owner,Yes,0.06079,51,487,0.03955,0.08204
2015,1st Quintile,Owner,No,0.93900,436,487,0.91772,0.96027
