"hgeqpsol","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2007","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2007","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2007","2","Staedtischer Raum","130","0.0293821674394236","0.0234431662395611","0.0353211686392862"
"Ja","2007","2","Laendlicher Raum","144","0.0771278919004782","0.0657089630581275","0.0885468207428289"
"Ja","2007","3","Staedtischer Raum","187","0.0496499365452339","0.042353838090282","0.0569460350001858"
"Ja","2007","3","Laendlicher Raum","138","0.0578795856237099","0.0477189007714681","0.0680402704759518"
"Ja","2007","4","Staedtischer Raum","236","0.0487119202167954","0.0418980212617768","0.055525819171814"
"Ja","2007","4","Laendlicher Raum","152","0.0698377452803399","0.0576610203937479","0.0820144701669318"
"Ja","2007","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2007","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2007","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2007","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2007","2","Staedtischer Raum","2976","0.970617832560576","0.964678831360714","0.976556833760439"
"Nein","2007","2","Laendlicher Raum","1953","0.922872108099522","0.911453179257171","0.934291036941872"
"Nein","2007","3","Staedtischer Raum","3218","0.950350063454766","0.943053964999814","0.957646161909718"
"Nein","2007","3","Laendlicher Raum","1891","0.94212041437629","0.931959729524048","0.952281099228532"
"Nein","2007","4","Staedtischer Raum","3598","0.951288079783205","0.944474180828186","0.958101978738223"
"Nein","2007","4","Laendlicher Raum","1531","0.93016225471966","0.917985529833068","0.942338979606252"
"Nein","2007","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2007","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2008","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2008","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2008","2","Staedtischer Raum","155","0.0443210070032315","0.0366526143755646","0.0519893996308983"
"Ja","2008","2","Laendlicher Raum","114","0.0592739022588819","0.0485280840268546","0.0700197204909093"
"Ja","2008","3","Staedtischer Raum","212","0.0554408833349","0.0477568070648847","0.0631249596049154"
"Ja","2008","3","Laendlicher Raum","116","0.049472706955231","0.0397980723985176","0.0591473415119444"
"Ja","2008","4","Staedtischer Raum","259","0.0563409025417119","0.0488544104125217","0.0638273946709021"
"Ja","2008","4","Laendlicher Raum","206","0.104246823267579","0.0902842722563721","0.118209374278786"
"Ja","2008","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2008","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2008","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2008","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2008","2","Staedtischer Raum","2612","0.955678992996769","0.948010600369102","0.963347385624435"
"Nein","2008","2","Laendlicher Raum","1741","0.940726097741118","0.929980279509091","0.951471915973145"
"Nein","2008","3","Staedtischer Raum","3195","0.9445591166651","0.936875040395085","0.952243192935115"
"Nein","2008","3","Laendlicher Raum","1814","0.950527293044769","0.940852658488056","0.960201927601482"
"Nein","2008","4","Staedtischer Raum","3385","0.943659097458288","0.936172605329098","0.951145589587478"
"Nein","2008","4","Laendlicher Raum","1634","0.895753176732421","0.881790625721214","0.909715727743628"
"Nein","2008","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2008","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2009","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2009","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2009","2","Staedtischer Raum","139","0.0382162523326124","0.0307663204395602","0.0456661842256647"
"Ja","2009","2","Laendlicher Raum","124","0.0835122492615823","0.0704907207179508","0.0965337778052139"
"Ja","2009","3","Staedtischer Raum","204","0.0721654017671493","0.0628103090437218","0.0815204944905769"
"Ja","2009","3","Laendlicher Raum","171","0.0722205792888903","0.0606751574502224","0.0837660011275582"
