,Unnamed: 0,year,sampreg,hgeqpsol,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2007,West,Yes,0.0366,434,11091,0.03335,0.03967
1,1,2007,West,No,0.9634,7982,11091,0.94886,0.97713
2,2,2007,East,Yes,0.02845,93,11091,0.02368,0.03297
3,3,2007,East,No,0.97155,2582,11091,0.9423,0.99993
4,4,2008,West,Yes,0.04586,485,10692,0.04247,0.0496
5,5,2008,West,No,0.95414,7581,10692,0.93932,0.97044
6,6,2008,East,Yes,0.02585,88,10692,0.02161,0.03076
7,7,2008,East,No,0.97415,2538,10692,0.94838,1.00818
8,8,2009,West,Yes,0.05285,536,10128,0.04808,0.05752
9,9,2009,West,No,0.94715,7046,10128,0.93015,0.96434
10,10,2009,East,Yes,0.03238,100,10128,0.02637,0.0395
11,11,2009,East,No,0.96762,2446,10128,0.93673,0.99759
12,12,2010,West,Yes,0.06079,888,13751,0.05551,0.06556
13,13,2010,West,No,0.93921,9709,13751,0.92216,0.96049
14,14,2010,East,Yes,0.03854,137,13751,0.03136,0.04677
15,15,2010,East,No,0.96146,3017,13751,0.91632,0.99591
16,16,2011,West,Yes,0.07193,1242,16572,0.06724,0.07597
17,17,2011,West,No,0.92807,11590,16572,0.90967,0.94362
18,18,2011,East,Yes,0.04607,181,16572,0.03971,0.05319
19,19,2011,East,No,0.95393,3559,16572,0.92084,0.98425
20,20,2012,West,Yes,0.07681,1303,16291,0.0723,0.0824
21,21,2012,West,No,0.92319,11276,16291,0.9057,0.93778
22,22,2012,East,Yes,0.05593,215,16291,0.04809,0.06357
23,23,2012,East,No,0.94407,3497,16291,0.91336,0.97594
24,24,2013,West,Yes,0.08293,1354,17863,0.07738,0.08927
25,25,2013,West,No,0.91707,12854,17863,0.90022,0.93686
26,26,2013,East,Yes,0.05882,209,17863,0.05023,0.07111
27,27,2013,East,No,0.94118,3446,17863,0.90868,0.97515
28,28,2014,West,Yes,0.0905,1320,15816,0.08575,0.09692
29,29,2014,West,No,0.9095,11118,15816,0.88995,0.9299
30,30,2014,East,Yes,0.06578,221,15816,0.05591,0.07759
31,31,2014,East,No,0.93422,3157,15816,0.90203,0.96855
32,32,2015,West,Yes,0.09276,1334,15745,0.08759,0.09839
33,33,2015,West,No,0.90724,11135,15745,0.88853,0.92725
34,34,2015,East,Yes,0.07664,234,15745,0.06484,0.08927
35,35,2015,East,No,0.92336,3042,15745,0.88511,0.95481
36,36,2016,West,Yes,0.09036,1205,14287,0.08421,0.09612
37,37,2016,West,No,0.90964,10014,14287,0.89005,0.92665
38,38,2016,East,Yes,0.07712,218,14287,0.06452,0.0879
39,39,2016,East,No,0.92288,2850,14287,0.88005,0.95994
40,40,2017,West,Yes,0.09695,1431,15654,0.09202,0.10194
41,41,2017,West,No,0.90305,10813,15654,0.88486,0.92289
42,42,2017,East,Yes,0.08054,253,15654,0.06796,0.09331
43,43,2017,East,No,0.91946,3157,15654,0.8845,0.95125
44,44,2018,West,Yes,0.09882,1377,15424,0.09366,0.10566
45,45,2018,West,No,0.90118,10624,15424,0.88321,0.91908
46,46,2018,East,Yes,0.07792,261,15424,0.06731,0.0901
47,47,2018,East,No,0.92208,3162,15424,0.8885,0.96039
48,48,2019,West,Yes,0.10375,1197,12607,0.09768,0.11101
49,49,2019,West,No,0.89625,8566,12607,0.87215,0.91701
50,50,2019,East,Yes,0.08084,226,12607,0.06739,0.09707
51,51,2019,East,No,0.91916,2618,12607,0.87935,0.95309
52,52,2020,West,Yes,0.11399,1621,16248,0.10706,0.11992
53,53,2020,West,No,0.88601,11202,16248,0.86072,0.90463
54,54,2020,East,Yes,0.08184,318,16248,0.06756,0.09388
55,55,2020,East,No,0.91816,3107,16248,0.88014,0.95259
56,56,2021,West,Yes,0.112,1064,9945,0.10421,0.12045
57,57,2021,West,No,0.888,6707,9945,0.86555,0.91222
58,58,2021,East,Yes,0.09154,201,9945,0.07443,0.10623
59,59,2021,East,No,0.90846,1973,9945,0.85809,0.97383
