year,quintil_oecd_hh,sampreg,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,1st Quintile,West,No,0.99206,1300,1300,0.98723,0.99689
2007,1st Quintile,East,No,0.98342,584,584,0.97305,0.99378
2007,2nd Quintile,West,Yes,0.02393,38,1415,0.01596,0.03189
2007,2nd Quintile,West,No,0.97607,1377,1415,0.96811,0.98404
2007,2nd Quintile,East,No,0.97993,608,608,0.96878,0.99109
2007,3rd Quintile,West,Yes,0.03795,82,1511,0.02831,0.04759
2007,3rd Quintile,West,No,0.96205,1429,1511,0.95241,0.97169
2007,3rd Quintile,East,No,0.95021,607,607,0.93289,0.96753
2007,4th Quintile,West,Yes,0.05051,110,1759,0.04027,0.06074
2007,4th Quintile,West,No,0.94949,1649,1759,0.93926,0.95973
2007,4th Quintile,East,No,0.96988,477,477,0.95452,0.98523
2007,5th Quintile,West,Yes,0.05686,187,2412,0.04762,0.06610
2007,5th Quintile,West,No,0.94314,2225,2412,0.93390,0.95238
2007,5th Quintile,East,No,0.97385,305,305,0.95591,0.99179
2008,1st Quintile,West,No,0.98752,1245,1245,0.98136,0.99369
2008,1st Quintile,East,No,0.98701,573,573,0.97772,0.99629
2008,2nd Quintile,West,Yes,0.02795,56,1329,0.01908,0.03681
2008,2nd Quintile,West,No,0.97205,1273,1329,0.96319,0.98092
2008,2nd Quintile,East,No,0.97071,594,594,0.95714,0.98428
2008,3rd Quintile,West,Yes,0.04963,87,1487,0.03859,0.06068
2008,3rd Quintile,West,No,0.95037,1400,1487,0.93932,0.96141
2008,3rd Quintile,East,No,0.96774,638,638,0.95402,0.98146
2008,4th Quintile,West,Yes,0.05920,117,1665,0.04786,0.07054
2008,4th Quintile,West,No,0.94080,1548,1665,0.92946,0.95214
2008,4th Quintile,East,No,0.97227,410,410,0.95636,0.98818
2008,5th Quintile,West,Yes,0.07242,205,2318,0.06186,0.08297
2008,5th Quintile,West,No,0.92758,2113,2318,0.91703,0.93814
2008,5th Quintile,East,No,0.96676,323,323,0.94718,0.98634
2009,1st Quintile,West,No,0.98513,1181,1181,0.97823,0.99204
2009,1st Quintile,East,No,0.98464,576,576,0.97459,0.99469
2009,2nd Quintile,West,Yes,0.03397,53,1258,0.02396,0.04399
2009,2nd Quintile,West,No,0.96603,1205,1258,0.95601,0.97604
2009,2nd Quintile,East,No,0.96783,597,597,0.95367,0.98200
2009,3rd Quintile,West,Yes,0.05403,96,1347,0.04195,0.06610
2009,3rd Quintile,West,No,0.94597,1251,1347,0.93390,0.95805
2009,3rd Quintile,East,No,0.96853,573,573,0.95422,0.98284
2009,4th Quintile,West,Yes,0.07321,139,1633,0.06057,0.08584
2009,4th Quintile,West,No,0.92679,1494,1633,0.91416,0.93943
2009,4th Quintile,East,No,0.95609,403,403,0.93606,0.97612
2009,5th Quintile,West,Yes,0.07970,228,2139,0.06822,0.09118
2009,5th Quintile,West,No,0.92030,1911,2139,0.90882,0.93178
2009,5th Quintile,East,No,0.93331,297,297,0.90489,0.96173
2010,1st Quintile,West,Yes,0.02632,65,2273,0.01974,0.03291
2010,1st Quintile,West,No,0.97368,2208,2273,0.96709,0.98026
2010,1st Quintile,East,No,0.98668,847,847,0.97895,0.99441
2010,2nd Quintile,West,Yes,0.03981,137,2054,0.03136,0.04827
2010,2nd Quintile,West,No,0.96019,1917,2054,0.95173,0.96864
2010,2nd Quintile,East,No,0.96111,832,832,0.94797,0.97426
2010,3rd Quintile,West,Yes,0.06402,173,1900,0.05301,0.07503
2010,3rd Quintile,West,No,0.93598,1727,1900,0.92497,0.94699
2010,3rd Quintile,East,No,0.96343,620,620,0.94864,0.97822
2010,4th Quintile,West,Yes,0.08111,215,1985,0.06910,0.09313
2010,4th Quintile,West,No,0.91889,1770,1985,0.90687,0.93090
2010,4th Quintile,East,No,0.95206,439,439,0.93206,0.97207
2010,5th Quintile,West,Yes,0.08482,298,2382,0.07363,0.09601
2010,5th Quintile,West,No,0.91518,2084,2382,0.90399,0.92637
2010,5th Quintile,East,Yes,0.10207,38,316,0.06864,0.13551
2010,5th Quintile,East,No,0.89793,278,316,0.86449,0.93136
2011,1st Quintile,West,Yes,0.02569,91,2601,0.01961,0.03177
2011,1st Quintile,West,No,0.97431,2510,2601,0.96823,0.98039
2011,1st Quintile,East,No,0.97294,1073,1073,0.96323,0.98265
2011,2nd Quintile,West,Yes,0.05607,197,2448,0.04695,0.06518
2011,2nd Quintile,West,No,0.94393,2251,2448,0.93482,0.95305
2011,2nd Quintile,East,Yes,0.04279,35,958,0.02997,0.05561
2011,2nd Quintile,East,No,0.95721,923,958,0.94439,0.97003
2011,3rd Quintile,West,Yes,0.07169,248,2430,0.06143,0.08195
2011,3rd Quintile,West,No,0.92831,2182,2430,0.91805,0.93857
2011,3rd Quintile,East,Yes,0.04501,44,789,0.03053,0.05949
2011,3rd Quintile,East,No,0.95499,745,789,0.94051,0.96947
2011,4th Quintile,West,Yes,0.09402,324,2523,0.08263,0.10541
2011,4th Quintile,West,No,0.90598,2199,2523,0.89459,0.91737
2011,4th Quintile,East,Yes,0.05600,37,535,0.03650,0.07550
2011,4th Quintile,East,No,0.94400,498,535,0.92450,0.96350
2011,5th Quintile,West,Yes,0.10186,382,2827,0.09070,0.11301
2011,5th Quintile,West,No,0.89814,2445,2827,0.88699,0.90930
2011,5th Quintile,East,Yes,0.10448,40,360,0.07284,0.13612
2011,5th Quintile,East,No,0.89552,320,360,0.86388,0.92716
2012,1st Quintile,West,Yes,0.02132,77,2540,0.01570,0.02694
2012,1st Quintile,West,No,0.97868,2463,2540,0.97306,0.98430
2012,1st Quintile,East,No,0.97564,1025,1025,0.96620,0.98509
2012,2nd Quintile,West,Yes,0.06010,205,2496,0.05077,0.06942
2012,2nd Quintile,West,No,0.93990,2291,2496,0.93058,0.94923
2012,2nd Quintile,East,Yes,0.05011,41,812,0.03509,0.06512
2012,2nd Quintile,East,No,0.94989,771,812,0.93488,0.96491
2012,3rd Quintile,West,Yes,0.07803,284,2391,0.06728,0.08878
2012,3rd Quintile,West,No,0.92197,2107,2391,0.91122,0.93272
2012,3rd Quintile,East,Yes,0.05702,43,809,0.04103,0.07301
2012,3rd Quintile,East,No,0.94298,766,809,0.92699,0.95897
2012,4th Quintile,West,Yes,0.10521,344,2443,0.09304,0.11738
2012,4th Quintile,West,No,0.89479,2099,2443,0.88262,0.90696
2012,4th Quintile,East,Yes,0.07961,51,585,0.05765,0.10156
2012,4th Quintile,East,No,0.92039,534,585,0.89844,0.94235
2012,5th Quintile,West,Yes,0.11020,393,2705,0.09840,0.12201
2012,5th Quintile,West,No,0.88980,2312,2705,0.87799,0.90160
2012,5th Quintile,East,Yes,0.10617,51,450,0.07767,0.13466
2012,5th Quintile,East,No,0.89383,399,450,0.86534,0.92233
2013,1st Quintile,West,Yes,0.02210,83,3166,0.01698,0.02722
2013,1st Quintile,West,No,0.97790,3083,3166,0.97278,0.98302
2013,1st Quintile,East,No,0.98185,1044,1044,0.97375,0.98995
2013,2nd Quintile,West,Yes,0.06335,210,2901,0.05448,0.07222
2013,2nd Quintile,West,No,0.93665,2691,2901,0.92778,0.94552
2013,2nd Quintile,East,Yes,0.05366,44,955,0.03936,0.06796
2013,2nd Quintile,East,No,0.94634,911,955,0.93204,0.96064
2013,3rd Quintile,West,Yes,0.09989,312,2650,0.08847,0.11131
2013,3rd Quintile,West,No,0.90011,2338,2650,0.88869,0.91153
2013,3rd Quintile,East,Yes,0.07548,47,737,0.05640,0.09457
2013,3rd Quintile,East,No,0.92452,690,737,0.90543,0.94360
2013,4th Quintile,West,Yes,0.09837,310,2589,0.08689,0.10984
2013,4th Quintile,West,No,0.90163,2279,2589,0.89016,0.91311
2013,4th Quintile,East,Yes,0.06618,46,525,0.04490,0.08747
2013,4th Quintile,East,No,0.93382,479,525,0.91253,0.95510
2013,5th Quintile,West,Yes,0.12209,439,2894,0.11016,0.13402
2013,5th Quintile,West,No,0.87791,2455,2894,0.86598,0.88984
2013,5th Quintile,East,Yes,0.13968,46,368,0.10421,0.17515
2013,5th Quintile,East,No,0.86032,322,368,0.82485,0.89579
2014,1st Quintile,West,Yes,0.03533,98,2557,0.02818,0.04249
2014,1st Quintile,West,No,0.96467,2459,2557,0.95751,0.97182
2014,1st Quintile,East,No,0.96952,866,866,0.95806,0.98097
2014,2nd Quintile,West,Yes,0.06577,190,2452,0.05596,0.07558
2014,2nd Quintile,West,No,0.93423,2262,2452,0.92442,0.94404
2014,2nd Quintile,East,Yes,0.04531,35,860,0.03140,0.05922
2014,2nd Quintile,East,No,0.95469,825,860,0.94078,0.96860
2014,3rd Quintile,West,Yes,0.09389,266,2377,0.08217,0.10562
2014,3rd Quintile,West,No,0.90611,2111,2377,0.89438,0.91783
2014,3rd Quintile,East,Yes,0.07980,60,730,0.06013,0.09947
2014,3rd Quintile,East,No,0.92020,670,730,0.90053,0.93987
2014,4th Quintile,West,Yes,0.10454,323,2397,0.09229,0.11679
2014,4th Quintile,West,No,0.89546,2074,2397,0.88321,0.90771
2014,4th Quintile,East,Yes,0.10475,54,528,0.07860,0.13090
2014,4th Quintile,East,No,0.89525,474,528,0.86910,0.92140
2014,5th Quintile,West,Yes,0.14418,443,2650,0.13080,0.15756
2014,5th Quintile,West,No,0.85582,2207,2650,0.84244,0.86920
2014,5th Quintile,East,Yes,0.11799,46,368,0.08499,0.15100
2014,5th Quintile,East,No,0.88201,322,368,0.84900,0.91501
2015,1st Quintile,West,Yes,0.02294,86,2668,0.01726,0.02863
2015,1st Quintile,West,No,0.97706,2582,2668,0.97137,0.98274
2015,1st Quintile,East,No,0.96513,850,850,0.95279,0.97747
2015,2nd Quintile,West,Yes,0.06852,186,2459,0.05853,0.07850
2015,2nd Quintile,West,No,0.93148,2273,2459,0.92150,0.94147
2015,2nd Quintile,East,Yes,0.05794,46,920,0.04283,0.07304
2015,2nd Quintile,East,No,0.94206,874,920,0.92696,0.95717
2015,3rd Quintile,West,Yes,0.09321,263,2370,0.08151,0.10492
2015,3rd Quintile,West,No,0.90679,2107,2370,0.89508,0.91849
2015,3rd Quintile,East,Yes,0.09137,54,643,0.06908,0.11366
2015,3rd Quintile,East,No,0.90863,589,643,0.88634,0.93092
2015,4th Quintile,West,Yes,0.11857,348,2339,0.10546,0.13167
2015,4th Quintile,West,No,0.88143,1991,2339,0.86833,0.89454
2015,4th Quintile,East,Yes,0.09231,49,490,0.06665,0.11797
2015,4th Quintile,East,No,0.90769,441,490,0.88203,0.93335
2015,5th Quintile,West,Yes,0.14819,451,2628,0.13460,0.16178
2015,5th Quintile,West,No,0.85181,2177,2628,0.83822,0.86540
2015,5th Quintile,East,Yes,0.19719,58,345,0.15515,0.23924
2015,5th Quintile,East,No,0.80281,287,345,0.76076,0.84485
2016,1st Quintile,West,Yes,0.02673,67,2273,0.02010,0.03336
2016,1st Quintile,West,No,0.97327,2206,2273,0.96664,0.97990
2016,1st Quintile,East,No,0.96308,792,792,0.94994,0.97622
2016,2nd Quintile,West,Yes,0.06196,164,2240,0.05198,0.07195
2016,2nd Quintile,West,No,0.93804,2076,2240,0.92805,0.94802
2016,2nd Quintile,East,Yes,0.05178,39,797,0.03639,0.06718
2016,2nd Quintile,East,No,0.94822,758,797,0.93282,0.96361
2016,3rd Quintile,West,Yes,0.09143,239,2069,0.07900,0.10385
2016,3rd Quintile,West,No,0.90857,1830,2069,0.89615,0.92100
2016,3rd Quintile,East,Yes,0.09452,53,671,0.07237,0.11667
2016,3rd Quintile,East,No,0.90548,618,671,0.88333,0.92763
2016,4th Quintile,West,Yes,0.09691,306,2204,0.08456,0.10927
2016,4th Quintile,West,No,0.90309,1898,2204,0.89073,0.91544
2016,4th Quintile,East,Yes,0.11347,49,457,0.08436,0.14258
2016,4th Quintile,East,No,0.88653,408,457,0.85742,0.91564
2016,5th Quintile,West,Yes,0.16163,429,2428,0.14698,0.17628
2016,5th Quintile,West,No,0.83837,1999,2428,0.82372,0.85302
2016,5th Quintile,East,Yes,0.15847,52,326,0.11877,0.19818
2016,5th Quintile,East,No,0.84153,274,326,0.80182,0.88123
2017,1st Quintile,West,Yes,0.02986,69,2319,0.02293,0.03679
2017,1st Quintile,West,No,0.97014,2250,2319,0.96321,0.97707
2017,1st Quintile,East,No,0.95214,848,848,0.93776,0.96652
2017,2nd Quintile,West,Yes,0.06286,171,2331,0.05300,0.07271
2017,2nd Quintile,West,No,0.93714,2160,2331,0.92729,0.94700
2017,2nd Quintile,East,Yes,0.07137,47,902,0.05456,0.08818
2017,2nd Quintile,East,No,0.92863,855,902,0.91182,0.94544
2017,3rd Quintile,West,Yes,0.09501,295,2364,0.08319,0.10683
2017,3rd Quintile,West,No,0.90499,2069,2364,0.89317,0.91681
2017,3rd Quintile,East,Yes,0.10315,70,722,0.08095,0.12535
2017,3rd Quintile,East,No,0.89685,652,722,0.87465,0.91905
2017,4th Quintile,West,Yes,0.12301,400,2513,0.11017,0.13585
2017,4th Quintile,West,No,0.87699,2113,2513,0.86415,0.88983
2017,4th Quintile,East,Yes,0.05594,51,529,0.03634,0.07555
2017,4th Quintile,East,No,0.94406,478,529,0.92445,0.96366
2017,5th Quintile,West,Yes,0.15837,496,2713,0.14463,0.17211
2017,5th Quintile,West,No,0.84163,2217,2713,0.82789,0.85537
2017,5th Quintile,East,Yes,0.18108,56,380,0.14231,0.21985
2017,5th Quintile,East,No,0.81892,324,380,0.78015,0.85769
2018,1st Quintile,West,Yes,0.03206,74,2364,0.02496,0.03917
2018,1st Quintile,West,No,0.96794,2290,2364,0.96083,0.97504
2018,1st Quintile,East,Yes,0.02538,31,942,0.01533,0.03543
2018,1st Quintile,East,No,0.97462,911,942,0.96457,0.98467
2018,2nd Quintile,West,Yes,0.06261,188,2350,0.05282,0.07241
2018,2nd Quintile,West,No,0.93739,2162,2350,0.92759,0.94718
2018,2nd Quintile,East,Yes,0.05560,48,943,0.04097,0.07023
2018,2nd Quintile,East,No,0.94440,895,943,0.92977,0.95903
2018,3rd Quintile,West,Yes,0.09155,257,2259,0.07966,0.10345
2018,3rd Quintile,West,No,0.90845,2002,2259,0.89655,0.92034
2018,3rd Quintile,East,Yes,0.11863,66,678,0.09427,0.14299
2018,3rd Quintile,East,No,0.88137,612,678,0.85701,0.90573
2018,4th Quintile,West,Yes,0.12244,356,2379,0.10926,0.13561
2018,4th Quintile,West,No,0.87756,2023,2379,0.86439,0.89074
2018,4th Quintile,East,Yes,0.11462,61,497,0.08659,0.14266
2018,4th Quintile,East,No,0.88538,436,497,0.85734,0.91341
2018,5th Quintile,West,Yes,0.16863,501,2644,0.15436,0.18291
2018,5th Quintile,West,No,0.83137,2143,2644,0.81709,0.84564
2018,5th Quintile,East,Yes,0.14662,55,363,0.11018,0.18306
2018,5th Quintile,East,No,0.85338,308,363,0.81694,0.88982
2019,1st Quintile,West,Yes,0.04272,64,1711,0.03314,0.05231
2019,1st Quintile,West,No,0.95728,1647,1711,0.94769,0.96686
2019,1st Quintile,East,No,0.97854,691,691,0.96772,0.98935
2019,2nd Quintile,West,Yes,0.07302,156,1889,0.06128,0.08475
2019,2nd Quintile,West,No,0.92698,1733,1889,0.91525,0.93872
2019,2nd Quintile,East,Yes,0.06104,40,728,0.04364,0.07845
2019,2nd Quintile,East,No,0.93896,688,728,0.92155,0.95636
2019,3rd Quintile,West,Yes,0.08413,206,1897,0.07164,0.09663
2019,3rd Quintile,West,No,0.91587,1691,1897,0.90337,0.92836
2019,3rd Quintile,East,Yes,0.10862,57,612,0.08395,0.13330
2019,3rd Quintile,East,No,0.89138,555,612,0.86670,0.91605
2019,4th Quintile,West,Yes,0.13578,330,2013,0.12081,0.15074
2019,4th Quintile,West,No,0.86422,1683,2013,0.84926,0.87919
2019,4th Quintile,East,Yes,0.12328,55,448,0.09280,0.15376
2019,4th Quintile,East,No,0.87672,393,448,0.84624,0.90720
2019,5th Quintile,West,Yes,0.16892,441,2252,0.15344,0.18439
2019,5th Quintile,West,No,0.83108,1811,2252,0.81561,0.84656
2019,5th Quintile,East,Yes,0.15557,53,342,0.11710,0.19404
2019,5th Quintile,East,No,0.84443,289,342,0.80596,0.88290
2020,1st Quintile,West,Yes,0.04194,107,2619,0.03426,0.04962
2020,1st Quintile,West,No,0.95806,2512,2619,0.95038,0.96574
2020,1st Quintile,East,No,0.98526,798,798,0.97689,0.99363
2020,2nd Quintile,West,Yes,0.06291,179,2470,0.05334,0.07249
2020,2nd Quintile,West,No,0.93709,2291,2470,0.92751,0.94666
2020,2nd Quintile,East,Yes,0.06479,58,856,0.04829,0.08130
2020,2nd Quintile,East,No,0.93521,798,856,0.91870,0.95171
2020,3rd Quintile,West,Yes,0.12788,296,2220,0.11399,0.14178
2020,3rd Quintile,West,No,0.87212,1924,2220,0.85822,0.88601
2020,3rd Quintile,East,Yes,0.12643,55,659,0.10104,0.15183
2020,3rd Quintile,East,No,0.87357,604,659,0.84817,0.89896
2020,4th Quintile,West,Yes,0.14906,376,2336,0.13462,0.16351
2020,4th Quintile,West,No,0.85094,1960,2336,0.83649,0.86538
2020,4th Quintile,East,Yes,0.10077,68,517,0.07480,0.12675
2020,4th Quintile,East,No,0.89923,449,517,0.87325,0.92520
2020,5th Quintile,West,Yes,0.17391,662,3152,0.16067,0.18714
2020,5th Quintile,West,No,0.82609,2490,3152,0.81286,0.83933
2020,5th Quintile,East,Yes,0.16532,120,576,0.13496,0.19568
2020,5th Quintile,East,No,0.83468,456,576,0.80432,0.86504
2021,1st Quintile,West,Yes,0.05052,68,1300,0.03861,0.06243
2021,1st Quintile,West,No,0.94948,1232,1300,0.93757,0.96139
2021,1st Quintile,East,No,0.95798,463,463,0.93968,0.97627
2021,2nd Quintile,West,Yes,0.07106,130,1454,0.05785,0.08427
2021,2nd Quintile,West,No,0.92894,1324,1454,0.91573,0.94215
2021,2nd Quintile,East,Yes,0.07241,36,523,0.05018,0.09464
2021,2nd Quintile,East,No,0.92759,487,523,0.90536,0.94982
2021,3rd Quintile,West,Yes,0.09526,168,1413,0.07995,0.11057
2021,3rd Quintile,West,No,0.90474,1245,1413,0.88943,0.92005
2021,3rd Quintile,East,Yes,0.09949,40,434,0.07130,0.12768
2021,3rd Quintile,East,No,0.90051,394,434,0.87232,0.92870
2021,4th Quintile,West,Yes,0.15852,273,1531,0.14022,0.17683
2021,4th Quintile,West,No,0.84148,1258,1531,0.82317,0.85978
2021,4th Quintile,East,Yes,0.10407,45,365,0.07270,0.13544
2021,4th Quintile,East,No,0.89593,320,365,0.86456,0.92730
2021,5th Quintile,West,Yes,0.16704,425,2059,0.15092,0.18315
2021,5th Quintile,West,No,0.83296,1634,2059,0.81685,0.84908
2021,5th Quintile,East,Yes,0.19119,66,372,0.15118,0.23121
2021,5th Quintile,East,No,0.80881,306,372,0.76879,0.84882
2022,Not included in this version of the questionnaire,West,No,0.93446,141,141,0.89347,0.97546
2022,Not included in this version of the questionnaire,East,No,0.99090,48,48,0.96376,1.01805
2022,1st Quintile,West,Yes,0.10094,365,3394,0.09080,0.11107
2022,1st Quintile,West,No,0.89906,3029,3394,0.88893,0.90920
2022,1st Quintile,East,Yes,0.05954,93,1123,0.04569,0.07338
2022,1st Quintile,East,No,0.94046,1030,1123,0.92662,0.95431
2022,2nd Quintile,West,Yes,0.10808,351,2873,0.09673,0.11944
2022,2nd Quintile,West,No,0.89192,2522,2873,0.88056,0.90327
2022,2nd Quintile,East,Yes,0.09661,93,992,0.07822,0.11500
2022,2nd Quintile,East,No,0.90339,899,992,0.88500,0.92178
2022,3rd Quintile,West,Yes,0.13951,400,2574,0.12612,0.15290
2022,3rd Quintile,West,No,0.86049,2174,2574,0.84710,0.87388
2022,3rd Quintile,East,Yes,0.10211,102,818,0.08135,0.12287
2022,3rd Quintile,East,No,0.89789,716,818,0.87713,0.91865
2022,4th Quintile,West,Yes,0.17486,534,2773,0.16072,0.18901
2022,4th Quintile,West,No,0.82514,2239,2773,0.81099,0.83928
2022,4th Quintile,East,Yes,0.11260,86,638,0.08805,0.13714
2022,4th Quintile,East,No,0.88740,552,638,0.86286,0.91195
2022,5th Quintile,West,Yes,0.20231,787,3244,0.18848,0.21614
2022,5th Quintile,West,No,0.79769,2457,3244,0.78386,0.81152
2022,5th Quintile,East,Yes,0.17001,140,582,0.13947,0.20056
2022,5th Quintile,East,No,0.82999,442,582,0.79944,0.86053
