year,bula_h,rentown,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Schleswig-Holstein,Owner,No,0.88967,175,175,0.84311,0.93622
2007,Schleswig-Holstein,Tenant,No,0.95390,163,163,0.92160,0.98619
2007,Hamburg,Owner,No,0.95112,43,43,0.88591,1.01633
2007,Hamburg,Tenant,No,0.97354,141,141,0.94696,1.00013
2007,Lower Saxony,Owner,Yes,0.05733,40,580,0.03840,0.07627
2007,Lower Saxony,Owner,No,0.90691,540,580,0.88324,0.93057
2007,Lower Saxony,Tenant,No,0.95506,396,396,0.93463,0.97549
2007,Bremen,Owner,No,0.77012,32,32,0.62200,0.91824
2007,North Rhine-Westphalia,Owner,Yes,0.03514,52,1071,0.02411,0.04618
2007,North Rhine-Westphalia,Owner,No,0.90400,1019,1071,0.88634,0.92165
2007,North Rhine-Westphalia,Tenant,No,0.96515,1189,1189,0.95472,0.97558
2007,Hesse,Owner,Yes,0.07654,41,375,0.04960,0.10349
2007,Hesse,Owner,No,0.87454,334,375,0.84097,0.90811
2007,Hesse,Tenant,No,0.94084,373,373,0.91687,0.96482
2007,"Rhineland-Palatinate, Saarland",Owner,No,0.85630,343,343,0.81912,0.89347
2007,"Rhineland-Palatinate, Saarland",Tenant,No,0.96227,270,270,0.93951,0.98504
2007,Baden-Wuerttemberg,Owner,Yes,0.07981,71,711,0.05988,0.09975
2007,Baden-Wuerttemberg,Owner,No,0.88050,640,711,0.85664,0.90436
2007,Baden-Wuerttemberg,Tenant,No,0.95127,594,594,0.93395,0.96860
2007,Bavaria,Owner,Yes,0.10730,132,895,0.08701,0.12759
2007,Bavaria,Owner,No,0.84639,763,895,0.82275,0.87002
2007,Bavaria,Tenant,No,0.93133,666,666,0.91211,0.95055
2007,Berlin,Owner,No,0.97807,88,88,0.94730,1.00885
2007,Berlin,Tenant,No,0.90729,351,351,0.87691,0.93768
2007,Brandenburg,Owner,No,0.88061,167,167,0.83128,0.92994
2007,Brandenburg,Tenant,No,0.98552,292,292,0.97179,0.99924
2007,Mecklenburg-Western Pomerania,Owner,No,0.80225,113,113,0.72848,0.87602
2007,Mecklenburg-Western Pomerania,Tenant,No,0.99794,153,153,0.99072,1.00515
2007,Saxony,Owner,Yes,0.09555,33,314,0.06298,0.12812
2007,Saxony,Owner,No,0.85715,281,314,0.81838,0.89592
2007,Saxony,Tenant,No,0.94127,487,487,0.92037,0.96217
2007,Saxony-Anhalt,Owner,No,0.92509,201,201,0.88861,0.96158
2007,Saxony-Anhalt,Tenant,No,0.91628,237,237,0.88094,0.95161
2007,Thuringa,Owner,No,0.89788,230,230,0.85865,0.93710
2007,Thuringa,Tenant,No,0.94115,232,232,0.91080,0.97150
2008,Schleswig-Holstein,Owner,No,0.92113,162,162,0.87949,0.96276
2008,Schleswig-Holstein,Tenant,No,0.97075,148,148,0.94351,0.99799
2008,Hamburg,Owner,No,0.97131,44,44,0.92142,1.02121
2008,Lower Saxony,Owner,Yes,0.04816,37,580,0.03072,0.06560
2008,Lower Saxony,Owner,No,0.94102,543,580,0.92183,0.96021
2008,Lower Saxony,Tenant,No,0.98054,371,371,0.96646,0.99461
2008,Bremen,Owner,No,0.83934,31,31,0.70793,0.97074
2008,Bremen,Tenant,No,0.96198,46,46,0.90611,1.01786
2008,North Rhine-Westphalia,Owner,Yes,0.04945,62,1037,0.03625,0.06266
2008,North Rhine-Westphalia,Owner,No,0.92511,975,1037,0.90908,0.94114
2008,North Rhine-Westphalia,Tenant,No,0.97136,1098,1098,0.96149,0.98123
2008,Hesse,Owner,Yes,0.09536,44,373,0.06551,0.12520
2008,Hesse,Owner,No,0.88342,329,373,0.85081,0.91604
2008,Hesse,Tenant,No,0.95663,341,341,0.93498,0.97828
2008,"Rhineland-Palatinate, Saarland",Owner,No,0.90420,328,328,0.87230,0.93610
2008,"Rhineland-Palatinate, Saarland",Tenant,No,0.95572,258,258,0.93056,0.98087
2008,Baden-Wuerttemberg,Owner,Yes,0.09867,86,703,0.07661,0.12073
2008,Baden-Wuerttemberg,Owner,No,0.88679,617,703,0.86335,0.91022
2008,Baden-Wuerttemberg,Tenant,No,0.96163,552,552,0.94559,0.97767
2008,Bavaria,Owner,Yes,0.12128,140,863,0.09948,0.14307
2008,Bavaria,Owner,No,0.85481,723,863,0.83129,0.87833
2008,Bavaria,Tenant,No,0.94981,626,626,0.93270,0.96693
2008,Berlin,Owner,No,0.96178,86,86,0.92103,1.00254
2008,Berlin,Tenant,No,0.96904,351,351,0.95089,0.98718
2008,Brandenburg,Owner,No,0.94418,179,179,0.91045,0.97790
2008,Brandenburg,Tenant,No,0.99108,271,271,0.97986,1.00229
2008,Mecklenburg-Western Pomerania,Owner,No,0.93335,119,119,0.88835,0.97835
2008,Mecklenburg-Western Pomerania,Tenant,No,0.96941,147,147,0.94147,0.99734
2008,Saxony,Owner,Yes,0.10970,34,305,0.07457,0.14483
2008,Saxony,Owner,No,0.87170,271,305,0.83411,0.90929
2008,Saxony,Tenant,No,0.98306,482,482,0.97152,0.99459
2008,Saxony-Anhalt,Owner,No,0.94240,195,195,0.90962,0.97519
2008,Saxony-Anhalt,Tenant,No,0.98504,229,229,0.96928,1.00080
2008,Thuringa,Owner,No,0.94969,229,229,0.92132,0.97806
2008,Thuringa,Tenant,No,0.97126,229,229,0.94958,0.99295
2009,Schleswig-Holstein,Owner,No,0.93570,156,156,0.89708,0.97431
2009,Schleswig-Holstein,Tenant,No,0.97591,132,132,0.94966,1.00217
2009,Hamburg,Owner,No,0.98109,45,45,0.94085,1.02134
2009,Hamburg,Tenant,No,0.96224,127,127,0.92895,0.99552
2009,Lower Saxony,Owner,Yes,0.06227,44,536,0.04179,0.08274
2009,Lower Saxony,Owner,No,0.93080,492,536,0.90930,0.95231
2009,Lower Saxony,Tenant,No,0.97980,369,369,0.96542,0.99417
2009,North Rhine-Westphalia,Owner,Yes,0.05382,70,976,0.03966,0.06799
2009,North Rhine-Westphalia,Owner,No,0.92923,906,976,0.91313,0.94533
2009,North Rhine-Westphalia,Tenant,No,0.98580,1028,1028,0.97856,0.99303
2009,Hesse,Owner,Yes,0.10022,44,353,0.06885,0.13160
2009,Hesse,Owner,No,0.89435,309,353,0.86224,0.92647
2009,Hesse,Tenant,No,0.95379,331,331,0.93114,0.97644
2009,"Rhineland-Palatinate, Saarland",Owner,No,0.89479,306,306,0.86035,0.92922
2009,"Rhineland-Palatinate, Saarland",Tenant,No,0.97924,239,239,0.96113,0.99736
2009,Baden-Wuerttemberg,Owner,Yes,0.12935,100,642,0.10337,0.15533
2009,Baden-Wuerttemberg,Owner,No,0.86149,542,642,0.83474,0.88823
2009,Baden-Wuerttemberg,Tenant,No,0.97161,492,492,0.95692,0.98630
2009,Bavaria,Owner,Yes,0.14298,153,812,0.11888,0.16707
2009,Bavaria,Owner,No,0.84598,659,812,0.82114,0.87083
2009,Bavaria,Tenant,No,0.96084,606,606,0.94538,0.97630
2009,Berlin,Owner,No,0.97274,88,88,0.93853,1.00696
2009,Berlin,Tenant,No,0.98727,345,345,0.97542,0.99912
2009,Brandenburg,Owner,No,0.93719,174,174,0.90104,0.97335
2009,Brandenburg,Tenant,No,0.95828,250,250,0.93344,0.98312
2009,Mecklenburg-Western Pomerania,Owner,No,0.93529,121,121,0.89128,0.97931
2009,Saxony,Owner,Yes,0.11959,32,298,0.08269,0.15650
2009,Saxony,Owner,No,0.88041,266,298,0.84350,0.91731
2009,Saxony,Tenant,No,0.98420,451,451,0.97268,0.99572
2009,Saxony-Anhalt,Owner,No,0.91409,191,191,0.87425,0.95394
2009,Saxony-Anhalt,Tenant,No,0.99128,218,218,0.97892,1.00365
2009,Thuringa,Owner,No,0.95830,218,218,0.93170,0.98490
2009,Thuringa,Tenant,No,0.98016,218,218,0.96160,0.99871
2010,Schleswig-Holstein,Owner,No,0.94743,202,202,0.91658,0.97828
2010,Schleswig-Holstein,Tenant,No,0.98421,233,233,0.96817,1.00025
2010,Hamburg,Owner,No,0.96582,58,58,0.91866,1.01299
2010,Hamburg,Tenant,No,0.97169,178,178,0.94726,0.99613
2010,Lower Saxony,Owner,Yes,0.07272,76,660,0.05289,0.09254
2010,Lower Saxony,Owner,No,0.92728,584,660,0.90746,0.94711
2010,Lower Saxony,Tenant,No,0.97164,580,580,0.95812,0.98516
2010,Bremen,Owner,No,0.94980,37,37,0.87846,1.02113
2010,Bremen,Tenant,No,0.99242,63,63,0.97084,1.01401
2010,North Rhine-Westphalia,Owner,Yes,0.05795,114,1231,0.04489,0.07100
2010,North Rhine-Westphalia,Owner,No,0.93749,1117,1231,0.92396,0.95102
2010,North Rhine-Westphalia,Tenant,Yes,0.01548,32,1573,0.00938,0.02158
2010,North Rhine-Westphalia,Tenant,No,0.97793,1541,1573,0.97067,0.98519
2010,Hesse,Owner,Yes,0.09112,50,428,0.06382,0.11842
2010,Hesse,Owner,No,0.90338,378,428,0.87535,0.93140
2010,Hesse,Tenant,No,0.93832,517,517,0.91756,0.95908
2010,"Rhineland-Palatinate, Saarland",Owner,Yes,0.09864,44,439,0.07071,0.12656
2010,"Rhineland-Palatinate, Saarland",Owner,No,0.89247,395,439,0.86346,0.92149
2010,"Rhineland-Palatinate, Saarland",Tenant,No,0.98551,326,326,0.97251,0.99850
2010,Baden-Wuerttemberg,Owner,Yes,0.13779,155,848,0.11458,0.16101
2010,Baden-Wuerttemberg,Owner,No,0.85534,693,848,0.83166,0.87903
2010,Baden-Wuerttemberg,Tenant,No,0.95955,745,745,0.94539,0.97371
2010,Bavaria,Owner,Yes,0.15295,270,1083,0.13150,0.17439
2010,Bavaria,Owner,No,0.84641,813,1083,0.82493,0.86789
2010,Bavaria,Tenant,Yes,0.04576,49,945,0.03243,0.05909
2010,Bavaria,Tenant,No,0.93094,896,945,0.91476,0.94711
2010,Berlin,Owner,No,0.95674,100,100,0.91667,0.99682
2010,Berlin,Tenant,No,0.98740,484,484,0.97746,0.99735
2010,Brandenburg,Owner,No,0.92575,207,207,0.88995,0.96155
2010,Brandenburg,Tenant,No,0.97354,323,323,0.95601,0.99107
2010,Mecklenburg-Western Pomerania,Owner,No,0.89276,127,127,0.83873,0.94678
2010,Mecklenburg-Western Pomerania,Tenant,No,0.99638,214,214,0.98831,1.00445
2010,Saxony,Owner,Yes,0.10336,35,339,0.07090,0.13581
2010,Saxony,Owner,No,0.89664,304,339,0.86419,0.92910
2010,Saxony,Tenant,No,0.98359,586,586,0.97330,0.99389
2010,Saxony-Anhalt,Owner,No,0.93991,227,227,0.90893,0.97090
2010,Saxony-Anhalt,Tenant,No,0.96455,286,286,0.94308,0.98602
2010,Thuringa,Owner,No,0.92279,243,243,0.88915,0.95642
2010,Thuringa,Tenant,No,0.97948,269,269,0.96251,0.99645
2011,Schleswig-Holstein,Owner,No,0.93104,255,255,0.89988,0.96220
2011,Schleswig-Holstein,Tenant,No,0.98120,315,315,0.96618,0.99622
2011,Hamburg,Owner,No,0.98123,62,62,0.94717,1.01529
2011,Hamburg,Tenant,No,0.98640,199,199,0.97026,1.00253
2011,Lower Saxony,Owner,Yes,0.08924,103,846,0.07002,0.10846
2011,Lower Saxony,Owner,No,0.90886,743,846,0.88946,0.92827
2011,Lower Saxony,Tenant,No,0.97809,646,646,0.96679,0.98939
2011,Bremen,Owner,No,0.96129,37,37,0.89828,1.02431
2011,Bremen,Tenant,No,0.95528,79,79,0.90941,1.00115
2011,North Rhine-Westphalia,Owner,Yes,0.07791,157,1459,0.06415,0.09167
2011,North Rhine-Westphalia,Owner,No,0.91840,1302,1459,0.90435,0.93245
2011,North Rhine-Westphalia,Tenant,Yes,0.01437,34,1830,0.00892,0.01983
2011,North Rhine-Westphalia,Tenant,No,0.98518,1796,1830,0.97964,0.99072
2011,Hesse,Owner,Yes,0.10025,75,554,0.07522,0.12528
2011,Hesse,Owner,No,0.89822,479,554,0.87302,0.92342
2011,Hesse,Tenant,No,0.95492,585,585,0.93809,0.97175
2011,"Rhineland-Palatinate, Saarland",Owner,Yes,0.11988,60,536,0.09236,0.14741
2011,"Rhineland-Palatinate, Saarland",Owner,No,0.87598,476,536,0.84805,0.90391
2011,"Rhineland-Palatinate, Saarland",Tenant,No,0.98740,395,395,0.97638,0.99841
2011,Baden-Wuerttemberg,Owner,Yes,0.16213,234,1082,0.14015,0.18410
2011,Baden-Wuerttemberg,Owner,No,0.83698,848,1082,0.81496,0.85900
2011,Baden-Wuerttemberg,Tenant,Yes,0.06060,47,916,0.04514,0.07606
2011,Baden-Wuerttemberg,Tenant,No,0.93486,869,916,0.91887,0.95085
2011,Bavaria,Owner,Yes,0.18219,365,1361,0.16167,0.20270
2011,Bavaria,Owner,No,0.81689,996,1361,0.79633,0.83744
2011,Bavaria,Tenant,Yes,0.04450,70,1208,0.03287,0.05614
2011,Bavaria,Tenant,No,0.94448,1138,1208,0.93156,0.95740
2011,Berlin,Owner,No,0.95600,116,116,0.91851,0.99348
2011,Berlin,Tenant,No,0.99405,544,544,0.98758,1.00052
2011,Brandenburg,Owner,No,0.92251,259,259,0.88988,0.95513
2011,Brandenburg,Tenant,No,0.97597,380,380,0.96055,0.99139
2011,Mecklenburg-Western Pomerania,Owner,No,0.87713,129,129,0.82026,0.93401
2011,Mecklenburg-Western Pomerania,Tenant,No,0.98837,259,259,0.97528,1.00145
2011,Saxony,Owner,Yes,0.13367,44,370,0.09895,0.16839
2011,Saxony,Owner,No,0.86633,326,370,0.83161,0.90105
2011,Saxony,Tenant,No,0.98141,670,670,0.97117,0.99164
2011,Saxony-Anhalt,Owner,No,0.93520,253,253,0.90481,0.96560
2011,Saxony-Anhalt,Tenant,No,0.96263,371,371,0.94330,0.98196
2011,Thuringa,Owner,No,0.92885,269,269,0.89807,0.95963
2011,Thuringa,Tenant,No,0.96296,353,353,0.94323,0.98269
2012,Schleswig-Holstein,Owner,Yes,0.09237,33,288,0.05887,0.12587
2012,Schleswig-Holstein,Owner,No,0.90763,255,288,0.87413,0.94113
2012,Schleswig-Holstein,Tenant,No,0.99212,310,310,0.98227,1.00198
2012,Hamburg,Owner,No,0.95576,67,67,0.90615,1.00537
2012,Hamburg,Tenant,No,0.98816,198,198,0.97306,1.00327
2012,Lower Saxony,Owner,Yes,0.09141,117,821,0.07168,0.11113
