year,migback,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Yes,0.10658,992,8628,0.10007,0.11309
1984,No migration background,No,0.73066,7636,8628,0.72130,0.74002
1984,Direct migration background,Yes,0.06304,162,3342,0.05480,0.07128
1984,Direct migration background,No,0.81701,3180,3342,0.80390,0.83013
1984,Indirect migration background,No,0.11154,118,118,0.05450,0.16859
1985,No migration background,Yes,0.10540,884,7912,0.09863,0.11216
1985,No migration background,No,0.74130,7028,7912,0.73165,0.75095
1985,Direct migration background,Yes,0.07506,141,2888,0.06545,0.08467
1985,Direct migration background,No,0.83036,2747,2888,0.81667,0.84405
1985,Indirect migration background,No,0.13711,133,133,0.07843,0.19578
1987,No migration background,Yes,0.10362,804,7431,0.09669,0.11055
1987,No migration background,No,0.74392,6627,7431,0.73399,0.75384
1987,Direct migration background,Yes,0.09079,167,2785,0.08012,0.10147
1987,Direct migration background,No,0.83612,2618,2785,0.82237,0.84987
1987,Indirect migration background,No,0.13068,162,162,0.07862,0.18274
1988,No migration background,Yes,0.11414,829,7047,0.10671,0.12156
1988,No migration background,No,0.73212,6218,7047,0.72177,0.74246
1988,Direct migration background,Yes,0.10539,198,2655,0.09371,0.11707
1988,Direct migration background,No,0.82575,2457,2655,0.81132,0.84018
1988,Indirect migration background,No,0.15308,208,208,0.10403,0.20213
1989,No migration background,Yes,0.11920,824,6779,0.11149,0.12692
1989,No migration background,No,0.72850,5955,6779,0.71792,0.73909
1989,Direct migration background,Yes,0.10037,187,2579,0.08877,0.11197
1989,Direct migration background,No,0.84257,2392,2579,0.82851,0.85663
1989,Indirect migration background,No,0.17504,248,248,0.12765,0.22243
1991,No migration background,Yes,0.09358,821,6548,0.08652,0.10063
1991,No migration background,No,0.55183,5727,6548,0.53979,0.56388
1991,Direct migration background,Yes,0.10410,207,2462,0.09203,0.11616
1991,Direct migration background,No,0.77706,2255,2462,0.76061,0.79350
1991,Indirect migration background,No,0.19585,336,336,0.15335,0.23835
1992,No migration background,Yes,0.11157,1110,10233,0.10547,0.11767
1992,No migration background,No,0.71071,9123,10233,0.70193,0.71950
1992,Direct migration background,Yes,0.12568,241,2500,0.11269,0.13868
1992,Direct migration background,No,0.83488,2259,2500,0.82033,0.84944
1992,Indirect migration background,No,0.24091,391,391,0.19846,0.28335
1994,No migration background,Yes,0.10598,1020,9920,0.09992,0.11204
1994,No migration background,No,0.71217,8900,9920,0.70326,0.72108
1994,Direct migration background,Yes,0.13327,248,2321,0.11944,0.14710
1994,Direct migration background,No,0.83781,2073,2321,0.82281,0.85281
1994,Indirect migration background,No,0.31106,475,475,0.26938,0.35274
1995,No migration background,Yes,0.11557,1075,9884,0.10927,0.12187
1995,No migration background,No,0.70306,8809,9884,0.69406,0.71207
1995,Direct migration background,Yes,0.11345,269,2747,0.10159,0.12531
1995,Direct migration background,No,0.80997,2478,2747,0.79530,0.82465
1995,Indirect migration background,No,0.30210,487,487,0.26128,0.34292
1996,No migration background,Yes,0.11776,1092,9872,0.11141,0.12412
1996,No migration background,No,0.71423,8780,9872,0.70532,0.72315
1996,Direct migration background,Yes,0.12080,260,2592,0.10825,0.13335
1996,Direct migration background,No,0.81919,2332,2592,0.80437,0.83401
1996,Indirect migration background,No,0.31906,530,530,0.27934,0.35878
1997,No migration background,Yes,0.11755,1082,9731,0.11115,0.12395
1997,No migration background,No,0.70987,8649,9731,0.70085,0.71889
1997,Direct migration background,Yes,0.11522,247,2453,0.10258,0.12785
1997,Direct migration background,No,0.82224,2206,2453,0.80711,0.83737
1997,Indirect migration background,No,0.34168,547,547,0.30189,0.38146
1998,No migration background,Yes,0.11721,1278,11138,0.11124,0.12318
1998,No migration background,No,0.71008,9860,11138,0.70165,0.71851
1998,Direct migration background,Yes,0.11234,249,2381,0.09966,0.12503
1998,Direct migration background,No,0.82397,2132,2381,0.80867,0.83927
1998,Indirect migration background,No,0.38056,580,580,0.34101,0.42011
1999,No migration background,Yes,0.12015,1245,10839,0.11403,0.12627
1999,No migration background,No,0.71798,9594,10839,0.70951,0.72645
1999,Direct migration background,Yes,0.11655,233,2196,0.10313,0.12997
1999,Direct migration background,No,0.83036,1963,2196,0.81466,0.84606
1999,Indirect migration background,No,0.38334,583,583,0.34384,0.42284
2000,No migration background,Yes,0.10998,2298,19912,0.10563,0.11433
2000,No migration background,No,0.73127,17614,19912,0.72512,0.73743
2000,Direct migration background,Yes,0.08732,293,3296,0.07768,0.09696
2000,Direct migration background,No,0.82866,3003,3296,0.81579,0.84153
2000,Indirect migration background,No,0.37348,785,785,0.33962,0.40734
2001,No migration background,Yes,0.11099,2083,18172,0.10642,0.11556
2001,No migration background,No,0.73321,16089,18172,0.72678,0.73964
2001,Direct migration background,Yes,0.08819,263,2894,0.07785,0.09852
2001,Direct migration background,No,0.83749,2631,2894,0.82405,0.85093
2001,Indirect migration background,Yes,0.01787,34,762,0.00846,0.02728
2001,Indirect migration background,No,0.35376,728,762,0.31979,0.38773
2002,No migration background,Yes,0.11923,2254,19350,0.11466,0.12380
2002,No migration background,No,0.72362,17096,19350,0.71732,0.72993
2002,Direct migration background,Yes,0.09287,261,2782,0.08208,0.10365
2002,Direct migration background,No,0.84535,2521,2782,0.83191,0.85878
2002,Indirect migration background,Yes,0.01553,31,763,0.00675,0.02430
2002,Indirect migration background,No,0.35790,732,763,0.32386,0.39194
2003,No migration background,Yes,0.11850,2200,18680,0.11387,0.12314
2003,No migration background,No,0.72684,16480,18680,0.72045,0.73323
2003,Direct migration background,Yes,0.09214,252,2602,0.08102,0.10325
2003,Direct migration background,No,0.84850,2350,2602,0.83472,0.86228
2003,Indirect migration background,No,0.37218,741,741,0.33735,0.40701
2004,No migration background,Yes,0.12236,2204,18203,0.11760,0.12712
2004,No migration background,No,0.72565,15999,18203,0.71917,0.73213
2004,Direct migration background,Yes,0.10315,265,2527,0.09129,0.11502
2004,Direct migration background,No,0.85056,2262,2527,0.83666,0.86447
2004,Indirect migration background,Yes,0.01646,31,792,0.00759,0.02532
2004,Indirect migration background,No,0.39821,761,792,0.36410,0.43233
2005,No migration background,Yes,0.12151,2172,17400,0.11666,0.12637
2005,No migration background,No,0.72721,15228,17400,0.72059,0.73383
2005,Direct migration background,Yes,0.10065,254,2351,0.08849,0.11282
2005,Direct migration background,No,0.85415,2097,2351,0.83988,0.86842
2005,Indirect migration background,No,0.44402,795,795,0.40946,0.47858
2006,No migration background,Yes,0.12445,2409,18721,0.11972,0.12917
2006,No migration background,No,0.72360,16312,18721,0.71719,0.73000
2006,Direct migration background,Yes,0.11181,274,2370,0.09912,0.12450
2006,Direct migration background,No,0.84497,2096,2370,0.83040,0.85955
2006,Indirect migration background,No,0.43364,783,783,0.39890,0.46837
2007,No migration background,Yes,0.12404,2286,17529,0.11916,0.12892
2007,No migration background,No,0.72252,15243,17529,0.71589,0.72915
2007,Direct migration background,Yes,0.11206,239,2108,0.09859,0.12553
2007,Direct migration background,No,0.84449,1869,2108,0.82902,0.85997
2007,Indirect migration background,No,0.45105,749,749,0.41539,0.48671
2008,No migration background,Yes,0.12336,2162,16568,0.11835,0.12837
2008,No migration background,No,0.72565,14406,16568,0.71885,0.73244
2008,Direct migration background,Yes,0.10938,216,1900,0.09534,0.12341
2008,Direct migration background,No,0.86247,1684,1900,0.84698,0.87796
2008,Indirect migration background,No,0.46870,731,731,0.43250,0.50490
2009,No migration background,Yes,0.12460,2086,15572,0.11941,0.12979
2009,No migration background,No,0.72622,13486,15572,0.71921,0.73322
2009,Direct migration background,Yes,0.11400,198,1655,0.09869,0.12932
2009,Direct migration background,No,0.86022,1457,1655,0.84351,0.87693
2009,Indirect migration background,No,0.51219,678,678,0.47454,0.54985
2010,No migration background,Yes,0.12538,2184,19854,0.12077,0.12998
2010,No migration background,No,0.73091,17670,19854,0.72474,0.73708
2010,Direct migration background,Yes,0.10744,216,2944,0.09625,0.11863
2010,Direct migration background,No,0.86251,2728,2944,0.85006,0.87495
2010,Indirect migration background,Yes,0.02318,41,1103,0.01429,0.03206
2010,Indirect migration background,No,0.44413,1062,1103,0.41480,0.47347
2011,No migration background,Yes,0.12450,2772,23695,0.12030,0.12871
2011,No migration background,No,0.72189,20923,23695,0.71618,0.72759
2011,Direct migration background,Yes,0.09187,254,3287,0.08200,0.10175
2011,Direct migration background,No,0.87143,3033,3287,0.85998,0.88287
2011,Indirect migration background,Yes,0.02420,56,1253,0.01569,0.03271
2011,Indirect migration background,No,0.43440,1197,1253,0.40694,0.46186
2012,No migration background,Yes,0.13090,2930,23194,0.12656,0.13524
2012,No migration background,No,0.72075,20264,23194,0.71498,0.72653
