year,regtyp,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Yes,0.10376,816,8585,0.09731,0.11021
1985,Urban regions,No,0.73088,7769,8585,0.72150,0.74027
1985,Rural regions,Yes,0.08841,213,2352,0.07693,0.09989
1985,Rural regions,No,0.73395,2139,2352,0.71609,0.75182
1987,Urban regions,Yes,0.10290,780,8173,0.09631,0.10948
1987,Urban regions,No,0.73387,7393,8173,0.72429,0.74345
1987,Rural regions,Yes,0.08837,199,2213,0.07654,0.10019
1987,Rural regions,No,0.72375,2014,2213,0.70512,0.74238
1988,Urban regions,Yes,0.11510,840,7851,0.10804,0.12216
1988,Urban regions,No,0.72077,7011,7851,0.71084,0.73069
1988,Rural regions,Yes,0.09330,198,2070,0.08077,0.10583
1988,Rural regions,No,0.71725,1872,2070,0.69785,0.73666
1989,Urban regions,Yes,0.11462,807,7648,0.10748,0.12176
1989,Urban regions,No,0.72239,6841,7648,0.71236,0.73243
1989,Rural regions,Yes,0.10924,212,1966,0.09545,0.12303
1989,Rural regions,No,0.70376,1754,1966,0.68357,0.72395
1991,Urban regions,Yes,0.10455,821,7364,0.09756,0.11154
1991,Urban regions,No,0.63174,6543,7364,0.62072,0.64276
1991,Rural regions,Yes,0.06495,215,1990,0.05412,0.07578
1991,Rural regions,No,0.41316,1775,1990,0.39152,0.43480
1992,Urban regions,Yes,0.11466,933,8540,0.10791,0.12142
1992,Urban regions,No,0.70159,7607,8540,0.69188,0.71129
1992,Rural regions,Yes,0.09706,418,4479,0.08839,0.10573
1992,Rural regions,No,0.70688,4061,4479,0.69355,0.72021
1994,Urban regions,Yes,0.11006,888,8359,0.10336,0.11677
1994,Urban regions,No,0.70299,7471,8359,0.69320,0.71279
1994,Rural regions,Yes,0.09137,391,4368,0.08282,0.09991
1994,Rural regions,No,0.71053,3977,4368,0.69708,0.72398
1995,Urban regions,Yes,0.11756,958,8610,0.11076,0.12436
1995,Urban regions,No,0.69542,7652,8610,0.68569,0.70514
1995,Rural regions,Yes,0.09557,398,4520,0.08700,0.10415
1995,Rural regions,No,0.70314,4122,4520,0.68982,0.71646
1996,Urban regions,Yes,0.11630,932,8504,0.10949,0.12312
1996,Urban regions,No,0.70775,7572,8504,0.69808,0.71741
1996,Rural regions,Yes,0.10542,433,4503,0.09645,0.11439
1996,Rural regions,No,0.70734,4070,4503,0.69405,0.72063
1997,Urban regions,Yes,0.11517,911,8322,0.10831,0.12203
1997,Urban regions,No,0.70606,7411,8322,0.69627,0.71585
1997,Rural regions,Yes,0.10509,434,4424,0.09605,0.11413
1997,Rural regions,No,0.70092,3990,4424,0.68743,0.71442
1998,Urban regions,Yes,0.11490,1048,9191,0.10838,0.12142
1998,Urban regions,No,0.70620,8143,9191,0.69689,0.71551
1998,Rural regions,Yes,0.10132,495,4924,0.09289,0.10975
1998,Rural regions,No,0.70279,4429,4924,0.69003,0.71556
1999,Urban regions,Yes,0.11807,1016,8848,0.11135,0.12480
1999,Urban regions,No,0.70993,7832,8848,0.70047,0.71939
1999,Rural regions,Yes,0.10292,482,4790,0.09431,0.11152
1999,Rural regions,No,0.71353,4308,4790,0.70073,0.72634
2000,Urban regions,Yes,0.10526,1775,15645,0.10045,0.11007
2000,Urban regions,No,0.71979,13870,15645,0.71275,0.72683
2000,Rural regions,Yes,0.09421,843,8375,0.08796,0.10047
2000,Rural regions,No,0.72697,7532,8375,0.71742,0.73651
2001,Urban regions,Yes,0.10690,1634,14243,0.10183,0.11198
2001,Urban regions,No,0.71728,12609,14243,0.70988,0.72467
2001,Rural regions,Yes,0.09386,746,7585,0.08730,0.10043
2001,Rural regions,No,0.73114,6839,7585,0.72117,0.74112
2002,Urban regions,Yes,0.11355,1739,15188,0.10851,0.11860
2002,Urban regions,No,0.71199,13449,15188,0.70479,0.71919
2002,Rural regions,Yes,0.10213,807,7707,0.09537,0.10889
2002,Rural regions,No,0.72141,6900,7707,0.71140,0.73142
2003,Urban regions,Yes,0.11179,1692,14653,0.10669,0.11689
2003,Urban regions,No,0.71306,12961,14653,0.70574,0.72038
2003,Rural regions,Yes,0.10202,788,7398,0.09512,0.10891
2003,Rural regions,No,0.72775,6610,7398,0.71760,0.73789
2004,Urban regions,Yes,0.11533,1703,14289,0.11009,0.12057
2004,Urban regions,No,0.71323,12586,14289,0.70581,0.72064
2004,Rural regions,Yes,0.10807,797,7233,0.10091,0.11523
2004,Rural regions,No,0.72788,6436,7233,0.71762,0.73814
2005,Urban regions,Yes,0.11312,1658,13674,0.10781,0.11842
2005,Urban regions,No,0.71968,12016,13674,0.71215,0.72721
2005,Rural regions,Yes,0.10839,792,6896,0.10105,0.11573
2005,Rural regions,No,0.72665,6104,6896,0.71613,0.73717
2006,Urban regions,Yes,0.11779,1822,14395,0.11252,0.12305
2006,Urban regions,No,0.71303,12573,14395,0.70564,0.72042
2006,Rural regions,Yes,0.10848,887,7505,0.10144,0.11552
2006,Rural regions,No,0.72145,6618,7505,0.71131,0.73160
2007,Urban regions,Yes,0.11700,1703,13376,0.11156,0.12245
2007,Urban regions,No,0.71021,11673,13376,0.70252,0.71790
2007,Rural regions,Yes,0.10890,849,7037,0.10162,0.11618
2007,Rural regions,No,0.72592,6188,7037,0.71550,0.73634
2008,Urban regions,Yes,0.11422,1590,12610,0.10866,0.11977
2008,Urban regions,No,0.71773,11020,12610,0.70988,0.72559
2008,Rural regions,Yes,0.11252,817,6618,0.10490,0.12013
2008,Rural regions,No,0.72593,5801,6618,0.71518,0.73668
2009,Urban regions,Yes,0.11714,1514,11624,0.11129,0.12299
2009,Urban regions,No,0.71839,10110,11624,0.71021,0.72657
2009,Rural regions,Yes,0.11057,798,6309,0.10283,0.11831
2009,Rural regions,No,0.73387,5511,6309,0.72297,0.74478
2010,Urban regions,Yes,0.11632,1606,15587,0.11128,0.12135
2010,Urban regions,No,0.72377,13981,15587,0.71675,0.73079
2010,Rural regions,Yes,0.11406,835,8314,0.10723,0.12089
2010,Rural regions,No,0.72741,7479,8314,0.71783,0.73698
2011,Urban regions,Yes,0.11431,1970,18068,0.10967,0.11895
2011,Urban regions,No,0.71394,16098,18068,0.70735,0.72053
2011,Rural regions,Yes,0.11134,1112,10167,0.10523,0.11746
2011,Rural regions,No,0.72481,9055,10167,0.71613,0.73349
2012,Urban regions,Yes,0.11823,2047,17434,0.11344,0.12303
2012,Urban regions,No,0.71417,15387,17434,0.70746,0.72088
2012,Rural regions,Yes,0.12124,1204,10098,0.11488,0.12761
2012,Rural regions,No,0.71901,8894,10098,0.71024,0.72778
2013,Urban regions,Yes,0.11610,2114,20071,0.11166,0.12053
2013,Urban regions,No,0.71704,17957,20071,0.71081,0.72327
2013,Rural regions,Yes,0.11804,1148,10452,0.11186,0.12423
2013,Rural regions,No,0.72228,9304,10452,0.71370,0.73087
2014,Urban regions,Yes,0.12094,2009,17590,0.11612,0.12576
2014,Urban regions,No,0.71435,15581,17590,0.70767,0.72102
2014,Rural regions,Yes,0.12826,1170,9433,0.12151,0.13500
2014,Rural regions,No,0.72185,8263,9433,0.71281,0.73090
2015,Urban regions,Yes,0.11910,1861,17393,0.11429,0.12392
