year,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Yes,0.10010,1159,12093,0.09476,0.10545
1984,No,0.72185,10934,12093,0.71386,0.72983
1985,Yes,0.09993,1029,10937,0.09431,0.10555
1985,No,0.73165,9908,10937,0.72335,0.73996
1987,Yes,0.09933,979,10386,0.09358,0.10508
1987,No,0.73138,9407,10386,0.72286,0.73991
1988,Yes,0.10982,1038,9921,0.10366,0.11597
1988,No,0.71992,8883,9921,0.71108,0.72875
1989,Yes,0.11335,1019,9614,0.10701,0.11968
1989,No,0.71799,8595,9614,0.70899,0.72698
1991,Yes,0.09127,1036,9354,0.08543,0.09710
1991,No,0.55816,8318,9354,0.54810,0.56823
1992,Yes,0.10881,1362,13135,0.10348,0.11413
1992,No,0.70288,11773,13135,0.69506,0.71070
1994,Yes,0.10418,1279,12727,0.09888,0.10949
1994,No,0.70536,11448,12727,0.69744,0.71329
1995,Yes,0.11052,1356,13130,0.10516,0.11588
1995,No,0.69789,11774,13130,0.69004,0.70574
1996,Yes,0.11289,1365,13007,0.10745,0.11833
1996,No,0.70762,11642,13007,0.69980,0.71544
1997,Yes,0.11199,1345,12747,0.10652,0.11746
1997,No,0.70448,11402,12747,0.69656,0.71240
1998,Yes,0.11059,1543,14115,0.10542,0.11577
1998,No,0.70512,12572,14115,0.69760,0.71264
1999,Yes,0.11331,1498,13638,0.10799,0.11863
1999,No,0.71106,12140,13638,0.70346,0.71867
2000,Yes,0.10172,2618,24020,0.09790,0.10555
2000,No,0.72209,21402,24020,0.71642,0.72775
2001,Yes,0.10275,2380,21828,0.09872,0.10678
2001,No,0.72169,19448,21828,0.71575,0.72764
2002,Yes,0.10989,2546,22895,0.10584,0.11395
2002,No,0.71501,20349,22895,0.70916,0.72086
2003,Yes,0.10869,2480,22051,0.10458,0.11280
2003,No,0.71772,19571,22051,0.71177,0.72366
2004,Yes,0.11304,2500,21522,0.10881,0.11727
2004,No,0.71784,19022,21522,0.71183,0.72386
2005,Yes,0.11162,2450,20570,0.10732,0.11592
2005,No,0.72189,18120,20570,0.71576,0.72801
2006,Yes,0.11479,2709,21900,0.11057,0.11901
2006,No,0.71574,19191,21900,0.70976,0.72171
2007,Yes,0.11440,2552,20413,0.11003,0.11877
2007,No,0.71526,17861,20413,0.70907,0.72145
2008,Yes,0.11367,2407,19228,0.10919,0.11816
2008,No,0.72035,16821,19228,0.71400,0.72669
2009,Yes,0.11502,2312,17933,0.11035,0.11969
2009,No,0.72340,15621,17933,0.71685,0.72994
2010,Yes,0.11560,2441,23901,0.11155,0.11966
2010,No,0.72492,21460,23901,0.71926,0.73059
2011,Yes,0.11335,3082,28235,0.10965,0.11704
2011,No,0.71748,25153,28235,0.71223,0.72273
2012,Yes,0.11922,3251,27532,0.11539,0.12304
2012,No,0.71575,24281,27532,0.71042,0.72108
2013,Yes,0.11673,3262,30523,0.11313,0.12033
2013,No,0.71875,27261,30523,0.71371,0.72379
2014,Yes,0.12330,3179,27023,0.11938,0.12722
2014,No,0.71676,23844,27023,0.71139,0.72213
2015,Yes,0.11969,2931,26657,0.11579,0.12359
2015,No,0.71819,23726,26657,0.71279,0.72359
2016,Yes,0.11724,2754,24204,0.11319,0.12130
2016,No,0.71519,21450,24204,0.70951,0.72088
2017,Yes,0.11513,3045,26487,0.11129,0.11897
2017,No,0.71594,23442,26487,0.71051,0.72137
2018,Yes,0.11606,3104,25584,0.11213,0.11998
2018,No,0.71732,22480,25584,0.71180,0.72284
2019,Yes,0.11507,3006,25647,0.11117,0.11898
2019,No,0.71307,22641,25647,0.70754,0.71861
2020,Yes,0.11514,2928,28318,0.11143,0.11886
2020,No,0.71499,25390,28318,0.70973,0.72025
2021,Yes,0.11863,2166,19264,0.11407,0.12320
2021,No,0.70938,17098,19264,0.70297,0.71579
