year,sex,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Yes,0.12043,695,5918,0.11214,0.12873
1984,male,No,0.68804,5223,5918,0.67623,0.69984
1984,female,Yes,0.08151,464,6175,0.07469,0.08834
1984,female,No,0.75276,5711,6175,0.74200,0.76352
1985,male,Yes,0.12130,624,5388,0.11258,0.13001
1985,male,No,0.70201,4764,5388,0.68979,0.71422
1985,female,Yes,0.08044,405,5549,0.07328,0.08760
1985,female,No,0.75868,5144,5549,0.74742,0.76994
1987,male,Yes,0.11743,584,5142,0.10863,0.12623
1987,male,No,0.70346,4558,5142,0.69097,0.71594
1987,female,Yes,0.08264,395,5244,0.07519,0.09010
1987,female,No,0.75713,4849,5244,0.74553,0.76874
1988,male,Yes,0.12812,620,4916,0.11877,0.13746
1988,male,No,0.69422,4296,4916,0.68134,0.70710
1988,female,Yes,0.09280,418,5005,0.08476,0.10084
1988,female,No,0.74381,4587,5005,0.73171,0.75590
1989,male,Yes,0.13187,600,4748,0.12225,0.14150
1989,male,No,0.69155,4148,4748,0.67841,0.70469
1989,female,Yes,0.09607,419,4866,0.08779,0.10435
1989,female,No,0.74264,4447,4866,0.73035,0.75492
1991,male,Yes,0.10738,622,4608,0.09844,0.11632
1991,male,No,0.53308,3986,4608,0.51867,0.54749
1991,female,Yes,0.07614,414,4746,0.06860,0.08369
1991,female,No,0.58171,4332,4746,0.56767,0.59574
1992,male,Yes,0.12625,795,6388,0.11811,0.13440
1992,male,No,0.67809,5593,6388,0.66663,0.68955
1992,female,Yes,0.09234,567,6747,0.08543,0.09925
1992,female,No,0.72628,6180,6747,0.71564,0.73692
1994,male,Yes,0.11681,722,6156,0.10879,0.12484
1994,male,No,0.68559,5434,6156,0.67400,0.69719
1994,female,Yes,0.09219,557,6571,0.08519,0.09918
1994,female,No,0.72414,6014,6571,0.71333,0.73495
1995,male,Yes,0.12070,747,6344,0.11268,0.12872
1995,male,No,0.68015,5597,6344,0.66867,0.69162
1995,female,Yes,0.10083,609,6786,0.09367,0.10799
1995,female,No,0.71477,6177,6786,0.70403,0.72552
1996,male,Yes,0.12685,753,6275,0.11862,0.13509
1996,male,No,0.68174,5522,6275,0.67022,0.69327
1996,female,Yes,0.09957,612,6732,0.09241,0.10672
1996,female,No,0.73230,6120,6732,0.72172,0.74288
1997,male,Yes,0.12755,743,6175,0.11923,0.13587
1997,male,No,0.67949,5432,6175,0.66784,0.69113
1997,female,Yes,0.09712,602,6572,0.08996,0.10428
1997,female,No,0.72836,5970,6572,0.71761,0.73912
1998,male,Yes,0.12276,849,6834,0.11498,0.13054
1998,male,No,0.68575,5985,6834,0.67474,0.69676
1998,female,Yes,0.09896,694,7281,0.09211,0.10582
1998,female,No,0.72363,6587,7281,0.71336,0.73391
1999,male,Yes,0.12359,810,6592,0.11564,0.13153
1999,male,No,0.69352,5782,6592,0.68239,0.70465
1999,female,Yes,0.10347,688,7046,0.09635,0.11058
1999,female,No,0.72786,6358,7046,0.71747,0.73826
2000,male,Yes,0.11442,1456,11545,0.10861,0.12022
2000,male,No,0.70102,10089,11545,0.69267,0.70937
2000,female,Yes,0.08957,1162,12475,0.08456,0.09458
2000,female,No,0.74226,11313,12475,0.73458,0.74994
2001,male,Yes,0.11447,1306,10480,0.10838,0.12057
2001,male,No,0.70248,9174,10480,0.69373,0.71124
2001,female,Yes,0.09151,1074,11348,0.08620,0.09681
2001,female,No,0.74012,10274,11348,0.73205,0.74819
2002,male,Yes,0.12040,1395,11068,0.11434,0.12646
2002,male,No,0.69663,9673,11068,0.68807,0.70520
2002,female,Yes,0.09980,1151,11827,0.09439,0.10520
2002,female,No,0.73267,10676,11827,0.72469,0.74064
2003,male,Yes,0.11932,1352,10629,0.11315,0.12548
2003,male,No,0.70086,9277,10629,0.69216,0.70957
2003,female,Yes,0.09847,1128,11422,0.09300,0.10393
2003,female,No,0.73393,10294,11422,0.72582,0.74203
2004,male,Yes,0.12380,1354,10352,0.11745,0.13014
2004,male,No,0.70250,8998,10352,0.69369,0.71130
2004,female,Yes,0.10268,1146,11170,0.09705,0.10831
