year,quintil_oecd,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Yes,0.10534,241,2467,0.09322,0.11746
1984,1st Quintile,No,0.65722,2226,2467,0.63848,0.67595
1984,2nd Quintile,Yes,0.10620,242,2368,0.09379,0.11861
1984,2nd Quintile,No,0.68307,2126,2368,0.66433,0.70182
1984,3rd Quintile,Yes,0.09577,227,2352,0.08387,0.10766
1984,3rd Quintile,No,0.72182,2125,2352,0.70370,0.73993
1984,4th Quintile,Yes,0.09245,218,2488,0.08107,0.10384
1984,4th Quintile,No,0.75627,2270,2488,0.73940,0.77314
1984,5th Quintile,Yes,0.09973,227,2396,0.08773,0.11173
1984,5th Quintile,No,0.79087,2169,2396,0.77459,0.80716
1985,1st Quintile,Yes,0.10146,208,2228,0.08892,0.11400
1985,1st Quintile,No,0.66485,2020,2228,0.64525,0.68446
1985,2nd Quintile,Yes,0.10589,218,2134,0.09283,0.11895
1985,2nd Quintile,No,0.68238,1916,2134,0.66262,0.70213
1985,3rd Quintile,Yes,0.10710,214,2189,0.09414,0.12005
1985,3rd Quintile,No,0.73167,1975,2189,0.71310,0.75023
1985,4th Quintile,Yes,0.07891,173,2215,0.06768,0.09014
1985,4th Quintile,No,0.78800,2042,2215,0.77098,0.80503
1985,5th Quintile,Yes,0.10663,216,2163,0.09362,0.11964
1985,5th Quintile,No,0.79053,1947,2163,0.77337,0.80768
1987,1st Quintile,Yes,0.11482,217,2006,0.10086,0.12877
1987,1st Quintile,No,0.66455,1789,2006,0.64388,0.68522
1987,2nd Quintile,Yes,0.09760,176,2035,0.08470,0.11050
1987,2nd Quintile,No,0.68456,1859,2035,0.66437,0.70476
1987,3rd Quintile,Yes,0.09907,204,2087,0.08625,0.11189
1987,3rd Quintile,No,0.71793,1883,2087,0.69862,0.73724
1987,4th Quintile,Yes,0.09285,191,2181,0.08067,0.10503
1987,4th Quintile,No,0.78527,1990,2181,0.76804,0.80251
1987,5th Quintile,Yes,0.09244,191,2074,0.07997,0.10491
1987,5th Quintile,No,0.80440,1883,2074,0.78732,0.82147
1988,1st Quintile,Yes,0.13756,244,1959,0.12231,0.15282
1988,1st Quintile,No,0.63571,1715,1959,0.61440,0.65703
1988,2nd Quintile,Yes,0.11205,198,1974,0.09814,0.12597
1988,2nd Quintile,No,0.66846,1776,1974,0.64768,0.68923
1988,3rd Quintile,Yes,0.10863,211,1994,0.09497,0.12229
1988,3rd Quintile,No,0.71582,1783,1994,0.69602,0.73562
1988,4th Quintile,Yes,0.09771,204,2063,0.08490,0.11053
1988,4th Quintile,No,0.76780,1859,2063,0.74957,0.78602
1988,5th Quintile,Yes,0.09327,181,1929,0.08029,0.10625
1988,5th Quintile,No,0.81147,1748,1929,0.79401,0.82893
1989,1st Quintile,Yes,0.13802,231,1904,0.12252,0.15352
1989,1st Quintile,No,0.63468,1673,1904,0.61304,0.65631
1989,2nd Quintile,Yes,0.11217,199,1953,0.09817,0.12617
1989,2nd Quintile,No,0.66095,1754,1953,0.63995,0.68195
1989,3rd Quintile,Yes,0.10472,193,1883,0.09089,0.11855
1989,3rd Quintile,No,0.71917,1690,1883,0.69887,0.73948
1989,4th Quintile,Yes,0.11366,215,2032,0.09986,0.12747
1989,4th Quintile,No,0.77576,1817,2032,0.75762,0.79390
1989,5th Quintile,Yes,0.09818,181,1841,0.08458,0.11178
1989,5th Quintile,No,0.79932,1660,1841,0.78102,0.81762
1991,1st Quintile,Yes,0.15592,264,1827,0.13928,0.17255
1991,1st Quintile,No,0.61477,1563,1827,0.59245,0.63709
1991,2nd Quintile,Yes,0.11318,200,1876,0.09884,0.12752
1991,2nd Quintile,No,0.65796,1676,1876,0.63649,0.67943
1991,3rd Quintile,Yes,0.10686,197,1888,0.09292,0.12080
1991,3rd Quintile,No,0.69502,1691,1888,0.67424,0.71579
1991,4th Quintile,Yes,0.10930,198,1936,0.09539,0.12320
1991,4th Quintile,No,0.76538,1738,1936,0.74650,0.78426
