year,sampreg,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Yes,0.10010,1159,12093,0.09476,0.10545
1984,West,No,0.72185,10934,12093,0.71386,0.72983
1985,West,Yes,0.09993,1029,10937,0.09431,0.10555
1985,West,No,0.73165,9908,10937,0.72335,0.73996
1987,West,Yes,0.09933,979,10386,0.09358,0.10508
1987,West,No,0.73138,9407,10386,0.72286,0.73991
1988,West,Yes,0.10982,1038,9921,0.10366,0.11597
1988,West,No,0.71992,8883,9921,0.71108,0.72875
1989,West,Yes,0.11335,1019,9614,0.10701,0.11968
1989,West,No,0.71799,8595,9614,0.70899,0.72698
1991,West,Yes,0.11520,1036,9354,0.10873,0.12167
1991,West,No,0.70451,8318,9354,0.69527,0.71376
1992,West,Yes,0.11808,1063,9219,0.11149,0.12466
1992,West,No,0.69710,8156,9219,0.68772,0.70648
1992,East,Yes,0.07264,299,3916,0.06451,0.08078
1992,East,No,0.72543,3617,3916,0.71145,0.73941
1994,West,Yes,0.11256,1012,8989,0.10603,0.11910
1994,West,No,0.69677,7977,8989,0.68727,0.70628
1994,East,Yes,0.07048,267,3738,0.06227,0.07869
1994,East,No,0.73993,3471,3738,0.72586,0.75399
1995,West,Yes,0.11873,1076,9481,0.11221,0.12524
1995,West,No,0.68838,8405,9481,0.67906,0.69770
1995,East,Yes,0.07620,280,3649,0.06759,0.08481
1995,East,No,0.73764,3369,3649,0.72337,0.75192
1996,West,Yes,0.12017,1066,9359,0.11358,0.12676
1996,West,No,0.70063,8293,9359,0.69135,0.70991
1996,East,Yes,0.08171,299,3648,0.07282,0.09060
1996,East,No,0.73754,3349,3648,0.72326,0.75182
1997,West,Yes,0.11883,1043,9134,0.11219,0.12547
1997,West,No,0.69424,8091,9134,0.68479,0.70369
1997,East,Yes,0.08240,302,3613,0.07343,0.09137
1997,East,No,0.74880,3311,3613,0.73466,0.76295
1998,West,Yes,0.11767,1214,10281,0.11144,0.12389
1998,West,No,0.69511,9067,10281,0.68622,0.70401
1998,East,Yes,0.08034,329,3834,0.07173,0.08894
1998,East,No,0.74791,3505,3834,0.73416,0.76165
1999,West,Yes,0.12025,1169,9859,0.11382,0.12667
1999,West,No,0.69940,8690,9859,0.69035,0.70846
1999,East,Yes,0.08277,329,3779,0.07399,0.09156
1999,East,No,0.76239,3450,3779,0.74881,0.77596
2000,West,Yes,0.10537,2083,18190,0.10091,0.10983
2000,West,No,0.71364,16107,18190,0.70707,0.72021
2000,East,Yes,0.08582,535,5830,0.07863,0.09301
2000,East,No,0.75894,5295,5830,0.74796,0.76993
2001,West,Yes,0.10644,1885,16414,0.10172,0.11116
2001,West,No,0.71143,14529,16414,0.70450,0.71836
2001,East,Yes,0.08630,495,5414,0.07882,0.09379
2001,East,No,0.76747,4919,5414,0.75622,0.77873
2002,West,Yes,0.11228,2002,17494,0.10760,0.11696
2002,West,No,0.70500,15492,17494,0.69824,0.71176
2002,East,Yes,0.09917,544,5401,0.09120,0.10714
2002,East,No,0.75993,4857,5401,0.74854,0.77133
2003,West,Yes,0.11097,1948,16733,0.10621,0.11573
2003,West,No,0.70726,14785,16733,0.70037,0.71415
2003,East,Yes,0.09839,532,5318,0.09038,0.10640
2003,East,No,0.76501,4786,5318,0.75361,0.77640
2004,West,Yes,0.11545,1960,16322,0.11055,0.12035
2004,West,No,0.70769,14362,16322,0.70072,0.71467
2004,East,Yes,0.10200,540,5200,0.09377,0.11022
2004,East,No,0.76443,4660,5200,0.75289,0.77596
2005,West,Yes,0.11302,1909,15571,0.10805,0.11799
2005,West,No,0.71444,13662,15571,0.70734,0.72153
2005,East,Yes,0.10525,541,4999,0.09674,0.11376
2005,East,No,0.75582,4458,4999,0.74391,0.76773
2006,West,Yes,0.11529,2112,16643,0.11043,0.12014
2006,West,No,0.70816,14531,16643,0.70125,0.71507
2006,East,Yes,0.11254,597,5257,0.10400,0.12108
2006,East,No,0.75005,4660,5257,0.73835,0.76176
2007,West,Yes,0.11591,1992,15428,0.11086,0.12097
2007,West,No,0.70510,13436,15428,0.69790,0.71230
2007,East,Yes,0.10755,560,4985,0.09895,0.11615
2007,East,No,0.76125,4425,4985,0.74942,0.77309
2008,West,Yes,0.11517,1878,14484,0.10997,0.12037
2008,West,No,0.71130,12606,14484,0.70392,0.71868
2008,East,Yes,0.10680,529,4744,0.09801,0.11559
2008,East,No,0.76197,4215,4744,0.74985,0.77409
2009,West,Yes,0.11747,1786,13409,0.11202,0.12292
2009,West,No,0.71514,11623,13409,0.70750,0.72278
2009,East,Yes,0.10400,526,4524,0.09511,0.11290
2009,East,No,0.76042,3998,4524,0.74798,0.77285
2010,West,Yes,0.11563,1878,18450,0.11102,0.12025
2010,West,No,0.71897,16572,18450,0.71248,0.72545
2010,East,Yes,0.11546,563,5451,0.10697,0.12394
2010,East,No,0.75271,4888,5451,0.74126,0.76417
2011,West,Yes,0.11408,2391,21958,0.10988,0.11829
2011,West,No,0.71131,19567,21958,0.70531,0.71730
2011,East,Yes,0.10990,691,6277,0.10216,0.11764
2011,East,No,0.74626,5586,6277,0.73549,0.75703
2012,West,Yes,0.11814,2500,21386,0.11382,0.12247
2012,West,No,0.71185,18886,21386,0.70578,0.71792
2012,East,Yes,0.12433,751,6146,0.11608,0.13258
2012,East,No,0.73430,5395,6146,0.72325,0.74534
2013,West,Yes,0.11640,2566,24441,0.11238,0.12042
2013,West,No,0.71433,21875,24441,0.70867,0.71999
2013,East,Yes,0.11828,696,6082,0.11016,0.12640
2013,East,No,0.73960,5386,6082,0.72857,0.75063
2014,West,Yes,0.12286,2474,21458,0.11847,0.12725
2014,West,No,0.71437,18984,21458,0.70832,0.72041
2014,East,Yes,0.12534,705,5565,0.11664,0.13404
2014,East,No,0.72804,4860,5565,0.71635,0.73973
2015,West,Yes,0.11990,2293,21286,0.11554,0.12426
2015,West,No,0.71587,18993,21286,0.70981,0.72193
2015,East,Yes,0.11870,638,5371,0.11005,0.12735
2015,East,No,0.72914,4733,5371,0.71725,0.74103
2016,West,Yes,0.11778,2152,19192,0.11322,0.12234
2016,West,No,0.71300,17040,19192,0.70660,0.71940
2016,East,Yes,0.11470,602,5012,0.10588,0.12352
2016,East,No,0.72560,4410,5012,0.71324,0.73795
2017,West,Yes,0.11596,2378,20906,0.11162,0.12031
2017,West,No,0.71304,18528,20906,0.70690,0.71917
2017,East,Yes,0.11109,667,5581,0.10285,0.11934
2017,East,No,0.73001,4914,5581,0.71836,0.74165
2018,West,Yes,0.11626,2413,20110,0.11183,0.12069
2018,West,No,0.71725,17697,20110,0.71102,0.72347
2018,East,Yes,0.11508,691,5474,0.10662,0.12353
2018,East,No,0.71765,4783,5474,0.70573,0.72958
2019,West,Yes,0.11404,2303,20040,0.10964,0.11844
2019,West,No,0.71174,17737,20040,0.70547,0.71801
2019,East,Yes,0.11995,691,5531,0.11138,0.12851
2019,East,No,0.71953,4840,5531,0.70769,0.73137
2020,West,Yes,0.11367,2242,22625,0.10953,0.11780
2020,West,No,0.71452,20383,22625,0.70863,0.72040
2020,East,Yes,0.12226,686,5693,0.11375,0.13077
2020,East,No,0.71727,5007,5693,0.70557,0.72897
2021,West,Yes,0.11614,1671,15386,0.11108,0.12120
2021,West,No,0.71051,13715,15386,0.70334,0.71767
2021,East,Yes,0.13087,495,3878,0.12025,0.14148
2021,East,No,0.70383,3383,3878,0.68946,0.71820
