year,age_gr,migback,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Yes,0.02058,46,2337,0.01482,0.02634
1984,17-29 y.,No migration background,No,0.97346,2291,2337,0.96694,0.97998
1984,17-29 y.,Direct migration background,No,0.98774,981,981,0.98085,0.99463
1984,17-29 y.,Indirect migration background,No,0.92474,87,87,0.86898,0.98050
1984,30-45 y.,No migration background,Yes,0.05060,123,2487,0.04198,0.05922
1984,30-45 y.,No migration background,No,0.94464,2364,2487,0.93566,0.95363
1984,30-45 y.,Direct migration background,Yes,0.03103,42,1381,0.02188,0.04018
1984,30-45 y.,Direct migration background,No,0.96516,1339,1381,0.95548,0.97483
1984,46-65 y.,No migration background,Yes,0.22012,550,2584,0.20414,0.23609
1984,46-65 y.,No migration background,No,0.77516,2034,2584,0.75907,0.79126
1984,46-65 y.,Direct migration background,Yes,0.17347,107,936,0.14920,0.19774
1984,46-65 y.,Direct migration background,No,0.81925,829,936,0.79458,0.84391
1984,66 and older,No migration background,Yes,0.21533,273,1220,0.19226,0.23841
1984,66 and older,No migration background,No,0.77737,947,1220,0.75401,0.80072
1984,66 and older,Direct migration background,No,0.93962,31,31,0.85439,1.02486
1985,17-29 y.,No migration background,Yes,0.02316,51,2199,0.01687,0.02945
1985,17-29 y.,No migration background,No,0.97469,2148,2199,0.96812,0.98125
1985,17-29 y.,Direct migration background,No,0.98611,812,812,0.97805,0.99416
1985,17-29 y.,Indirect migration background,No,0.97872,105,105,0.95099,1.00646
1985,30-45 y.,No migration background,Yes,0.04973,107,2258,0.04076,0.05870
1985,30-45 y.,No migration background,No,0.94152,2151,2258,0.93184,0.95120
1985,30-45 y.,Direct migration background,Yes,0.03014,31,1174,0.02036,0.03993
1985,30-45 y.,Direct migration background,No,0.96539,1143,1174,0.95493,0.97585
1985,46-65 y.,No migration background,Yes,0.21614,497,2407,0.19970,0.23259
1985,46-65 y.,No migration background,No,0.77421,1910,2407,0.75751,0.79092
1985,46-65 y.,Direct migration background,Yes,0.19167,98,858,0.16532,0.21802
1985,46-65 y.,Direct migration background,No,0.80318,760,858,0.77656,0.82980
1985,66 and older,No migration background,Yes,0.20109,229,1048,0.17681,0.22537
1985,66 and older,No migration background,No,0.78307,819,1048,0.75811,0.80804
1985,66 and older,Direct migration background,No,0.89288,32,32,0.78402,1.00175
1987,17-29 y.,No migration background,Yes,0.01929,43,2067,0.01336,0.02522
1987,17-29 y.,No migration background,No,0.97824,2024,2067,0.97194,0.98453
1987,17-29 y.,Direct migration background,No,0.97187,769,769,0.96018,0.98357
