year,age_gr,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Yes,0.01936,58,3417,0.01474,0.02398
1984,17-29 y.,No,0.97446,3359,3417,0.96917,0.97975
1984,30-45 y.,Yes,0.04800,166,3886,0.04128,0.05472
1984,30-45 y.,No,0.94735,3720,3886,0.94033,0.95437
1984,46-65 y.,Yes,0.21508,658,3532,0.20153,0.22863
1984,46-65 y.,No,0.77996,2874,3532,0.76630,0.79363
1984,66 and older,Yes,0.21162,277,1258,0.18904,0.23420
1984,66 and older,No,0.78125,981,1258,0.75840,0.80411
1985,17-29 y.,Yes,0.02135,61,3126,0.01629,0.02642
1985,17-29 y.,No,0.97574,3065,3126,0.97035,0.98114
1985,30-45 y.,Yes,0.04695,138,3448,0.03988,0.05401
1985,30-45 y.,No,0.94491,3310,3448,0.93730,0.95253
1985,46-65 y.,Yes,0.21366,597,3276,0.19962,0.22770
1985,46-65 y.,No,0.77717,2679,3276,0.76292,0.79143
1985,66 and older,Yes,0.19793,233,1087,0.17423,0.22163
1985,66 and older,No,0.78664,854,1087,0.76227,0.81101
1987,17-29 y.,Yes,0.01979,65,2991,0.01480,0.02479
1987,17-29 y.,No,0.97705,2926,2991,0.97168,0.98242
1987,30-45 y.,Yes,0.04706,126,3154,0.03967,0.05446
1987,30-45 y.,No,0.95060,3028,3154,0.94304,0.95817
1987,46-65 y.,Yes,0.19231,537,3181,0.17862,0.20601
1987,46-65 y.,No,0.79980,2644,3181,0.78589,0.81371
1987,66 and older,Yes,0.22468,251,1060,0.19954,0.24981
1987,66 and older,No,0.76686,809,1060,0.74139,0.79232
1988,17-29 y.,Yes,0.02291,71,2864,0.01743,0.02839
1988,17-29 y.,No,0.97506,2793,2864,0.96935,0.98077
1988,30-45 y.,Yes,0.04702,123,2942,0.03937,0.05467
1988,30-45 y.,No,0.94884,2819,2942,0.94087,0.95680
1988,46-65 y.,Yes,0.20049,553,3093,0.18638,0.21460
1988,46-65 y.,No,0.79326,2540,3093,0.77899,0.80754
1988,66 and older,Yes,0.27284,291,1022,0.24552,0.30016
1988,66 and older,No,0.70976,731,1022,0.68192,0.73760
1989,17-29 y.,Yes,0.02182,61,2821,0.01643,0.02721
1989,17-29 y.,No,0.97648,2760,2821,0.97089,0.98207
1989,30-45 y.,Yes,0.04963,119,2834,0.04163,0.05763
1989,30-45 y.,No,0.94831,2715,2834,0.94016,0.95646
1989,46-65 y.,Yes,0.20274,535,2963,0.18827,0.21722
1989,46-65 y.,No,0.78869,2428,2963,0.77398,0.80339
1989,66 and older,Yes,0.29326,304,996,0.26497,0.32155
1989,66 and older,No,0.69086,692,996,0.66214,0.71958
1991,17-29 y.,Yes,0.01784,59,2676,0.01282,0.02285
1991,17-29 y.,No,0.76671,2617,2676,0.75069,0.78274
1991,30-45 y.,Yes,0.04326,141,2810,0.03573,0.05078
1991,30-45 y.,No,0.75196,2669,2810,0.73598,0.76793
1991,46-65 y.,Yes,0.15638,508,2834,0.14300,0.16975
1991,46-65 y.,No,0.61877,2326,2834,0.60088,0.63665
1991,66 and older,Yes,0.25558,328,1034,0.22898,0.28218
1991,66 and older,No,0.54988,706,1034,0.51954,0.58022
1992,17-29 y.,Yes,0.01920,65,3547,0.01469,0.02372
1992,17-29 y.,No,0.97325,3482,3547,0.96794,0.97856
1992,30-45 y.,Yes,0.05059,199,4218,0.04398,0.05721
1992,30-45 y.,No,0.94043,4019,4218,0.93328,0.94757
1992,46-65 y.,Yes,0.18808,679,3964,0.17591,0.20025
1992,46-65 y.,No,0.79544,3285,3964,0.78288,0.80800
1992,66 and older,Yes,0.30131,419,1406,0.27732,0.32531
1992,66 and older,No,0.66783,987,1406,0.64320,0.69246
1994,17-29 y.,Yes,0.02072,67,3329,0.01588,0.02556
1994,17-29 y.,No,0.97501,3262,3329,0.96970,0.98031
1994,30-45 y.,Yes,0.04892,184,4123,0.04234,0.05551
1994,30-45 y.,No,0.94493,3939,4123,0.93797,0.95189
1994,46-65 y.,Yes,0.17439,616,3823,0.16236,0.18642
1994,46-65 y.,No,0.80354,3207,3823,0.79095,0.81614
1994,66 and older,Yes,0.28647,412,1452,0.26321,0.30973
1994,66 and older,No,0.68149,1040,1452,0.65751,0.70546
1995,17-29 y.,Yes,0.01893,61,3331,0.01430,0.02356
1995,17-29 y.,No,0.97323,3270,3331,0.96775,0.97871
1995,30-45 y.,Yes,0.04884,203,4405,0.04248,0.05521
1995,30-45 y.,No,0.94087,4202,4405,0.93391,0.94784
1995,46-65 y.,Yes,0.18393,650,3907,0.17178,0.19608
1995,46-65 y.,No,0.79599,3257,3907,0.78335,0.80863
1995,66 and older,Yes,0.31115,442,1487,0.28761,0.33469
1995,66 and older,No,0.66187,1045,1487,0.63782,0.68592
1996,17-29 y.,Yes,0.01687,56,3158,0.01238,0.02136
1996,17-29 y.,No,0.98106,3102,3158,0.97631,0.98582
1996,30-45 y.,Yes,0.05035,205,4431,0.04391,0.05679
1996,30-45 y.,No,0.94883,4226,4431,0.94234,0.95532
1996,46-65 y.,Yes,0.18945,657,3880,0.17712,0.20179
1996,46-65 y.,No,0.80680,3223,3880,0.79437,0.81922
1996,66 and older,Yes,0.30817,447,1538,0.28508,0.33125
1996,66 and older,No,0.68669,1091,1538,0.66350,0.70988
1997,17-29 y.,Yes,0.01834,55,3016,0.01355,0.02313
1997,17-29 y.,No,0.97578,2961,3016,0.97030,0.98127
1997,30-45 y.,Yes,0.05076,204,4349,0.04423,0.05728
1997,30-45 y.,No,0.94607,4145,4349,0.93936,0.95278
1997,46-65 y.,Yes,0.19206,661,3832,0.17959,0.20453
1997,46-65 y.,No,0.80103,3171,3832,0.78838,0.81367
1997,66 and older,Yes,0.28941,425,1550,0.26682,0.31199
1997,66 and older,No,0.68376,1125,1550,0.66060,0.70692
1998,17-29 y.,Yes,0.01786,56,3153,0.01324,0.02249
1998,17-29 y.,No,0.97684,3097,3153,0.97159,0.98209
1998,30-45 y.,Yes,0.04234,203,4805,0.03665,0.04804
1998,30-45 y.,No,0.95234,4602,4805,0.94631,0.95836
1998,46-65 y.,Yes,0.18666,772,4338,0.17506,0.19825
1998,46-65 y.,No,0.79548,3566,4338,0.78348,0.80749
1998,66 and older,Yes,0.29883,512,1819,0.27779,0.31987
1998,66 and older,No,0.67831,1307,1819,0.65683,0.69978
1999,17-29 y.,Yes,0.02047,61,2970,0.01537,0.02556
1999,17-29 y.,No,0.97786,2909,2970,0.97256,0.98315
1999,30-45 y.,Yes,0.03979,190,4707,0.03421,0.04537
1999,30-45 y.,No,0.95878,4517,4707,0.95310,0.96446
1999,46-65 y.,Yes,0.18604,744,4171,0.17423,0.19785
1999,46-65 y.,No,0.80762,3427,4171,0.79566,0.81958
1999,66 and older,Yes,0.31126,503,1790,0.28980,0.33271
1999,66 and older,No,0.68075,1287,1790,0.65914,0.70235
2000,17-29 y.,Yes,0.02117,89,4563,0.01700,0.02535
2000,17-29 y.,No,0.97392,4474,4563,0.96929,0.97854
2000,30-45 y.,Yes,0.04070,326,8144,0.03640,0.04499
2000,30-45 y.,No,0.95601,7818,8144,0.95155,0.96046
2000,46-65 y.,Yes,0.17385,1337,7747,0.16541,0.18229
2000,46-65 y.,No,0.82374,6410,7747,0.81525,0.83222
2000,66 and older,Yes,0.25525,866,3566,0.24093,0.26956
2000,66 and older,No,0.73356,2700,3566,0.71904,0.74807
