year,age_gr,quintil_oecd,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,No,0.97213,786,786,0.96062,0.98365
1984,17-29 y.,2nd Quintile,No,0.97071,655,655,0.95778,0.98363
1984,17-29 y.,3rd Quintile,No,0.98406,653,653,0.97445,0.99367
1984,17-29 y.,4th Quintile,No,0.97511,714,714,0.96368,0.98655
1984,17-29 y.,5th Quintile,No,0.96825,538,538,0.95341,0.98308
1984,30-45 y.,1st Quintile,Yes,0.06655,41,775,0.04899,0.08411
1984,30-45 y.,1st Quintile,No,0.92145,734,775,0.90250,0.94040
1984,30-45 y.,2nd Quintile,Yes,0.04299,32,782,0.02877,0.05722
1984,30-45 y.,2nd Quintile,No,0.95031,750,782,0.93507,0.96555
1984,30-45 y.,3rd Quintile,Yes,0.05382,36,747,0.03763,0.07002
1984,30-45 y.,3rd Quintile,No,0.93933,711,747,0.92220,0.95646
1984,30-45 y.,4th Quintile,No,0.96128,767,767,0.94761,0.97494
1984,30-45 y.,5th Quintile,No,0.95757,756,756,0.94319,0.97195
1984,46-65 y.,1st Quintile,Yes,0.25377,106,544,0.21717,0.29038
1984,46-65 y.,1st Quintile,No,0.74138,438,544,0.70454,0.77821
1984,46-65 y.,2nd Quintile,Yes,0.23391,133,651,0.20136,0.26645
1984,46-65 y.,2nd Quintile,No,0.76111,518,651,0.72833,0.79389
1984,46-65 y.,3rd Quintile,Yes,0.21204,131,704,0.18182,0.24225
1984,46-65 y.,3rd Quintile,No,0.78187,573,704,0.75134,0.81240
1984,46-65 y.,4th Quintile,Yes,0.21326,140,759,0.18410,0.24242
1984,46-65 y.,4th Quintile,No,0.78334,619,759,0.75401,0.81266
1984,46-65 y.,5th Quintile,Yes,0.18424,145,869,0.15845,0.21003
1984,46-65 y.,5th Quintile,No,0.81029,724,869,0.78421,0.83638
1984,66 and older,1st Quintile,Yes,0.21998,81,349,0.17646,0.26350
1984,66 and older,1st Quintile,No,0.77765,268,349,0.73396,0.82134
1984,66 and older,2nd Quintile,Yes,0.23436,64,267,0.18345,0.28526
1984,66 and older,2nd Quintile,No,0.75639,203,267,0.70481,0.80798
1984,66 and older,3rd Quintile,Yes,0.20865,53,241,0.15724,0.26006
1984,66 and older,3rd Quintile,No,0.79135,188,241,0.73994,0.84276
1984,66 and older,4th Quintile,Yes,0.16822,36,206,0.11701,0.21943
