,Unnamed: 0,year,bula_h,rentown,pet_other,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Schleswig-Holstein,Owner,No,1.0,66,6262,0.86957,1.12575
1,1,1996,Schleswig-Holstein,Tenant,No,1.0,70,6262,0.87369,1.12589
2,2,1996,Hamburg,Tenant,No,1.0,68,6262,0.84001,1.15584
3,3,1996,Lower Saxony,Owner,No,1.0,218,6262,0.91772,1.08763
4,4,1996,Lower Saxony,Tenant,No,1.0,274,6262,0.91288,1.09039
5,5,1996,Bremen,Tenant,No,1.0,36,6262,0.83005,1.17221
6,6,1996,North Rhine-Westphalia,Owner,Yes,0.08579,43,6262,0.07153,0.10259
7,7,1996,North Rhine-Westphalia,Owner,No,0.91421,387,6262,0.86879,0.96839
8,8,1996,North Rhine-Westphalia,Tenant,Yes,0.05727,52,6262,0.04818,0.06917
9,9,1996,North Rhine-Westphalia,Tenant,No,0.94273,807,6262,0.8832,0.99467
10,10,1996,Hesse,Owner,No,1.0,143,6262,0.90824,1.10433
11,11,1996,Hesse,Tenant,No,1.0,298,6262,0.89309,1.10763
12,12,1996,"Rhineland-Palatinate, Saarland",Owner,No,1.0,151,6262,0.92286,1.09001
13,13,1996,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,164,6262,0.89165,1.13023
14,14,1996,Baden-Wuerttemberg,Owner,Yes,0.08896,31,6262,0.07104,0.10631
15,15,1996,Baden-Wuerttemberg,Owner,No,0.91104,311,6262,0.84972,0.96999
16,16,1996,Baden-Wuerttemberg,Tenant,Yes,0.05357,32,6262,0.03878,0.07131
17,17,1996,Baden-Wuerttemberg,Tenant,No,0.94643,466,6262,0.84765,1.04294
18,18,1996,Bavaria,Owner,Yes,0.09571,40,6262,0.08455,0.10845
19,19,1996,Bavaria,Owner,No,0.90429,317,6262,0.84411,0.96776
20,20,1996,Bavaria,Tenant,No,1.0,474,6262,0.92345,1.07669
21,21,1996,Berlin,Tenant,No,1.0,260,6262,0.91346,1.092
22,22,1996,Brandenburg,Owner,No,1.0,90,6262,0.89544,1.10428
23,23,1996,Brandenburg,Tenant,No,1.0,165,6262,0.92986,1.09101
24,24,1996,Mecklenburg-Western Pomerania,Owner,No,1.0,44,6262,0.85332,1.23102
25,25,1996,Mecklenburg-Western Pomerania,Tenant,No,1.0,133,6262,0.90514,1.10609
26,26,1996,Saxony,Owner,Yes,0.20667,34,6262,0.15641,0.26275
27,27,1996,Saxony,Owner,No,0.79333,124,6262,0.69826,0.87754
28,28,1996,Saxony,Tenant,Yes,0.06705,32,6262,0.05566,0.0806
29,29,1996,Saxony,Tenant,No,0.93295,358,6262,0.86481,0.99463
30,30,1996,Saxony-Anhalt,Owner,No,1.0,99,6262,0.89451,1.09536
31,31,1996,Saxony-Anhalt,Tenant,No,1.0,196,6262,0.90196,1.09449
32,32,1996,Thuringa,Owner,No,1.0,116,6262,0.90777,1.10558
33,33,1996,Thuringa,Tenant,No,1.0,163,6262,0.90587,1.10639
34,34,2001,Schleswig-Holstein,Owner,No,1.0,191,11426,0.90856,1.07611
35,35,2001,Schleswig-Holstein,Tenant,No,1.0,145,11426,0.9217,1.08943
36,36,2001,Hamburg,Owner,No,1.0,35,11426,0.86688,1.14982
37,37,2001,Hamburg,Tenant,No,1.0,136,11426,0.91879,1.07574
38,38,2001,Lower Saxony,Owner,Yes,0.12775,64,11426,0.10874,0.14538
39,39,2001,Lower Saxony,Owner,No,0.87225,458,11426,0.83259,0.92233
40,40,2001,Lower Saxony,Tenant,Yes,0.07941,33,11426,0.06318,0.09468
41,41,2001,Lower Saxony,Tenant,No,0.92059,406,11426,0.87919,0.96875
42,42,2001,Bremen,Owner,No,1.0,34,11426,0.85322,1.13929
43,43,2001,Bremen,Tenant,No,1.0,58,11426,0.84051,1.1452
44,44,2001,North Rhine-Westphalia,Owner,Yes,0.0632,72,11426,0.0527,0.0727
45,45,2001,North Rhine-Westphalia,Owner,No,0.9368,975,11426,0.9041,0.9653
