,Unnamed: 0,year,rentown,sampreg,pet_other,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Owner,West,Yes,0.08785,177,6630,0.08004,0.09475
1,1,1996,Owner,West,No,0.91215,1634,6630,0.88084,0.93708
2,2,1996,Owner,East,Yes,0.16918,105,6630,0.14935,0.18925
3,3,1996,Owner,East,No,0.83082,479,6630,0.79512,0.87185
4,4,1996,Tenant,West,Yes,0.05083,179,6630,0.0452,0.05626
5,5,1996,Tenant,West,No,0.94917,2802,6630,0.92384,0.97533
6,6,1996,Tenant,East,Yes,0.07705,124,6630,0.07027,0.08449
7,7,1996,Tenant,East,No,0.92295,1130,6630,0.89139,0.95352
8,8,2001,Owner,West,Yes,0.08572,394,11680,0.08141,0.09079
9,9,2001,Owner,West,No,0.91428,3770,11680,0.89827,0.93023
10,10,2001,Owner,East,Yes,0.19134,212,11680,0.1782,0.20803
11,11,2001,Owner,East,No,0.80866,891,11680,0.77616,0.84269
12,12,2001,Tenant,West,Yes,0.05585,301,11680,0.05196,0.05923
13,13,2001,Tenant,West,No,0.94415,4372,11680,0.92623,0.96114
14,14,2001,Tenant,East,Yes,0.07598,157,11680,0.06926,0.08201
15,15,2001,Tenant,East,No,0.92402,1583,11680,0.89611,0.94675
16,16,2006,Owner,West,Yes,0.08994,459,12263,0.08208,0.09665
17,17,2006,Owner,West,No,0.91006,4335,12263,0.88878,0.9276
18,18,2006,Owner,East,Yes,0.16889,210,12263,0.1529,0.18902
19,19,2006,Owner,East,No,0.83111,999,12263,0.78215,0.87266
20,20,2006,Tenant,West,Yes,0.06476,361,12263,0.05996,0.06998
21,21,2006,Tenant,West,No,0.93524,4181,12263,0.91654,0.95221
22,22,2006,Tenant,East,Yes,0.06871,137,12263,0.06003,0.07719
23,23,2006,Tenant,East,No,0.93129,1581,12263,0.90205,0.96643
24,24,2011,Owner,West,Yes,0.06987,399,12084,0.0632,0.07657
25,25,2011,Owner,West,No,0.93013,4383,12084,0.90887,0.9553
26,26,2011,Owner,East,Yes,0.1583,198,12084,0.13671,0.18193
27,27,2011,Owner,East,No,0.8417,964,12084,0.79165,0.88564
28,28,2011,Tenant,West,Yes,0.04628,306,12084,0.04151,0.05151
29,29,2011,Tenant,West,No,0.95372,4104,12084,0.92928,0.97485
30,30,2011,Tenant,East,Yes,0.06911,133,12084,0.05604,0.08402
31,31,2011,Tenant,East,No,0.93089,1597,12084,0.89598,0.96277
32,32,2016,Owner,West,Yes,0.02152,147,14300,0.0178,0.02552
33,33,2016,Owner,West,No,0.97848,4998,14300,0.94816,1.00609
34,34,2016,Owner,East,Yes,0.08077,82,14300,0.06162,0.09779
35,35,2016,Owner,East,No,0.91923,1074,14300,0.8566,0.9867
36,36,2016,Tenant,West,Yes,0.01602,144,14300,0.01328,0.01939
37,37,2016,Tenant,West,No,0.98398,5937,14300,0.95633,1.01212
38,38,2016,Tenant,East,Yes,0.0274,68,14300,0.02081,0.03548
39,39,2016,Tenant,East,No,0.9726,1850,14300,0.92453,1.01291
40,40,2021,Owner,West,Yes,0.03267,179,11051,0.02598,0.03874
41,41,2021,Owner,West,No,0.96733,3948,11051,0.92387,1.00155
42,42,2021,Owner,East,Yes,0.07538,74,11051,0.05417,0.09884
43,43,2021,Owner,East,No,0.92462,879,11051,0.84705,1.00016
44,44,2021,Tenant,West,Yes,0.01599,93,11051,0.01264,0.01992
45,45,2021,Tenant,West,No,0.98401,4441,11051,0.94413,1.01686
46,46,2021,Tenant,East,Yes,0.03097,52,11051,0.02263,0.04001
47,47,2021,Tenant,East,No,0.96903,1385,11051,0.90877,1.03529
