,Unnamed: 0,year,quintil_oecd_hh,sampreg,pet_other,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
37,37,2001,5th Quintile,East,No,1.0,213,11654,0.91354,1.07034
38,38,2006,1st Quintile,West,Yes,0.07326,131,12229,0.06294,0.08411
39,39,2006,1st Quintile,West,No,0.92674,1288,12229,0.8935,0.96179
40,40,2006,1st Quintile,East,Yes,0.10369,83,12229,0.08791,0.11886
41,41,2006,1st Quintile,East,No,0.89631,579,12229,0.84767,0.94478
42,42,2006,2nd Quintile,West,Yes,0.07731,134,12229,0.06917,0.08679
43,43,2006,2nd Quintile,West,No,0.92269,1358,12229,0.89833,0.95165
44,44,2006,2nd Quintile,East,Yes,0.11189,101,12229,0.09514,0.13053
45,45,2006,2nd Quintile,East,No,0.88811,641,12229,0.84706,0.93249
46,46,2006,3rd Quintile,West,Yes,0.09706,184,12229,0.08524,0.10881
47,47,2006,3rd Quintile,West,No,0.90294,1552,12229,0.8737,0.92964
48,48,2006,3rd Quintile,East,Yes,0.10972,75,12229,0.09604,0.12312
49,49,2006,3rd Quintile,East,No,0.89028,597,12229,0.83077,0.94559
50,50,2006,4th Quintile,West,Yes,0.07869,193,12229,0.06928,0.08857
51,51,2006,4th Quintile,West,No,0.92131,1785,12229,0.89238,0.95182
52,52,2006,4th Quintile,East,Yes,0.0924,58,12229,0.07407,0.11539
53,53,2006,4th Quintile,East,No,0.9076,445,12229,0.83832,0.98246
54,54,2006,5th Quintile,West,Yes,0.05558,178,12229,0.04882,0.06271
55,55,2006,5th Quintile,West,No,0.94442,2529,12229,0.91587,0.97375
56,56,2006,5th Quintile,East,No,1.0,318,12229,0.89027,1.10671
57,57,2011,1st Quintile,West,Yes,0.04277,101,12081,0.03492,0.05216
58,58,2011,1st Quintile,West,No,0.95723,1422,12081,0.91776,0.9978
59,59,2011,1st Quintile,East,Yes,0.1027,86,12081,0.07857,0.12541
60,60,2011,1st Quintile,East,No,0.8973,629,12081,0.83449,0.96666
61,61,2011,2nd Quintile,West,Yes,0.05018,109,12081,0.04238,0.06158
62,62,2011,2nd Quintile,West,No,0.94982,1410,12081,0.91627,0.99242
63,63,2011,2nd Quintile,East,Yes,0.09307,76,12081,0.07218,0.11476
64,64,2011,2nd Quintile,East,No,0.90693,668,12081,0.85726,0.96014
65,65,2011,3rd Quintile,West,Yes,0.07088,154,12081,0.06102,0.08041
66,66,2011,3rd Quintile,West,No,0.92912,1574,12081,0.8955,0.96759
67,67,2011,3rd Quintile,East,Yes,0.10196,81,12081,0.08151,0.12621
68,68,2011,3rd Quintile,East,No,0.89804,570,12081,0.83913,0.98065
69,69,2011,4th Quintile,West,Yes,0.06753,177,12081,0.05842,0.07715
70,70,2011,4th Quintile,West,No,0.93247,1777,12081,0.90124,0.96205
71,71,2011,4th Quintile,East,Yes,0.11696,56,12081,0.0881,0.15378
72,72,2011,4th Quintile,East,No,0.88304,404,12081,0.80529,0.95554
73,73,2011,5th Quintile,West,Yes,0.05493,164,12081,0.04755,0.06371
74,74,2011,5th Quintile,West,No,0.94507,2301,12081,0.90564,0.97499
75,75,2011,5th Quintile,East,Yes,0.08402,32,12081,0.0613,0.10617
76,76,2011,5th Quintile,East,No,0.91598,290,12081,0.80556,1.02399
77,77,2016,1st Quintile,West,Yes,0.01587,60,14269,0.01298,0.01957
78,78,2016,1st Quintile,West,No,0.98413,2192,14269,0.93329,1.0312
79,79,2016,1st Quintile,East,Yes,0.03187,39,14269,0.02024,0.0441
80,80,2016,1st Quintile,East,No,0.96813,774,14269,0.89264,1.05715
81,81,2016,2nd Quintile,West,Yes,0.01762,61,14269,0.01329,0.02315
82,82,2016,2nd Quintile,West,No,0.98238,2228,14269,0.93507,1.02008
83,83,2016,2nd Quintile,East,Yes,0.05446,49,14269,0.04005,0.07439
84,84,2016,2nd Quintile,East,No,0.94554,764,14269,0.89163,1.01916
85,85,2016,3rd Quintile,West,Yes,0.02421,62,14269,0.01647,0.03274
86,86,2016,3rd Quintile,West,No,0.97579,2015,14269,0.93569,1.01983
87,87,2016,3rd Quintile,East,Yes,0.0585,35,14269,0.03879,0.08143
88,88,2016,3rd Quintile,East,No,0.9415,639,14269,0.87326,1.02867
89,89,2016,4th Quintile,West,Yes,0.02251,68,14269,0.01724,0.02875
90,90,2016,4th Quintile,West,No,0.97749,2145,14269,0.9403,1.02521
91,91,2016,4th Quintile,East,No,1.0,428,14269,0.90462,1.10997
92,92,2016,5th Quintile,West,Yes,0.0134,40,14269,0.0091,0.01867
93,93,2016,5th Quintile,West,No,0.9866,2351,14269,0.94567,1.02991
94,94,2016,5th Quintile,East,No,1.0,319,14269,0.89066,1.14369
95,95,2021,1st Quintile,West,No,1.0,1497,10916,0.94203,1.05477
96,96,2021,1st Quintile,East,No,1.0,516,10916,0.90769,1.11344
97,97,2021,2nd Quintile,West,Yes,0.01885,42,10916,0.01265,0.02783
98,98,2021,2nd Quintile,West,No,0.98115,1566,10916,0.92306,1.04245
99,99,2021,2nd Quintile,East,No,1.0,564,10916,0.90325,1.09698
