year,sampreg,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,West,Yes,0.06672,356,4792,0.05965,0.07378
1996,West,No,0.93328,4436,4792,0.92622,0.94035
1996,East,Yes,0.10276,229,1838,0.08887,0.11664
1996,East,No,0.89724,1609,1838,0.88336,0.91113
2001,West,Yes,0.06904,695,8837,0.06376,0.07433
2001,West,No,0.93096,8142,8837,0.92567,0.93624
2001,East,Yes,0.11431,369,2843,0.10261,0.12600
2001,East,No,0.88569,2474,2843,0.87400,0.89739
2006,West,Yes,0.07572,820,9337,0.07036,0.08109
2006,West,No,0.92428,8517,9337,0.91891,0.92964
2006,East,Yes,0.10117,347,2928,0.09025,0.11210
2006,East,No,0.89883,2581,2928,0.88790,0.90975
2011,West,Yes,0.05774,705,9192,0.05297,0.06251
2011,West,No,0.94226,8487,9192,0.93749,0.94703
2011,East,Yes,0.10052,331,2892,0.08956,0.11148
2011,East,No,0.89948,2561,2892,0.88852,0.91044
2016,West,Yes,0.01863,291,11227,0.01613,0.02113
2016,West,No,0.98137,10936,11227,0.97887,0.98387
2016,East,Yes,0.04704,150,3074,0.03955,0.05452
2016,East,No,0.95296,2924,3074,0.94548,0.96045
2021,West,Yes,0.02413,272,8665,0.02090,0.02736
2021,West,No,0.97587,8393,8665,0.97264,0.97910
2021,East,Yes,0.04807,126,2391,0.03949,0.05664
2021,East,No,0.95193,2265,2391,0.94336,0.96051
