,Unnamed: 0,year,bula_h,pet_other,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Schleswig-Holstein,No,1.0,136,6537,0.90478,1.08198
1,1,1996,Hamburg,No,1.0,79,6537,0.84601,1.14642
2,2,1996,Lower Saxony,Yes,0.07366,39,6537,0.05985,0.08999
3,3,1996,Lower Saxony,No,0.92634,492,6537,0.87524,0.97746
4,4,1996,Bremen,No,1.0,50,6537,0.85641,1.1527
5,5,1996,North Rhine-Westphalia,Yes,0.06848,95,6537,0.05966,0.07634
6,6,1996,North Rhine-Westphalia,No,0.93152,1194,6537,0.89591,0.97689
7,7,1996,Hesse,No,1.0,441,6537,0.9264,1.07845
8,8,1996,"Rhineland-Palatinate, Saarland",Yes,0.0689,32,6537,0.05639,0.0813
9,9,1996,"Rhineland-Palatinate, Saarland",No,0.9311,315,6537,0.86464,1.00398
10,10,1996,Baden-Wuerttemberg,Yes,0.07224,63,6537,0.05892,0.08505
11,11,1996,Baden-Wuerttemberg,No,0.92776,777,6537,0.86489,0.9894
12,12,1996,Bavaria,Yes,0.07175,70,6537,0.06278,0.08097
13,13,1996,Bavaria,No,0.92825,791,6537,0.88611,0.98654
14,14,1996,Berlin,No,1.0,282,6537,0.92043,1.07885
15,15,1996,Brandenburg,Yes,0.1247,45,6537,0.10618,0.14834
16,16,1996,Brandenburg,No,0.8753,255,6537,0.81791,0.93568
17,17,1996,Mecklenburg-Western Pomerania,No,1.0,177,6537,0.92245,1.08761
18,18,1996,Saxony,Yes,0.10371,66,6537,0.0901,0.11984
19,19,1996,Saxony,No,0.89629,482,6537,0.84525,0.95023
20,20,1996,Saxony-Anhalt,Yes,0.09046,35,6537,0.0742,0.10666
21,21,1996,Saxony-Anhalt,No,0.90954,295,6537,0.83843,0.99423
22,22,1996,Thuringa,Yes,0.11118,47,6537,0.09308,0.13059
23,23,1996,Thuringa,No,0.88882,279,6537,0.82327,0.95661
24,24,2001,Schleswig-Holstein,No,1.0,336,11636,0.93442,1.04575
25,25,2001,Hamburg,No,1.0,171,11636,0.92055,1.07721
26,26,2001,Lower Saxony,Yes,0.10411,97,11636,0.09203,0.11737
27,27,2001,Lower Saxony,No,0.89589,864,11636,0.86716,0.93431
28,28,2001,Bremen,No,1.0,92,11636,0.89158,1.12272
29,29,2001,North Rhine-Westphalia,Yes,0.05867,158,11636,0.05253,0.06526
30,30,2001,North Rhine-Westphalia,No,0.94133,2327,11636,0.91878,0.96382
31,31,2001,Hesse,Yes,0.06063,63,11636,0.05392,0.06775
32,32,2001,Hesse,No,0.93937,716,11636,0.90295,0.98255
33,33,2001,"Rhineland-Palatinate, Saarland",Yes,0.08938,67,11636,0.07586,0.10149
34,34,2001,"Rhineland-Palatinate, Saarland",No,0.91062,653,11636,0.87396,0.95315
35,35,2001,Baden-Wuerttemberg,Yes,0.06298,108,11636,0.05614,0.07177
36,36,2001,Baden-Wuerttemberg,No,0.93702,1254,11636,0.90655,0.97618
37,37,2001,Bavaria,Yes,0.07413,142,11636,0.06628,0.08137
38,38,2001,Bavaria,No,0.92587,1474,11636,0.89998,0.95663
39,39,2001,Berlin,Yes,0.0563,35,11636,0.0466,0.06568
40,40,2001,Berlin,No,0.9437,446,11636,0.90186,0.98974
41,41,2001,Brandenburg,Yes,0.13127,67,11636,0.11731,0.14851
42,42,2001,Brandenburg,No,0.86873,433,11636,0.81927,0.9191
43,43,2001,Mecklenburg-Western Pomerania,Yes,0.12113,41,11636,0.10329,0.14007
44,44,2001,Mecklenburg-Western Pomerania,No,0.87887,244,11636,0.8121,0.94407
45,45,2001,Saxony,Yes,0.10312,96,11636,0.09205,0.11545
46,46,2001,Saxony,No,0.89688,753,11636,0.8664,0.93225
47,47,2001,Saxony-Anhalt,Yes,0.13262,75,11636,0.12004,0.14507
48,48,2001,Saxony-Anhalt,No,0.86738,430,11636,0.82227,0.90577
49,49,2001,Thuringa,Yes,0.11658,71,11636,0.10157,0.12988
50,50,2001,Thuringa,No,0.88342,423,11636,0.82916,0.93581
51,51,2006,Schleswig-Holstein,No,1.0,360,12223,0.94213,1.07737
52,52,2006,Hamburg,No,1.0,187,12223,0.9062,1.09505
53,53,2006,Lower Saxony,Yes,0.11694,131,12223,0.10216,0.13511
54,54,2006,Lower Saxony,No,0.88306,943,12223,0.84642,0.92484
55,55,2006,Bremen,No,1.0,84,12223,0.83786,1.1611
56,56,2006,North Rhine-Westphalia,Yes,0.06686,195,12223,0.05943,0.07527
57,57,2006,North Rhine-Westphalia,No,0.93314,2343,12223,0.90634,0.96425
58,58,2006,Hesse,Yes,0.07105,75,12223,0.05803,0.08419
59,59,2006,Hesse,No,0.92895,771,12223,0.88361,0.97213
60,60,2006,"Rhineland-Palatinate, Saarland",Yes,0.09288,80,12223,0.07849,0.1081
61,61,2006,"Rhineland-Palatinate, Saarland",No,0.90712,647,12223,0.86803,0.95247
62,62,2006,Baden-Wuerttemberg,Yes,0.06756,117,12223,0.0574,0.07864
63,63,2006,Baden-Wuerttemberg,No,0.93244,1356,12223,0.89691,0.97328
64,64,2006,Bavaria,Yes,0.07735,161,12223,0.06821,0.08651
65,65,2006,Bavaria,No,0.92265,1569,12223,0.89138,0.95143
66,66,2006,Berlin,Yes,0.06728,36,12223,0.04999,0.08448
67,67,2006,Berlin,No,0.93272,448,12223,0.87687,1.00079
68,68,2006,Brandenburg,Yes,0.12616,68,12223,0.10413,0.14894
69,69,2006,Brandenburg,No,0.87384,464,12223,0.82196,0.92969
70,70,2006,Mecklenburg-Western Pomerania,Yes,0.0854,31,12223,0.06553,0.10686
71,71,2006,Mecklenburg-Western Pomerania,No,0.9146,273,12223,0.84001,0.99873
72,72,2006,Saxony,Yes,0.07922,88,12223,0.06861,0.08953
73,73,2006,Saxony,No,0.92078,789,12223,0.87712,0.96736
74,74,2006,Saxony-Anhalt,Yes,0.12362,67,12223,0.10415,0.14443
75,75,2006,Saxony-Anhalt,No,0.87638,425,12223,0.81289,0.95246
76,76,2006,Thuringa,Yes,0.12616,76,12223,0.10427,0.15344
77,77,2006,Thuringa,No,0.87384,439,12223,0.80259,0.95845
78,78,2011,Schleswig-Holstein,Yes,0.07501,37,12068,0.0568,0.09566
79,79,2011,Schleswig-Holstein,No,0.92499,369,12068,0.85197,1.01025
80,80,2011,Hamburg,No,1.0,185,12068,0.89251,1.10004
81,81,2011,Lower Saxony,Yes,0.07824,91,12068,0.06185,0.09466
82,82,2011,Lower Saxony,No,0.92176,996,12068,0.87217,0.96643
83,83,2011,Bremen,No,1.0,75,12068,0.80879,1.17668
84,84,2011,North Rhine-Westphalia,Yes,0.05156,172,12068,0.04458,0.05774
85,85,2011,North Rhine-Westphalia,No,0.94844,2181,12068,0.91195,0.97958
86,86,2011,Hesse,Yes,0.0646,67,12068,0.05052,0.08245
87,87,2011,Hesse,No,0.9354,763,12068,0.87844,0.98233
88,88,2011,"Rhineland-Palatinate, Saarland",Yes,0.05631,53,12068,0.04314,0.07055
89,89,2011,"Rhineland-Palatinate, Saarland",No,0.94369,657,12068,0.8832,1.00935
90,90,2011,Baden-Wuerttemberg,Yes,0.06261,107,12068,0.05337,0.07449
91,91,2011,Baden-Wuerttemberg,No,0.93739,1294,12068,0.8941,0.97857
92,92,2011,Bavaria,Yes,0.05271,147,12068,0.04431,0.06148
93,93,2011,Bavaria,No,0.94729,1692,12068,0.90326,0.98621
94,94,2011,Berlin,Yes,0.05029,33,12068,0.03579,0.06884
95,95,2011,Berlin,No,0.94971,480,12068,0.88573,1.00831
96,96,2011,Brandenburg,Yes,0.08173,52,12068,0.06378,0.102
97,97,2011,Brandenburg,No,0.91827,466,12068,0.842,0.99458
98,98,2011,Mecklenburg-Western Pomerania,Yes,0.08462,31,12068,0.05792,0.12337
99,99,2011,Mecklenburg-Western Pomerania,No,0.91538,284,12068,0.82825,1.01104
100,100,2011,Saxony,Yes,0.11485,94,12068,0.09013,0.14042
101,101,2011,Saxony,No,0.88515,714,12068,0.83484,0.94208
102,102,2011,Saxony-Anhalt,Yes,0.11552,68,12068,0.09132,0.14163
103,103,2011,Saxony-Anhalt,No,0.88448,441,12068,0.8219,0.96439
104,104,2011,Thuringa,Yes,0.11477,68,12068,0.09137,0.14152
105,105,2011,Thuringa,No,0.88523,451,12068,0.81122,0.95901
106,106,2016,Schleswig-Holstein,No,1.0,496,14143,0.9054,1.08772
107,107,2016,Hamburg,No,1.0,261,14143,0.87577,1.12205
108,108,2016,Lower Saxony,Yes,0.02675,51,14143,0.01949,0.03607
109,109,2016,Lower Saxony,No,0.97325,1297,14143,0.91412,1.02873
110,110,2016,Bremen,No,1.0,101,14143,0.80374,1.20543
111,111,2016,North Rhine-Westphalia,Yes,0.01509,64,14143,0.01045,0.02065
112,112,2016,North Rhine-Westphalia,No,0.98491,2843,14143,0.9466,1.02898
113,113,2016,Hesse,No,1.0,956,14143,0.94075,1.07317
114,114,2016,"Rhineland-Palatinate, Saarland",No,1.0,833,14143,0.93862,1.05947
115,115,2016,Baden-Wuerttemberg,Yes,0.02974,59,14143,0.02151,0.03927
116,116,2016,Baden-Wuerttemberg,No,0.97026,1568,14143,0.91623,1.02991
117,117,2016,Bavaria,Yes,0.01667,62,14143,0.01263,0.01994
118,118,2016,Bavaria,No,0.98333,2238,14143,0.9343,1.03
