,Unnamed: 0,year,hhtyp,rentown,pet_other,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Single-person household,Owner,No,1.0,286,6522,0.94986,1.0619
1,1,1996,Single-person household,Tenant,No,1.0,1114,6522,0.96761,1.03235
2,2,1996,Couple without children,Owner,Yes,0.0675,54,6522,0.05722,0.08039
3,3,1996,Couple without children,Owner,No,0.9325,637,6522,0.89836,0.98182
4,4,1996,Couple without children,Tenant,Yes,0.05108,60,6522,0.04193,0.06035
5,5,1996,Couple without children,Tenant,No,0.94892,1089,6522,0.90151,0.983
6,6,1996,Single parent,Owner,No,1.0,95,6522,0.87978,1.11797
7,7,1996,Single parent,Tenant,No,1.0,256,6522,0.89458,1.09486
8,8,1996,Couple with children,Owner,Yes,0.15915,189,6522,0.14489,0.17297
9,9,1996,Couple with children,Owner,No,0.84085,984,6522,0.80928,0.87332
10,10,1996,Couple with children,Tenant,Yes,0.12084,174,6522,0.10841,0.13478
11,11,1996,Couple with children,Tenant,No,0.87916,1339,6522,0.84313,0.92365
12,12,1996,Multi-generational household,Owner,No,1.0,55,6522,0.76419,1.24221
13,13,1996,Multi-generational household,Tenant,No,1.0,53,6522,0.76307,1.23376
14,14,1996,Other Combinations,Owner,No,1.0,56,6522,0.83292,1.19962
15,15,1996,Other Combinations,Tenant,No,1.0,81,6522,0.85845,1.17146
16,16,2001,Single-person household,Owner,No,1.0,744,11610,0.96817,1.03194
17,17,2001,Single-person household,Tenant,Yes,0.02581,57,11610,0.02282,0.02865
18,18,2001,Single-person household,Tenant,No,0.97419,2096,11610,0.94987,0.99737
19,19,2001,Couple without children,Owner,Yes,0.07514,149,11610,0.06827,0.08117
20,20,2001,Couple without children,Owner,No,0.92486,1632,11610,0.90149,0.94859
21,21,2001,Couple without children,Tenant,Yes,0.04265,100,11610,0.03727,0.04814
22,22,2001,Couple without children,Tenant,No,0.95735,1708,11610,0.9332,0.99021
23,23,2001,Single parent,Owner,No,1.0,178,11610,0.91756,1.10685
24,24,2001,Single parent,Tenant,Yes,0.14617,75,11610,0.12909,0.1656
25,25,2001,Single parent,Tenant,No,0.85383,439,11610,0.81447,0.89807
26,26,2001,Couple with children,Owner,Yes,0.16776,392,11610,0.15905,0.17891
27,27,2001,Couple with children,Owner,No,0.83224,1947,11610,0.81002,0.85547
28,28,2001,Couple with children,Tenant,Yes,0.1283,221,11610,0.11819,0.14017
29,29,2001,Couple with children,Tenant,No,0.8717,1615,11610,0.84649,0.89775
30,30,2001,Multi-generational household,Owner,No,1.0,101,11610,0.8953,1.11263
31,31,2001,Multi-generational household,Tenant,No,1.0,39,11610,0.77935,1.23436
32,32,2001,Other Combinations,Owner,No,1.0,59,11610,0.88929,1.11347
33,33,2001,Other Combinations,Tenant,No,1.0,58,11610,0.84627,1.15914
34,34,2006,Single-person household,Owner,No,1.0,938,12172,0.9653,1.03857
35,35,2006,Single-person household,Tenant,Yes,0.02212,67,12172,0.01831,0.02652
36,36,2006,Single-person household,Tenant,No,0.97788,2264,12172,0.95563,0.99938
37,37,2006,Couple without children,Owner,Yes,0.06476,148,12172,0.05629,0.07353
38,38,2006,Couple without children,Owner,No,0.93524,2160,12172,0.90554,0.96957
39,39,2006,Couple without children,Tenant,Yes,0.05048,106,12172,0.04234,0.05742
40,40,2006,Couple without children,Tenant,No,0.94952,1744,12172,0.91432,0.98203
41,41,2006,Single parent,Owner,No,1.0,199,12172,0.91118,1.09834
42,42,2006,Single parent,Tenant,Yes,0.16236,86,12172,0.1384,0.18311
43,43,2006,Single parent,Tenant,No,0.83764,461,12172,0.78054,0.88255
44,44,2006,Couple with children,Owner,Yes,0.21111,461,12172,0.19605,0.23094
45,45,2006,Couple with children,Owner,No,0.78889,1914,12172,0.75834,0.82206
46,46,2006,Couple with children,Tenant,Yes,0.15294,234,12172,0.13711,0.17226
47,47,2006,Couple with children,Tenant,No,0.84706,1227,12172,0.80809,0.88429
48,48,2006,Multi-generational household,Owner,No,1.0,65,12172,0.73866,1.25266
49,49,2006,Other Combinations,Owner,No,1.0,58,12172,0.81494,1.20507
50,50,2006,Other Combinations,Tenant,No,1.0,40,12172,0.74175,1.29452
51,51,2011,Single-person household,Owner,Yes,0.0264,31,12016,0.02178,0.03232
52,52,2011,Single-person household,Owner,No,0.9736,1044,12016,0.9362,1.01115
53,53,2011,Single-person household,Tenant,Yes,0.02956,76,12016,0.02565,0.03453
54,54,2011,Single-person household,Tenant,No,0.97044,2359,12016,0.94687,0.99613
55,55,2011,Couple without children,Owner,Yes,0.05336,134,12016,0.0453,0.06196
56,56,2011,Couple without children,Owner,No,0.94664,2380,12016,0.91448,0.97732
57,57,2011,Couple without children,Tenant,Yes,0.04674,93,12016,0.03893,0.05591
58,58,2011,Couple without children,Tenant,No,0.95326,1764,12016,0.91557,0.99942
59,59,2011,Single parent,Owner,No,1.0,195,12016,0.87501,1.09922
60,60,2011,Single parent,Tenant,Yes,0.12026,71,12016,0.09285,0.15579
61,61,2011,Single parent,Tenant,No,0.87974,490,12016,0.79741,0.96402
62,62,2011,Couple with children,Owner,Yes,0.18667,397,12016,0.16461,0.20689
63,63,2011,Couple with children,Owner,No,0.81333,1633,12016,0.77206,0.85641
64,64,2011,Couple with children,Tenant,Yes,0.12777,190,12016,0.11077,0.14532
65,65,2011,Couple with children,Tenant,No,0.87223,1020,12016,0.81069,0.94123
66,66,2011,Multi-generational household,Owner,No,1.0,51,12016,0.7519,1.33231
67,67,2011,Other Combinations,Owner,No,1.0,44,12016,0.74053,1.26579
68,68,2011,Other Combinations,Tenant,No,1.0,44,12016,0.77038,1.31703
69,69,2016,Single-person household,Owner,No,1.0,912,14229,0.95131,1.0415
70,70,2016,Single-person household,Tenant,No,1.0,2428,14229,0.96751,1.03088
71,71,2016,Couple without children,Owner,Yes,0.02031,42,14229,0.01472,0.02622
72,72,2016,Couple without children,Owner,No,0.97969,2179,14229,0.93828,1.0095
73,73,2016,Couple without children,Tenant,Yes,0.02036,41,14229,0.01341,0.0272
74,74,2016,Couple without children,Tenant,No,0.97964,1834,14229,0.92787,1.02883
75,75,2016,Single parent,Owner,No,1.0,365,14229,0.90608,1.0989
76,76,2016,Single parent,Tenant,Yes,0.05451,50,14229,0.03832,0.07382
77,77,2016,Single parent,Tenant,No,0.94549,1092,14229,0.87694,1.02028
78,78,2016,Couple with children,Owner,Yes,0.0562,145,14229,0.04687,0.06736
79,79,2016,Couple with children,Owner,No,0.9438,2517,14229,0.90536,0.98655
80,80,2016,Couple with children,Tenant,Yes,0.03105,92,14229,0.02344,0.04038
81,81,2016,Couple with children,Tenant,No,0.96895,2236,14229,0.91859,1.02753
82,82,2016,Multi-generational household,Owner,No,1.0,48,14229,0.72182,1.38203
83,83,2016,Multi-generational household,Tenant,No,1.0,55,14229,0.66325,1.40468
84,84,2016,Other Combinations,Owner,No,1.0,51,14229,0.71361,1.23229
85,85,2016,Other Combinations,Tenant,No,1.0,142,14229,0.85318,1.14252
86,86,2021,Single-person household,Owner,No,1.0,847,10844,0.93827,1.05605
87,87,2021,Single-person household,Tenant,No,1.0,2303,10844,0.96124,1.03942
88,88,2021,Couple without children,Owner,Yes,0.03017,65,10844,0.02201,0.03961
89,89,2021,Couple without children,Owner,No,0.96983,1852,10844,0.91469,1.02411
90,90,2021,Couple without children,Tenant,No,1.0,1453,10844,0.94137,1.06525
91,91,2021,Single parent,Owner,No,1.0,226,10844,0.82822,1.18085
92,92,2021,Single parent,Tenant,Yes,0.04644,31,10844,0.02922,0.0699
93,93,2021,Single parent,Tenant,No,0.95356,615,10844,0.84677,1.04443
94,94,2021,Couple with children,Owner,Yes,0.06274,138,10844,0.04732,0.07911
95,95,2021,Couple with children,Owner,No,0.93726,1734,10844,0.87609,0.99589
96,96,2021,Couple with children,Tenant,Yes,0.04647,56,10844,0.03408,0.06124
97,97,2021,Couple with children,Tenant,No,0.95353,1209,10844,0.89163,1.0276
98,98,2021,Multi-generational household,Owner,No,1.0,38,10844,0.71867,1.34676
99,99,2021,Multi-generational household,Tenant,No,1.0,34,10844,0.53485,1.61799
100,100,2021,Other Combinations,Owner,No,1.0,101,10844,0.82028,1.2755
101,101,2021,Other Combinations,Tenant,No,1.0,142,10844,0.78826,1.23232
