,Unnamed: 0,year,bula_h,sampreg,pet_other,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
52,52,2006,Schleswig-Holstein,West,No,1.0,360,12187,0.93161,1.07149
53,53,2006,Hamburg,West,No,1.0,187,12187,0.89963,1.09059
54,54,2006,Lower Saxony,West,Yes,0.11694,131,12187,0.101,0.13372
55,55,2006,Lower Saxony,West,No,0.88306,943,12187,0.83319,0.92478
56,56,2006,Bremen,West,No,1.0,84,12187,0.85172,1.12469
57,57,2006,North Rhine-Westphalia,West,Yes,0.06686,195,12187,0.05953,0.07451
58,58,2006,North Rhine-Westphalia,West,No,0.93314,2343,12187,0.90668,0.96314
59,59,2006,Hesse,West,Yes,0.07105,75,12187,0.05813,0.08692
60,60,2006,Hesse,West,No,0.92895,771,12187,0.88313,0.97744
61,61,2006,"Rhineland-Palatinate, Saarland",West,Yes,0.09288,80,12187,0.07565,0.10843
62,62,2006,"Rhineland-Palatinate, Saarland",West,No,0.90712,647,12187,0.86764,0.9564
63,63,2006,Baden-Wuerttemberg,West,Yes,0.06756,117,12187,0.05563,0.0803
64,64,2006,Baden-Wuerttemberg,West,No,0.93244,1356,12187,0.89076,0.97345
65,65,2006,Bavaria,West,Yes,0.07735,161,12187,0.06885,0.08723
66,66,2006,Bavaria,West,No,0.92265,1569,12187,0.88649,0.95852
67,67,2006,Berlin,West,No,1.0,257,12187,0.92234,1.09512
68,68,2006,Berlin,East,No,1.0,191,12187,0.8883,1.09859
69,69,2006,Brandenburg,East,Yes,0.12616,68,12187,0.10331,0.15395
70,70,2006,Brandenburg,East,No,0.87384,464,12187,0.80011,0.92537
71,71,2006,Mecklenburg-Western Pomerania,East,Yes,0.0854,31,12187,0.07004,0.10609
72,72,2006,Mecklenburg-Western Pomerania,East,No,0.9146,273,12187,0.83068,0.99268
73,73,2006,Saxony,East,Yes,0.07922,88,12187,0.07012,0.09095
74,74,2006,Saxony,East,No,0.92078,789,12187,0.87965,0.97086
75,75,2006,Saxony-Anhalt,East,Yes,0.12362,67,12187,0.1026,0.14365
76,76,2006,Saxony-Anhalt,East,No,0.87638,425,12187,0.80768,0.94035
77,77,2006,Thuringa,East,Yes,0.12616,76,12187,0.10366,0.15529
78,78,2006,Thuringa,East,No,0.87384,439,12187,0.80428,0.92989
79,79,2011,Schleswig-Holstein,West,Yes,0.07501,37,12035,0.05815,0.09578
80,80,2011,Schleswig-Holstein,West,No,0.92499,369,12035,0.85272,0.99656
81,81,2011,Hamburg,West,No,1.0,185,12035,0.92758,1.11087
82,82,2011,Lower Saxony,West,Yes,0.07824,91,12035,0.06192,0.09218
83,83,2011,Lower Saxony,West,No,0.92176,996,12035,0.87198,0.97013
84,84,2011,Bremen,West,No,1.0,75,12035,0.85102,1.19481
85,85,2011,North Rhine-Westphalia,West,Yes,0.05156,172,12035,0.04429,0.05956
86,86,2011,North Rhine-Westphalia,West,No,0.94844,2181,12035,0.90875,0.98219
87,87,2011,Hesse,West,Yes,0.0646,67,12035,0.05004,0.08408
88,88,2011,Hesse,West,No,0.9354,763,12035,0.8823,0.99272
89,89,2011,"Rhineland-Palatinate, Saarland",West,Yes,0.05631,53,12035,0.0427,0.07266
90,90,2011,"Rhineland-Palatinate, Saarland",West,No,0.94369,657,12035,0.89066,1.00165
91,91,2011,Baden-Wuerttemberg,West,Yes,0.06261,107,12035,0.05331,0.07256
92,92,2011,Baden-Wuerttemberg,West,No,0.93739,1294,12035,0.89391,0.9804
93,93,2011,Bavaria,West,Yes,0.05271,147,12035,0.04439,0.06193
94,94,2011,Bavaria,West,No,0.94729,1692,12035,0.9098,0.99089
95,95,2011,Berlin,West,No,1.0,275,12035,0.92119,1.08178
96,96,2011,Berlin,East,No,1.0,205,12035,0.88424,1.08882
97,97,2011,Brandenburg,East,Yes,0.08173,52,12035,0.06363,0.10431
