year,bula_h,quintil_oecd_hh,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1996,Berlin,2nd Quintile,No,1.00000,52,5968,0,0.80399,0,1.22000
1996,Berlin,3rd Quintile,No,1.00000,55,5968,0,0.84540,0,1.20672
1996,Berlin,4th Quintile,No,1.00000,64,5968,0,0.86206,0,1.16792
1996,Berlin,5th Quintile,No,1.00000,56,5968,0,0.82018,0,1.18344
1996,Brandenburg,1st Quintile,No,1.00000,61,5968,0,0.86606,0,1.14473
1996,Brandenburg,2nd Quintile,No,1.00000,82,5968,0,0.89123,0,1.13069
1996,Brandenburg,3rd Quintile,No,1.00000,59,5968,0,0.88886,0,1.12727
1996,Brandenburg,4th Quintile,No,1.00000,48,5968,0,0.80204,0,1.17564
1996,Mecklenburg-Western Pomerania,1st Quintile,No,1.00000,50,5968,0,0.85946,0,1.17026
1996,Mecklenburg-Western Pomerania,2nd Quintile,No,1.00000,50,5968,0,0.87278,0,1.13968
1996,Mecklenburg-Western Pomerania,3rd Quintile,No,1.00000,41,5968,0,0.85261,0,1.16560
1996,Saxony,1st Quintile,No,1.00000,136,5968,0,0.90769,0,1.09743
1996,Saxony,2nd Quintile,No,1.00000,129,5968,0,0.91756,0,1.10054
1996,Saxony,3rd Quintile,No,1.00000,129,5968,0,0.90712,0,1.09574
1996,Saxony,4th Quintile,No,1.00000,75,5968,0,0.88673,0,1.12212
1996,Saxony,5th Quintile,No,1.00000,38,5968,0,0.75975,0,1.27098
1996,Saxony-Anhalt,1st Quintile,No,1.00000,72,5968,0,0.86495,0,1.14183
1996,Saxony-Anhalt,2nd Quintile,No,1.00000,84,5968,0,0.87650,0,1.11873
1996,Saxony-Anhalt,3rd Quintile,No,1.00000,76,5968,0,0.85735,0,1.15650
1996,Saxony-Anhalt,4th Quintile,No,1.00000,49,5968,0,0.83011,0,1.18699
1996,Thuringa,1st Quintile,No,1.00000,72,5968,0,0.84470,0,1.12319
1996,Thuringa,2nd Quintile,No,1.00000,91,5968,0,0.87404,0,1.12255
1996,Thuringa,3rd Quintile,No,1.00000,83,5968,0,0.87394,0,1.11917
1996,Thuringa,4th Quintile,No,1.00000,40,5968,0,0.79620,0,1.18825
2001,Schleswig-Holstein,1st Quintile,No,1.00000,53,10839,0,0.87706,0,1.12697
2001,Schleswig-Holstein,2nd Quintile,No,1.00000,68,10839,0,0.88519,0,1.13112
2001,Schleswig-Holstein,3rd Quintile,No,1.00000,67,10839,0,0.87620,0,1.13719
2001,Schleswig-Holstein,4th Quintile,No,1.00000,74,10839,0,0.86559,0,1.12410
