,Unnamed: 0,year,quintil_oecd_hh,sampreg,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,1st Quintile,West,Yes,0.02712,36,6542,0.02031,0.03673
1,1,1996,1st Quintile,West,No,0.97288,901,6542,0.91347,1.03376
2,2,1996,1st Quintile,East,No,1.0,416,6542,0.94832,1.06322
3,3,1996,2nd Quintile,West,Yes,0.03911,47,6542,0.03241,0.04723
4,4,1996,2nd Quintile,West,No,0.96089,891,6542,0.91174,1.0065
5,5,1996,2nd Quintile,East,Yes,0.0868,52,6542,0.07109,0.10355
6,6,1996,2nd Quintile,East,No,0.9132,461,6542,0.86909,0.95628
7,7,1996,3rd Quintile,West,Yes,0.04773,50,6542,0.03926,0.05826
8,8,1996,3rd Quintile,West,No,0.95227,895,6542,0.90609,1.00961
9,9,1996,3rd Quintile,East,No,1.0,412,6542,0.95113,1.05249
10,10,1996,4th Quintile,West,Yes,0.03912,49,6542,0.03205,0.0476
11,11,1996,4th Quintile,West,No,0.96088,971,6542,0.92432,1.00792
12,12,1996,4th Quintile,East,No,1.0,267,6542,0.92235,1.07141
13,13,1996,5th Quintile,West,Yes,0.04064,46,6542,0.03592,0.04575
14,14,1996,5th Quintile,West,No,0.95936,902,6542,0.91959,1.00051
15,15,1996,5th Quintile,East,No,1.0,146,6542,0.89481,1.10933
16,16,2001,1st Quintile,West,Yes,0.03342,64,11658,0.02891,0.03868
17,17,2001,1st Quintile,West,No,0.96658,1462,11658,0.94059,0.99153
18,18,2001,1st Quintile,East,Yes,0.06149,49,11658,0.05228,0.07115
19,19,2001,1st Quintile,East,No,0.93851,638,11658,0.9042,0.98134
20,20,2001,2nd Quintile,West,Yes,0.06011,111,11658,0.05272,0.06678
21,21,2001,2nd Quintile,West,No,0.93989,1565,11658,0.91142,0.9701
22,22,2001,2nd Quintile,East,Yes,0.06349,67,11658,0.05677,0.07078
23,23,2001,2nd Quintile,East,No,0.93651,719,11658,0.89718,0.97464
24,24,2001,3rd Quintile,West,Yes,0.05955,129,11658,0.05253,0.06645
25,25,2001,3rd Quintile,West,No,0.94045,1653,11658,0.91236,0.967
26,26,2001,3rd Quintile,East,Yes,0.08745,59,11658,0.07499,0.10014
27,27,2001,3rd Quintile,East,No,0.91255,619,11658,0.8742,0.95619
28,28,2001,4th Quintile,West,Yes,0.05127,107,11658,0.04572,0.05652
29,29,2001,4th Quintile,West,No,0.94873,1806,11658,0.92263,0.97563
30,30,2001,4th Quintile,East,Yes,0.08608,43,11658,0.07291,0.09966
31,31,2001,4th Quintile,East,No,0.91392,412,11658,0.86884,0.96714
32,32,2001,5th Quintile,West,Yes,0.03817,83,11658,0.03323,0.04305
33,33,2001,5th Quintile,West,No,0.96183,1855,11658,0.9354,0.99011
34,34,2001,5th Quintile,East,No,1.0,217,11658,0.91959,1.09846
35,35,2006,1st Quintile,West,Yes,0.02665,49,12241,0.02142,0.0325
36,36,2006,1st Quintile,West,No,0.97335,1370,12241,0.94076,1.00376
37,37,2006,1st Quintile,East,Yes,0.06575,56,12241,0.0559,0.0763
38,38,2006,1st Quintile,East,No,0.93425,606,12241,0.88519,0.98906
39,39,2006,2nd Quintile,West,Yes,0.04947,91,12241,0.04411,0.0571
40,40,2006,2nd Quintile,West,No,0.95053,1401,12241,0.91374,0.97814
41,41,2006,2nd Quintile,East,Yes,0.05037,44,12241,0.03638,0.06892
42,42,2006,2nd Quintile,East,No,0.94963,698,12241,0.90161,1.00662
43,43,2006,3rd Quintile,West,Yes,0.06509,128,12241,0.05777,0.07396
44,44,2006,3rd Quintile,West,No,0.93491,1608,12241,0.90249,0.96365
45,45,2006,3rd Quintile,East,Yes,0.115,71,12241,0.09596,0.13855
46,46,2006,3rd Quintile,East,No,0.885,601,12241,0.83394,0.93636
47,47,2006,4th Quintile,West,Yes,0.05525,120,12241,0.04752,0.06359
48,48,2006,4th Quintile,West,No,0.94475,1858,12241,0.91207,0.97426
49,49,2006,4th Quintile,East,Yes,0.11564,57,12241,0.09073,0.14313
50,50,2006,4th Quintile,East,No,0.88436,446,12241,0.8284,0.95082
51,51,2006,5th Quintile,West,Yes,0.04403,151,12241,0.03732,0.05043
52,52,2006,5th Quintile,West,No,0.95597,2556,12241,0.92259,0.98324
53,53,2006,5th Quintile,East,No,1.0,330,12241,0.88651,1.10782
54,54,2011,1st Quintile,West,Yes,0.01678,50,12058,0.01125,0.02142
55,55,2011,1st Quintile,West,No,0.98322,1473,12058,0.93711,1.03412
56,56,2011,1st Quintile,East,Yes,0.04739,47,12058,0.03731,0.06104
57,57,2011,1st Quintile,East,No,0.95261,668,12058,0.87375,1.00987
58,58,2011,2nd Quintile,West,Yes,0.03784,79,12058,0.03045,0.04525
59,59,2011,2nd Quintile,West,No,0.96216,1440,12058,0.91536,1.00257
60,60,2011,2nd Quintile,East,Yes,0.04745,47,12058,0.03386,0.06032
61,61,2011,2nd Quintile,East,No,0.95255,697,12058,0.89641,1.0126
62,62,2011,3rd Quintile,West,Yes,0.05354,110,12058,0.04665,0.06159
63,63,2011,3rd Quintile,West,No,0.94646,1618,12058,0.90542,0.98031
64,64,2011,3rd Quintile,East,Yes,0.08732,54,12058,0.06978,0.10662
65,65,2011,3rd Quintile,East,No,0.91268,597,12058,0.86359,0.97811
66,66,2011,4th Quintile,West,Yes,0.05525,125,12058,0.04792,0.06374
67,67,2011,4th Quintile,West,No,0.94475,1829,12058,0.90473,0.97642
68,68,2011,4th Quintile,East,Yes,0.07622,39,12058,0.05585,0.09424
69,69,2011,4th Quintile,East,No,0.92378,421,12058,0.84072,0.99899
70,70,2011,5th Quintile,West,Yes,0.05636,151,12058,0.04725,0.06697
71,71,2011,5th Quintile,West,No,0.94364,2314,12058,0.9058,0.9751
72,72,2011,5th Quintile,East,No,1.0,299,12058,0.89247,1.10464
73,73,2016,1st Quintile,West,Yes,0.02373,77,14281,0.01603,0.03162
74,74,2016,1st Quintile,West,No,0.97627,2175,14281,0.93146,1.01658
75,75,2016,1st Quintile,East,Yes,0.04479,46,14281,0.02999,0.06655
76,76,2016,1st Quintile,East,No,0.95521,767,14281,0.87855,1.03811
77,77,2016,2nd Quintile,West,Yes,0.02273,93,14281,0.01901,0.02728
78,78,2016,2nd Quintile,West,No,0.97727,2196,14281,0.93417,1.02162
79,79,2016,2nd Quintile,East,Yes,0.05753,63,14281,0.04308,0.07381
80,80,2016,2nd Quintile,East,No,0.94247,750,14281,0.86459,1.01352
81,81,2016,3rd Quintile,West,Yes,0.04167,102,14281,0.03054,0.05157
82,82,2016,3rd Quintile,West,No,0.95833,1975,14281,0.91968,0.9977
83,83,2016,3rd Quintile,East,Yes,0.0646,49,14281,0.04294,0.08808
84,84,2016,3rd Quintile,East,No,0.9354,625,14281,0.86476,1.00424
85,85,2016,4th Quintile,West,Yes,0.03756,105,14281,0.03089,0.04461
86,86,2016,4th Quintile,West,No,0.96244,2108,14281,0.91796,0.99827
87,87,2016,4th Quintile,East,Yes,0.07768,35,14281,0.05383,0.10629
88,88,2016,4th Quintile,East,No,0.92232,410,14281,0.81771,1.0275
89,89,2016,5th Quintile,West,Yes,0.02998,101,14281,0.02485,0.03761
90,90,2016,5th Quintile,West,No,0.97002,2291,14281,0.93403,1.00918
91,91,2016,5th Quintile,East,No,1.0,313,14281,0.86106,1.12718
92,92,2021,1st Quintile,West,Yes,0.01029,32,10975,0.00732,0.01319
93,93,2021,1st Quintile,West,No,0.98971,1495,10975,0.93149,1.05181
94,94,2021,1st Quintile,East,No,1.0,518,10975,0.8891,1.11433
95,95,2021,2nd Quintile,West,Yes,0.03529,70,10975,0.02556,0.04694
96,96,2021,2nd Quintile,West,No,0.96471,1538,10975,0.91947,1.02001
97,97,2021,2nd Quintile,East,Yes,0.06177,46,10975,0.04546,0.0813
98,98,2021,2nd Quintile,East,No,0.93823,548,10975,0.85547,1.04306
99,99,2021,3rd Quintile,West,Yes,0.03752,58,10975,0.02612,0.04999
100,100,2021,3rd Quintile,West,No,0.96248,1495,10975,0.90802,1.01294
101,101,2021,3rd Quintile,East,Yes,0.05506,34,10975,0.03641,0.07869
102,102,2021,3rd Quintile,East,No,0.94494,428,10975,0.85074,1.04745
103,103,2021,4th Quintile,West,Yes,0.02731,70,10975,0.01893,0.03718
104,104,2021,4th Quintile,West,No,0.97269,1634,10975,0.91336,1.01925
105,105,2021,4th Quintile,East,No,1.0,358,10975,0.89521,1.13119
106,106,2021,5th Quintile,West,Yes,0.03443,96,10975,0.02531,0.04517
107,107,2021,5th Quintile,West,No,0.96557,2162,10975,0.91722,1.01694
108,108,2021,5th Quintile,East,No,1.0,393,10975,0.85519,1.15737
