year,rentown,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Owner,West,Yes,0.04885,107,1811,0.03892,0.05878
1996,Owner,West,No,0.95115,1704,1811,0.94122,0.96108
1996,Owner,East,Yes,0.08068,55,584,0.05858,0.10279
1996,Owner,East,No,0.91932,529,584,0.89721,0.94142
1996,Tenant,West,Yes,0.03141,121,2982,0.02515,0.03767
1996,Tenant,West,No,0.96859,2861,2982,0.96233,0.97485
1996,Tenant,East,Yes,0.05274,81,1254,0.04036,0.06512
1996,Tenant,East,No,0.94726,1173,1254,0.93488,0.95964
2001,Owner,West,Yes,0.06151,277,4164,0.05421,0.06881
2001,Owner,West,No,0.93849,3887,4164,0.93119,0.94579
2001,Owner,East,Yes,0.09654,119,1103,0.07911,0.11398
2001,Owner,East,No,0.90346,984,1103,0.88602,0.92089
2001,Tenant,West,Yes,0.03766,217,4673,0.03220,0.04312
2001,Tenant,West,No,0.96234,4456,4673,0.95688,0.96780
2001,Tenant,East,Yes,0.06033,119,1740,0.04914,0.07152
2001,Tenant,East,No,0.93967,1621,1740,0.92848,0.95086
2006,Owner,West,Yes,0.06228,342,4794,0.05544,0.06913
2006,Owner,West,No,0.93772,4452,4794,0.93087,0.94456
2006,Owner,East,Yes,0.11155,125,1209,0.09379,0.12930
2006,Owner,East,No,0.88845,1084,1209,0.87070,0.90621
2006,Tenant,West,Yes,0.03760,198,4542,0.03206,0.04313
2006,Tenant,West,No,0.96240,4344,4542,0.95687,0.96794
2006,Tenant,East,Yes,0.06470,121,1718,0.05307,0.07634
2006,Tenant,East,No,0.93530,1597,1718,0.92366,0.94693
2011,Owner,West,Yes,0.06011,323,4782,0.05337,0.06684
2011,Owner,West,No,0.93989,4459,4782,0.93316,0.94663
2011,Owner,East,Yes,0.08825,114,1162,0.07193,0.10457
2011,Owner,East,No,0.91175,1048,1162,0.89543,0.92807
2011,Tenant,West,Yes,0.03133,192,4410,0.02619,0.03648
2011,Tenant,West,No,0.96867,4218,4410,0.96352,0.97381
2011,Tenant,East,Yes,0.04887,96,1730,0.03871,0.05903
2011,Tenant,East,No,0.95113,1634,1730,0.94097,0.96129
2016,Owner,West,Yes,0.04061,281,5146,0.03521,0.04600
2016,Owner,West,No,0.95939,4865,5146,0.95400,0.96479
2016,Owner,East,Yes,0.07648,105,1156,0.06115,0.09181
2016,Owner,East,No,0.92352,1051,1156,0.90819,0.93885
2016,Tenant,West,Yes,0.02251,197,6081,0.01879,0.02624
2016,Tenant,West,No,0.97749,5884,6081,0.97376,0.98121
2016,Tenant,East,Yes,0.04454,104,1918,0.03530,0.05377
2016,Tenant,East,No,0.95546,1814,1918,0.94623,0.96470
2021,Owner,West,Yes,0.04232,210,4127,0.03618,0.04847
2021,Owner,West,No,0.95768,3917,4127,0.95153,0.96382
2021,Owner,East,Yes,0.07174,76,953,0.05535,0.08814
2021,Owner,East,No,0.92826,877,953,0.91186,0.94465
2021,Tenant,West,Yes,0.01700,116,4534,0.01324,0.02077
2021,Tenant,West,No,0.98300,4418,4534,0.97923,0.98676
2021,Tenant,East,Yes,0.03607,67,1437,0.02642,0.04571
2021,Tenant,East,No,0.96393,1370,1437,0.95429,0.97358
