,Unnamed: 0,year,bula_h,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Schleswig-Holstein,No,1.0,148,6453,0.9208,1.08585
1,1,1996,Hamburg,No,1.0,81,6453,0.87117,1.13413
2,2,1996,Lower Saxony,No,1.0,502,6453,0.94314,1.06218
3,3,1996,Bremen,No,1.0,51,6453,0.84929,1.13725
4,4,1996,North Rhine-Westphalia,Yes,0.03805,56,6453,0.03129,0.04451
5,5,1996,North Rhine-Westphalia,No,0.96195,1233,6453,0.91935,1.00463
6,6,1996,Hesse,No,1.0,448,6453,0.92572,1.07091
7,7,1996,"Rhineland-Palatinate, Saarland",No,1.0,330,6453,0.93058,1.06867
8,8,1996,Baden-Wuerttemberg,Yes,0.0311,38,6453,0.02495,0.03811
9,9,1996,Baden-Wuerttemberg,No,0.9689,802,6453,0.91174,1.02716
10,10,1996,Bavaria,Yes,0.05224,51,6453,0.04284,0.06234
11,11,1996,Bavaria,No,0.94776,810,6453,0.89791,0.99604
12,12,1996,Berlin,No,1.0,284,6453,0.91401,1.07373
13,13,1996,Brandenburg,No,1.0,280,6453,0.93946,1.06051
14,14,1996,Mecklenburg-Western Pomerania,No,1.0,189,6453,0.93884,1.08754
15,15,1996,Saxony,Yes,0.06714,41,6453,0.05299,0.0813
16,16,1996,Saxony,No,0.93286,507,6453,0.882,0.99515
17,17,1996,Saxony-Anhalt,No,1.0,304,6453,0.91688,1.07543
18,18,1996,Thuringa,No,1.0,298,6453,0.92879,1.07295
19,19,2001,Schleswig-Holstein,No,1.0,349,11611,0.94839,1.05626
20,20,2001,Hamburg,No,1.0,178,11611,0.91684,1.07929
21,21,2001,Lower Saxony,Yes,0.06728,63,11611,0.05907,0.07648
22,22,2001,Lower Saxony,No,0.93272,898,11611,0.89618,0.96849
23,23,2001,Bremen,No,1.0,93,11611,0.9134,1.10587
24,24,2001,North Rhine-Westphalia,Yes,0.0519,144,11611,0.04731,0.05647
25,25,2001,North Rhine-Westphalia,No,0.9481,2341,11611,0.92563,0.97576
26,26,2001,Hesse,Yes,0.04643,45,11611,0.04029,0.05441
27,27,2001,Hesse,No,0.95357,734,11611,0.91152,1.00359
28,28,2001,"Rhineland-Palatinate, Saarland",Yes,0.06547,56,11611,0.05568,0.07446
29,29,2001,"Rhineland-Palatinate, Saarland",No,0.93453,664,11611,0.89292,0.97158
30,30,2001,Baden-Wuerttemberg,Yes,0.03701,64,11611,0.032,0.04212
31,31,2001,Baden-Wuerttemberg,No,0.96299,1298,11611,0.93114,0.99769
32,32,2001,Bavaria,Yes,0.04468,86,11611,0.03917,0.0522
33,33,2001,Bavaria,No,0.95532,1530,11611,0.92187,0.98592
34,34,2001,Berlin,No,1.0,453,11611,0.95241,1.0556
35,35,2001,Brandenburg,Yes,0.06704,39,11611,0.05763,0.07609
