year,bula_h,regtyp,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Urban regions,No,0.98740,69,69,0.96089,1.01391
1996,Lower Saxony,Urban regions,No,0.95738,264,264,0.93296,0.98179
1996,Lower Saxony,Rural regions,No,0.94942,238,238,0.92153,0.97732
1996,Bremen,Urban regions,No,0.97276,51,51,0.92763,1.01788
1996,North Rhine-Westphalia,Urban regions,Yes,0.03654,54,1257,0.02617,0.04692
1996,North Rhine-Westphalia,Urban regions,No,0.96346,1203,1257,0.95308,0.97383
1996,Hesse,Urban regions,No,0.97320,379,379,0.95692,0.98948
1996,Hesse,Rural regions,No,0.95317,69,69,0.90295,1.00339
1996,"Rhineland-Palatinate, Saarland",Urban regions,No,0.95440,275,275,0.92970,0.97910
1996,"Rhineland-Palatinate, Saarland",Rural regions,No,0.95951,55,55,0.90694,1.01208
1996,Baden-Wuerttemberg,Urban regions,Yes,0.03013,33,734,0.01775,0.04250
1996,Baden-Wuerttemberg,Urban regions,No,0.96987,701,734,0.95750,0.98225
1996,Baden-Wuerttemberg,Rural regions,No,0.96290,101,101,0.92585,0.99994
1996,Bavaria,Urban regions,No,0.95437,418,418,0.93434,0.97440
1996,Bavaria,Rural regions,No,0.94065,392,392,0.91723,0.96407
1996,Berlin,Urban regions,No,0.92718,284,284,0.89690,0.95745
1996,Brandenburg,Rural regions,No,0.94217,263,263,0.91391,0.97044
1996,Mecklenburg-Western Pomerania,Rural regions,No,0.95990,164,164,0.92978,0.99002
1996,Saxony,Urban regions,No,0.92709,265,265,0.89573,0.95845
1996,Saxony,Rural regions,No,0.93896,242,242,0.90873,0.96918
1996,Saxony-Anhalt,Urban regions,No,0.92077,70,70,0.85704,0.98450
1996,Saxony-Anhalt,Rural regions,No,0.94124,234,234,0.91105,0.97144
1996,Thuringa,Urban regions,No,0.95372,88,88,0.90957,0.99787
1996,Thuringa,Rural regions,No,0.93873,210,210,0.90621,0.97124
2001,Schleswig-Holstein,Urban regions,No,0.95881,151,151,0.92701,0.99061
2001,Schleswig-Holstein,Rural regions,No,0.96727,198,198,0.94242,0.99211
2001,Hamburg,Urban regions,No,0.98939,178,178,0.97429,1.00448
2001,Lower Saxony,Urban regions,Yes,0.06980,35,482,0.04703,0.09258
2001,Lower Saxony,Urban regions,No,0.93020,447,482,0.90742,0.95297
2001,Lower Saxony,Rural regions,No,0.93547,451,451,0.91277,0.95817
2001,Bremen,Urban regions,No,0.96098,93,93,0.92141,1.00055
2001,North Rhine-Westphalia,Urban regions,Yes,0.05185,139,2425,0.04302,0.06068
2001,North Rhine-Westphalia,Urban regions,No,0.94815,2286,2425,0.93932,0.95698
2001,North Rhine-Westphalia,Rural regions,No,0.94672,55,55,0.88682,1.00663
2001,Hesse,Urban regions,Yes,0.04685,35,630,0.03033,0.06336
2001,Hesse,Urban regions,No,0.95315,595,630,0.93664,0.96967
2001,Hesse,Rural regions,No,0.95456,139,139,0.91982,0.98931
2001,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.06503,40,550,0.04440,0.08565
2001,"Rhineland-Palatinate, Saarland",Urban regions,No,0.93497,510,550,0.91435,0.95560
2001,"Rhineland-Palatinate, Saarland",Rural regions,No,0.93312,154,154,0.89354,0.97271
2001,Baden-Wuerttemberg,Urban regions,Yes,0.03777,59,1228,0.02710,0.04844
2001,Baden-Wuerttemberg,Urban regions,No,0.96223,1169,1228,0.95156,0.97290
2001,Baden-Wuerttemberg,Rural regions,No,0.96943,129,129,0.93961,0.99925
2001,Bavaria,Urban regions,Yes,0.04162,37,805,0.02781,0.05542
2001,Bavaria,Urban regions,No,0.95838,768,805,0.94458,0.97219
2001,Bavaria,Rural regions,Yes,0.04804,49,811,0.03331,0.06277
2001,Bavaria,Rural regions,No,0.95196,762,811,0.93723,0.96669
2001,Berlin,Urban regions,No,0.94620,453,453,0.92541,0.96700
2001,Brandenburg,Urban regions,No,0.97811,36,36,0.92963,1.02659
2001,Brandenburg,Rural regions,Yes,0.07048,38,463,0.04714,0.09381
2001,Brandenburg,Rural regions,No,0.92952,425,463,0.90619,0.95286
2001,Mecklenburg-Western Pomerania,Urban regions,No,0.96039,38,38,0.89755,1.02324
2001,Mecklenburg-Western Pomerania,Rural regions,No,0.94791,229,229,0.91907,0.97676
2001,Saxony,Urban regions,Yes,0.06166,33,420,0.03863,0.08469
2001,Saxony,Urban regions,No,0.93834,387,420,0.91531,0.96137
