year,quintil_oecd_hh,regtyp,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Urban regions,Yes,0.03479,42,908,0.02286,0.04671
1996,1st Quintile,Urban regions,No,0.96521,866,908,0.95329,0.97714
1996,1st Quintile,Rural regions,No,0.98067,480,480,0.96834,0.99300
1996,2nd Quintile,Urban regions,Yes,0.04675,53,890,0.03288,0.06063
1996,2nd Quintile,Urban regions,No,0.95325,837,890,0.93937,0.96712
1996,2nd Quintile,Rural regions,Yes,0.06945,42,511,0.04738,0.09151
1996,2nd Quintile,Rural regions,No,0.93055,469,511,0.90849,0.95262
1996,3rd Quintile,Urban regions,Yes,0.04050,42,850,0.02724,0.05375
1996,3rd Quintile,Urban regions,No,0.95950,808,850,0.94625,0.97276
1996,3rd Quintile,Rural regions,Yes,0.05280,35,544,0.03399,0.07161
1996,3rd Quintile,Rural regions,No,0.94720,509,544,0.92839,0.96601
1996,4th Quintile,Urban regions,Yes,0.03831,43,906,0.02580,0.05082
1996,4th Quintile,Urban regions,No,0.96169,863,906,0.94918,0.97420
1996,4th Quintile,Rural regions,No,0.93359,364,364,0.90798,0.95921
1996,5th Quintile,Urban regions,Yes,0.03775,38,850,0.02493,0.05057
1996,5th Quintile,Urban regions,No,0.96225,812,850,0.94943,0.97507
1996,5th Quintile,Rural regions,No,0.94942,254,254,0.92242,0.97642
2001,1st Quintile,Urban regions,Yes,0.03604,60,1434,0.02639,0.04569
2001,1st Quintile,Urban regions,No,0.96396,1374,1434,0.95431,0.97361
2001,1st Quintile,Rural regions,Yes,0.05951,58,797,0.04307,0.07594
2001,1st Quintile,Rural regions,No,0.94049,739,797,0.92406,0.95693
2001,2nd Quintile,Urban regions,Yes,0.05449,105,1494,0.04298,0.06601
2001,2nd Quintile,Urban regions,No,0.94551,1389,1494,0.93399,0.95702
2001,2nd Quintile,Rural regions,Yes,0.06055,69,966,0.04550,0.07560
2001,2nd Quintile,Rural regions,No,0.93945,897,966,0.92440,0.95450
2001,3rd Quintile,Urban regions,Yes,0.05374,93,1555,0.04253,0.06495
2001,3rd Quintile,Urban regions,No,0.94626,1462,1555,0.93505,0.95747
2001,3rd Quintile,Rural regions,Yes,0.07904,83,881,0.06121,0.09686
2001,3rd Quintile,Rural regions,No,0.92096,798,881,0.90314,0.93879
2001,4th Quintile,Urban regions,Yes,0.06028,106,1615,0.04867,0.07189
2001,4th Quintile,Urban regions,No,0.93972,1509,1615,0.92811,0.95133
2001,4th Quintile,Rural regions,Yes,0.06501,56,754,0.04740,0.08262
2001,4th Quintile,Rural regions,No,0.93499,698,754,0.91738,0.95260
2001,5th Quintile,Urban regions,Yes,0.04190,79,1682,0.03232,0.05148
2001,5th Quintile,Urban regions,No,0.95810,1603,1682,0.94852,0.96768
2001,5th Quintile,Rural regions,No,0.96943,476,476,0.95394,0.98491
2006,1st Quintile,Urban regions,Yes,0.02837,49,1331,0.01945,0.03729
2006,1st Quintile,Urban regions,No,0.97163,1282,1331,0.96271,0.98055
2006,1st Quintile,Rural regions,Yes,0.06395,60,765,0.04661,0.08130
2006,1st Quintile,Rural regions,No,0.93605,705,765,0.91870,0.95339
2006,2nd Quintile,Urban regions,Yes,0.03884,66,1331,0.02846,0.04923
2006,2nd Quintile,Urban regions,No,0.96116,1265,1331,0.95077,0.97154
2006,2nd Quintile,Rural regions,Yes,0.05820,65,891,0.04282,0.07358
2006,2nd Quintile,Rural regions,No,0.94180,826,891,0.92642,0.95718
2006,3rd Quintile,Urban regions,Yes,0.06548,108,1498,0.05295,0.07802
2006,3rd Quintile,Urban regions,No,0.93452,1390,1498,0.92198,0.94705
2006,3rd Quintile,Rural regions,Yes,0.09345,87,889,0.07430,0.11259
2006,3rd Quintile,Rural regions,No,0.90655,802,889,0.88741,0.92570
2006,4th Quintile,Urban regions,Yes,0.06412,124,1686,0.05243,0.07582
2006,4th Quintile,Urban regions,No,0.93588,1562,1686,0.92418,0.94757
2006,4th Quintile,Rural regions,Yes,0.07239,60,807,0.05450,0.09028
2006,4th Quintile,Rural regions,No,0.92761,747,807,0.90972,0.94550
2006,5th Quintile,Urban regions,Yes,0.03338,112,2318,0.02606,0.04069
2006,5th Quintile,Urban regions,No,0.96662,2206,2318,0.95931,0.97394
2006,5th Quintile,Rural regions,Yes,0.07712,54,743,0.05793,0.09632
2006,5th Quintile,Rural regions,No,0.92288,689,743,0.90368,0.94207
2011,1st Quintile,Urban regions,Yes,0.02162,56,1387,0.01396,0.02928
2011,1st Quintile,Urban regions,No,0.97838,1331,1387,0.97072,0.98604
2011,1st Quintile,Rural regions,Yes,0.03278,45,868,0.02093,0.04464
2011,1st Quintile,Rural regions,No,0.96722,823,868,0.95536,0.97907
2011,2nd Quintile,Urban regions,Yes,0.03667,67,1332,0.02657,0.04677
2011,2nd Quintile,Urban regions,No,0.96333,1265,1332,0.95323,0.97343
2011,2nd Quintile,Rural regions,Yes,0.04578,52,907,0.03217,0.05938
2011,2nd Quintile,Rural regions,No,0.95422,855,907,0.94062,0.96783
2011,3rd Quintile,Urban regions,Yes,0.05217,90,1450,0.04072,0.06362
2011,3rd Quintile,Urban regions,No,0.94783,1360,1450,0.93638,0.95928
2011,3rd Quintile,Rural regions,Yes,0.07017,75,925,0.05370,0.08664
2011,3rd Quintile,Rural regions,No,0.92983,850,925,0.91336,0.94630
2011,4th Quintile,Urban regions,Yes,0.06441,115,1637,0.05251,0.07630
2011,4th Quintile,Urban regions,No,0.93559,1522,1637,0.92370,0.94749
2011,4th Quintile,Rural regions,Yes,0.05233,56,799,0.03688,0.06778
2011,4th Quintile,Rural regions,No,0.94767,743,799,0.93222,0.96312
2011,5th Quintile,Urban regions,Yes,0.05244,117,2064,0.04282,0.06206
2011,5th Quintile,Urban regions,No,0.94756,1947,2064,0.93794,0.95718
2011,5th Quintile,Rural regions,Yes,0.06825,52,712,0.04971,0.08679
2011,5th Quintile,Rural regions,No,0.93175,660,712,0.91321,0.95029
2016,1st Quintile,Urban regions,Yes,0.01735,68,1987,0.01161,0.02309
2016,1st Quintile,Urban regions,No,0.98265,1919,1987,0.97691,0.98839
2016,1st Quintile,Rural regions,Yes,0.04965,59,1109,0.03686,0.06244
2016,1st Quintile,Rural regions,No,0.95035,1050,1109,0.93756,0.96314
2016,2nd Quintile,Urban regions,Yes,0.02375,78,1849,0.01681,0.03069
2016,2nd Quintile,Urban regions,No,0.97625,1771,1849,0.96931,0.98319
2016,2nd Quintile,Rural regions,Yes,0.04948,74,1192,0.03717,0.06180
2016,2nd Quintile,Rural regions,No,0.95052,1118,1192,0.93820,0.96283
2016,3rd Quintile,Urban regions,Yes,0.03223,75,1725,0.02389,0.04057
2016,3rd Quintile,Urban regions,No,0.96777,1650,1725,0.95943,0.97611
2016,3rd Quintile,Rural regions,Yes,0.06629,73,1018,0.05100,0.08158
2016,3rd Quintile,Rural regions,No,0.93371,945,1018,0.91842,0.94900
2016,4th Quintile,Urban regions,Yes,0.03100,72,1761,0.02290,0.03910
2016,4th Quintile,Urban regions,No,0.96900,1689,1761,0.96090,0.97710
2016,4th Quintile,Rural regions,Yes,0.05724,60,901,0.04206,0.07241
2016,4th Quintile,Rural regions,No,0.94276,841,901,0.92759,0.95794
2016,5th Quintile,Urban regions,Yes,0.03512,89,2050,0.02715,0.04309
2016,5th Quintile,Urban regions,No,0.96488,1961,2050,0.95691,0.97285
2016,5th Quintile,Rural regions,Yes,0.03293,39,705,0.01974,0.04611
2016,5th Quintile,Rural regions,No,0.96707,666,705,0.95389,0.98026
2021,1st Quintile,Urban regions,No,0.98931,1325,1325,0.98377,0.99485
2021,1st Quintile,Rural regions,No,0.97855,670,670,0.96757,0.98953
2021,2nd Quintile,Urban regions,Yes,0.03582,73,1332,0.02584,0.04581
2021,2nd Quintile,Urban regions,No,0.96418,1259,1332,0.95419,0.97416
2021,2nd Quintile,Rural regions,Yes,0.04270,51,852,0.02912,0.05629
2021,2nd Quintile,Rural regions,No,0.95730,801,852,0.94371,0.97088
2021,3rd Quintile,Urban regions,Yes,0.02239,38,1299,0.01434,0.03044
2021,3rd Quintile,Urban regions,No,0.97761,1261,1299,0.96956,0.98566
2021,3rd Quintile,Rural regions,Yes,0.08642,52,725,0.06595,0.10689
2021,3rd Quintile,Rural regions,No,0.91358,673,725,0.89311,0.93405
2021,4th Quintile,Urban regions,Yes,0.02813,50,1396,0.01946,0.03681
2021,4th Quintile,Urban regions,No,0.97187,1346,1396,0.96319,0.98054
2021,4th Quintile,Rural regions,Yes,0.04095,37,682,0.02607,0.05584
2021,4th Quintile,Rural regions,No,0.95905,645,682,0.94416,0.97393
2021,5th Quintile,Urban regions,Yes,0.03483,83,2018,0.02683,0.04283
2021,5th Quintile,Urban regions,No,0.96517,1935,2018,0.95717,0.97317
2021,5th Quintile,Rural regions,Yes,0.03675,38,691,0.02271,0.05079
2021,5th Quintile,Rural regions,No,0.96325,653,691,0.94921,0.97729
