,Unnamed: 0,year,quintil_oecd_hh,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,1st Quintile,Yes,0.02901,62,6626,0.02343,0.03738
1,1,1996,1st Quintile,No,0.97099,1317,6626,0.92627,1.01267
2,2,1996,2nd Quintile,Yes,0.05118,99,6626,0.04485,0.05789
3,3,1996,2nd Quintile,No,0.94882,1352,6626,0.90826,0.9925
4,4,1996,3rd Quintile,Yes,0.05098,80,6626,0.0424,0.06041
5,5,1996,3rd Quintile,No,0.94902,1307,6626,0.91842,0.98804
6,6,1996,4th Quintile,Yes,0.04085,66,6626,0.03494,0.04715
7,7,1996,4th Quintile,No,0.95915,1238,6626,0.92004,0.99139
8,8,1996,5th Quintile,Yes,0.04237,57,6626,0.03811,0.04862
9,9,1996,5th Quintile,No,0.95763,1048,6626,0.91866,0.99382
10,10,2001,1st Quintile,Yes,0.04052,113,11678,0.03626,0.04502
11,11,2001,1st Quintile,No,0.95948,2100,11678,0.9346,0.98032
12,12,2001,2nd Quintile,Yes,0.06099,178,11678,0.05626,0.06676
13,13,2001,2nd Quintile,No,0.93901,2284,11678,0.9168,0.9631
14,14,2001,3rd Quintile,Yes,0.06548,188,11678,0.06096,0.07125
15,15,2001,3rd Quintile,No,0.93452,2272,11678,0.91176,0.96252
16,16,2001,4th Quintile,Yes,0.05597,150,11678,0.05108,0.0615
17,17,2001,4th Quintile,No,0.94403,2218,11678,0.91601,0.97067
18,18,2001,5th Quintile,Yes,0.0406,103,11678,0.03643,0.04588
19,19,2001,5th Quintile,No,0.9594,2072,11678,0.93795,0.98814
20,20,2006,1st Quintile,Yes,0.03666,105,12259,0.03153,0.04295
21,21,2006,1st Quintile,No,0.96334,1976,12259,0.93416,0.99353
22,22,2006,2nd Quintile,Yes,0.04969,135,12259,0.04326,0.05604
23,23,2006,2nd Quintile,No,0.95031,2099,12259,0.92217,0.97442
24,24,2006,3rd Quintile,Yes,0.07517,199,12259,0.06801,0.08335
25,25,2006,3rd Quintile,No,0.92483,2209,12259,0.90248,0.95374
26,26,2006,4th Quintile,Yes,0.06447,177,12259,0.05608,0.0716
27,27,2006,4th Quintile,No,0.93553,2304,12259,0.90923,0.96355
28,28,2006,5th Quintile,Yes,0.04523,169,12259,0.03902,0.05204
29,29,2006,5th Quintile,No,0.95477,2886,12259,0.923,0.98648
30,30,2011,1st Quintile,Yes,0.02486,97,12081,0.02036,0.02941
31,31,2011,1st Quintile,No,0.97514,2141,12081,0.93804,1.01879
32,32,2011,2nd Quintile,Yes,0.04018,126,12081,0.03315,0.0491
33,33,2011,2nd Quintile,No,0.95982,2137,12081,0.92679,0.99528
34,34,2011,3rd Quintile,Yes,0.06062,164,12081,0.05223,0.06868
35,35,2011,3rd Quintile,No,0.93938,2215,12081,0.90715,0.97237
36,36,2011,4th Quintile,Yes,0.05823,164,12081,0.05002,0.06654
37,37,2011,4th Quintile,No,0.94177,2250,12081,0.90769,0.97491
38,38,2011,5th Quintile,Yes,0.05727,174,12081,0.04976,0.06632
39,39,2011,5th Quintile,No,0.94273,2613,12081,0.91066,0.98121
40,40,2016,1st Quintile,Yes,0.02885,123,14297,0.02243,0.03571
41,41,2016,1st Quintile,No,0.97115,2942,14297,0.93499,1.01546
42,42,2016,2nd Quintile,Yes,0.03083,156,14297,0.02609,0.03607
43,43,2016,2nd Quintile,No,0.96917,2946,14297,0.92687,1.01017
44,44,2016,3rd Quintile,Yes,0.04639,151,14297,0.03719,0.05594
45,45,2016,3rd Quintile,No,0.95361,2600,14297,0.90851,0.99271
46,46,2016,4th Quintile,Yes,0.04287,140,14297,0.03508,0.04939
47,47,2016,4th Quintile,No,0.95713,2518,14297,0.91933,0.99181
48,48,2016,5th Quintile,Yes,0.03017,117,14297,0.02389,0.03622
49,49,2016,5th Quintile,No,0.96983,2604,14297,0.92543,1.00722
50,50,2021,1st Quintile,Yes,0.0159,53,11037,0.01211,0.02011
51,51,2021,1st Quintile,No,0.9841,2013,11037,0.93121,1.02868
52,52,2021,2nd Quintile,Yes,0.04084,116,11037,0.03116,0.05144
53,53,2021,2nd Quintile,No,0.95916,2086,11037,0.91505,1.00645
54,54,2021,3rd Quintile,Yes,0.04079,92,11037,0.03056,0.0526
55,55,2021,3rd Quintile,No,0.95921,1923,11037,0.90931,1.01036
56,56,2021,4th Quintile,Yes,0.03076,91,11037,0.0243,0.03966
57,57,2021,4th Quintile,No,0.96924,1992,11037,0.92282,1.01537
58,58,2021,5th Quintile,Yes,0.0359,116,11037,0.02624,0.04396
59,59,2021,5th Quintile,No,0.9641,2555,11037,0.9132,1.01634
