year,bula_h,rentown,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Owner,No,0.99026,73,73,0.96757,1.01295
1996,Lower Saxony,Owner,No,0.94773,220,220,0.91825,0.97721
1996,Lower Saxony,Tenant,No,0.95866,282,282,0.93538,0.98194
1996,Bremen,Tenant,No,0.96559,37,37,0.90604,1.02513
1996,North Rhine-Westphalia,Owner,No,0.94378,401,401,0.92121,0.96635
1996,North Rhine-Westphalia,Tenant,No,0.97370,832,832,0.96282,0.98458
1996,Hesse,Owner,No,0.96398,150,150,0.93406,0.99390
1996,Hesse,Tenant,No,0.97372,298,298,0.95553,0.99191
1996,"Rhineland-Palatinate, Saarland",Owner,No,0.92858,155,155,0.88791,0.96925
1996,"Rhineland-Palatinate, Saarland",Tenant,No,0.98187,175,175,0.96205,1.00170
1996,Baden-Wuerttemberg,Owner,No,0.97110,328,328,0.95295,0.98926
1996,Baden-Wuerttemberg,Tenant,No,0.96641,474,474,0.95017,0.98264
1996,Bavaria,Owner,No,0.93316,332,332,0.90626,0.96007
1996,Bavaria,Tenant,No,0.96008,478,478,0.94251,0.97765
1996,Berlin,Tenant,No,0.92784,260,260,0.89633,0.95936
1996,Brandenburg,Owner,No,0.94868,102,102,0.90565,0.99172
1996,Brandenburg,Tenant,No,0.94061,178,178,0.90578,0.97543
1996,Mecklenburg-Western Pomerania,Owner,No,0.95709,54,54,0.90253,1.01165
1996,Mecklenburg-Western Pomerania,Tenant,No,0.96521,135,135,0.93419,0.99624
1996,Saxony,Owner,No,0.88567,141,141,0.83296,0.93839
1996,Saxony,Tenant,No,0.94967,366,366,0.92724,0.97210
1996,Saxony-Anhalt,Owner,No,0.88843,95,95,0.82479,0.95208
1996,Saxony-Anhalt,Tenant,No,0.95700,209,209,0.92944,0.98457
1996,Thuringa,Owner,No,0.94764,132,132,0.90949,0.98578
1996,Thuringa,Tenant,No,0.94098,166,166,0.90502,0.97694
2001,Schleswig-Holstein,Owner,No,0.95926,199,199,0.93173,0.98680
2001,Schleswig-Holstein,Tenant,No,0.96944,150,150,0.94180,0.99708
2001,Hamburg,Tenant,No,0.98750,141,141,0.96910,1.00590
2001,Lower Saxony,Owner,Yes,0.09255,42,522,0.06767,0.11744
2001,Lower Saxony,Owner,No,0.90745,480,522,0.88256,0.93233
2001,Lower Saxony,Tenant,No,0.95913,418,418,0.94012,0.97813
2001,Bremen,Owner,No,0.92421,34,34,0.83391,1.01451
2001,Bremen,Tenant,No,0.97896,59,59,0.94203,1.01590
2001,North Rhine-Westphalia,Owner,Yes,0.06214,68,1047,0.04751,0.07677
2001,North Rhine-Westphalia,Owner,No,0.93786,979,1047,0.92323,0.95249
2001,North Rhine-Westphalia,Tenant,Yes,0.04529,76,1438,0.03454,0.05604
2001,North Rhine-Westphalia,Tenant,No,0.95471,1362,1438,0.94396,0.96546
2001,Hesse,Owner,No,0.94590,334,334,0.92160,0.97019
2001,Hesse,Tenant,No,0.95945,400,400,0.94009,0.97880
2001,"Rhineland-Palatinate, Saarland",Owner,Yes,0.08958,40,411,0.06193,0.11722
2001,"Rhineland-Palatinate, Saarland",Owner,No,0.91042,371,411,0.88278,0.93807
2001,"Rhineland-Palatinate, Saarland",Tenant,No,0.96283,293,293,0.94113,0.98453
2001,Baden-Wuerttemberg,Owner,No,0.96100,605,605,0.94556,0.97644
2001,Baden-Wuerttemberg,Tenant,Yes,0.03531,35,728,0.02190,0.04873
2001,Baden-Wuerttemberg,Tenant,No,0.96469,693,728,0.95127,0.97810
2001,Bavaria,Owner,Yes,0.05893,58,864,0.04322,0.07464
