year,hhtyp,rentown,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Owner,No,0.99169,288,288,0.98118,1.00219
1996,Single-person household,Tenant,No,0.98632,1121,1121,0.97952,0.99313
1996,Couple without children,Owner,Yes,0.04065,32,691,0.02592,0.05539
1996,Couple without children,Owner,No,0.95935,659,691,0.94461,0.97408
1996,Couple without children,Tenant,Yes,0.03429,46,1150,0.02377,0.04482
1996,Couple without children,Tenant,No,0.96571,1104,1150,0.95518,0.97623
1996,Single parent,Owner,No,0.91660,93,93,0.86010,0.97310
1996,Single parent,Tenant,No,0.95235,269,269,0.92685,0.97785
1996,Couple with children,Owner,Yes,0.08380,108,1173,0.06793,0.09966
1996,Couple with children,Owner,No,0.91620,1065,1173,0.90034,0.93207
1996,Couple with children,Tenant,Yes,0.07735,114,1513,0.06388,0.09081
1996,Couple with children,Tenant,No,0.92265,1399,1513,0.90919,0.93612
1996,Multi-generational household,Owner,No,0.97885,66,66,0.94387,1.01383
1996,Multi-generational household,Tenant,No,0.86487,53,53,0.77196,0.95779
1996,Other Combinations,Owner,No,0.90119,62,62,0.82631,0.97608
1996,Other Combinations,Tenant,No,0.94737,88,88,0.90044,0.99429
2001,Single-person household,Owner,No,0.97686,752,752,0.96611,0.98761
2001,Single-person household,Tenant,Yes,0.01444,35,2153,0.00940,0.01948
2001,Single-person household,Tenant,No,0.98556,2118,2153,0.98052,0.99060
2001,Couple without children,Owner,Yes,0.04631,87,1781,0.03655,0.05607
2001,Couple without children,Owner,No,0.95369,1694,1781,0.94393,0.96345
2001,Couple without children,Tenant,Yes,0.04699,90,1808,0.03723,0.05675
2001,Couple without children,Tenant,No,0.95301,1718,1808,0.94325,0.96277
2001,Single parent,Owner,No,0.95865,183,183,0.92972,0.98758
2001,Single parent,Tenant,Yes,0.05143,31,514,0.03232,0.07055
2001,Single parent,Tenant,No,0.94857,483,514,0.92945,0.96768
2001,Couple with children,Owner,Yes,0.11596,263,2339,0.10298,0.12894
2001,Couple with children,Owner,No,0.88404,2076,2339,0.87106,0.89702
2001,Couple with children,Tenant,Yes,0.10028,180,1836,0.08653,0.11402
2001,Couple with children,Tenant,No,0.89972,1656,1836,0.88598,0.91347
2001,Multi-generational household,Owner,No,0.89290,105,105,0.83347,0.95233
2001,Other Combinations,Owner,No,0.92665,61,61,0.86068,0.99262
2006,Single-person household,Owner,Yes,0.02683,32,956,0.01658,0.03708
2006,Single-person household,Owner,No,0.97317,924,956,0.96292,0.98342
2006,Single-person household,Tenant,Yes,0.01834,53,2331,0.01290,0.02379
2006,Single-person household,Tenant,No,0.98166,2278,2331,0.97621,0.98710
2006,Couple without children,Owner,Yes,0.05690,133,2308,0.04744,0.06635
2006,Couple without children,Owner,No,0.94310,2175,2308,0.93365,0.95256
2006,Couple without children,Tenant,Yes,0.05005,95,1850,0.04011,0.05998
2006,Couple without children,Tenant,No,0.94995,1755,1850,0.94002,0.95989
2006,Single parent,Owner,No,0.93297,209,209,0.89899,0.96696
2006,Single parent,Tenant,No,0.95970,523,523,0.94282,0.97657
2006,Couple with children,Owner,Yes,0.11940,274,2375,0.10636,0.13245
2006,Couple with children,Owner,No,0.88060,2101,2375,0.86755,0.89364
2006,Couple with children,Tenant,Yes,0.10323,146,1461,0.08762,0.11883
2006,Couple with children,Tenant,No,0.89677,1315,1461,0.88117,0.91238
2006,Multi-generational household,Owner,No,0.94694,68,68,0.89326,1.00061
2006,Other Combinations,Owner,No,0.93963,59,59,0.87833,1.00092
2011,Single-person household,Owner,Yes,0.03335,37,1075,0.02261,0.04409
2011,Single-person household,Owner,No,0.96629,1038,1075,0.95549,0.97708
2011,Single-person household,Tenant,Yes,0.01743,45,2435,0.01223,0.02262
2011,Single-person household,Tenant,No,0.98009,2390,2435,0.97455,0.98564
2011,Couple without children,Owner,Yes,0.05344,147,2514,0.04465,0.06223
2011,Couple without children,Owner,No,0.94656,2367,2514,0.93777,0.95535
2011,Couple without children,Tenant,Yes,0.04355,86,1857,0.03426,0.05283
2011,Couple without children,Tenant,No,0.95579,1771,1857,0.94643,0.96514
2011,Single parent,Owner,No,0.63309,210,210,0.56774,0.69843
2011,Single parent,Tenant,No,0.45261,534,534,0.41035,0.49486
2011,Couple with children,Owner,Yes,0.09606,235,2030,0.08324,0.10888
2011,Couple with children,Owner,No,0.74288,1795,2030,0.72386,0.76189
2011,Couple with children,Tenant,Yes,0.06809,128,1210,0.05389,0.08229
2011,Couple with children,Tenant,No,0.65625,1082,1210,0.62948,0.68303
2011,Multi-generational household,Owner,No,0.86386,54,54,0.77153,0.95619
