year,age_gr,quintil_oecd,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,1st Quintile,Earn money,0.20938,143,304,0.16357,0.25519
1994,17-29 y.,1st Quintile,Both equally,0.23035,161,304,0.18294,0.27776
1994,17-29 y.,2nd Quintile,Earn money,0.15204,109,219,0.10437,0.19970
1994,17-29 y.,2nd Quintile,Both equally,0.19316,110,219,0.14075,0.24557
1994,17-29 y.,3rd Quintile,Earn money,0.10364,74,199,0.06118,0.14609
1994,17-29 y.,3rd Quintile,Both equally,0.17044,125,199,0.11807,0.22282
1994,17-29 y.,4th Quintile,Earn money,0.09535,70,169,0.05094,0.13976
1994,17-29 y.,4th Quintile,Both equally,0.15367,99,169,0.09914,0.20820
1994,17-29 y.,5th Quintile,Earn money,0.07289,33,93,0.01977,0.12601
1994,17-29 y.,5th Quintile,Both equally,0.11941,60,93,0.05315,0.18567
1994,30-45 y.,1st Quintile,Earn money,0.18589,126,228,0.13528,0.23650
1994,30-45 y.,1st Quintile,Both equally,0.12291,102,228,0.08020,0.16562
1994,30-45 y.,2nd Quintile,Earn money,0.08342,76,157,0.04003,0.12682
1994,30-45 y.,2nd Quintile,Both equally,0.09682,81,157,0.05041,0.14322
1994,30-45 y.,3rd Quintile,Earn money,0.03832,40,100,0.00051,0.07614
1994,30-45 y.,3rd Quintile,Both equally,0.07324,60,100,0.02192,0.12455
1994,30-45 y.,4th Quintile,Both equally,0.04255,39,39,-0.02163,0.10672
1994,30-45 y.,5th Quintile,Both equally,0.04521,38,38,-0.02174,0.11215
1994,46-65 y.,1st Quintile,Earn money,0.10266,57,94,0.04097,0.16434
1994,46-65 y.,1st Quintile,Both equally,0.04289,37,94,0.00171,0.08407
1994,46-65 y.,2nd Quintile,Earn money,0.04338,33,33,-0.02720,0.11396
1994,46-65 y.,3rd Quintile,Both equally,0.05345,37,37,-0.02003,0.12693
1994,46-65 y.,5th Quintile,Both equally,0.02862,32,32,-0.03008,0.08731
1995,17-29 y.,1st Quintile,Earn money,0.20856,159,324,0.16425,0.25286
1995,17-29 y.,1st Quintile,Both equally,0.23154,165,324,0.18554,0.27754
1995,17-29 y.,2nd Quintile,Earn money,0.13479,95,245,0.09194,0.17764
1995,17-29 y.,2nd Quintile,Both equally,0.22306,150,245,0.17083,0.27530
1995,17-29 y.,3rd Quintile,Earn money,0.07894,63,182,0.03966,0.11823
1995,17-29 y.,3rd Quintile,Both equally,0.15819,119,182,0.10503,0.21136
1995,17-29 y.,4th Quintile,Earn money,0.09539,62,149,0.04806,0.14271
1995,17-29 y.,4th Quintile,Both equally,0.13572,87,149,0.08054,0.19090
1995,17-29 y.,5th Quintile,Earn money,0.08001,37,114,0.02999,0.13004
