year,bula_h,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Lower Saxony,Earn money,0.04062,53,122,0.00544,0.07579
1994,Lower Saxony,Both equally,0.05060,69,122,0.01154,0.08965
1994,North Rhine-Westphalia,Earn money,0.03450,131,396,0.01650,0.05250
1994,North Rhine-Westphalia,Other reasons,0.00934,34,396,-0.00015,0.01882
1994,North Rhine-Westphalia,Both equally,0.06314,231,396,0.03916,0.08713
1994,Hesse,Earn money,0.04243,49,118,0.00590,0.07895
1994,Hesse,Both equally,0.05393,69,118,0.01300,0.09486
1994,"Rhineland-Palatinate, Saarland",Earn money,0.05052,48,85,0.00368,0.09735
1994,"Rhineland-Palatinate, Saarland",Both equally,0.03722,37,85,-0.00326,0.07771
1994,Baden-Wuerttemberg,Earn money,0.04785,126,261,0.02190,0.07379
1994,Baden-Wuerttemberg,Both equally,0.05219,135,261,0.02516,0.07923
1994,Bavaria,Earn money,0.04317,94,194,0.01449,0.07184
1994,Bavaria,Both equally,0.05026,100,194,0.01944,0.08109
1994,Berlin,Earn money,0.03050,31,79,-0.00766,0.06867
1994,Berlin,Both equally,0.05768,48,79,0.00594,0.10941
1994,Brandenburg,Earn money,0.05332,50,91,0.00690,0.09974
1994,Brandenburg,Both equally,0.04277,41,91,0.00097,0.08458
1994,Mecklenburg-Western Pomerania,Earn money,0.08471,40,86,0.02551,0.14390
1994,Mecklenburg-Western Pomerania,Both equally,0.08757,46,86,0.02748,0.14766
1994,Saxony,Earn money,0.06390,94,206,0.03042,0.09738
1994,Saxony,Both equally,0.07627,112,206,0.03994,0.11261
1994,Saxony-Anhalt,Earn money,0.07087,59,113,0.02334,0.11839
1994,Saxony-Anhalt,Both equally,0.06387,54,113,0.01859,0.10916
1994,Thuringa,Earn money,0.07494,58,119,0.02744,0.12245
1994,Thuringa,Both equally,0.07027,61,119,0.02415,0.11639
1995,Schleswig-Holstein,Both equally,0.08320,31,31,-0.01563,0.18203
1995,Lower Saxony,Earn money,0.03613,57,155,0.00666,0.06561
1995,Lower Saxony,Both equally,0.06880,98,155,0.02882,0.10878
1995,North Rhine-Westphalia,Earn money,0.03862,166,425,0.02028,0.05697
1995,North Rhine-Westphalia,Other reasons,0.00784,34,425,-0.00056,0.01623
1995,North Rhine-Westphalia,Both equally,0.06018,225,425,0.03755,0.08282
1995,Hesse,Earn money,0.03784,51,128,0.00465,0.07103
1995,Hesse,Both equally,0.06167,77,128,0.01983,0.10351
1995,"Rhineland-Palatinate, Saarland",Earn money,0.05181,60,113,0.01076,0.09286
1995,"Rhineland-Palatinate, Saarland",Both equally,0.04916,53,113,0.00912,0.08920
1995,Baden-Wuerttemberg,Earn money,0.03893,124,270,0.01581,0.06205
1995,Baden-Wuerttemberg,Both equally,0.05951,146,270,0.03123,0.08778
1995,Bavaria,Earn money,0.04595,108,236,0.01918,0.07272
1995,Bavaria,Both equally,0.04949,128,236,0.02176,0.07722
1995,Berlin,Earn money,0.05659,39,92,0.00912,0.10407
1995,Berlin,Both equally,0.07292,53,92,0.01950,0.12635
1995,Brandenburg,Earn money,0.04849,42,88,0.00335,0.09363
1995,Brandenburg,Both equally,0.05716,46,88,0.00838,0.10595
1995,Mecklenburg-Western Pomerania,Both equally,0.09794,48,48,0.01296,0.18291
1995,Saxony,Earn money,0.04534,68,184,0.01520,0.07548
1995,Saxony,Both equally,0.07773,116,184,0.03893,0.11652
1995,Saxony-Anhalt,Earn money,0.04980,55,111,0.00915,0.09046
1995,Saxony-Anhalt,Both equally,0.05841,56,111,0.01458,0.10223
1995,Thuringa,Earn money,0.05482,46,106,0.01128,0.09837
1995,Thuringa,Both equally,0.06644,60,106,0.01880,0.11407
1996,Lower Saxony,Earn money,0.03743,56,148,0.00675,0.06812
1996,Lower Saxony,Both equally,0.05572,92,148,0.01864,0.09280
1996,North Rhine-Westphalia,Earn money,0.04248,152,427,0.02333,0.06163
1996,North Rhine-Westphalia,Other reasons,0.00980,36,427,0.00044,0.01915
1996,North Rhine-Westphalia,Both equally,0.06351,239,427,0.04035,0.08667
