year,quintil_oecd,sex,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,1st Quintile,male,Earn money,0.62171,144,235,0.55957,0.68384
1994,1st Quintile,male,Both equally,0.34002,91,235,0.27933,0.40072
1994,1st Quintile,female,Earn money,0.48921,183,392,0.43966,0.53876
1994,1st Quintile,female,Both equally,0.47057,209,392,0.42110,0.52005
1994,2nd Quintile,male,Earn money,0.45581,71,136,0.37180,0.53983
1994,2nd Quintile,male,Both equally,0.52300,65,136,0.43874,0.60725
1994,2nd Quintile,female,Earn money,0.41977,147,303,0.36411,0.47543
1994,2nd Quintile,female,Both equally,0.50918,156,303,0.45280,0.56557
1994,3rd Quintile,male,Earn money,0.34966,55,136,0.26922,0.43010
1994,3rd Quintile,male,Both equally,0.59194,81,136,0.50904,0.67485
1994,3rd Quintile,female,Earn money,0.31477,77,219,0.25312,0.37642
1994,3rd Quintile,female,Both equally,0.62642,142,219,0.56220,0.69064
1994,4th Quintile,male,Earn money,0.43222,53,112,0.34006,0.52438
1994,4th Quintile,male,Both equally,0.55802,59,112,0.46563,0.65041
1994,4th Quintile,female,Earn money,0.31757,65,167,0.24675,0.38839
1994,4th Quintile,female,Both equally,0.50018,102,167,0.42411,0.57624
1994,5th Quintile,male,Earn money,0.46195,43,83,0.35404,0.56986
1994,5th Quintile,male,Both equally,0.41207,40,83,0.30553,0.51860
1994,5th Quintile,female,Both equally,0.69990,90,90,0.60468,0.79511
1995,1st Quintile,male,Earn money,0.53374,147,249,0.47165,0.59582
1995,1st Quintile,male,Both equally,0.45634,102,249,0.39435,0.51833
1995,1st Quintile,female,Earn money,0.46988,227,454,0.42392,0.51584
1995,1st Quintile,female,Both equally,0.49811,227,454,0.45207,0.54416
1995,2nd Quintile,male,Earn money,0.40194,74,167,0.32735,0.47652
1995,2nd Quintile,male,Both equally,0.53608,93,167,0.46022,0.61195
1995,2nd Quintile,female,Earn money,0.37476,133,333,0.32269,0.42683
