year,bula_h,sampreg,plb0111,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1994,Lower Saxony,West,Earn money,0.4454944082407434,53,1791,0.4442771964232653,0.44671162005822146
1994,Lower Saxony,West,Both equally,0.5545055917592567,69,1791,0.5532883799417787,0.5557228035767348
1994,North Rhine-Westphalia,West,Earn money,0.32278573004603833,131,1791,0.322118241099378,0.3234532189926987
1994,North Rhine-Westphalia,West,Other reasons,0.08719946161608225,34,1791,0.08679668086252527,0.08760224236963922
1994,North Rhine-Westphalia,West,Both equally,0.5900148083378793,231,1791,0.5893126429694787,0.59071697370628
1994,Hesse,West,Earn money,0.4402522157879078,49,1791,0.4389528834595474,0.4415515481162682
1994,Hesse,West,Both equally,0.5597477842120923,69,1791,0.5584484518837318,0.5610471165404527
1994,"Rhineland-Palatinate, Saarland",West,Earn money,0.5757834138951133,48,1791,0.5743125720637641,0.5772542557264626
1994,"Rhineland-Palatinate, Saarland",West,Both equally,0.4242165861048866,37,1791,0.4227457442735373,0.42568742793623593
1994,Baden-Wuerttemberg,West,Earn money,0.47871042576727935,126,1791,0.47776571014333813,0.47965514139122056
1994,Baden-Wuerttemberg,West,Both equally,0.5212895742327207,135,1791,0.5203448586087794,0.522234289856662
1994,Bavaria,West,Earn money,0.4615396028007637,94,1791,0.4605912682488497,0.46248793735267774
1994,Bavaria,West,Both equally,0.5384603971992362,100,1791,0.5375120626473222,0.5394087317511502
1994,Brandenburg,East,Earn money,0.5549094922902537,50,1791,0.55300597344619,0.5568130111343174
1994,Brandenburg,East,Both equally,0.44509050770974634,41,1791,0.44318698886568264,0.44699402655381004
1994,Mecklenburg-Western Pomerania,East,Earn money,0.4916534605522107,40,1791,0.4899497361533713,0.49335718495105013
1994,Mecklenburg-Western Pomerania,East,Both equally,0.5083465394477893,46,1791,0.5066428150489498,0.5100502638466288
1994,Saxony,East,Earn money,0.45586882582307703,94,1791,0.4546721576790404,0.45706549396711366
1994,Saxony,East,Both equally,0.5441311741769229,112,1791,0.5429345060328863,0.5453278423209595
1994,Saxony-Anhalt,East,Earn money,0.5259705152316754,59,1791,0.5243632979512259,0.5275777325121248
1994,Saxony-Anhalt,East,Both equally,0.47402948476832457,54,1791,0.47242226748787514,0.475636702048774
1994,Thuringa,East,Earn money,0.5160760053648491,58,1791,0.5144650812455057,0.5176869294841925
1994,Thuringa,East,Both equally,0.4839239946351509,61,1791,0.48231307051580746,0.48553491875449434
1995,Schleswig-Holstein,West,Both equally,1.0,31,1926,1.0,1.0
1995,Lower Saxony,West,Earn money,0.34437160953984103,57,1926,0.34332119063712463,0.3454220284425574
1995,Lower Saxony,West,Both equally,0.655628390460159,98,1926,0.6545779715574426,0.6566788093628754
1995,North Rhine-Westphalia,West,Earn money,0.3621920395582724,166,1926,0.3614990121313847,0.3628850669851601
1995,North Rhine-Westphalia,West,Other reasons,0.0734824472386602,34,1926,0.07310621618775207,0.07385867828956832
1995,North Rhine-Westphalia,West,Both equally,0.5643255132030675,225,1926,0.5636105529297207,0.5650404734764142
1995,Hesse,West,Earn money,0.38045686461034517,51,1926,0.37921066295106065,0.3817030662696297
1995,Hesse,West,Both equally,0.6195431353896549,77,1926,0.6182969337303703,0.6207893370489395
1995,"Rhineland-Palatinate, Saarland",West,Earn money,0.5130162075711859,60,1926,0.5116674356200469,0.514364979522325
1995,"Rhineland-Palatinate, Saarland",West,Both equally,0.4869837924288141,53,1926,0.4856350204776751,0.48833256437995315
1995,Baden-Wuerttemberg,West,Earn money,0.39552034590089225,124,1926,0.39457782935038016,0.39646286245140433
1995,Baden-Wuerttemberg,West,Both equally,0.6044796540991076,146,1926,0.6035371375485956,0.6054221706496197
1995,Bavaria,West,Earn money,0.4812043402638036,108,1926,0.4802713950977011,0.4821372854299061
1995,Bavaria,West,Both equally,0.5187956597361963,128,1926,0.5178627145700938,0.5197286049022989
1995,Berlin,West,Both equally,1.0,31,1926,1.0,1.0
1995,Brandenburg,East,Earn money,0.4589560592043564,42,1926,0.4570951904913459,0.4608169279173669
1995,Brandenburg,East,Both equally,0.5410439407956437,46,1926,0.5391830720826332,0.5429048095086542
1995,Mecklenburg-Western Pomerania,East,Both equally,1.0,48,1926,1.0,1.0
1995,Saxony,East,Earn money,0.368495759772314,68,1926,0.3672515275581644,0.3697399919864636
1995,Saxony,East,Both equally,0.631504240227686,116,1926,0.6302600080135364,0.6327484724418356
1995,Saxony-Anhalt,East,Earn money,0.46023489184090965,55,1926,0.45842904365165765,0.46204074003016166
1995,Saxony-Anhalt,East,Both equally,0.5397651081590904,56,1926,0.5379592599698384,0.5415709563483424
1995,Thuringa,East,Earn money,0.4521255887001248,46,1926,0.4503537567990355,0.45389742060121413
1995,Thuringa,East,Both equally,0.5478744112998754,60,1926,0.546102579398786,0.5496462432009647
1996,Lower Saxony,West,Earn money,0.4016682470809436,56,1892,0.40052262996071747,0.40281386420116977
1996,Lower Saxony,West,Both equally,0.5983317529190565,92,1892,0.5971861357988304,0.5994773700392826
1996,North Rhine-Westphalia,West,Earn money,0.3667958754337994,152,1892,0.36613212974047976,0.367459621127119
1996,North Rhine-Westphalia,West,Other reasons,0.08468209448350175,36,1892,0.08429865273043932,0.08506553623656418
1996,North Rhine-Westphalia,West,Both equally,0.5485220300826988,239,1892,0.5478366476857148,0.5492074124796829
1996,Hesse,West,Earn money,0.471166404486712,54,1892,0.46985457747097314,0.47247823150245083
1996,Hesse,West,Both equally,0.528833595513288,68,1892,0.5275217684975492,0.5301454225290269
1996,"Rhineland-Palatinate, Saarland",West,Earn money,0.3650090405344838,42,1892,0.36366949009266425,0.36634859097630335
1996,"Rhineland-Palatinate, Saarland",West,Both equally,0.6349909594655162,56,1892,0.6336514090236967,0.6363305099073358
1996,Baden-Wuerttemberg,West,Earn money,0.40787065080954765,126,1892,0.4069484050812687,0.4087928965378266
1996,Baden-Wuerttemberg,West,Both equally,0.5921293491904523,144,1892,0.5912071034621734,0.5930515949187313
1996,Bavaria,West,Earn money,0.421512604695621,96,1892,0.4205923973314652,0.42243281205977684
1996,Bavaria,West,Both equally,0.5784873953043791,135,1892,0.5775671879402232,0.579407602668535
1996,Brandenburg,East,Earn money,0.5821571131976851,64,1892,0.5804339210362618,0.5838803053591085
1996,Brandenburg,East,Both equally,0.4178428868023148,39,1892,0.41611969464089144,0.41956607896373815
1996,Mecklenburg-Western Pomerania,East,Earn money,0.4501395309410432,38,1892,0.4482922590428158,0.4519868028392706
1996,Mecklenburg-Western Pomerania,East,Both equally,0.5498604690589569,43,1892,0.5480131971607295,0.5517077409571843
1996,Saxony,East,Earn money,0.4149011030441629,79,1892,0.4136364506667619,0.41616575542156387
1996,Saxony,East,Both equally,0.5850988969558371,100,1892,0.583834244578436,0.5863635493332381
1996,Saxony-Anhalt,East,Earn money,0.5237366869487837,57,1892,0.5220662817823412,0.5254070921152263
1996,Saxony-Anhalt,East,Both equally,0.47626331305121616,59,1892,0.47459290788477354,0.4779337182176588
1996,Thuringa,East,Earn money,0.49305555686490493,52,1892,0.4913184858710466,0.49479262785876327
1996,Thuringa,East,Both equally,0.5069444431350951,65,1892,0.5052073721412368,0.5086815141289535
1997,Lower Saxony,West,Earn money,0.3781264025773057,48,1842,0.37698825443468537,0.379264550719926
1997,Lower Saxony,West,Both equally,0.6218735974226943,91,1842,0.620735449280074,0.6230117455653147
1997,North Rhine-Westphalia,West,Earn money,0.3370855298394247,131,1842,0.33637837009553834,0.33779268958331105
1997,North Rhine-Westphalia,West,Both equally,0.6629144701605754,243,1842,0.662207310416689,0.6636216299044617
1997,Hesse,West,Earn money,0.37120713663349647,46,1842,0.36999610635351615,0.3724181669134768
1997,Hesse,West,Both equally,0.6287928633665035,71,1842,0.6275818330865233,0.6300038936464838
1997,"Rhineland-Palatinate, Saarland",West,Earn money,0.47665982028226767,45,1842,0.4753137530202818,0.47800588754425355
1997,"Rhineland-Palatinate, Saarland",West,Both equally,0.5233401797177323,59,1842,0.5219941124557465,0.5246862469797181
1997,Baden-Wuerttemberg,West,Earn money,0.34867488154880283,129,1842,0.347812609243889,0.34953715385371664
1997,Baden-Wuerttemberg,West,Both equally,0.6513251184511971,162,1842,0.6504628461462834,0.6521873907561109
1997,Bavaria,West,Earn money,0.4076711684550205,115,1842,0.4068132805301706,0.4085290563798704
1997,Bavaria,West,Both equally,0.5923288315449795,138,1842,0.5914709436201295,0.5931867194698295
1997,Brandenburg,East,Earn money,0.5656366667373176,52,1842,0.5639125638896562,0.567360769584979
1997,Brandenburg,East,Both equally,0.4343633332626825,40,1842,0.43263923041502106,0.43608743611034395
