year,sampreg,sex,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,West,male,Earn money,0.47379,239,464,0.42831,0.51927
1994,West,male,Both equally,0.47472,225,464,0.42923,0.52021
1994,West,female,Earn money,0.35005,307,864,0.31823,0.38188
1994,West,female,Other reasons,0.11074,86,864,0.08980,0.13167
1994,West,female,Both equally,0.53921,471,864,0.50595,0.57247
1994,East,male,Earn money,0.52781,127,240,0.46451,0.59110
1994,East,male,Both equally,0.44009,113,240,0.37716,0.50302
1994,East,female,Earn money,0.43222,183,411,0.38427,0.48017
1994,East,female,Both equally,0.54372,228,411,0.49551,0.59193
1995,West,male,Earn money,0.44288,254,523,0.40027,0.48549
1995,West,male,Both equally,0.51949,269,523,0.47663,0.56235
1995,West,female,Earn money,0.33764,368,995,0.30824,0.36704
1995,West,female,Other reasons,0.09907,92,995,0.08050,0.11765
1995,West,female,Both equally,0.56329,535,995,0.53245,0.59412
1995,East,male,Earn money,0.46627,101,211,0.39879,0.53374
1995,East,male,Both equally,0.50857,110,211,0.44096,0.57619
1995,East,female,Earn money,0.33405,144,382,0.28669,0.38142
1995,East,female,Both equally,0.64021,238,382,0.59201,0.68840
1996,West,male,Earn money,0.43786,227,496,0.39415,0.48156
1996,West,male,Both equally,0.52482,269,496,0.48083,0.56881
1996,West,female,Earn money,0.33553,353,972,0.30583,0.36523
1996,West,female,Other reasons,0.10891,89,972,0.08931,0.12850
1996,West,female,Both equally,0.55556,530,972,0.52431,0.58682
1996,East,male,Earn money,0.49172,136,257,0.43048,0.55296
1996,East,male,Both equally,0.46758,121,257,0.40645,0.52870
1996,East,female,Earn money,0.43157,166,376,0.38144,0.48170
1996,East,female,Both equally,0.53656,210,376,0.48609,0.58703
1997,West,male,Earn money,0.42260,235,500,0.37926,0.46594
1997,West,male,Both equally,0.54868,265,500,0.50502,0.59234
1997,West,female,Earn money,0.31967,333,961,0.29017,0.34917
1997,West,female,Other reasons,0.08584,70,961,0.06812,0.10356
1997,West,female,Both equally,0.59449,558,961,0.56344,0.62555
1997,East,male,Earn money,0.51324,135,268,0.45329,0.57320
1997,East,male,Both equally,0.46250,133,268,0.40269,0.52230
1997,East,female,Earn money,0.39118,144,362,0.34084,0.44153
1997,East,female,Both equally,0.59287,218,362,0.54219,0.64355
1998,West,male,Earn money,0.47131,261,520,0.42836,0.51425
1998,West,male,Both equally,0.48394,259,520,0.44094,0.52693
1998,West,female,Earn money,0.35919,355,983,0.32918,0.38919
