,Unnamed: 0,year,quintil_oecd,plb0111,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,1st Quintile,Earn money,0.55576,321,1890,0.50646,0.6035
1,1,1994,1st Quintile,Both equally,0.44424,297,1890,0.40823,0.4867
2,2,1994,2nd Quintile,Earn money,0.47442,227,1890,0.42958,0.53123
3,3,1994,2nd Quintile,Both equally,0.52558,220,1890,0.47616,0.57634
4,4,1994,3rd Quintile,Earn money,0.33911,130,1890,0.30482,0.38147
5,5,1994,3rd Quintile,Both equally,0.66089,226,1890,0.60406,0.72774
6,6,1994,4th Quintile,Earn money,0.41495,116,1890,0.35298,0.47273
7,7,1994,4th Quintile,Both equally,0.58505,162,1890,0.5272,0.64453
8,8,1994,5th Quintile,Earn money,0.32012,61,1890,0.27824,0.36091
9,9,1994,5th Quintile,Both equally,0.67988,130,1890,0.62282,0.73163
10,10,1995,1st Quintile,Earn money,0.51513,373,2053,0.46959,0.56746
11,11,1995,1st Quintile,Both equally,0.48487,321,2053,0.44149,0.5309
12,12,1995,2nd Quintile,Earn money,0.40121,205,2053,0.36719,0.4455
13,13,1995,2nd Quintile,Both equally,0.59879,293,2053,0.54029,0.66303
14,14,1995,3rd Quintile,Earn money,0.31257,120,2053,0.27399,0.34786
15,15,1995,3rd Quintile,Both equally,0.68743,222,2053,0.60633,0.77312
16,16,1995,4th Quintile,Earn money,0.33629,103,2053,0.28426,0.39434
17,17,1995,4th Quintile,Both equally,0.66371,175,2053,0.59968,0.73995
18,18,1995,5th Quintile,Earn money,0.25149,66,2053,0.20852,0.29078
19,19,1995,5th Quintile,Other reasons,0.17385,35,2053,0.14258,0.20234
20,20,1995,5th Quintile,Both equally,0.57466,140,2053,0.51456,0.6448
21,21,1996,1st Quintile,Earn money,0.5127,362,2077,0.46099,0.558
22,22,1996,1st Quintile,Both equally,0.4873,337,2077,0.43828,0.53508
23,23,1996,2nd Quintile,Earn money,0.41363,216,2077,0.3774,0.45802
24,24,1996,2nd Quintile,Both equally,0.58637,262,2077,0.54158,0.63754
25,25,1996,3rd Quintile,Earn money,0.38294,144,2077,0.32717,0.44397
26,26,1996,3rd Quintile,Both equally,0.61706,210,2077,0.5519,0.70041
27,27,1996,4th Quintile,Earn money,0.32049,98,2077,0.28258,0.36918
28,28,1996,4th Quintile,Other reasons,0.13211,32,2077,0.10335,0.16401
29,29,1996,4th Quintile,Both equally,0.54741,163,2077,0.48621,0.60246
30,30,1996,5th Quintile,Earn money,0.24431,61,2077,0.20039,0.29137
31,31,1996,5th Quintile,Other reasons,0.1739,34,2077,0.13699,0.21914
32,32,1996,5th Quintile,Both equally,0.58179,158,2077,0.51635,0.64377
33,33,1997,1st Quintile,Earn money,0.46866,329,2021,0.42657,0.51842
34,34,1997,1st Quintile,Both equally,0.53134,324,2021,0.47662,0.58547
35,35,1997,2nd Quintile,Earn money,0.44304,233,2021,0.3961,0.49436
36,36,1997,2nd Quintile,Both equally,0.55696,272,2021,0.50686,0.61267
