year,bula_h,sex,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Lower Saxony,male,Earn money,0.59924,35,35,0.43452,0.76397
1994,Lower Saxony,female,Both equally,0.56048,46,46,0.41547,0.70550
1994,North Rhine-Westphalia,male,Earn money,0.46883,64,132,0.38337,0.55428
1994,North Rhine-Westphalia,male,Both equally,0.50108,68,132,0.41545,0.58670
1994,North Rhine-Westphalia,female,Earn money,0.24050,67,230,0.18515,0.29586
1994,North Rhine-Westphalia,female,Both equally,0.64019,163,230,0.57803,0.70235
1994,Hesse,female,Both equally,0.51731,48,48,0.37445,0.66017
1994,Baden-Wuerttemberg,male,Earn money,0.44679,49,96,0.34682,0.54677
1994,Baden-Wuerttemberg,male,Both equally,0.48125,47,96,0.38077,0.58172
1994,Baden-Wuerttemberg,female,Earn money,0.43728,77,165,0.36136,0.51320
1994,Baden-Wuerttemberg,female,Both equally,0.48054,88,165,0.40408,0.55701
1994,Bavaria,male,Earn money,0.53331,33,33,0.36045,0.70617
1994,Bavaria,female,Earn money,0.36832,61,134,0.28634,0.45029
1994,Bavaria,female,Both equally,0.54654,73,134,0.46194,0.63115
1994,Berlin,female,Both equally,0.58079,31,31,0.40421,0.75736
1994,Brandenburg,female,Earn money,0.55615,35,35,0.38914,0.72315
1994,Mecklenburg-Western Pomerania,female,Both equally,0.57181,32,32,0.39762,0.74599
1994,Saxony,male,Earn money,0.53860,39,77,0.42653,0.65068
1994,Saxony,male,Both equally,0.44071,38,77,0.32909,0.55233
1994,Saxony,female,Earn money,0.37373,55,129,0.28992,0.45754
1994,Saxony,female,Both equally,0.58617,74,129,0.50084,0.67149
1994,Saxony-Anhalt,female,Earn money,0.45008,32,72,0.33436,0.56580
1994,Saxony-Anhalt,female,Both equally,0.50950,40,72,0.39322,0.62579
1994,Thuringa,female,Both equally,0.52044,41,41,0.36562,0.67527
1995,Lower Saxony,male,Both equally,0.51846,34,34,0.34799,0.68894
1995,Lower Saxony,female,Both equally,0.65255,64,64,0.53497,0.77013
1995,North Rhine-Westphalia,male,Earn money,0.36855,65,148,0.29057,0.44654
1995,North Rhine-Westphalia,male,Both equally,0.58868,83,148,0.50914,0.66823
1995,North Rhine-Westphalia,female,Earn money,0.35846,101,243,0.29804,0.41888
1995,North Rhine-Westphalia,female,Both equally,0.55023,142,243,0.48755,0.61291
1995,Hesse,female,Both equally,0.62933,58,58,0.50395,0.75472
1995,"Rhineland-Palatinate, Saarland",female,Earn money,0.50712,37,69,0.38829,0.62595
1995,"Rhineland-Palatinate, Saarland",female,Both equally,0.35186,32,69,0.23835,0.46537
1995,Baden-Wuerttemberg,male,Earn money,0.46106,52,101,0.36336,0.55876
1995,Baden-Wuerttemberg,male,Both equally,0.52677,49,101,0.42891,0.62463
1995,Baden-Wuerttemberg,female,Earn money,0.33301,72,169,0.26174,0.40427
1995,Baden-Wuerttemberg,female,Both equally,0.59445,97,169,0.52021,0.66870
1995,Bavaria,male,Earn money,0.53707,43,82,0.42848,0.64566
1995,Bavaria,male,Both equally,0.41445,39,82,0.30716,0.52173
1995,Bavaria,female,Earn money,0.36846,65,154,0.29202,0.44490
1995,Bavaria,female,Both equally,0.50240,89,154,0.42317,0.58162
1995,Berlin,female,Both equally,0.55190,32,32,0.37684,0.72696
1995,Brandenburg,female,Both equally,0.58546,31,31,0.40917,0.76175
1995,Mecklenburg-Western Pomerania,female,Both equally,0.78780,32,32,0.64386,0.93173
1995,Saxony,male,Both equally,0.47198,34,34,0.30165,0.64230
1995,Saxony,female,Earn money,0.28034,38,120,0.19964,0.36104
