year,bula_h,quintil_oecd,plb0111,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1994,North Rhine-Westphalia,1st Quintile,Earn money,0.48190,49,578,0.48055,0.48325
1994,North Rhine-Westphalia,1st Quintile,Both equally,0.51810,63,578,0.51675,0.51945
1994,North Rhine-Westphalia,2nd Quintile,Earn money,0.30130,36,578,0.29996,0.30264
1994,North Rhine-Westphalia,2nd Quintile,Both equally,0.69870,61,578,0.69736,0.70004
1994,North Rhine-Westphalia,3rd Quintile,Both equally,1.00000,48,578,1.00000,1.00000
1994,North Rhine-Westphalia,4th Quintile,Both equally,1.00000,35,578,1.00000,1.00000
1994,Baden-Wuerttemberg,1st Quintile,Earn money,1.00000,44,578,1.00000,1.00000
1994,Baden-Wuerttemberg,3rd Quintile,Both equally,1.00000,32,578,1.00000,1.00000
1994,Saxony,1st Quintile,Earn money,0.49915,37,578,0.49728,0.50101
1994,Saxony,1st Quintile,Both equally,0.50085,40,578,0.49899,0.50272
1994,Saxony,2nd Quintile,Earn money,0.45689,37,578,0.45480,0.45899
1994,Saxony,2nd Quintile,Both equally,0.54311,34,578,0.54101,0.54520
1994,Thuringa,1st Quintile,Earn money,0.52917,31,578,0.52697,0.53137
1994,Thuringa,1st Quintile,Both equally,0.47083,31,578,0.46863,0.47303
1995,Lower Saxony,1st Quintile,Both equally,1.00000,31,739,1.00000,1.00000
1995,North Rhine-Westphalia,1st Quintile,Earn money,0.49344,75,739,0.49216,0.49472
1995,North Rhine-Westphalia,1st Quintile,Both equally,0.50656,64,739,0.50528,0.50784
1995,North Rhine-Westphalia,2nd Quintile,Earn money,0.39908,39,739,0.39750,0.40067
1995,North Rhine-Westphalia,2nd Quintile,Both equally,0.60092,56,739,0.59933,0.60250
1995,North Rhine-Westphalia,3rd Quintile,Both equally,1.00000,35,739,1.00000,1.00000
1995,North Rhine-Westphalia,4th Quintile,Both equally,1.00000,37,739,1.00000,1.00000
1995,North Rhine-Westphalia,5th Quintile,Both equally,1.00000,32,739,1.00000,1.00000
1995,"Rhineland-Palatinate, Saarland",1st Quintile,Earn money,1.00000,32,739,1.00000,1.00000
