,Unnamed: 0,year,quintil_oecd,regtyp,plb0111,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,1st Quintile,Urban regions,Earn money,0.49437,171,1848,0.43096,0.55381
1,1,1994,1st Quintile,Urban regions,Both equally,0.50563,197,1848,0.44959,0.55704
2,2,1994,1st Quintile,Rural regions,Earn money,0.65294,150,1848,0.57623,0.72897
3,3,1994,1st Quintile,Rural regions,Both equally,0.34706,100,1848,0.30976,0.3867
4,4,1994,2nd Quintile,Urban regions,Earn money,0.43286,139,1848,0.37853,0.49288
5,5,1994,2nd Quintile,Urban regions,Both equally,0.56714,152,1848,0.50174,0.64337
6,6,1994,2nd Quintile,Rural regions,Earn money,0.55945,88,1848,0.4493,0.67381
7,7,1994,2nd Quintile,Rural regions,Both equally,0.44055,68,1848,0.36775,0.54722
8,8,1994,3rd Quintile,Urban regions,Earn money,0.31656,79,1848,0.27286,0.36608
9,9,1994,3rd Quintile,Urban regions,Both equally,0.68344,147,1848,0.62174,0.73864
10,10,1994,3rd Quintile,Rural regions,Earn money,0.386,51,1848,0.31895,0.44368
11,11,1994,3rd Quintile,Rural regions,Both equally,0.614,79,1848,0.49901,0.75028
12,12,1994,4th Quintile,Urban regions,Earn money,0.41528,76,1848,0.33936,0.48972
13,13,1994,4th Quintile,Urban regions,Both equally,0.58472,106,1848,0.5161,0.64947
14,14,1994,4th Quintile,Rural regions,Earn money,0.41424,40,1848,0.31725,0.51747
15,15,1994,4th Quintile,Rural regions,Both equally,0.58576,56,1848,0.49969,0.6536
16,16,1994,5th Quintile,Urban regions,Earn money,0.31199,45,1848,0.26274,0.3675
17,17,1994,5th Quintile,Urban regions,Both equally,0.68801,104,1848,0.62064,0.76526
18,18,1995,1st Quintile,Urban regions,Earn money,0.51244,236,1995,0.45601,0.57303
19,19,1995,1st Quintile,Urban regions,Both equally,0.48756,203,1995,0.42063,0.54374
20,20,1995,1st Quintile,Rural regions,Earn money,0.52069,137,1995,0.46432,0.57741
21,21,1995,1st Quintile,Rural regions,Both equally,0.47931,118,1995,0.39532,0.54321
22,22,1995,2nd Quintile,Urban regions,Earn money,0.40243,135,1995,0.35672,0.44962
23,23,1995,2nd Quintile,Urban regions,Both equally,0.59757,191,1995,0.52057,0.67413
24,24,1995,2nd Quintile,Rural regions,Earn money,0.39886,70,1995,0.32815,0.47093
25,25,1995,2nd Quintile,Rural regions,Both equally,0.60114,102,1995,0.49612,0.7275
26,26,1995,3rd Quintile,Urban regions,Earn money,0.30114,72,1995,0.25819,0.34523
27,27,1995,3rd Quintile,Urban regions,Both equally,0.69886,141,1995,0.61764,0.79215
28,28,1995,3rd Quintile,Rural regions,Earn money,0.33708,48,1995,0.27791,0.41456
29,29,1995,3rd Quintile,Rural regions,Both equally,0.66292,81,1995,0.54204,0.80869
30,30,1995,4th Quintile,Urban regions,Earn money,0.35773,71,1995,0.30099,0.42178
31,31,1995,4th Quintile,Urban regions,Both equally,0.64227,120,1995,0.58132,0.7023
32,32,1995,4th Quintile,Rural regions,Earn money,0.29046,32,1995,0.19602,0.41841
33,33,1995,4th Quintile,Rural regions,Both equally,0.70954,55,1995,0.56405,0.89807
34,34,1995,5th Quintile,Urban regions,Earn money,0.25617,43,1995,0.21435,0.30353
35,35,1995,5th Quintile,Urban regions,Both equally,0.74383,104,1995,0.64795,0.83499
36,36,1995,5th Quintile,Rural regions,Both equally,1.0,36,1995,0.73371,1.20209
37,37,1996,1st Quintile,Urban regions,Earn money,0.50004,233,1987,0.44159,0.5682
38,38,1996,1st Quintile,Urban regions,Both equally,0.49996,217,1987,0.44701,0.57274
39,39,1996,1st Quintile,Rural regions,Earn money,0.54108,129,1987,0.47075,0.60837
40,40,1996,1st Quintile,Rural regions,Both equally,0.45892,120,1987,0.41087,0.52721
41,41,1996,2nd Quintile,Urban regions,Earn money,0.39683,137,1987,0.34795,0.44893
42,42,1996,2nd Quintile,Urban regions,Both equally,0.60317,172,1987,0.53803,0.68157
43,43,1996,2nd Quintile,Rural regions,Earn money,0.44671,79,1987,0.39038,0.52063
44,44,1996,2nd Quintile,Rural regions,Both equally,0.55329,90,1987,0.4619,0.64918
45,45,1996,3rd Quintile,Urban regions,Earn money,0.38169,80,1987,0.31004,0.45886
46,46,1996,3rd Quintile,Urban regions,Both equally,0.61831,134,1987,0.55016,0.71738
47,47,1996,3rd Quintile,Rural regions,Earn money,0.38522,64,1987,0.31926,0.4473
48,48,1996,3rd Quintile,Rural regions,Both equally,0.61478,76,1987,0.5012,0.76972
49,49,1996,4th Quintile,Urban regions,Earn money,0.34969,59,1987,0.29725,0.41204
50,50,1996,4th Quintile,Urban regions,Both equally,0.65031,102,1987,0.58229,0.72426
51,51,1996,4th Quintile,Rural regions,Earn money,0.41519,39,1987,0.35168,0.48112
52,52,1996,4th Quintile,Rural regions,Both equally,0.58481,61,1987,0.4913,0.66971
53,53,1996,5th Quintile,Urban regions,Earn money,0.2719,37,1987,0.2221,0.3355
54,54,1996,5th Quintile,Urban regions,Both equally,0.7281,119,1987,0.64123,0.82099
55,55,1996,5th Quintile,Rural regions,Both equally,1.0,39,1987,0.81547,1.24807
56,56,1997,1st Quintile,Urban regions,Earn money,0.42916,203,1999,0.38147,0.47502
57,57,1997,1st Quintile,Urban regions,Both equally,0.57084,223,1999,0.51144,0.65408
58,58,1997,1st Quintile,Rural regions,Earn money,0.54473,126,1999,0.46713,0.65039
59,59,1997,1st Quintile,Rural regions,Both equally,0.45527,101,1999,0.38781,0.54517
60,60,1997,2nd Quintile,Urban regions,Earn money,0.41759,143,1999,0.36669,0.48113
61,61,1997,2nd Quintile,Urban regions,Both equally,0.58241,176,1999,0.49628,0.65837
62,62,1997,2nd Quintile,Rural regions,Earn money,0.4933,90,1999,0.40853,0.59498
63,63,1997,2nd Quintile,Rural regions,Both equally,0.5067,96,1999,0.43985,0.60356
64,64,1997,3rd Quintile,Urban regions,Earn money,0.26393,74,1999,0.21671,0.31942
