year,sex,plb0111,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1994,male,Earn money,0.18756680576062174,366,1989,0.18730733489561133,0.18782627662563214
1994,male,Both equally,0.17907439288862947,338,1989,0.17881954242744438,0.17932924334981457
1994,female,Earn money,0.23426171858150238,490,1989,0.2339801996400461,0.23454323752295866
1994,female,Other reasons,0.05700465778847686,96,1989,0.05685054924212268,0.05715876633483104
1994,female,Both equally,0.3420924249807695,699,1989,0.3417770908710817,0.34240775909045734
1995,male,Earn money,0.16453827526487622,355,2118,0.1642948790353467,0.16478167149440573
1995,male,Both equally,0.19005576056899945,379,2118,0.18979819656012176,0.19031332457787714
1995,female,Earn money,0.21739618517887618,512,2118,0.217125406767115,0.21766696359063736
1995,female,Other reasons,0.05416116633204621,99,2118,0.05401258314436316,0.05430974951972925
1995,female,Both equally,0.373848612655202,773,2118,0.37353099498403464,0.3741662303263693
1996,male,Earn money,0.1667831806809568,363,2112,0.16654185634860946,0.16702450501330413
1996,male,Both equally,0.1885801597200522,390,2112,0.18832692877004512,0.1888333906700593
1996,female,Earn money,0.22889390321202432,519,2112,0.22862193374240342,0.22916587268164523
1996,female,Other reasons,0.06007479121920977,100,2112,0.05992096202780238,0.06022862041061716
1996,female,Both equally,0.3556679651677569,740,2112,0.3553580640015614,0.3559778663339524
1997,male,Earn money,0.16921935987059572,370,2097,0.1689792008361946,0.16945951890499683
1997,male,Both equally,0.19975332903335552,398,2097,0.19949724077172554,0.2000094172949855
1997,female,Earn money,0.2108371413084381,477,2097,0.2105758724791364,0.21109841013773978
1997,female,Other reasons,0.045265791044913836,76,2097,0.04513263618555737,0.0453989459042703
1997,female,Both equally,0.37492437874269696,776,2097,0.3746143022508107,0.3752344552345832
1998,male,Earn money,0.19092938724601735,423,2193,0.19067135938515858,0.19118741510687612
1998,male,Both equally,0.18418624693557534,394,2193,0.18393176256806443,0.18444073130308625
1998,female,Earn money,0.2252844204689212,495,2193,0.22501015336319657,0.2255586875746458
1998,female,Other reasons,0.05560912604704115,103,2193,0.055458678218155456,0.055759573875926845
1998,female,Both equally,0.3439908193024449,778,2193,0.34367895520276587,0.34430268340212394
1999,male,Earn money,0.17299160230851632,327,1901,0.17272890904335733,0.1732542955736753
1999,male,Both equally,0.19555778511346983,351,1901,0.19528232009855334,0.19583325012838632
1999,female,Earn money,0.20709237854889992,419,1901,0.20681094567700026,0.20737381142079958
1999,female,Other reasons,0.03712100170002264,64,1901,0.036989697938151156,0.03725230546189412
1999,female,Both equally,0.3872372323290913,740,1901,0.38689892126082764,0.38757554339735495
2000,male,Earn money,0.17112493441755436,557,3357,0.1708649800464846,0.17138488878862412
2000,male,Other reasons,0.01402734375007751,43,3357,0.013946169909399416,0.014108517590755603
2000,male,Both equally,0.1891480860402795,598,3357,0.18887777257000254,0.18941839951055645
2000,female,Earn money,0.21388008423562999,757,3357,0.2135970587709512,0.21416310970030877
2000,female,Other reasons,0.05861513611593062,186,3357,0.05845299825694121,0.058777273974920025
2000,female,Both equally,0.35320441544052805,1216,3357,0.3528745076853461,0.35353432319571
2001,male,Earn money,0.18168948497137496,501,2969,0.1814223800156004,0.18195658992714953
2001,male,Both equally,0.19715298018545846,556,2969,0.1968773821890092,0.19742857818190773
2001,female,Earn money,0.21377272992068927,646,2969,0.21348873656051542,0.21405672328086311
2001,female,Other reasons,0.0446631551374315,125,2969,0.04452006458949601,0.04480624568536699
2001,female,Both equally,0.3627216497850458,1141,2969,0.36238859988742783,0.36305469968266374
2003,male,Earn money,0.2115890410077575,615,3098,0.21132093602564303,0.21185714598987196
2003,male,Other reasons,0.011887932456213958,39,3098,0.011816788462784868,0.011959076449643048
2003,male,Both equally,0.20723959145561113,619,3098,0.20697352549682962,0.20750565741439264
2003,female,Earn money,0.22428645454601373,676,3098,0.2240126540796139,0.22456025501241356
2003,female,Other reasons,0.02865696751831549,108,3098,0.02854745004805524,0.02876648498857574
2003,female,Both equally,0.31634001301608816,1041,3098,0.3160347465364374,0.3166452794957389
2005,male,Earn money,0.20562320689275218,487,2545,0.20534848544338816,0.2058979283421162
2005,male,Both equally,0.22694116198823966,543,2545,0.22665644974522092,0.2272258742312584
2005,female,Earn money,0.20790141076233334,544,2545,0.20762556801543114,0.20817725350923555
2005,female,Other reasons,0.02437069321896392,74,2545,0.024265879147564465,0.024475507290363373
2005,female,Both equally,0.33516352713771097,897,2545,0.33484265720341455,0.3354843970720074
2007,male,Earn money,0.17612989740593832,419,2558,0.17587468907844128,0.17638510573343535
2007,male,Other reasons,0.014392291080731916,38,2558,0.014312497869821294,0.014472084291642538
2007,male,Both equally,0.20780813402351306,506,2558,0.20753630527253497,0.20807996277449115
2007,female,Earn money,0.22180157141683698,562,2558,0.2215232309105172,0.22207991192315676
2007,female,Other reasons,0.029442179227037672,75,2558,0.029328927557869873,0.02955543089620547
2007,female,Both equally,0.35042592684594204,958,2558,0.35010628665214005,0.350745567039744
2009,male,Earn money,0.20957081684758305,402,2057,0.20928551149521255,0.20985612219995356
2009,male,Other reasons,0.01937121947555716,31,2057,0.019274604637247204,0.01946783431386712
2009,male,Both equally,0.21734211660222152,429,2057,0.21705300137819525,0.2176312318262478
2009,female,Earn money,0.2369795571004281,476,2057,0.23668147454443506,0.23727763965642112
2009,female,Other reasons,0.029618741722588406,69,2057,0.029499900383890013,0.0297375830612868
2009,female,Both equally,0.28711754825162183,650,2057,0.2868004076370259,0.28743468886621776
2011,male,Earn money,0.22973798977235732,294,1587,0.2293227359585265,0.23015324358618813
2011,male,Both equally,0.24366166057101019,333,1587,0.24323789112579816,0.2440854300162222
2011,female,Earn money,0.20339805525781787,329,1587,0.20300070631541134,0.2037954042002244
2011,female,Other reasons,0.03281160020563119,56,1587,0.03263574823992051,0.032987452171341865
2011,female,Both equally,0.2903906941931834,575,1587,0.28994259002802586,0.290838798358341
2013,male,Earn money,0.20741370401682308,339,1974,0.20706719577203295,0.2077602122616132
2013,male,Other reasons,0.027824838685559603,49,1974,0.027684279200474414,0.027965398170644792
2013,male,Both equally,0.24134010868955072,397,1974,0.2409744213846558,0.24170579599444564
2013,female,Earn money,0.20293836040923438,448,1974,0.20259464452935463,0.20328207628911413
2013,female,Other reasons,0.06172898584636509,106,1974,0.061523311422012776,0.0619346602707174
2013,female,Both equally,0.2587540023524671,635,1974,0.25837972263905085,0.25912828206588334
2017,male,Earn money,0.170714751128134,511,3409,0.17044400417363734,0.17098549808263067
2017,male,Other reasons,0.03223198144990793,98,3409,0.03210489325226714,0.03235906964754872
2017,male,Both equally,0.24468928927760825,649,3409,0.24437994193706555,0.24499863661815094
2017,female,Earn money,0.20069084804984108,775,3409,0.20040264586939624,0.20097905023028592
2017,female,Other reasons,0.0490276561573965,195,3409,0.04887228135309101,0.04918303096170199
2017,female,Both equally,0.3026454739371122,1181,3409,0.3023148989504788,0.30297604892374563
