year,bula_h,pgisced97,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Lower Saxony,Upper Secondary Level,Both equally,0.57393,42,42,0.42256,0.72530
1994,North Rhine-Westphalia,Pre-primary Level,Both equally,0.71655,31,31,0.55527,0.87782
1994,North Rhine-Westphalia,Lower Secondary Level,Both equally,0.56904,46,46,0.42435,0.71373
1994,North Rhine-Westphalia,Upper Secondary Level,Earn money,0.28997,64,182,0.22387,0.35607
1994,North Rhine-Westphalia,Upper Secondary Level,Both equally,0.63188,118,182,0.56162,0.70214
1994,Baden-Wuerttemberg,Lower Secondary Level,Earn money,0.43912,36,70,0.32202,0.55622
1994,Baden-Wuerttemberg,Lower Secondary Level,Both equally,0.52377,34,70,0.40593,0.64162
1994,Baden-Wuerttemberg,Upper Secondary Level,Earn money,0.49032,53,105,0.39424,0.58640
1994,Baden-Wuerttemberg,Upper Secondary Level,Both equally,0.41886,52,105,0.32404,0.51368
1994,Bavaria,Upper Secondary Level,Earn money,0.40828,48,105,0.31381,0.50274
1994,Bavaria,Upper Secondary Level,Both equally,0.52978,57,105,0.43385,0.62571
1994,Saxony,Upper Secondary Level,Earn money,0.44559,59,119,0.35591,0.53527
1994,Saxony,Upper Secondary Level,Both equally,0.50533,60,119,0.41511,0.59554
1994,Saxony-Anhalt,Upper Secondary Level,Earn money,0.62195,44,44,0.47702,0.76689
1994,Thuringa,Upper Secondary Level,Earn money,0.52900,42,85,0.42225,0.63575
1994,Thuringa,Upper Secondary Level,Both equally,0.46616,43,85,0.35948,0.57284
1995,Lower Saxony,Upper Secondary Level,Both equally,0.68794,52,52,0.56078,0.81510
1995,North Rhine-Westphalia,Lower Secondary Level,Earn money,0.57433,40,71,0.45850,0.69016
1995,North Rhine-Westphalia,Lower Secondary Level,Both equally,0.33958,31,71,0.22864,0.45052
1995,North Rhine-Westphalia,Upper Secondary Level,Earn money,0.35507,83,195,0.28773,0.42241
1995,North Rhine-Westphalia,Upper Secondary Level,Both equally,0.56172,112,195,0.49189,0.63154
1995,Hesse,Upper Secondary Level,Both equally,0.62120,36,36,0.46049,0.78191
1995,Baden-Wuerttemberg,Lower Secondary Level,Earn money,0.45474,34,66,0.33368,0.57579
1995,Baden-Wuerttemberg,Lower Secondary Level,Both equally,0.53532,32,66,0.41407,0.65657
1995,Baden-Wuerttemberg,Upper Secondary Level,Earn money,0.37004,49,106,0.27769,0.46240
1995,Baden-Wuerttemberg,Upper Secondary Level,Both equally,0.56198,57,106,0.46708,0.65688
1995,Bavaria,Upper Secondary Level,Earn money,0.48845,50,109,0.39418,0.58273
1995,Bavaria,Upper Secondary Level,Both equally,0.38057,59,109,0.28900,0.47214
1995,Saxony,Upper Secondary Level,Earn money,0.37534,44,115,0.28645,0.46423
1995,Saxony,Upper Secondary Level,Both equally,0.60117,71,115,0.51128,0.69106
1995,Saxony-Anhalt,Upper Secondary Level,Earn money,0.49000,39,71,0.37289,0.60710
1995,Saxony-Anhalt,Upper Secondary Level,Both equally,0.50167,32,71,0.38454,0.61880
1995,Thuringa,Upper Secondary Level,Earn money,0.44912,34,73,0.33423,0.56402
1995,Thuringa,Upper Secondary Level,Both equally,0.53708,39,73,0.42190,0.65225
1996,Lower Saxony,Upper Secondary Level,Both equally,0.55941,42,42,0.40744,0.71138
1996,North Rhine-Westphalia,Pre-primary Level,Both equally,0.62665,37,37,0.46864,0.78465
1996,North Rhine-Westphalia,Lower Secondary Level,Both equally,0.51262,37,37,0.34934,0.67590
1996,North Rhine-Westphalia,Upper Secondary Level,Earn money,0.41312,78,173,0.33953,0.48671
1996,North Rhine-Westphalia,Upper Secondary Level,Both equally,0.48805,95,173,0.41335,0.56276
1996,Hesse,Upper Secondary Level,Both equally,0.47427,31,31,0.29558,0.65296
1996,Baden-Wuerttemberg,Lower Secondary Level,Earn money,0.50714,39,71,0.39002,0.62426
1996,Baden-Wuerttemberg,Lower Secondary Level,Both equally,0.41599,32,71,0.30052,0.53146
1996,Baden-Wuerttemberg,Upper Secondary Level,Earn money,0.33476,41,103,0.24318,0.42634
1996,Baden-Wuerttemberg,Upper Secondary Level,Both equally,0.59329,62,103,0.49796,0.68862
1996,Bavaria,Upper Secondary Level,Earn money,0.43360,40,95,0.33341,0.53378
1996,Bavaria,Upper Secondary Level,Both equally,0.47898,55,95,0.37799,0.57997
1996,Brandenburg,Upper Secondary Level,Earn money,0.54305,36,36,0.37801,0.70808
1996,Saxony,Upper Secondary Level,Earn money,0.39394,45,109,0.30178,0.48609
1996,Saxony,Upper Secondary Level,Both equally,0.59784,64,109,0.50536,0.69031
1996,Saxony-Anhalt,Upper Secondary Level,Earn money,0.51111,34,68,0.39141,0.63081
1996,Saxony-Anhalt,Upper Secondary Level,Both equally,0.48889,34,68,0.36919,0.60859
1996,Thuringa,Upper Secondary Level,Earn money,0.48816,37,83,0.37996,0.59635
1996,Thuringa,Upper Secondary Level,Both equally,0.51184,46,83,0.40365,0.62004
1997,Lower Saxony,Upper Secondary Level,Both equally,0.52131,38,38,0.36034,0.68227
1997,North Rhine-Westphalia,Pre-primary Level,Both equally,0.72479,36,36,0.57682,0.87275
1997,North Rhine-Westphalia,Lower Secondary Level,Both equally,0.55119,43,43,0.40077,0.70161
1997,North Rhine-Westphalia,Upper Secondary Level,Earn money,0.32626,64,172,0.25599,0.39654
1997,North Rhine-Westphalia,Upper Secondary Level,Both equally,0.60654,108,172,0.53332,0.67977
1997,Hesse,Upper Secondary Level,Both equally,0.59354,31,31,0.41777,0.76930
1997,Baden-Wuerttemberg,Lower Secondary Level,Earn money,0.46834,49,87,0.36288,0.57381
1997,Baden-Wuerttemberg,Lower Secondary Level,Both equally,0.45390,38,87,0.34868,0.55913
1997,Baden-Wuerttemberg,Upper Secondary Level,Earn money,0.29462,45,112,0.20981,0.37943
1997,Baden-Wuerttemberg,Upper Secondary Level,Both equally,0.70253,67,112,0.61748,0.78757
1997,Bavaria,Upper Secondary Level,Earn money,0.43521,47,102,0.33852,0.53190
1997,Bavaria,Upper Secondary Level,Both equally,0.52754,55,102,0.43017,0.62490
1997,Brandenburg,Upper Secondary Level,Earn money,0.64947,32,32,0.48150,0.81743
1997,Saxony,Upper Secondary Level,Earn money,0.44827,56,117,0.35777,0.53877
1997,Saxony,Upper Secondary Level,Both equally,0.55173,61,117,0.46123,0.64223
1997,Saxony-Anhalt,Upper Secondary Level,Both equally,0.59796,41,41,0.44601,0.74990
1997,Thuringa,Upper Secondary Level,Earn money,0.43822,35,87,0.33335,0.54308
1997,Thuringa,Upper Secondary Level,Both equally,0.55450,52,87,0.44946,0.65955
1998,Lower Saxony,Upper Secondary Level,Both equally,0.46798,39,39,0.30933,0.62663
1998,North Rhine-Westphalia,Pre-primary Level,Both equally,0.68193,32,32,0.51799,0.84588
1998,North Rhine-Westphalia,Lower Secondary Level,Earn money,0.45544,41,94,0.35422,0.55665
1998,North Rhine-Westphalia,Lower Secondary Level,Both equally,0.49370,53,94,0.39209,0.59532
1998,North Rhine-Westphalia,Upper Secondary Level,Earn money,0.39627,73,169,0.32230,0.47023
1998,North Rhine-Westphalia,Upper Secondary Level,Both equally,0.51620,96,169,0.44063,0.59177
1998,Baden-Wuerttemberg,Lower Secondary Level,Earn money,0.65100,51,82,0.54720,0.75481
1998,Baden-Wuerttemberg,Lower Secondary Level,Both equally,0.34105,31,82,0.23781,0.44429
1998,Baden-Wuerttemberg,Upper Secondary Level,Earn money,0.41571,44,102,0.31959,0.51183
1998,Baden-Wuerttemberg,Upper Secondary Level,Both equally,0.50354,58,102,0.40603,0.60105
1998,Bavaria,Upper Secondary Level,Earn money,0.43359,52,115,0.34262,0.52457
1998,Bavaria,Upper Secondary Level,Both equally,0.47555,63,115,0.38388,0.56723
1998,Brandenburg,Upper Secondary Level,Earn money,0.63947,40,40,0.48877,0.79017
1998,Saxony,Upper Secondary Level,Earn money,0.50110,58,119,0.41088,0.59132
1998,Saxony,Upper Secondary Level,Both equally,0.47880,61,119,0.38867,0.56894
1998,Saxony-Anhalt,Upper Secondary Level,Earn money,0.46032,31,68,0.34097,0.57967
1998,Saxony-Anhalt,Upper Secondary Level,Both equally,0.53968,37,68,0.42033,0.65903
1998,Thuringa,Upper Secondary Level,Earn money,0.30643,35,91,0.21119,0.40168
1998,Thuringa,Upper Secondary Level,Both equally,0.65870,56,91,0.56074,0.75666
1999,Lower Saxony,Upper Secondary Level,Both equally,0.64677,39,39,0.49480,0.79874
1999,North Rhine-Westphalia,Pre-primary Level,Both equally,0.59467,35,35,0.42964,0.75970
1999,North Rhine-Westphalia,Lower Secondary Level,Earn money,0.54021,41,81,0.43100,0.64942
1999,North Rhine-Westphalia,Lower Secondary Level,Both equally,0.45361,40,81,0.34452,0.56271
1999,North Rhine-Westphalia,Upper Secondary Level,Earn money,0.34499,55,135,0.26451,0.42548
1999,North Rhine-Westphalia,Upper Secondary Level,Both equally,0.54312,80,135,0.45878,0.62747
1999,Baden-Wuerttemberg,Lower Secondary Level,Earn money,0.63372,39,39,0.48053,0.78691
1999,Baden-Wuerttemberg,Upper Secondary Level,Earn money,0.43828,42,95,0.33797,0.53858
1999,Baden-Wuerttemberg,Upper Secondary Level,Both equally,0.50369,53,95,0.40261,0.60477
1999,Bavaria,Upper Secondary Level,Both equally,0.62348,63,63,0.50287,0.74408
1999,Saxony,Upper Secondary Level,Earn money,0.34339,49,123,0.25913,0.42765
1999,Saxony,Upper Secondary Level,Both equally,0.62888,74,123,0.54315,0.71461
