year,bula_h,regtyp,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Lower Saxony,Urban regions,Both equally,0.47746,33,33,0.30440,0.65053
1994,Lower Saxony,Rural regions,Both equally,0.50619,36,36,0.34055,0.67183
1994,North Rhine-Westphalia,Urban regions,Earn money,0.32238,127,387,0.27576,0.36901
1994,North Rhine-Westphalia,Urban regions,Other reasons,0.08997,34,387,0.06143,0.11852
1994,North Rhine-Westphalia,Urban regions,Both equally,0.58764,226,387,0.53854,0.63675
1994,Hesse,Urban regions,Earn money,0.39692,43,107,0.30378,0.49006
1994,Hesse,Urban regions,Both equally,0.54414,64,107,0.44933,0.63896
1994,"Rhineland-Palatinate, Saarland",Urban regions,Earn money,0.51340,35,68,0.39372,0.63308
1994,"Rhineland-Palatinate, Saarland",Urban regions,Both equally,0.46176,33,68,0.34238,0.58113
1994,Baden-Wuerttemberg,Urban regions,Earn money,0.42458,107,228,0.36028,0.48888
1994,Baden-Wuerttemberg,Urban regions,Both equally,0.48808,121,228,0.42306,0.55311
1994,Bavaria,Urban regions,Earn money,0.41328,52,106,0.31910,0.50747
1994,Bavaria,Urban regions,Both equally,0.49887,54,106,0.40323,0.59450
1994,Bavaria,Rural regions,Earn money,0.44641,42,88,0.34195,0.55087
1994,Bavaria,Rural regions,Both equally,0.49863,46,88,0.39356,0.60369
1994,Berlin,Urban regions,Earn money,0.30231,31,79,0.20039,0.40423
1994,Berlin,Urban regions,Both equally,0.57163,48,79,0.46181,0.68145
1994,Brandenburg,Rural regions,Earn money,0.59381,50,87,0.49001,0.69761
1994,Brandenburg,Rural regions,Both equally,0.39353,37,87,0.29028,0.49679
1994,Mecklenburg-Western Pomerania,Rural regions,Earn money,0.51216,34,70,0.39422,0.63010
1994,Mecklenburg-Western Pomerania,Rural regions,Both equally,0.46140,36,70,0.34377,0.57902
1994,Saxony,Urban regions,Earn money,0.42132,48,113,0.32987,0.51277
1994,Saxony,Urban regions,Both equally,0.51885,65,113,0.42631,0.61138
1994,Saxony,Rural regions,Earn money,0.46428,46,93,0.36237,0.56619
1994,Saxony,Rural regions,Both equally,0.53572,47,93,0.43381,0.63763
1994,Saxony-Anhalt,Rural regions,Earn money,0.53773,45,85,0.43111,0.64435
1994,Saxony-Anhalt,Rural regions,Both equally,0.43106,40,85,0.32515,0.53696
1994,Thuringa,Rural regions,Earn money,0.50159,45,95,0.40051,0.60266
1994,Thuringa,Rural regions,Both equally,0.49364,50,95,0.39257,0.59471
1995,Lower Saxony,Urban regions,Both equally,0.71691,55,55,0.59675,0.83707
1995,Lower Saxony,Rural regions,Earn money,0.44633,37,80,0.33671,0.55595
1995,Lower Saxony,Rural regions,Both equally,0.51036,43,80,0.40012,0.62059
1995,North Rhine-Westphalia,Urban regions,Earn money,0.36196,162,413,0.31556,0.40837
1995,North Rhine-Westphalia,Urban regions,Other reasons,0.07411,33,413,0.04881,0.09940
1995,North Rhine-Westphalia,Urban regions,Both equally,0.56393,218,413,0.51605,0.61181
1995,Hesse,Urban regions,Earn money,0.33958,40,110,0.25068,0.42849
1995,Hesse,Urban regions,Both equally,0.60576,70,110,0.51402,0.69750
1995,"Rhineland-Palatinate, Saarland",Urban regions,Earn money,0.45198,47,92,0.34972,0.55423
1995,"Rhineland-Palatinate, Saarland",Urban regions,Both equally,0.44955,45,92,0.34734,0.55176
1995,Baden-Wuerttemberg,Urban regions,Earn money,0.36884,114,244,0.30818,0.42951
1995,Baden-Wuerttemberg,Urban regions,Both equally,0.59182,130,244,0.53002,0.65362
1995,Bavaria,Urban regions,Earn money,0.47770,58,116,0.38640,0.56899
1995,Bavaria,Urban regions,Both equally,0.38926,58,116,0.30014,0.47838
1995,Bavaria,Rural regions,Earn money,0.38636,50,120,0.29887,0.47384
1995,Bavaria,Rural regions,Both equally,0.55559,70,120,0.46631,0.64487
1995,Berlin,Urban regions,Earn money,0.41328,39,92,0.31210,0.51445
1995,Berlin,Urban regions,Both equally,0.53254,53,92,0.43003,0.63506
1995,Brandenburg,Rural regions,Earn money,0.45895,42,88,0.35424,0.56366
1995,Brandenburg,Rural regions,Both equally,0.54105,46,88,0.43634,0.64576
1995,Mecklenburg-Western Pomerania,Rural regions,Both equally,0.69476,36,36,0.54219,0.84733
1995,Saxony,Urban regions,Earn money,0.33443,32,99,0.24102,0.42784
1995,Saxony,Urban regions,Both equally,0.65059,67,99,0.55619,0.74499
1995,Saxony,Rural regions,Earn money,0.39099,36,85,0.28664,0.49535
1995,Saxony,Rural regions,Both equally,0.58433,49,85,0.47893,0.68972
1995,Saxony-Anhalt,Rural regions,Earn money,0.47010,48,92,0.36756,0.57265
1995,Saxony-Anhalt,Rural regions,Both equally,0.50992,44,92,0.40721,0.61263
1995,Thuringa,Rural regions,Earn money,0.39606,34,82,0.28955,0.50257
1995,Thuringa,Rural regions,Both equally,0.58730,48,82,0.48008,0.69451
1996,Lower Saxony,Urban regions,Both equally,0.62938,44,44,0.48502,0.77374
1996,Lower Saxony,Rural regions,Earn money,0.42138,36,84,0.31515,0.52761
1996,Lower Saxony,Rural regions,Both equally,0.49115,48,84,0.38360,0.59871
1996,North Rhine-Westphalia,Urban regions,Earn money,0.36936,150,421,0.32320,0.41552
1996,North Rhine-Westphalia,Urban regions,Other reasons,0.08566,36,421,0.05890,0.11243
1996,North Rhine-Westphalia,Urban regions,Both equally,0.54498,235,421,0.49735,0.59260
1996,Hesse,Urban regions,Earn money,0.44208,47,108,0.34798,0.53618
1996,Hesse,Urban regions,Both equally,0.48136,61,108,0.38668,0.57603
1996,"Rhineland-Palatinate, Saarland",Urban regions,Earn money,0.32105,33,82,0.21937,0.42272
1996,"Rhineland-Palatinate, Saarland",Urban regions,Both equally,0.62018,49,82,0.51449,0.72588
1996,Baden-Wuerttemberg,Urban regions,Earn money,0.38801,111,235,0.32557,0.45044
1996,Baden-Wuerttemberg,Urban regions,Both equally,0.55993,124,235,0.49632,0.62353
1996,Bavaria,Urban regions,Earn money,0.39641,51,117,0.30739,0.48542
1996,Bavaria,Urban regions,Both equally,0.49536,66,117,0.40437,0.58635
1996,Bavaria,Rural regions,Earn money,0.36929,45,114,0.28031,0.45828
1996,Bavaria,Rural regions,Both equally,0.56027,69,114,0.46875,0.65179
1996,Berlin,Urban regions,Earn money,0.34066,37,87,0.24049,0.44082
1996,Berlin,Urban regions,Both equally,0.59354,50,87,0.48973,0.69735
1996,Brandenburg,Rural regions,Earn money,0.56796,63,101,0.47087,0.66505
1996,Brandenburg,Rural regions,Both equally,0.40652,38,101,0.31025,0.50280
1996,Mecklenburg-Western Pomerania,Rural regions,Earn money,0.47885,34,69,0.36012,0.59759
1996,Mecklenburg-Western Pomerania,Rural regions,Both equally,0.51585,35,69,0.39706,0.63463
1996,Saxony,Urban regions,Earn money,0.42850,46,96,0.32899,0.52801
1996,Saxony,Urban regions,Both equally,0.56661,50,96,0.46696,0.66626
1996,Saxony,Rural regions,Earn money,0.37653,33,83,0.27166,0.48140
1996,Saxony,Rural regions,Both equally,0.57304,50,83,0.46598,0.68010
1996,Saxony-Anhalt,Rural regions,Earn money,0.51434,46,92,0.41165,0.61703
1996,Saxony-Anhalt,Rural regions,Both equally,0.47470,46,92,0.37210,0.57730
1996,Thuringa,Rural regions,Earn money,0.52783,39,87,0.42232,0.63334
1996,Thuringa,Rural regions,Both equally,0.46280,48,87,0.35742,0.56819
1997,Lower Saxony,Urban regions,Both equally,0.65912,49,49,0.52503,0.79322
1997,Lower Saxony,Rural regions,Earn money,0.40571,31,73,0.29229,0.51913
1997,Lower Saxony,Rural regions,Both equally,0.43350,42,73,0.31903,0.54796
1997,North Rhine-Westphalia,Urban regions,Earn money,0.31256,125,363,0.26481,0.36031
1997,North Rhine-Westphalia,Urban regions,Both equally,0.63175,238,363,0.58206,0.68144
1997,Hesse,Urban regions,Earn money,0.34763,42,102,0.25476,0.44051
1997,Hesse,Urban regions,Both equally,0.57917,60,102,0.48289,0.67546
1997,"Rhineland-Palatinate, Saarland",Urban regions,Earn money,0.42033,32,80,0.31148,0.52918
1997,"Rhineland-Palatinate, Saarland",Urban regions,Both equally,0.49286,48,80,0.38262,0.60311
1997,Baden-Wuerttemberg,Urban regions,Earn money,0.33551,114,258,0.27778,0.39323
1997,Baden-Wuerttemberg,Urban regions,Both equally,0.63819,144,258,0.57944,0.69694
1997,Bavaria,Urban regions,Earn money,0.36247,63,129,0.27919,0.44575
1997,Bavaria,Urban regions,Both equally,0.55199,66,129,0.46584,0.63814
1997,Bavaria,Rural regions,Earn money,0.41008,52,124,0.32316,0.49701
1997,Bavaria,Rural regions,Both equally,0.56823,72,124,0.48070,0.65577
1997,Berlin,Urban regions,Earn money,0.39235,34,76,0.28185,0.50286
1997,Berlin,Urban regions,Both equally,0.53233,42,76,0.41940,0.64525
1997,Brandenburg,Rural regions,Earn money,0.56971,52,91,0.46742,0.67200
1997,Brandenburg,Rural regions,Both equally,0.42134,39,91,0.31933,0.52336
1997,Mecklenburg-Western Pomerania,Rural regions,Both equally,0.50103,34,34,0.33043,0.67162
1997,Saxony,Urban regions,Earn money,0.38727,41,99,0.29082,0.48371
1997,Saxony,Urban regions,Both equally,0.60677,58,99,0.51006,0.70348
1997,Saxony,Rural regions,Earn money,0.47590,41,81,0.36646,0.58534
1997,Saxony,Rural regions,Both equally,0.52410,40,81,0.41466,0.63354
1997,Saxony-Anhalt,Rural regions,Earn money,0.48322,46,96,0.38273,0.58371
1997,Saxony-Anhalt,Rural regions,Both equally,0.51371,50,96,0.41321,0.61422
1997,Thuringa,Rural regions,Earn money,0.45873,37,91,0.35578,0.56168
1997,Thuringa,Rural regions,Both equally,0.52371,54,91,0.42052,0.62689
1998,Lower Saxony,Urban regions,Both equally,0.44867,39,39,0.29053,0.60680
1998,Lower Saxony,Rural regions,Earn money,0.38191,33,75,0.27121,0.49261
1998,Lower Saxony,Rural regions,Both equally,0.48505,42,75,0.37117,0.59892
1998,North Rhine-Westphalia,Urban regions,Earn money,0.37289,159,428,0.32702,0.41875
1998,North Rhine-Westphalia,Urban regions,Other reasons,0.08215,31,428,0.05610,0.10819
1998,North Rhine-Westphalia,Urban regions,Both equally,0.54497,238,428,0.49773,0.59220
1998,Hesse,Urban regions,Earn money,0.42736,43,105,0.33228,0.52244
1998,Hesse,Urban regions,Both equally,0.52294,62,105,0.42694,0.61894
1998,"Rhineland-Palatinate, Saarland",Urban regions,Earn money,0.38445,36,81,0.27785,0.49105
1998,"Rhineland-Palatinate, Saarland",Urban regions,Both equally,0.48495,45,81,0.37543,0.59446
1998,Baden-Wuerttemberg,Urban regions,Earn money,0.47589,121,239,0.41244,0.53934
1998,Baden-Wuerttemberg,Urban regions,Both equally,0.46355,118,239,0.40020,0.52691
1998,Bavaria,Urban regions,Earn money,0.34919,55,122,0.26425,0.43413
1998,Bavaria,Urban regions,Both equally,0.52250,67,122,0.43350,0.61150
1998,Bavaria,Rural regions,Earn money,0.46903,60,139,0.38576,0.55229
1998,Bavaria,Rural regions,Both equally,0.49554,79,139,0.41212,0.57896
1998,Berlin,Urban regions,Both equally,0.65126,46,46,0.51201,0.79050
1998,Brandenburg,Rural regions,Earn money,0.58681,57,108,0.49351,0.68011
1998,Brandenburg,Rural regions,Both equally,0.37610,51,108,0.28431,0.46788
1998,Mecklenburg-Western Pomerania,Rural regions,Both equally,0.60682,44,44,0.46082,0.75282
1998,Saxony,Urban regions,Earn money,0.50034,48,97,0.40032,0.60037
1998,Saxony,Urban regions,Both equally,0.47132,49,97,0.37147,0.57118
1998,Saxony,Rural regions,Earn money,0.44381,46,104,0.34786,0.53976
1998,Saxony,Rural regions,Both equally,0.55164,58,104,0.45559,0.64768
1998,Saxony-Anhalt,Rural regions,Earn money,0.45330,45,96,0.35319,0.55340
1998,Saxony-Anhalt,Rural regions,Both equally,0.49382,51,96,0.39329,0.59436
1998,Thuringa,Rural regions,Earn money,0.33390,43,103,0.24237,0.42542
1998,Thuringa,Rural regions,Both equally,0.63090,60,103,0.53725,0.72455
1999,Lower Saxony,Urban regions,Both equally,0.56552,40,40,0.40994,0.72109
1999,Lower Saxony,Rural regions,Both equally,0.58084,40,40,0.42598,0.73570
1999,North Rhine-Westphalia,Urban regions,Earn money,0.39947,144,339,0.34725,0.45168
1999,North Rhine-Westphalia,Urban regions,Both equally,0.53490,195,339,0.48173,0.58808
1999,Hesse,Urban regions,Earn money,0.37392,33,88,0.27225,0.47560
1999,Hesse,Urban regions,Both equally,0.57765,55,88,0.47385,0.68144
1999,"Rhineland-Palatinate, Saarland",Urban regions,Earn money,0.43475,31,68,0.31605,0.55346
1999,"Rhineland-Palatinate, Saarland",Urban regions,Both equally,0.48944,37,68,0.36974,0.60914
1999,Baden-Wuerttemberg,Urban regions,Earn money,0.44657,99,207,0.37868,0.51446
1999,Baden-Wuerttemberg,Urban regions,Both equally,0.49796,108,207,0.42968,0.56624
1999,Bavaria,Urban regions,Earn money,0.27051,36,93,0.17973,0.36128
1999,Bavaria,Urban regions,Both equally,0.64607,57,93,0.54836,0.74379
